bar_start,open,high,low,close,volume
2021-01-21 09:30:00,1.54,1.58,1.51,1.55,57595
2021-01-21 10:30:00,1.54,1.575,1.54,1.57,41303
2021-01-21 11:30:00,1.57,1.6,1.56,1.5801,78554
2021-01-21 12:30:00,1.58,1.58,1.55,1.5699,29171
2021-01-21 13:30:00,1.5601,1.57,1.55,1.57,36765
2021-01-21 14:30:00,1.565,1.58,1.55,1.57,36313
2021-01-21 15:30:00,1.57,1.58,1.55,1.565,43752
2021-01-22 09:30:00,1.55,1.59,1.53,1.59,60692
2021-01-22 10:30:00,1.5899,1.59,1.56,1.5739,33989
2021-01-22 11:30:00,1.58,1.58,1.56,1.579,17650
2021-01-22 12:30:00,1.57,1.58,1.55,1.57,42407
2021-01-22 13:30:00,1.57,1.58,1.52,1.5402,71356
2021-01-22 14:30:00,1.55,1.57,1.54,1.54,12576
2021-01-22 15:30:00,1.56,1.58,1.54,1.58,46325
2021-01-25 09:30:00,1.58,1.58,1.51,1.53,130621
2021-01-25 10:30:00,1.54,1.57,1.45,1.5,159907
2021-01-25 11:30:00,1.5,1.51,1.4816,1.49,23386
2021-01-25 12:30:00,1.4989,1.51,1.49,1.51,22185
2021-01-25 13:30:00,1.5,1.5025,1.49,1.5,9355
2021-01-25 14:30:00,1.5,1.501,1.47,1.48,53767
2021-01-25 15:30:00,1.47,1.48,1.46,1.47,43400
2021-01-26 09:30:00,1.47,1.6,1.47,1.56,193770
2021-01-26 10:30:00,1.5698,1.57,1.51,1.5212,57927
2021-01-26 11:30:00,1.5299,1.55,1.5101,1.5293,10819
2021-01-26 12:30:00,1.5212,1.53,1.5,1.529,27487
2021-01-26 13:30:00,1.53,1.53,1.49,1.506,34842
2021-01-26 14:30:00,1.5073,1.527,1.5,1.52,8945
2021-01-26 15:30:00,1.52,1.53,1.49,1.5,17914
2021-01-27 09:30:00,1.5,1.5,1.41,1.4842,66022
2021-01-27 10:30:00,1.47,1.4789,1.41,1.43,50098
2021-01-27 11:30:00,1.4342,1.4578,1.413,1.43,81746
2021-01-27 12:30:00,1.4373,1.45,1.4,1.4,82040
2021-01-27 13:30:00,1.4091,1.43,1.4,1.42,19682
2021-01-27 14:30:00,1.4122,1.43,1.37,1.39,88258
2021-01-27 15:30:00,1.3822,1.4,1.38,1.39,21116
2021-01-28 09:30:00,1.38,1.407,1.2947,1.335,222452
2021-01-28 10:30:00,1.3399,1.36,1.32,1.3389,32639
2021-01-28 11:30:00,1.32,1.3575,1.32,1.33,33523
2021-01-28 12:30:00,1.3498,1.52,1.33,1.517,395805
2021-01-28 13:30:00,1.5178,1.52,1.45,1.47,172187
2021-01-28 14:30:00,1.47,1.48,1.4,1.4501,70281
2021-01-28 15:30:00,1.4501,1.472,1.44,1.47,20386
2021-01-29 09:30:00,1.38,1.4278,1.38,1.41,49493
2021-01-29 10:30:00,1.41,1.44,1.4,1.401,51949
2021-01-29 11:30:00,1.41,1.435,1.4,1.429,28747
2021-01-29 12:30:00,1.425,1.43,1.36,1.36,51690
2021-01-29 13:30:00,1.36,1.38,1.36,1.38,47021
2021-01-29 14:30:00,1.375,1.38,1.36,1.3719,38908
2021-01-29 15:30:00,1.3799,1.39,1.37,1.39,34261
2021-02-01 09:30:00,1.51,1.56,1.47,1.4719,145206
2021-02-01 10:30:00,1.47,1.48,1.4,1.4001,84683
2021-02-01 11:30:00,1.41,1.43,1.4,1.4211,39233
2021-02-01 12:30:00,1.43,1.47,1.42,1.42,78820
2021-02-01 13:30:00,1.4299,1.43,1.41,1.4289,21769
2021-02-01 14:30:00,1.43,1.44,1.42,1.4381,44895
2021-02-01 15:30:00,1.4301,1.44,1.4301,1.44,11815
2021-02-02 09:30:00,1.5,1.6,1.48,1.585,297571
2021-02-02 10:30:00,1.58,1.75,1.58,1.6911,802718
2021-02-02 11:30:00,1.69,1.73,1.61,1.63,340819
2021-02-02 12:30:00,1.64,1.65,1.53,1.5419,218207
2021-02-02 13:30:00,1.54,1.58,1.52,1.57,80569
2021-02-02 14:30:00,1.57,1.57,1.54,1.545,64119
2021-02-02 15:30:00,1.545,1.58,1.54,1.545,139189
2021-02-03 09:30:00,1.55,1.64,1.51,1.56,469714
2021-02-03 10:30:00,1.55,1.56,1.52,1.5419,135656
2021-02-03 11:30:00,1.54,1.55,1.53,1.54,42040
2021-02-03 12:30:00,1.535,1.56,1.52,1.55,87786
2021-02-03 13:30:00,1.55,1.62,1.54,1.6,295489
2021-02-03 14:30:00,1.6001,1.61,1.54,1.55,121005
2021-02-03 15:30:00,1.545,1.574,1.53,1.5381,64452
2021-02-04 09:30:00,1.56,1.78,1.55,1.61,1293061
2021-02-04 10:30:00,1.63,1.68,1.63,1.6604,64557
2021-02-04 11:30:00,1.66,1.69,1.66,1.6725,115422
2021-02-04 12:30:00,1.67,1.68,1.65,1.67,72035
2021-02-04 13:30:00,1.67,1.68,1.66,1.66,31005
2021-02-04 14:30:00,1.66,1.68,1.66,1.6701,53538
2021-02-04 15:30:00,1.68,1.75,1.67,1.7293,142853
2021-02-05 09:30:00,1.69,1.7,1.62,1.637,167147
2021-02-05 10:30:00,1.635,1.7099,1.63,1.6901,164313
2021-02-05 11:30:00,1.7,1.8,1.6907,1.7799,167488
2021-02-05 12:30:00,1.775,1.78,1.72,1.7222,99303
2021-02-05 13:30:00,1.73,1.737,1.71,1.7121,35461
2021-02-05 14:30:00,1.7111,1.73,1.71,1.7289,12460
2021-02-05 15:30:00,1.7211,1.73,1.71,1.73,13370
2021-02-08 09:30:00,1.8,1.83,1.69,1.7011,173833
2021-02-08 10:30:00,1.7099,1.75,1.65,1.74,104007
2021-02-08 11:30:00,1.7487,1.78,1.74,1.7401,116504
2021-02-08 12:30:00,1.75,1.76,1.73,1.735,39159
2021-02-08 13:30:00,1.7311,1.76,1.73,1.75,32236
2021-02-08 14:30:00,1.76,1.78,1.75,1.78,211900
2021-02-08 15:30:00,1.79,1.8,1.77,1.78,86891
2021-02-09 09:30:00,1.88,1.89,1.79,1.8089,199329
2021-02-09 10:30:00,1.8,1.81,1.79,1.7989,83908
2021-02-09 11:30:00,1.7911,1.97,1.79,1.9178,555041
2021-02-09 12:30:00,1.92,1.95,1.84,1.88,285802
2021-02-09 13:30:00,1.89,1.92,1.81,1.8327,230396
2021-02-09 14:30:00,1.8389,1.8578,1.79,1.8,184763
2021-02-09 15:30:00,1.8,1.93,1.8,1.9262,124516
2021-04-15 09:30:00,1.27,1.27,1.23,1.25,71633
2021-04-15 10:30:00,1.24,1.25,1.22,1.22,104388
2021-04-15 11:30:00,1.23,1.24,1.21,1.21,55290
2021-04-15 12:30:00,1.215,1.22,1.2,1.21,83774
2021-04-15 13:30:00,1.21,1.22,1.21,1.215,7884
2021-04-15 14:30:00,1.211,1.22,1.2,1.2,59280
2021-04-15 15:30:00,1.21,1.23,1.2,1.2,72590
2021-04-16 09:30:00,1.2,1.22,1.18,1.19,181902
2021-04-16 10:30:00,1.19,1.21,1.18,1.1899,27688
2021-04-16 11:30:00,1.1817,1.2,1.17,1.19,83778
2021-04-16 12:30:00,1.19,1.2297,1.18,1.2019,51213
2021-04-16 13:30:00,1.2013,1.22,1.2,1.2001,20984
2021-04-16 14:30:00,1.21,1.24,1.2,1.2201,18227
2021-04-16 15:30:00,1.2285,1.23,1.21,1.23,14316
2021-04-19 09:30:00,1.22,1.23,1.19,1.1925,90672
2021-04-19 10:30:00,1.1926,1.2084,1.17,1.19,37725
2021-04-19 11:30:00,1.1801,1.21,1.18,1.21,23996
2021-04-19 12:30:00,1.205,1.21,1.2,1.21,21504
2021-04-19 13:30:00,1.2,1.22,1.2,1.22,13845
2021-04-19 14:30:00,1.22,1.23,1.21,1.2199,31137
