bar_start,open,high,low,close,volume
2021-10-28 09:30:00,13.5,13.68,13.03,13.15,31006
2021-10-28 10:30:00,13.1769,13.4,13.1,13.4,48670
2021-10-28 11:30:00,13.47,13.64,13.41,13.57,20749
2021-10-28 12:30:00,13.505,13.63,13.49,13.5,10652
2021-10-28 13:30:00,13.5084,13.55,13.21,13.38,18197
2021-10-28 14:30:00,13.38,13.63,13.2881,13.55,37488
2021-10-28 15:30:00,13.55,13.9,13.2,13.67,36273
2021-10-29 09:30:00,14.09,15.47,13.1,13.11,101049
2021-10-29 10:30:00,13.11,13.51,13.08,13.39,39887
2021-10-29 11:30:00,13.33,13.5399,13.25,13.34,22618
2021-10-29 12:30:00,13.277,13.44,13.25,13.3,7826
2021-10-29 13:30:00,13.3,13.74,13.3,13.46,38826
2021-10-29 14:30:00,13.48,13.67,13.41,13.59,16143
2021-10-29 15:30:00,13.65,13.86,13.44,13.66,24113
2021-11-01 09:30:00,13.52,13.605,13.01,13.13,55196
2021-11-01 10:30:00,13.14,13.14,12.3,12.94,96592
2021-11-01 11:30:00,12.99,13.43,12.9,13.394,15896
2021-11-01 12:30:00,13.39,13.43,13.0,13.12,78765
2021-11-01 13:30:00,13.04,13.25,12.9,13.25,19102
2021-11-01 14:30:00,13.25,13.25,13.01,13.02,17249
2021-11-01 15:30:00,13.1,13.29,13.04,13.27,26203
2021-11-02 09:30:00,13.47,13.54,13.02,13.3,30883
2021-11-02 10:30:00,13.3,13.5,13.21,13.42,12378
2021-11-02 11:30:00,13.435,13.51,13.38,13.38,18831
2021-11-02 12:30:00,13.38,13.5,13.38,13.48,6900
2021-11-02 13:30:00,13.5,13.5,13.38,13.5,9339
2021-11-02 14:30:00,13.5,13.5,13.45,13.5,12019
2021-11-02 15:30:00,13.49,13.5,13.4,13.45,13612
2021-11-03 09:30:00,13.2,13.6,13.1501,13.505,5819
2021-11-03 10:30:00,13.46,13.51,13.41,13.46,5717
2021-11-03 11:30:00,13.44,13.5,13.42,13.5,13353
2021-11-03 12:30:00,13.5,13.54,13.43,13.44,167982
2021-11-03 13:30:00,13.44,13.53,13.44,13.495,6987
2021-11-03 14:30:00,13.495,13.53,13.46,13.46,10131
2021-11-03 15:30:00,13.495,13.5125,13.425,13.5,15521
2021-11-04 09:30:00,13.33,13.52,13.25,13.475,40242
2021-11-04 10:30:00,13.5,13.5,13.21,13.44,40336
2021-11-04 11:30:00,13.425,13.5,13.31,13.42,20788
2021-11-04 12:30:00,13.42,13.5,13.31,13.48,25894
2021-11-04 13:30:00,13.5,13.5,13.25,13.47,37204
2021-11-04 14:30:00,13.48,13.5,13.37,13.495,27518
2021-11-04 15:30:00,13.5,13.5,13.44,13.48,27826
2021-11-05 09:30:00,13.42,13.48,13.21,13.455,20813
2021-11-05 10:30:00,13.3,13.89,13.3,13.51,24115
2021-11-05 11:30:00,13.52,13.52,13.42,13.52,16082
