bar_start,open,high,low,close,volume
2022-01-31 09:30:00,12.9,13.2799,12.605,13.2799,38427
2022-01-31 10:30:00,13.1739,13.2499,13.01,13.04,18565
2022-01-31 11:30:00,13.05,13.36,12.96,13.27,19455
2022-01-31 12:30:00,13.35,13.5632,13.28,13.41,8777
2022-01-31 13:30:00,13.41,13.47,13.265,13.39,9848
2022-01-31 14:30:00,13.3686,13.4,13.04,13.2,20301
2022-01-31 15:30:00,13.19,13.34,13.17,13.27,32736
2022-02-01 09:30:00,13.3,13.92,13.27,13.87,52774
2022-02-01 10:30:00,13.855,14.1,13.8,14.0,29434
2022-02-01 11:30:00,13.97,14.0755,13.82,13.84,10873
2022-02-01 12:30:00,13.83,13.89,13.72,13.82,9198
2022-02-01 13:30:00,13.85,13.85,13.6,13.75,24071
2022-02-01 14:30:00,13.81,13.97,13.8,13.895,16739
2022-02-01 15:30:00,13.895,13.96,13.86,13.95,27987
2022-02-02 09:30:00,14.04,14.12,13.26,13.27,52002
2022-02-02 10:30:00,13.285,13.4199,13.15,13.19,39753
2022-02-02 11:30:00,13.16,13.3,13.15,13.265,10584
2022-02-02 12:30:00,13.25,13.31,13.15,13.28,31219
2022-02-02 13:30:00,13.2516,13.4,13.2516,13.3583,11741
2022-02-02 14:30:00,13.32,13.505,13.29,13.46,23281
2022-02-02 15:30:00,13.48,13.58,13.4,13.47,29570
2022-02-03 09:30:00,13.3,13.43,13.08,13.26,24545
2022-02-03 10:30:00,13.2,13.31,13.06,13.1,17697
2022-02-03 11:30:00,13.1,13.14,12.94,12.94,16702
2022-02-03 12:30:00,12.95,13.1,12.92,13.1,12887
2022-02-03 13:30:00,13.1,13.36,13.1,13.2901,21559
2022-02-03 14:30:00,13.2914,13.36,13.16,13.345,18037
2022-02-03 15:30:00,13.34,13.3596,13.25,13.31,20291
2022-02-04 09:30:00,13.43,14.0,13.3,13.86,37686
2022-02-04 10:30:00,13.858,13.91,13.63,13.7806,21168
2022-02-04 11:30:00,13.81,13.81,13.6,13.66,18632
2022-02-04 12:30:00,13.71,13.72,13.6,13.72,23087
2022-02-04 13:30:00,13.7224,13.87,13.7224,13.74,15861
2022-02-04 14:30:00,13.7696,14.06,13.76,14.06,42738
2022-02-04 15:30:00,14.065,14.11,13.91,13.96,28399
2022-02-07 09:30:00,14.0,14.18,13.62,13.68,79585
2022-02-07 10:30:00,13.68,13.87,13.63,13.81,6614
2022-02-07 11:30:00,13.748,13.77,13.6,13.7,15740
2022-02-07 12:30:00,13.7,13.81,13.69,13.73,15761
2022-02-07 13:30:00,13.73,13.76,13.62,13.66,16052
2022-02-07 14:30:00,13.6653,13.76,13.65,13.69,23070
2022-02-07 15:30:00,13.69,13.7,13.47,13.57,39489
2022-02-08 09:30:00,13.62,13.62,13.06,13.1474,53188
2022-02-08 10:30:00,13.1404,13.24,13.02,13.13,14744
2022-02-08 11:30:00,13.12,13.245,13.03,13.09,18412
2022-02-08 12:30:00,13.085,13.2,13.03,13.05,11696
2022-02-08 13:30:00,13.06,13.1,13.0,13.0,11096
2022-02-08 14:30:00,13.02,13.062,12.86,12.88,21591
2022-02-08 15:30:00,12.89,13.05,12.89,12.97,27754
2022-02-09 09:30:00,13.05,13.3999,13.01,13.305,27391
2022-02-09 10:30:00,13.39,13.57,13.27,13.48,34170
2022-02-09 11:30:00,13.4889,13.7399,13.46,13.68,22159
2022-02-09 12:30:00,13.68,13.68,13.39,13.54,32000
2022-02-09 13:30:00,13.525,13.54,13.4,13.5,32689
2022-02-09 14:30:00,13.5,13.53,13.33,13.38,30438
2022-02-09 15:30:00,13.39,13.4,13.25,13.32,64426
2022-02-10 09:30:00,13.405,14.0299,13.1601,13.98,42488
2022-02-10 10:30:00,14.0,14.05,13.55,13.63,48598
2022-02-10 11:30:00,13.61,13.8,13.6,13.78,33778
2022-02-10 12:30:00,13.78,13.82,13.32,13.34,26963
2022-02-10 13:30:00,13.34,13.401,13.2,13.3,40651
2022-02-10 14:30:00,13.3,13.41,13.25,13.25,33060
2022-02-10 15:30:00,13.28,13.35,13.15,13.34,42145
2022-02-11 09:30:00,13.61,14.055,13.36,14.0483,30027
2022-02-11 10:30:00,14.01,14.05,13.79,13.89,45438
2022-02-11 11:30:00,13.87,14.05,13.75,13.99,39047
2022-02-11 12:30:00,14.02,14.07,13.82,13.87,78811
2022-02-11 13:30:00,13.83,13.96,13.76,13.825,36619
2022-02-11 14:30:00,13.8,13.93,13.71,13.92,39319
2022-02-11 15:30:00,13.935,14.0,13.84,13.96,65441
2022-02-14 09:30:00,13.99,14.0,13.6,13.77,71391
2022-02-14 10:30:00,13.76,14.07,13.65,14.03,26152
2022-02-14 11:30:00,14.03,14.13,13.91,13.94,27744
2022-02-14 12:30:00,13.94,13.99,13.81,13.86,17826
2022-02-14 13:30:00,13.83,14.18,13.7,14.13,27309
2022-02-14 14:30:00,14.11,14.16,13.9,13.94,32166
2022-02-14 15:30:00,13.92,14.05,13.9,13.98,35653
2022-02-15 09:30:00,13.66,13.92,13.34,13.41,41527
2022-02-15 10:30:00,13.3914,13.585,13.35,13.48,20544
2022-02-15 11:30:00,13.48,13.65,13.43,13.505,14028
2022-02-15 12:30:00,13.52,13.59,13.43,13.5,7662
2022-02-15 13:30:00,13.48,13.7,13.48,13.645,13742
2022-02-15 14:30:00,13.6,13.69,13.45,13.61,9655
2022-02-15 15:30:00,13.58,13.68,13.51,13.59,15820
2022-02-16 09:30:00,14.2,15.2,13.98,15.0795,251877
2022-02-16 10:30:00,15.05,15.3,14.92,14.94,94061
2022-02-16 11:30:00,14.94,15.04,14.5038,14.52,109033
2022-02-16 12:30:00,14.524,14.68,14.23,14.29,80316
2022-02-16 13:30:00,14.29,14.67,14.16,14.6,37136
2022-02-16 14:30:00,14.57,14.68,14.185,14.2,62274
2022-02-16 15:30:00,14.2,14.35,14.16,14.23,45117
2022-02-17 09:30:00,14.38,15.08,14.38,14.635,56984
2022-02-17 10:30:00,14.5501,14.79,14.46,14.72,42105
2022-02-17 11:30:00,14.72,14.84,14.68,14.81,10961
2022-02-17 12:30:00,14.8,14.8,14.46,14.4701,18106
2022-02-17 13:30:00,14.52,14.57,14.41,14.52,21426
2022-02-17 14:30:00,14.51,14.52,14.32,14.5,30303
2022-02-17 15:30:00,14.52,14.59,14.47,14.51,29027
2022-05-02 09:30:00,15.68,15.96,15.31,15.67,51191
2022-05-02 10:30:00,15.69,15.73,15.04,15.095,51349
2022-05-02 11:30:00,15.15,15.33,15.02,15.33,40043
2022-05-02 12:30:00,15.24,15.42,15.08,15.084,16130
2022-05-02 13:30:00,15.11,15.22,14.92,15.04,24010
2022-05-02 14:30:00,15.01,15.27,14.9,15.21,19992
2022-05-02 15:30:00,15.26,15.41,15.23,15.385,24296
2022-05-03 09:30:00,15.39,16.05,15.385,16.04,18899
2022-05-03 10:30:00,16.0,16.25,15.94,16.08,35008
2022-05-03 11:30:00,16.03,16.24,15.95,16.095,13472
2022-05-03 12:30:00,16.04,16.4,15.94,16.22,34373
2022-05-03 13:30:00,16.22,16.33,16.05,16.08,15229
2022-05-03 14:30:00,16.11,16.35,16.03,16.23,18815
2022-05-03 15:30:00,16.23,16.35,16.13,16.33,30404
2022-05-04 09:30:00,16.6,16.94,16.36,16.41,63235
2022-05-04 10:30:00,16.405,16.55,16.26,16.49,22858
2022-05-04 11:30:00,16.46,16.54,16.34,16.4,12234
2022-05-04 12:30:00,16.4,16.69,16.35,16.69,17231
2022-05-04 13:30:00,16.6,16.86,16.54,16.74,19271
2022-05-04 14:30:00,16.74,17.075,16.46,17.05,33569
2022-05-04 15:30:00,17.07,17.34,17.0604,17.32,37573
2022-05-05 09:30:00,17.44,17.59,16.92,17.07,20676
2022-05-05 10:30:00,16.96,17.09,16.45,16.61,22386
2022-05-05 11:30:00,16.62,16.82,16.25,16.54,13778
2022-05-05 12:30:00,16.58,16.83,16.46,16.7,12623
2022-05-05 13:30:00,16.7,16.875,16.62,16.68,12932
2022-05-05 14:30:00,16.58,16.69,16.44,16.45,13284
2022-05-05 15:30:00,16.515,16.87,16.47,16.84,20486
2022-05-06 09:30:00,16.98,17.23,16.4601,16.9,43908
2022-05-06 10:30:00,16.9371,17.19,16.66,16.91,25256
2022-05-06 11:30:00,16.9,16.97,16.62,16.78,8160
2022-05-06 12:30:00,16.8,16.98,16.69,16.76,14086
2022-05-06 13:30:00,16.8189,16.86,16.5,16.55,14663
2022-05-06 14:30:00,16.58,16.72,16.5,16.53,19955
2022-05-06 15:30:00,16.54,16.9,16.54,16.9,21200
2022-05-09 09:30:00,16.33,16.39,15.8,15.84,28375
2022-05-09 10:30:00,15.83,15.8899,15.43,15.46,44358
2022-05-09 11:30:00,15.4742,16.27,15.44,16.05,60668
2022-05-09 12:30:00,15.97,16.03,15.61,15.61,25377
2022-05-09 13:30:00,15.655,15.77,15.25,15.265,46662
2022-05-09 14:30:00,15.24,15.68,15.24,15.36,37921
2022-05-09 15:30:00,15.34,15.4279,15.21,15.32,70519
2022-05-10 09:30:00,15.48,16.16,15.45,16.03,23957
2022-05-10 10:30:00,16.05,16.05,15.31,15.41,56657
2022-05-10 11:30:00,15.37,15.46,14.9,14.91,43155
2022-05-10 12:30:00,14.945,15.2,14.8,15.035,47783
2022-05-10 13:30:00,15.07,15.775,15.05,15.42,22443
2022-05-10 14:30:00,15.45,15.72,15.39,15.496,26147
2022-05-10 15:30:00,15.49,15.56,15.3101,15.48,43633
2022-05-11 09:30:00,16.0,16.6,15.6,16.525,42978
2022-05-11 10:30:00,16.525,16.85,16.46,16.61,34509
2022-05-11 11:30:00,16.65,16.75,15.98,15.99,39727
2022-05-11 12:30:00,15.99,16.075,15.36,15.38,49202
2022-05-11 13:30:00,15.4,15.51,15.18,15.44,32872
2022-05-11 14:30:00,15.455,15.72,15.41,15.61,32104
2022-05-11 15:30:00,15.66,15.72,15.46,15.54,25990
2022-05-12 09:30:00,15.51,15.92,15.23,15.74,26506
2022-05-12 10:30:00,15.81,16.25,15.65,16.025,25006
2022-05-12 11:30:00,16.05,16.05,15.53,15.87,26780
2022-05-12 12:30:00,15.87,15.95,15.51,15.54,17744
2022-05-12 13:30:00,15.51,15.515,15.19,15.3,18901
2022-05-12 14:30:00,15.33,15.54,15.22,15.38,21385
2022-05-12 15:30:00,15.37,15.76,15.37,15.73,25770
2022-05-13 09:30:00,15.99,16.63,15.985,16.54,29651
2022-05-13 10:30:00,16.51,16.63,16.33,16.5623,17630
2022-05-13 11:30:00,16.51,16.805,16.42,16.74,15428
2022-05-13 12:30:00,16.72,16.8,16.5,16.59,21619
2022-05-13 13:30:00,16.59,16.6,16.225,16.39,17384
2022-05-13 14:30:00,16.39,16.59,16.35,16.54,11436
2022-05-13 15:30:00,16.54,16.7,16.41,16.58,25864
2022-05-16 09:30:00,16.7,17.265,16.7,17.15,48393
2022-05-16 10:30:00,17.1291,17.21,16.91,17.09,29974
2022-05-16 11:30:00,17.1,17.38,16.91,17.23,25529
2022-05-16 12:30:00,17.21,17.28,17.0,17.24,11315
2022-05-16 13:30:00,17.24,17.295,17.15,17.28,12511
2022-05-16 14:30:00,17.28,17.28,16.99,17.09,15887
2022-05-16 15:30:00,17.09,17.1,16.95,17.02,21795
2022-05-17 09:30:00,17.29,17.48,16.88,16.98,33881
2022-05-17 10:30:00,16.931,17.43,16.93,17.38,21081
2022-05-17 11:30:00,17.3806,17.62,17.3107,17.56,25156
2022-05-17 12:30:00,17.56,17.79,17.53,17.61,16892
2022-05-17 13:30:00,17.62,17.88,17.61,17.68,30433
2022-05-17 14:30:00,17.66,17.81,17.57,17.74,10601
2022-05-17 15:30:00,17.725,17.76,17.57,17.63,17555
2022-05-18 09:30:00,17.52,17.65,17.23,17.3375,21314
2022-05-18 10:30:00,17.34,17.42,16.82,16.87,19646
2022-05-18 11:30:00,16.92,17.08,16.81,16.97,44635
2022-05-18 12:30:00,16.97,17.23,16.85,17.035,20338
2022-05-18 13:30:00,17.0194,17.15,16.87,17.06,21736
2022-05-18 14:30:00,17.12,17.12,16.8,16.845,29477
2022-05-18 15:30:00,16.845,17.06,16.84,16.97,47181
2022-05-19 09:30:00,16.5,17.06,16.5,16.68,29116
2022-05-19 10:30:00,16.7209,17.09,16.68,17.01,20531
2022-05-19 11:30:00,17.015,17.19,16.87,16.961,77808
2022-05-19 12:30:00,17.0,17.03,16.58,16.76,18707
2022-05-19 13:30:00,16.73,16.9399,16.5593,16.775,30894
2022-05-19 14:30:00,16.75,16.96,16.61,16.61,31179
2022-05-19 15:30:00,16.58,16.7883,16.55,16.61,43676
2022-07-25 09:30:00,13.24,13.4,12.92,13.34,21220
2022-07-25 10:30:00,13.35,13.69,13.28,13.6406,16344
2022-07-25 11:30:00,13.65,13.7321,13.6,13.63,11042
2022-07-25 12:30:00,13.67,13.7982,13.62,13.62,10046
2022-07-25 13:30:00,13.62,13.77,13.61,13.745,11926
2022-07-25 14:30:00,13.75,13.84,13.67,13.77,23290
2022-07-25 15:30:00,13.765,13.88,13.74,13.87,44148
2022-07-26 09:30:00,13.91,14.17,13.66,13.71,32734
2022-07-26 10:30:00,13.74,13.84,13.69,13.71,14063
2022-07-26 11:30:00,13.718,13.76,13.61,13.6272,13401
2022-07-26 12:30:00,13.65,13.84,13.64,13.84,11375
2022-07-26 13:30:00,13.85,13.96,13.76,13.8,6517
2022-07-26 14:30:00,13.78,13.78,13.7,13.71,11391
2022-07-26 15:30:00,13.71,13.79,13.71,13.75,20282
2022-07-27 09:30:00,13.83,13.9099,13.635,13.795,8296
2022-07-27 10:30:00,13.81,14.115,13.8,14.025,13600
2022-07-27 11:30:00,14.02,14.0799,13.94,13.97,7632
2022-07-27 12:30:00,13.995,14.03,13.83,13.83,25019
2022-07-27 13:30:00,13.82,14.11,13.81,14.04,16406
2022-07-27 14:30:00,14.0392,14.27,13.955,14.18,51956
2022-07-27 15:30:00,14.16,14.25,14.13,14.19,53862
2022-07-28 09:30:00,14.43,14.62,14.08,14.1324,23522
2022-07-28 10:30:00,14.04,14.45,14.04,14.45,7455
2022-07-28 11:30:00,14.42,14.58,14.39,14.51,18275
2022-07-28 12:30:00,14.51,14.58,14.47,14.49,21821
2022-07-28 13:30:00,14.5,14.5199,14.44,14.45,62782
2022-07-28 14:30:00,14.44,14.57,14.32,14.46,129687
2022-07-28 15:30:00,14.46,14.49,14.29,14.34,117437
2022-07-29 09:30:00,14.62,15.02,14.56,14.9,60347
2022-07-29 10:30:00,14.89,14.94,14.54,14.615,61917
2022-07-29 11:30:00,14.58,14.6999,14.35,14.67,43676
2022-07-29 12:30:00,14.66,14.87,14.59,14.85,70974
2022-07-29 13:30:00,14.85,14.95,14.59,14.91,90404
2022-07-29 14:30:00,14.91,15.0,14.7,14.82,119024
2022-07-29 15:30:00,14.835,14.845,14.45,14.61,379125
2022-08-01 09:30:00,14.28,14.5305,13.7901,14.02,72252
2022-08-01 10:30:00,14.06,14.44,13.91,13.93,133147
2022-08-01 11:30:00,13.93,14.23,13.86,14.08,40949
2022-08-01 12:30:00,14.08,14.0845,13.8,13.83,45459
2022-08-01 13:30:00,13.83,13.9,13.78,13.88,31750
2022-08-01 14:30:00,13.87,13.93,13.76,13.93,65498
2022-08-01 15:30:00,13.9,13.96,13.79,13.85,52127
2022-08-02 09:30:00,13.87,14.17,13.71,13.78,39425
2022-08-02 10:30:00,13.83,13.83,13.6,13.72,19804
2022-08-02 11:30:00,13.710758,13.82,13.7,13.765,9333
2022-08-02 12:30:00,13.78,13.82,13.7,13.730979,20133
2022-08-02 13:30:00,13.7,13.7,13.52,13.66,22275
2022-08-02 14:30:00,13.62,13.81,13.61,13.81,18257
2022-08-02 15:30:00,13.788934,13.82,13.73,13.77,45142
2022-08-03 09:30:00,13.81,13.8945,13.42,13.47,19448
2022-08-03 10:30:00,13.47,13.49,12.96,13.1,20455
2022-08-03 11:30:00,13.1,13.16,13.08,13.135,27948
2022-08-03 12:30:00,13.1382,13.17,12.9604,13.09,29886
2022-08-03 13:30:00,13.0993,13.32,13.09,13.26,8097
2022-08-03 14:30:00,13.23,13.26,13.15,13.2,19728
2022-08-03 15:30:00,13.2,13.31,13.1,13.15,39757
2022-08-04 09:30:00,12.92,13.18,12.6,13.14,30512
2022-08-04 10:30:00,13.0216,13.08,12.77,12.95,39671
2022-08-04 11:30:00,12.95,13.06,12.83,12.99,23179
2022-08-04 12:30:00,13.02,13.1,12.97,13.04,10127
2022-08-04 13:30:00,13.04,13.11,13.01,13.08,10664
2022-08-04 14:30:00,13.0856,13.14,12.95,13.03,19547
2022-08-04 15:30:00,13.03,13.1099,12.945,12.99,119314
2022-08-05 09:30:00,12.72,13.58,12.72,13.57,21340
2022-08-05 10:30:00,13.599,13.69,13.48,13.52,29467
2022-08-05 11:30:00,13.49,13.66,13.48,13.64,8102
2022-08-05 12:30:00,13.64,13.75,13.63,13.64,9466
2022-08-05 13:30:00,13.6219,13.7,13.59,13.59,6859
2022-08-05 14:30:00,13.59,13.68,13.54,13.66,13287
2022-08-05 15:30:00,13.66,13.69,13.57,13.6,24193
2022-08-08 09:30:00,13.64,13.7799,13.215,13.44,31471
2022-08-08 10:30:00,13.44,13.6914,13.41,13.66,8912
2022-08-08 11:30:00,13.665,13.67,13.41,13.437,8205
2022-08-08 12:30:00,13.445,13.54,13.43,13.43,10713
2022-08-08 13:30:00,13.425,13.56,13.4,13.52,13915
2022-08-08 14:30:00,13.53,13.73,13.48,13.7,17132
2022-08-08 15:30:00,13.7,13.72,13.54,13.59,43444
2022-08-09 09:30:00,13.66,13.94,13.6,13.81,26342
2022-08-09 10:30:00,13.81,13.88,13.62,13.635,17423
2022-08-09 11:30:00,13.62,13.64,13.55,13.61,20281
2022-08-09 12:30:00,13.58,13.63,13.48,13.6,16042
2022-08-09 13:30:00,13.6,13.72,13.6,13.65,19637
2022-08-09 14:30:00,13.65,13.68,13.54,13.665,35670
2022-08-09 15:30:00,13.665,13.72,13.57,13.65,81081
2022-08-10 09:30:00,13.79,14.27,13.57,13.675,74296
2022-08-10 10:30:00,13.68,14.2,13.645,14.1665,31754
2022-08-10 11:30:00,14.19,14.43,14.1672,14.355,28539
2022-08-10 12:30:00,14.33,14.54,14.31,14.51,30259
2022-08-10 13:30:00,14.515,14.58,14.2,14.22,40283
2022-08-10 14:30:00,14.24,14.3,14.15,14.21,31759
2022-08-10 15:30:00,14.23,14.45,14.21,14.42,58583
2022-08-11 09:30:00,15.0,15.74,15.0,15.6,133234
2022-08-11 10:30:00,15.6,15.82,15.54,15.775,55781
2022-08-11 11:30:00,15.7969,16.02,15.76,16.0,60450
2022-08-11 12:30:00,15.985,16.0,15.8,15.87,41805
2022-08-11 13:30:00,15.88,15.95,15.76,15.91,30135
2022-08-11 14:30:00,15.93,15.95,15.76,15.79,71608
2022-08-11 15:30:00,15.8,15.86,15.73,15.73,63569
2022-10-31 09:30:00,13.37,13.7299,13.29,13.63,85927
2022-10-31 10:30:00,13.61,13.89,13.58,13.6,57865
2022-10-31 11:30:00,13.58,13.63,13.33,13.39,33546
2022-10-31 12:30:00,13.39,13.46,13.33,13.46,16782
2022-10-31 13:30:00,13.45,13.7,13.45,13.69,21502
2022-10-31 14:30:00,13.675,13.82,13.675,13.805,23971
2022-10-31 15:30:00,13.805,13.92,13.76,13.81,60613
2022-11-01 09:30:00,14.1,14.39,13.9,14.3001,97846
2022-11-01 10:30:00,14.34,14.525,14.17,14.525,87371
2022-11-01 11:30:00,14.525,14.56,14.05,14.44,79815
2022-11-01 12:30:00,14.44,14.73,14.1,14.69,130594
2022-11-01 13:30:00,14.695,14.75,14.52,14.61,139573
2022-11-01 14:30:00,14.61,14.83,14.5699,14.605,180319
2022-11-01 15:30:00,14.605,14.64,14.42,14.435,253917
2022-11-02 09:30:00,14.39,14.4099,13.49,13.79,61088
2022-11-02 10:30:00,13.78,14.18,13.72,14.1157,18527
2022-11-02 11:30:00,14.1216,14.2,14.06,14.09,15219
2022-11-02 12:30:00,14.09,14.15,13.96,13.9662,13051
2022-11-02 13:30:00,13.99,14.42,13.92,14.41,26706
2022-11-02 14:30:00,14.41,14.48,13.72,13.78,45676
2022-11-02 15:30:00,13.75,13.82,13.66,13.73,48279
2022-11-03 09:30:00,13.51,13.89,13.48,13.63,36577
2022-11-03 10:30:00,13.63,13.99,13.57,13.96,38923
2022-11-03 11:30:00,13.93,13.96,13.75,13.88,28535
2022-11-03 12:30:00,13.88,13.93,13.78,13.9,21110
2022-11-03 13:30:00,13.895536,13.98,13.78,13.8,36571
