bar_start,open,high,low,close,volume
2021-01-21 09:30:00,4.2,4.212,4.14,4.1548,4115
2021-01-21 10:30:00,4.14,4.15,4.0327,4.09,18198
2021-01-21 11:30:00,4.09,4.13,4.08,4.125,1730
2021-01-21 12:30:00,4.1,4.13,4.09,4.09,1538
2021-01-21 13:30:00,4.11,4.11,4.02,4.06,5368
2021-01-21 14:30:00,4.05,4.08,4.03,4.08,5063
2021-01-21 15:30:00,4.04,4.08,4.02,4.02,7096
2021-01-22 09:30:00,4.02,4.0697,3.98,4.0445,3352
2021-01-22 10:30:00,4.01,4.07,4.01,4.05,10473
2021-01-22 11:30:00,4.0598,4.1,4.04,4.04,7696
2021-01-22 12:30:00,4.07,4.07,4.04,4.055,870
2021-01-22 13:30:00,4.05,4.05,3.99,4.03,6222
2021-01-22 14:30:00,4.03,4.06,4.03,4.06,613
2021-01-22 15:30:00,4.06,4.08,4.0425,4.05,2035
2021-01-25 09:30:00,4.13,4.18,4.0899,4.17,11037
2021-01-25 10:30:00,4.18,4.18,3.975,4.03,13500
2021-01-25 11:30:00,4.0203,4.15,4.02,4.1243,13691
2021-01-25 12:30:00,4.14,4.15,4.1,4.15,2006
2021-01-25 13:30:00,4.15,4.15,4.09,4.09,7614
2021-01-25 14:30:00,4.11,4.13,4.1,4.13,2610
2021-01-25 15:30:00,4.13,4.15,4.09,4.12,9907
2021-01-26 09:30:00,4.14,4.18,4.11,4.11,13866
2021-01-26 10:30:00,4.1078,4.14,4.07,4.0701,3293
2021-01-26 11:30:00,4.0978,4.0999,3.99,4.0,18144
2021-01-26 12:30:00,4.02,4.06,4.01,4.06,4545
2021-01-26 13:30:00,4.02,4.09,4.01,4.0598,5064
2021-01-26 14:30:00,4.0501,4.0538,4.03,4.04,1627
2021-01-26 15:30:00,4.04,4.07,4.01,4.01,6238
2021-01-27 09:30:00,4.0,4.01,3.87,3.97,21971
2021-01-27 10:30:00,3.945,3.98,3.92,3.97,4655
2021-01-27 11:30:00,3.96,3.98,3.94,3.9622,9024
2021-01-27 12:30:00,3.99,4.01,3.9639,3.99,6483
2021-01-27 13:30:00,3.9654,4.0,3.9654,3.97,2082
2021-01-27 14:30:00,3.97,3.9869,3.94,3.9592,12930
2021-01-27 15:30:00,3.9511,3.99,3.94,3.99,11939
2021-01-28 09:30:00,3.97,3.99,3.93,3.96,7182
2021-01-28 10:30:00,3.94,3.9599,3.94,3.9599,8252
2021-01-28 11:30:00,3.9402,3.99,3.94,3.94,9855
2021-01-28 12:30:00,3.9401,3.99,3.94,3.98,1063
2021-01-28 13:30:00,3.9407,4.0,3.94,3.94,6900
2021-01-28 14:30:00,3.94,4.0,3.94,3.9601,6614
2021-01-28 15:30:00,3.97,4.0,3.91,3.97,6751
2021-01-29 09:30:00,4.02,4.02,3.9,3.93,20831
2021-01-29 10:30:00,3.95,4.0009,3.92,3.93,9690
2021-01-29 11:30:00,3.93,4.0,3.93,3.97,1559
2021-01-29 12:30:00,3.9501,3.98,3.91,3.92,13984
2021-01-29 13:30:00,3.97,3.97,3.92,3.9526,4817
2021-01-29 14:30:00,3.92,3.97,3.92,3.95,6203
2021-01-29 15:30:00,3.94,3.95,3.91,3.91,1990
2021-02-01 09:30:00,3.97,3.97,3.84,3.841,17790
2021-02-01 10:30:00,3.85,3.86,3.81,3.86,18002
