bar_start,open,high,low,close,volume
2021-01-26 09:30:00,92.37,92.95,90.99,91.3209,2045585
2021-01-26 10:30:00,91.3255,92.73,90.1679,90.4987,986801
2021-01-26 11:30:00,90.48,95.0,89.15,89.96,807955
2021-01-26 12:30:00,89.96,90.04,89.6861,89.88,610915
2021-01-26 13:30:00,89.9075,90.09,89.53,89.63,710959
2021-01-26 14:30:00,89.63,92.27,89.3,89.71,802664
2021-01-26 15:30:00,89.7,89.71,89.26,89.37,1013761
2021-01-27 09:30:00,87.56,88.54,86.7128,88.24,2291644
2021-01-27 10:30:00,88.27,89.5,88.14,89.465,1319608
2021-01-27 11:30:00,89.49,90.37,89.2794,89.85,1134821
2021-01-27 12:30:00,89.86,90.2299,89.6203,90.03,659577
2021-01-27 13:30:00,90.03,90.06,88.8802,88.9691,825573
2021-01-27 14:30:00,88.97,89.06,88.13,88.35,1167054
2021-01-27 15:30:00,88.34,88.65,87.92,88.26,1452325
2021-01-28 09:30:00,88.4,90.15,88.24,89.13,1470878
2021-01-28 10:30:00,89.1298,89.74,88.6401,88.96,949471
2021-01-28 11:30:00,88.97,89.66,88.72,89.49,774327
2021-01-28 12:30:00,89.5,89.54,88.79,89.0,639392
2021-01-28 13:30:00,88.99,89.59,88.97,89.2682,1062724
2021-01-28 14:30:00,89.27,89.47,89.01,89.2,818955
2021-01-28 15:30:00,89.19,89.62,88.93,88.93,1183709
2021-01-29 09:30:00,86.42,87.3,85.23,87.1001,3426877
2021-01-29 10:30:00,87.1198,87.34,86.17,86.3,1380672
2021-01-29 11:30:00,86.28,89.02,85.35,85.45,1395648
2021-01-29 12:30:00,85.45,85.8,84.92,85.41,1404417
2021-01-29 13:30:00,85.41,85.64,85.07,85.1209,1137395
2021-01-29 14:30:00,85.11,86.21,84.97,85.58,1222888
2021-01-29 15:30:00,85.5799,85.84,84.92,85.15,1729665
2021-02-01 09:30:00,86.13,86.45,84.57,84.89,1800706
2021-02-01 10:30:00,84.88,85.89,84.8201,85.75,924239
2021-02-01 11:30:00,85.74,92.21,85.0013,85.64,946033
2021-02-01 12:30:00,85.64,86.09,85.55,86.0375,804442
2021-02-01 13:30:00,86.0301,86.77,86.0182,86.68,846401
2021-02-01 14:30:00,86.6791,87.31,86.5218,86.545,955687
2021-02-01 15:30:00,86.6356,86.74,86.37,86.44,1023062
2021-02-02 09:30:00,88.19,88.37,86.52,87.36,2175638
2021-02-02 10:30:00,87.37,88.37,87.2,87.97,1390482
