bar_start,open,high,low,close,volume
2021-01-26 09:30:00,29.32,29.44,28.88,29.1,322741
2021-01-26 10:30:00,29.1028,29.39,29.05,29.22,261358
2021-01-26 11:30:00,29.2,29.25,29.065,29.21,167507
2021-01-26 12:30:00,29.21,29.29,29.15,29.22,153079
2021-01-26 13:30:00,29.2083,29.3,29.08,29.2529,230169
2021-01-26 14:30:00,29.25,29.45,29.24,29.4,141148
2021-01-26 15:30:00,29.4,29.55,29.2802,29.34,247905
2021-01-27 09:30:00,28.62,29.185,28.2,29.06,538211
2021-01-27 10:30:00,29.06,29.21,28.91,28.99,291123
2021-01-27 11:30:00,28.99,29.075,28.64,28.72,315024
2021-01-27 12:30:00,28.72,28.79,28.52,28.715,162004
2021-01-27 13:30:00,28.715,28.82,28.59,28.69,287627
2021-01-27 14:30:00,28.685,28.93,28.62,28.7,565480
2021-01-27 15:30:00,28.7,28.7,28.26,28.48,507796
2021-01-28 09:30:00,28.93,29.44,28.46,28.66,470027
2021-01-28 10:30:00,28.69,28.75,28.16,28.3929,531791
2021-01-28 11:30:00,28.4,28.84,28.38,28.75,218849
2021-01-28 12:30:00,28.75,28.81,28.53,28.76,152853
2021-01-28 13:30:00,28.74,29.48,28.71,29.42,625232
2021-01-28 14:30:00,29.43,29.69,29.3,29.44,274949
2021-01-28 15:30:00,29.455,29.62,29.22,29.24,553443
2021-01-29 09:30:00,28.97,29.11,28.52,28.9,298292
2021-01-29 10:30:00,28.905,29.08,28.67,28.77,303420
2021-01-29 11:30:00,28.78,28.83,28.42,28.48,204280
2021-01-29 12:30:00,28.5,28.58,28.17,28.5601,308370
2021-01-29 13:30:00,28.58,28.5899,28.25,28.27,213501
2021-01-29 14:30:00,28.265,28.47,28.16,28.41,214522
2021-01-29 15:30:00,28.4,28.51,28.17,28.17,374608
2021-02-01 09:30:00,28.5,28.99,27.7201,28.025,568937
2021-02-01 10:30:00,28.04,28.469,28.04,28.4201,525191
2021-02-01 11:30:00,28.44,28.63,28.29,28.4517,662798
2021-02-01 12:30:00,28.49,29.31,28.4,28.9001,1748005
2021-02-01 13:30:00,28.91,29.0,28.57,28.63,253520
2021-02-01 14:30:00,28.62,28.8131,27.72,27.77,1572323
2021-02-01 15:30:00,27.77,27.9003,24.16,25.49,7153550
2021-02-02 09:30:00,26.44,26.44,25.1,25.88,2373199
2021-02-02 10:30:00,25.88,26.02,25.46,25.975,1052651
2021-02-02 11:30:00,25.97,25.9803,25.41,25.62,666889
2021-02-02 12:30:00,25.605,25.9,25.515,25.68,596562
2021-02-02 13:30:00,25.6775,25.75,25.57,25.61,658286
2021-02-02 14:30:00,25.605,25.775,25.59,25.7,586608
2021-02-02 15:30:00,25.6917,25.82,25.64,25.66,855761
2021-02-03 09:30:00,25.68,25.85,25.25,25.39,675693
2021-02-03 10:30:00,25.3672,26.09,25.3672,25.95,730171
2021-02-03 11:30:00,25.96,25.9907,25.74,25.85,327151
2021-02-03 12:30:00,25.855,25.92,25.78,25.83,236143
2021-02-03 13:30:00,25.82,25.8626,25.65,25.68,286686
2021-02-03 14:30:00,25.67,25.745,25.405,25.445,534784
2021-02-03 15:30:00,25.445,25.64,25.43,25.61,532232
2021-02-04 09:30:00,25.64,25.93,25.38,25.76,458586
2021-02-04 10:30:00,25.77,25.94,25.57,25.67,322680
2021-02-04 11:30:00,25.68,25.9,25.64,25.88,212388
2021-02-04 12:30:00,25.8827,26.005,25.82,25.96,273927
2021-02-04 13:30:00,25.9601,26.205,25.9,26.185,279254
2021-02-04 14:30:00,26.185,26.355,26.05,26.16,582331
2021-02-04 15:30:00,26.1309,26.5,26.1309,26.44,889233
2021-02-05 09:30:00,26.44,26.65,25.5782,25.7971,1548685
2021-02-05 10:30:00,25.79,26.03,25.735,25.93,643140
2021-02-05 11:30:00,25.9428,26.12,25.82,26.05,445363
2021-02-05 12:30:00,26.093,26.31,26.06,26.125,471439
2021-02-05 13:30:00,26.119,26.145,25.88,25.94,302467
2021-02-05 14:30:00,25.9487,25.9999,25.77,25.88,392464
2021-02-05 15:30:00,25.8636,26.08,25.85,25.93,685545
2021-02-08 09:30:00,26.23,26.42,25.3,25.44,771883
2021-02-08 10:30:00,25.4246,25.455,24.86,25.3,823400
2021-02-08 11:30:00,25.3,25.54,25.09,25.5199,432148
2021-02-08 12:30:00,25.52,25.6,25.4005,25.42,343673
2021-02-08 13:30:00,25.41,25.47,25.1438,25.19,279028
2021-02-08 14:30:00,25.1815,25.57,25.14,25.56,470026
2021-02-08 15:30:00,25.56,25.57,25.36,25.47,556114
2021-02-09 09:30:00,25.35,26.01,25.19,25.74,646173
2021-02-09 10:30:00,25.735,25.79,25.57,25.68,240669
2021-02-09 11:30:00,25.6829,26.08,25.6071,26.08,287740
2021-02-09 12:30:00,26.07,26.46,26.07,26.4415,429148
2021-02-09 13:30:00,26.445,26.68,26.42,26.43,381447
2021-02-09 14:30:00,26.43,26.7,26.42,26.44,307715
2021-02-09 15:30:00,26.445,26.6,26.33,26.43,509365
2021-02-10 09:30:00,26.51,26.57,25.88,26.0599,446009
2021-02-10 10:30:00,26.06,26.09,25.615,25.9183,313062
2021-02-10 11:30:00,25.92,26.01,25.8,25.87,197065
2021-02-10 12:30:00,25.87,26.01,25.82,25.93,161721
2021-02-10 13:30:00,25.935,25.95,25.645,25.74,244724
2021-02-10 14:30:00,25.73,25.79,25.59,25.7,278292
2021-02-10 15:30:00,25.6874,25.73,25.6,25.72,317864
2021-02-11 09:30:00,25.66,26.15,25.43,25.91,383752
2021-02-11 10:30:00,25.9088,26.03,25.76,25.8592,151330
2021-02-11 11:30:00,25.89,25.94,25.5,25.5,149249
2021-02-11 12:30:00,25.51,25.74,25.384,25.7199,208989
2021-02-11 13:30:00,25.72,25.77,25.6,25.65,138208
2021-02-11 14:30:00,25.65,25.72,25.51,25.5201,183271
2021-02-11 15:30:00,25.5201,25.64,25.52,25.61,265747
2021-02-12 09:30:00,26.19,26.31,25.59,25.8,556756
2021-02-12 10:30:00,25.7578,25.88,25.55,25.65,512183
2021-02-12 11:30:00,25.6629,25.86,25.56,25.845,419881
2021-02-12 12:30:00,25.8134,25.89,25.6,25.62,234412
2021-02-12 13:30:00,25.6291,25.63,25.51,25.57,171137
2021-02-12 14:30:00,25.5475,25.62,25.53,25.59,214133
2021-02-12 15:30:00,25.59,25.82,25.585,25.79,388946
2021-04-27 09:30:00,31.61,31.81,31.17,31.76,227432
2021-04-27 10:30:00,31.76,31.99,31.75,31.82,117058
2021-04-27 11:30:00,31.83,31.88,31.74,31.78,70330
2021-04-27 12:30:00,31.79,31.8,31.635,31.73,77405
2021-04-27 13:30:00,31.735,31.8127,31.66,31.75,61705
2021-04-27 14:30:00,31.74,31.86,31.73,31.83,89293
2021-04-27 15:30:00,31.82,31.95,31.8,31.9,215415
2021-04-28 09:30:00,32.11,32.24,31.86,31.94,205702
2021-04-28 10:30:00,31.935,32.08,31.87,31.96,104088
2021-04-28 11:30:00,31.96,32.105,31.9,31.9683,146705
2021-04-28 12:30:00,31.95,32.0,31.83,31.8879,138433
2021-04-28 13:30:00,31.88,31.9,31.71,31.82,144923
2021-04-28 14:30:00,31.8248,31.905,31.74,31.85,190963
2021-04-28 15:30:00,31.84,31.895,31.79,31.88,351431
2021-04-29 09:30:00,32.03,33.39,31.97,33.1601,1159436
2021-04-29 10:30:00,33.2642,33.44,33.02,33.315,435572
2021-04-29 11:30:00,33.315,33.38,33.05,33.23,370810
2021-04-29 12:30:00,33.22,33.35,33.07,33.335,278399
2021-04-29 13:30:00,33.34,33.58,33.27,33.565,172858
2021-04-29 14:30:00,33.57,33.63,33.31,33.34,212896
2021-04-29 15:30:00,33.34,33.54,33.325,33.43,339745
2021-04-30 09:30:00,33.07,33.29,32.82,32.86,362602
2021-04-30 10:30:00,32.87,33.04,32.67,33.01,292999
2021-04-30 11:30:00,33.0,33.06,32.92,32.975,103855
2021-04-30 12:30:00,32.975,33.02,32.79,32.84,68732
2021-04-30 13:30:00,32.845,32.98,32.7,32.97,159765
2021-04-30 14:30:00,32.98,33.175,32.91,33.13,170292
2021-04-30 15:30:00,33.125,33.135,32.86,32.91,409677
2021-05-03 09:30:00,33.36,33.67,33.0,33.08,338773
2021-05-03 10:30:00,33.08,33.33,33.0297,33.07,154314
2021-05-03 11:30:00,33.045,33.35,33.02,33.316,345528
2021-05-03 12:30:00,33.3114,33.49,33.24,33.45,67309
2021-05-03 13:30:00,33.445,33.7,33.35,33.631,122019
2021-05-03 14:30:00,33.64,33.87,33.63,33.76,140512
2021-05-03 15:30:00,33.76,33.8,33.62,33.68,242979
2021-05-04 09:30:00,33.53,33.775,33.02,33.28,515060
2021-05-04 10:30:00,33.28,33.33,32.8,32.9788,194010
2021-05-04 11:30:00,32.99,33.04,32.71,32.91,149411
2021-05-04 12:30:00,32.9,32.96,32.77,32.885,238594
2021-05-04 13:30:00,32.885,33.01,32.83,32.93,404499
2021-05-04 14:30:00,32.92,32.92,32.54,32.61,260621
2021-05-04 15:30:00,32.61,32.77,32.59,32.71,559323
2021-05-05 09:30:00,32.96,33.39,32.74,33.13,875014
2021-05-05 10:30:00,33.16,33.59,33.02,33.445,129155
2021-05-05 11:30:00,33.46,33.59,33.42,33.5046,97347
2021-05-05 12:30:00,33.5164,33.55,33.37,33.51,93118
2021-05-05 13:30:00,33.51,33.66,33.5,33.65,131159
2021-05-05 14:30:00,33.65,33.75,33.48,33.52,230279
2021-05-05 15:30:00,33.52,33.79,33.51,33.74,611099
2021-05-06 09:30:00,33.82,33.86,32.86,33.01,375365
2021-05-06 10:30:00,33.03,33.31,32.9957,33.3,218758
2021-05-06 11:30:00,33.29,33.53,33.25,33.5,124976
2021-05-06 12:30:00,33.5,33.54,33.23,33.275,124278
2021-05-06 13:30:00,33.27,33.3,33.06,33.06,128816
2021-05-06 14:30:00,33.08,33.63,33.0324,33.615,296647
2021-05-06 15:30:00,33.61,33.815,33.49,33.79,386829
2021-05-07 09:30:00,33.46,34.05,33.325,33.99,319480
2021-05-07 10:30:00,33.97,34.04,33.78,33.83,172123
2021-05-07 11:30:00,33.81,34.32,33.8079,34.29,147435
2021-05-07 12:30:00,34.3,34.5,34.24,34.49,182815
2021-05-07 13:30:00,34.485,34.69,34.38,34.61,235122
2021-05-07 14:30:00,34.6125,34.71,34.48,34.53,245950
2021-05-07 15:30:00,34.54,34.64,34.47,34.49,361510
2021-05-10 09:30:00,34.44,34.9,34.3,34.7892,212246
2021-05-10 10:30:00,34.79,35.09,34.54,35.09,135364
2021-05-10 11:30:00,35.09,35.2951,35.0169,35.11,137409
2021-05-10 12:30:00,35.12,35.3,35.1,35.2,283699
2021-05-10 13:30:00,35.2,35.27,34.86,34.89,110113
2021-05-10 14:30:00,34.88,34.925,34.57,34.67,196089
2021-05-10 15:30:00,34.675,34.77,34.51,34.53,531274
2021-05-11 09:30:00,33.95,34.38,33.51,33.55,571396
2021-05-11 10:30:00,33.58,34.025,33.27,34.025,599367
2021-05-11 11:30:00,34.02,34.3,33.88,33.98,388305
2021-05-11 12:30:00,33.98,34.37,33.92,34.27,282619
2021-05-11 13:30:00,34.28,34.49,34.08,34.27,369656
2021-05-11 14:30:00,34.25,34.32,33.951,34.3,306101
2021-05-11 15:30:00,34.29,34.35,34.0,34.02,407511
2021-05-12 09:30:00,33.81,34.19,33.56,34.035,265680
2021-05-12 10:30:00,34.035,34.0912,33.74,33.83,329486
2021-05-12 11:30:00,33.815,33.84,33.31,33.51,183703
2021-05-12 12:30:00,33.52,34.38,33.33,34.06,877328
2021-05-12 13:30:00,34.0616,34.1299,33.85,34.0,737186
2021-05-12 14:30:00,34.0,34.19,33.58,33.62,654509
2021-05-12 15:30:00,33.63,33.91,33.62,33.84,664110
2021-05-13 09:30:00,33.97,34.5377,33.84,34.395,353169
2021-05-13 10:30:00,34.4,34.4799,34.2,34.33,237239
2021-05-13 11:30:00,34.33,34.64,34.175,34.64,411184
2021-05-13 12:30:00,34.635,34.99,34.5578,34.82,274518
2021-05-13 13:30:00,34.81,35.3,34.66,35.3,211294
2021-05-13 14:30:00,35.285,35.5,35.23,35.43,336889
2021-05-13 15:30:00,35.435,35.71,35.3721,35.5,580462
2021-05-14 09:30:00,35.81,36.5937,35.7,36.1699,525613
2021-05-14 10:30:00,36.16,36.55,36.16,36.52,155043
2021-05-14 11:30:00,36.515,36.68,36.49,36.59,155473
2021-05-14 12:30:00,36.61,36.68,36.5272,36.6,220331
2021-05-14 13:30:00,36.6,36.78,36.41,36.75,173549
2021-05-14 14:30:00,36.755,36.97,36.745,36.775,294098
2021-05-14 15:30:00,36.77,36.93,36.66,36.86,374597
2021-07-27 09:30:00,39.335,39.64,38.97,39.4,302174
2021-07-27 10:30:00,39.41,39.49,39.09,39.17,206967
2021-07-27 11:30:00,39.18,39.255,38.9633,39.14,135675
2021-07-27 12:30:00,39.11,39.21,38.87,38.94,77803
2021-07-27 13:30:00,38.91,39.28,38.89,39.23,80383
2021-07-27 14:30:00,39.22,39.4,39.2,39.36,90644
