bar_start,open,high,low,close,volume
2021-01-21 09:30:00,4.81,4.89,4.6185,4.67,175525
2021-01-21 10:30:00,4.68,4.79,4.63,4.74,60685
2021-01-21 11:30:00,4.71,4.77,4.6501,4.666,33463
2021-01-21 12:30:00,4.7,4.71,4.665,4.6791,8832
2021-01-21 13:30:00,4.6771,4.682,4.53,4.58,55541
2021-01-21 14:30:00,4.56,4.64,4.55,4.64,24575
2021-01-21 15:30:00,4.62,4.645,4.58,4.58,56677
2021-01-22 09:30:00,4.6,4.82,4.59,4.79,57644
2021-01-22 10:30:00,4.79,4.88,4.78,4.82,44896
2021-01-22 11:30:00,4.84,4.85,4.8,4.82,13210
2021-01-22 12:30:00,4.8,4.88,4.79,4.84,21659
2021-01-22 13:30:00,4.82,4.86,4.77,4.815,20171
2021-01-22 14:30:00,4.81,4.82,4.74,4.795,18041
2021-01-22 15:30:00,4.79,4.79,4.67,4.77,35894
2021-01-25 09:30:00,4.84,5.1,4.82,5.05,130997
2021-01-25 10:30:00,5.05,5.1,4.9,4.98,70236
2021-01-25 11:30:00,5.0,5.06,5.0,5.05,13520
2021-01-25 12:30:00,5.03,5.09,5.01,5.07,9785
2021-01-25 13:30:00,5.055,5.11,5.04,5.08,27937
2021-01-25 14:30:00,5.08,5.16,5.08,5.09,27175
2021-01-25 15:30:00,5.1,5.2,5.08,5.18,55959
2021-01-26 09:30:00,5.21,5.25,5.08,5.12,32551
2021-01-26 10:30:00,5.105,5.15,5.04,5.08,16275
2021-01-26 11:30:00,5.09,5.1,5.01,5.07,8954
2021-01-26 12:30:00,5.0619,5.1,5.03,5.065,10089
2021-01-26 13:30:00,5.07,5.09,5.04,5.0622,10919
2021-01-26 14:30:00,5.06,5.15,5.06,5.1275,16919
2021-01-26 15:30:00,5.12,5.15,5.0801,5.13,10316
2021-01-27 09:30:00,5.08,5.08,4.89,4.99,34249
2021-01-27 10:30:00,4.99,4.99,4.88,4.99,32073
