bar_start,open,high,low,close,volume
2021-01-22 09:30:00,17.0,17.12,16.8901,17.055,9690
2021-01-22 10:30:00,17.11,17.1199,16.96,16.96,6904
2021-01-22 11:30:00,16.922,17.18,16.9,16.97,5973
2021-01-22 12:30:00,16.9468,17.13,16.9468,17.05,5856
2021-01-22 13:30:00,17.1196,17.12,17.02,17.09,10315
2021-01-22 14:30:00,17.09,17.1,16.7601,16.7601,7985
2021-01-22 15:30:00,16.85,16.96,16.5601,16.9,9956
2021-01-25 09:30:00,16.76,17.08,16.2701,16.59,6064
2021-01-25 10:30:00,16.59,17.0,16.1501,16.47,5834
2021-01-25 11:30:00,16.36,16.75,16.35,16.55,5547
2021-01-25 12:30:00,16.55,16.73,16.55,16.57,4796
2021-01-25 13:30:00,16.56,16.6399,16.55,16.55,24009
2021-01-25 14:30:00,16.55,16.99,16.55,16.9,9638
2021-01-25 15:30:00,16.91,17.0999,16.47,16.7,30830
2021-01-26 09:30:00,16.93,17.0503,16.24,16.25,3363
2021-01-26 10:30:00,16.43,16.45,16.06,16.12,3373
2021-01-26 11:30:00,16.07,16.24,15.96,15.97,3193
2021-01-26 12:30:00,15.9601,16.14,15.49,15.53,6573
2021-01-26 13:30:00,15.52,15.73,15.5,15.6669,6340
2021-01-26 14:30:00,15.53,16.3629,15.51,16.05,19195
2021-01-26 15:30:00,16.12,16.25,15.9101,15.93,5309
2021-01-27 09:30:00,15.48,15.69,15.235,15.48,7017
2021-01-27 10:30:00,15.95,15.95,14.92,15.12,7197
2021-01-27 11:30:00,15.05,15.49,15.04,15.49,3325
2021-01-27 12:30:00,15.31,16.0947,15.31,15.87,3822
2021-01-27 13:30:00,15.87,15.87,15.335,15.57,1761
2021-01-27 14:30:00,15.57,15.95,15.41,15.45,3291
2021-01-27 15:30:00,15.46,16.05,15.44,15.44,5703
2021-01-28 09:30:00,15.54,16.02,14.6501,14.74,13805
2021-01-28 10:30:00,15.1305,15.1305,14.6,14.6815,9785
2021-01-28 11:30:00,14.72,14.89,14.21,14.45,20172
2021-01-28 12:30:00,14.5,14.5899,14.38,14.43,2559
2021-01-28 13:30:00,14.4,14.8899,14.25,14.63,7967
2021-01-28 14:30:00,14.85,14.88,14.62,14.74,6208
2021-01-28 15:30:00,14.78,14.89,14.59,14.68,17750
2021-01-29 09:30:00,14.55,15.0961,14.55,14.9,6499
2021-01-29 10:30:00,14.97,14.97,14.75,14.75,2266
2021-01-29 11:30:00,14.75,15.0999,14.75,14.99,4132
2021-01-29 12:30:00,14.99,15.08,14.89,15.0,2136
2021-01-29 13:30:00,15.02,15.08,14.76,14.78,2714
2021-01-29 14:30:00,14.76,15.06,14.76,14.9188,3692
2021-01-29 15:30:00,14.8,14.899,14.67,14.67,10268
2021-02-01 09:30:00,15.06,15.1899,14.5,14.9658,24183
2021-02-01 10:30:00,14.86,14.86,14.4,14.75,9095
2021-02-01 11:30:00,14.62,14.75,14.25,14.47,8378
2021-02-01 12:30:00,14.46,14.57,14.3,14.47,7863
2021-02-01 13:30:00,14.5272,14.7279,14.31,14.57,6388
2021-02-01 14:30:00,14.59,14.9399,14.5821,14.815,5206
2021-02-01 15:30:00,14.71,15.0,14.71,14.99,10879
2021-02-02 09:30:00,15.05,15.18,14.78,14.79,4475
2021-02-02 10:30:00,14.94,15.07,14.785,15.01,5437
2021-02-02 11:30:00,14.96,15.26,14.95,14.97,5634
2021-02-02 12:30:00,14.955,15.08,14.76,14.81,4600
2021-02-02 13:30:00,14.89,15.0,14.77,14.89,5649
2021-02-02 14:30:00,14.87,15.13,14.86,15.04,3884
2021-02-02 15:30:00,14.992,15.28,14.992,15.16,13036
2021-02-03 09:30:00,15.1,15.25,15.0,15.1,6967
2021-02-03 10:30:00,15.11,15.165,14.8511,14.86,4078
2021-02-03 11:30:00,14.87,15.01,14.87,14.9,2278
2021-02-03 12:30:00,14.91,15.03,14.87,15.03,5072
2021-02-03 13:30:00,15.01,15.39,15.01,15.39,4589
2021-02-03 14:30:00,15.45,15.48,15.3,15.48,10725
2021-02-03 15:30:00,15.48,15.7699,15.41,15.57,13425
2021-02-04 09:30:00,15.47,15.8,15.07,15.465,3554
2021-02-04 10:30:00,15.24,15.3343,15.12,15.13,2448
2021-02-04 11:30:00,15.13,15.3,15.12,15.21,3837
2021-02-04 12:30:00,15.273,15.2992,15.1654,15.2984,1395
2021-02-04 13:30:00,15.22,15.3,15.16,15.26,1288
2021-02-04 14:30:00,15.23,15.42,15.22,15.3115,3282
2021-02-04 15:30:00,15.31,15.64,15.2798,15.42,9701
2021-02-05 09:30:00,15.54,15.5969,15.19,15.285,2492
2021-02-05 10:30:00,15.29,15.35,14.9834,15.04,2303
2021-02-05 11:30:00,15.04,15.35,15.02,15.11,4167
2021-02-05 12:30:00,15.11,15.18,14.95,15.04,2590
2021-02-05 13:30:00,15.09,15.09,14.86,14.96,3322
2021-02-05 14:30:00,14.87,15.11,14.81,15.09,4482
2021-02-05 15:30:00,14.95,15.14,14.9001,15.01,7663
2021-02-08 09:30:00,15.18,15.2999,15.1,15.27,5858
2021-02-08 10:30:00,15.28,15.84,15.18,15.82,8742
2021-02-08 11:30:00,15.83,15.97,15.38,15.61,7625
2021-02-08 12:30:00,15.5,15.62,15.41,15.62,2250
2021-02-08 13:30:00,15.435,15.62,15.43,15.575,1726
2021-02-08 14:30:00,15.53,15.63,15.275,15.57,6621
2021-02-08 15:30:00,15.52,15.73,15.4946,15.69,8756
2021-02-09 09:30:00,15.75,15.81,15.13,15.22,2925
2021-02-09 10:30:00,15.215,15.37,15.14,15.367,3639
2021-02-09 11:30:00,15.37,15.4435,15.325,15.38,795
2021-02-09 12:30:00,15.38,15.5,15.3,15.445,1423
2021-02-09 13:30:00,15.445,15.49,15.22,15.23,5015
2021-02-09 14:30:00,15.23,15.37,15.22,15.3,4601
2021-02-09 15:30:00,15.335,15.3599,15.15,15.28,10811
2021-02-10 09:30:00,15.33,15.63,15.22,15.47,5773
2021-02-10 10:30:00,15.33,15.59,15.33,15.44,3277
2021-02-10 11:30:00,15.495,15.68,15.43,15.68,2941
2021-02-10 12:30:00,15.68,15.97,15.62,15.89,7766
2021-02-10 13:30:00,15.87,15.98,15.54,15.55,3216
2021-02-10 14:30:00,15.55,15.84,15.37,15.37,2291
2021-02-10 15:30:00,15.37,15.4999,15.2,15.26,8344
2021-04-23 09:30:00,13.68,13.9219,13.5,13.81,8938
2021-04-23 10:30:00,13.75,13.8,13.54,13.6,3130
