bar_start,open,high,low,close,volume
2021-01-28 09:30:00,19.38,19.71,19.11,19.16,56430
2021-01-28 10:30:00,19.17,19.3,18.95,19.1,60274
2021-01-28 11:30:00,19.1,19.3,19.08,19.277,33394
2021-01-28 12:30:00,19.28,19.43,19.23,19.41,44910
2021-01-28 13:30:00,19.41,19.55,19.41,19.44,43375
2021-01-28 14:30:00,19.46,19.52,19.3,19.32,27908
2021-01-28 15:30:00,19.31,19.49,19.31,19.42,66278
2021-01-29 09:30:00,19.34,19.71,19.19,19.58,68327
2021-01-29 10:30:00,19.61,19.65,19.38,19.4,26250
2021-01-29 11:30:00,19.39,19.4,19.11,19.11,34152
2021-01-29 12:30:00,19.115,19.17,18.93,19.13,43187
2021-01-29 13:30:00,19.13,19.2,18.98,19.0,34757
2021-01-29 14:30:00,18.98,19.13,18.9,19.09,27630
2021-01-29 15:30:00,19.1041,19.1401,18.92,19.01,82357
2021-02-01 09:30:00,19.2,19.65,19.12,19.24,75043
2021-02-01 10:30:00,19.25,19.33,19.16,19.3,38749
2021-02-01 11:30:00,19.28,19.34,19.11,19.16,29658
2021-02-01 12:30:00,19.16,19.36,19.1511,19.36,52046
2021-02-01 13:30:00,19.36,19.62,19.36,19.58,80960
2021-02-01 14:30:00,19.58,19.65,19.53,19.54,30240
2021-02-01 15:30:00,19.53,19.65,19.53,19.59,59394
2021-02-02 09:30:00,19.42,19.8899,19.25,19.69,233900
2021-02-02 10:30:00,19.68,19.89,19.5,19.78,154719
2021-02-02 11:30:00,19.76,19.76,19.5,19.51,79836
2021-02-02 12:30:00,19.51,19.5111,19.07,19.11,67699
2021-02-02 13:30:00,19.12,19.13,18.99,19.06,54445
2021-02-02 14:30:00,19.06,19.08,18.86,18.952,97940
2021-02-02 15:30:00,18.97,19.0,18.87,18.905,134327
2021-02-03 09:30:00,19.51,19.77,19.12,19.68,158753
2021-02-03 10:30:00,19.66,20.05,19.43,19.77,91222
2021-02-03 11:30:00,19.78,19.96,19.78,19.86,41604
2021-02-03 12:30:00,19.86,19.98,19.72,19.76,25894
2021-02-03 13:30:00,19.73,19.86,19.68,19.83,34264
2021-02-03 14:30:00,19.8447,19.95,19.79,19.81,30738
2021-02-03 15:30:00,19.81,19.9189,19.81,19.86,53015
2021-02-04 09:30:00,20.03,20.03,19.36,19.48,92537
2021-02-04 10:30:00,19.51,20.18,19.46,20.16,102423
2021-02-04 11:30:00,20.15,20.56,20.11,20.47,91161
2021-02-04 12:30:00,20.5008,20.64,20.39,20.59,50553
2021-02-04 13:30:00,20.6,20.67,20.47,20.49,68725
2021-02-04 14:30:00,20.49,20.495,20.12,20.25,105351
2021-02-04 15:30:00,20.25,20.31,20.19,20.22,216483
2021-02-05 09:30:00,20.28,20.62,20.03,20.355,85878
2021-02-05 10:30:00,20.36,20.47,20.24,20.35,40595
2021-02-05 11:30:00,20.33,20.33,20.14,20.205,22148
2021-02-05 12:30:00,20.19,20.27,20.07,20.115,59712
2021-02-05 13:30:00,20.11,20.14,20.05,20.0989,31149
2021-02-05 14:30:00,20.0922,20.145,20.05,20.12,42691
2021-02-05 15:30:00,20.1213,20.23,20.12,20.22,72832
2021-02-08 09:30:00,20.49,20.49,20.1,20.35,94427
2021-02-08 10:30:00,20.35,20.45,20.25,20.32,28987
2021-02-08 11:30:00,20.32,20.55,20.25,20.51,29355
2021-02-08 12:30:00,20.51,20.54,20.47,20.53,17135
2021-02-08 13:30:00,20.54,20.59,20.5102,20.55,47364
2021-02-08 14:30:00,20.53,20.55,20.4,20.41,50053
2021-02-08 15:30:00,20.41,20.42,20.31,20.32,130215
2021-02-09 09:30:00,20.2,20.25,19.855,20.0,92401
2021-02-09 10:30:00,20.01,20.05,19.935,20.0,35764
2021-02-09 11:30:00,20.0,20.14,19.99,20.14,26264
2021-02-09 12:30:00,20.14,20.225,20.07,20.08,25142
2021-02-09 13:30:00,20.09,20.335,20.055,20.335,23471
2021-02-09 14:30:00,20.33,20.38,20.25,20.26,29756
2021-02-09 15:30:00,20.26,20.3,20.19,20.19,62445
2021-02-10 09:30:00,20.31,20.52,20.2,20.35,93441
2021-02-10 10:30:00,20.37,20.52,20.2,20.4322,46104
2021-02-10 11:30:00,20.4222,20.51,20.37,20.4,93995
2021-02-10 12:30:00,20.4,20.52,20.34,20.44,53754
2021-02-10 13:30:00,20.445,20.5,20.41,20.45,69072
2021-02-10 14:30:00,20.45,20.51,20.44,20.45,125688
2021-02-10 15:30:00,20.46,20.485,20.37,20.47,88844
2021-02-11 09:30:00,20.56,20.59,20.36,20.4,50947
2021-02-11 10:30:00,20.39,20.39,20.19,20.28,84400
2021-02-11 11:30:00,20.3,20.3,19.93,19.93,121398
2021-02-11 12:30:00,19.94,20.17,19.94,20.14,123464
2021-02-11 13:30:00,20.13,20.18,20.08,20.13,133905
2021-02-11 14:30:00,20.13,20.1305,20.025,20.08,105732
2021-02-11 15:30:00,20.08,20.12,20.06,20.1,196435
2021-02-12 09:30:00,19.88,20.1,19.88,20.0,92319
2021-02-12 10:30:00,19.99,20.0199,19.84,19.98,75847
2021-02-12 11:30:00,19.96,20.31,19.94,20.2148,199435
2021-02-12 12:30:00,20.2,20.21,20.12,20.17,106168
2021-02-12 13:30:00,20.17,20.25,20.12,20.19,136116
2021-02-12 14:30:00,20.21,20.26,20.185,20.2,92430
2021-02-12 15:30:00,20.2,20.29,20.2,20.27,51937
2021-02-16 09:30:00,20.7,20.81,20.23,20.742,232311
2021-02-16 10:30:00,20.78,21.0,20.78,20.8822,71885
2021-02-16 11:30:00,20.86,20.98,20.6902,20.8,28521
2021-02-16 12:30:00,20.825,20.97,20.82,20.9423,34469
2021-02-16 13:30:00,20.95,21.073,20.93,21.01,38569
2021-02-16 14:30:00,21.005,21.06,20.95,21.01,49229
2021-02-16 15:30:00,21.0,21.05,20.94,20.96,85924
2021-04-27 09:30:00,25.56,26.02,25.54,25.93,74829
2021-04-27 10:30:00,25.93,25.95,25.77,25.77,26657
2021-04-27 11:30:00,25.79,25.9,25.73,25.75,35507
2021-04-27 12:30:00,25.755,25.755,25.6,25.67,34331
2021-04-27 13:30:00,25.67,25.82,25.64,25.8,23607
2021-04-27 14:30:00,25.8008,25.93,25.79,25.89,24999
2021-04-27 15:30:00,25.9,25.97,25.85,25.85,43887
2021-04-28 09:30:00,26.0,26.6,25.95,26.57,109796
2021-04-28 10:30:00,26.59,26.865,26.59,26.73,61336
2021-04-28 11:30:00,26.71,26.98,26.6817,26.95,70881
2021-04-28 12:30:00,26.95,27.14,26.92,27.04,56074
2021-04-28 13:30:00,27.036,27.15,27.01,27.07,24494
2021-04-28 14:30:00,27.08,27.0885,26.94,27.0,37075
2021-04-28 15:30:00,27.0,27.06,26.97,26.995,41410
2021-04-29 09:30:00,27.34,27.6108,27.04,27.099,112886
2021-04-29 10:30:00,27.08,27.09,26.83,27.04,51208
2021-04-29 11:30:00,27.0101,27.1,26.83,26.92,20973
2021-04-29 12:30:00,26.89,27.43,26.89,27.41,72798
2021-04-29 13:30:00,27.41,27.5,27.31,27.4899,59068
2021-04-29 14:30:00,27.49,27.76,27.45,27.715,95968
2021-04-29 15:30:00,27.71,27.76,27.57,27.64,151175
2021-04-30 09:30:00,27.99,28.46,27.1076,28.14,556143
2021-04-30 10:30:00,28.14,28.43,27.99,28.09,145214
2021-04-30 11:30:00,28.08,28.53,28.03,28.52,75708
2021-04-30 12:30:00,28.52,28.9,28.48,28.7,249344
2021-04-30 13:30:00,28.7,28.795,28.47,28.71,200700
2021-04-30 14:30:00,28.7,29.03,28.68,28.98,288418
2021-04-30 15:30:00,29.0,29.07,28.83,28.9,591196
2021-05-03 09:30:00,29.47,30.14,29.11,29.74,340982
2021-05-03 10:30:00,29.76,30.17,29.73,30.17,408961
2021-05-03 11:30:00,30.18,30.31,29.93,30.0,122844
2021-05-03 12:30:00,29.99,30.11,29.93,29.95,204096
2021-05-03 13:30:00,29.94,30.17,29.94,30.095,200582
2021-05-03 14:30:00,30.09,30.21,30.08,30.21,73894
2021-05-03 15:30:00,30.1818,30.52,30.15,30.48,165488
2021-05-04 09:30:00,30.56,30.86,29.9199,30.02,160054
2021-05-04 10:30:00,29.99,30.11,29.84,30.04,179621
2021-05-04 11:30:00,30.04,30.05,29.75,29.85,202086
2021-05-04 12:30:00,29.86,29.96,29.8,29.87,161071
2021-05-04 13:30:00,29.861,29.99,29.82,29.86,55926
2021-05-04 14:30:00,29.86,30.02,29.64,29.73,163091
2021-05-04 15:30:00,29.74,29.78,29.64,29.68,151815
2021-05-05 09:30:00,30.0,30.495,29.69,30.17,278850
2021-05-05 10:30:00,30.16,30.32,30.01,30.19,98702
2021-05-05 11:30:00,30.17,30.31,30.09,30.17,108847
2021-05-05 12:30:00,30.16,30.22,30.1,30.16,123185
2021-05-05 13:30:00,30.15,30.32,30.1,30.29,181468
2021-05-05 14:30:00,30.3,30.51,30.26,30.46,123218
2021-05-05 15:30:00,30.4602,30.59,30.42,30.49,175398
2021-05-06 09:30:00,30.64,31.13,30.64,30.93,248967
2021-05-06 10:30:00,30.95,31.33,30.94,31.28,78514
2021-05-06 11:30:00,31.31,31.38,31.14,31.2,196031
2021-05-06 12:30:00,31.1801,31.28,31.12,31.17,140463
2021-05-06 13:30:00,31.17,31.19,30.98,31.01,68817
2021-05-06 14:30:00,31.0,31.19,30.99,31.1,111445
2021-05-06 15:30:00,31.11,31.11,30.912,31.01,119830
2021-05-07 09:30:00,30.65,31.44,30.235,31.0,235118
2021-05-07 10:30:00,31.01,31.135,30.92,30.9908,158711
2021-05-07 11:30:00,31.0053,31.31,30.98,31.27,364135
2021-05-07 12:30:00,31.27,31.4,31.26,31.4,56541
2021-05-07 13:30:00,31.4,31.64,31.28,31.42,151767
2021-05-07 14:30:00,31.4211,31.47,31.31,31.4,266940
2021-05-07 15:30:00,31.4,31.485,31.37,31.41,212478
2021-05-10 09:30:00,31.62,31.95,31.19,31.23,197463
2021-05-10 10:30:00,31.23,31.43,31.17,31.3,67908
2021-05-10 11:30:00,31.3,31.33,31.14,31.2,123556
2021-05-10 12:30:00,31.21,31.31,31.16,31.31,142873
2021-05-10 13:30:00,31.32,31.39,31.23,31.25,135247
2021-05-10 14:30:00,31.25,31.25,31.12,31.18,129671
2021-05-10 15:30:00,31.18,31.21,31.03,31.03,142991
2021-05-11 09:30:00,29.94,31.27,29.8004,30.88,263867
2021-05-11 10:30:00,30.85,30.95,30.63,30.75,248269
2021-05-11 11:30:00,30.78,30.89,30.67,30.695,97699
2021-05-11 12:30:00,30.7,30.93,30.69,30.85,155023
2021-05-11 13:30:00,30.85,31.16,30.84,31.09,143752
2021-05-11 14:30:00,31.09,31.11,30.94,30.94,432338
2021-05-11 15:30:00,30.94,30.99,30.875,30.94,156282
2021-05-12 09:30:00,30.98,31.56,30.84,31.34,352309
2021-05-12 10:30:00,31.31,31.57,31.16,31.26,153754
2021-05-12 11:30:00,31.26,31.36,30.9,31.0,99428
2021-05-12 12:30:00,30.99,31.32,30.94,31.2679,88948
2021-05-12 13:30:00,31.21,31.3824,31.19,31.28,137749
2021-05-12 14:30:00,31.27,31.56,31.06,31.07,196364
2021-05-12 15:30:00,31.07,31.12,30.94,31.08,120279
2021-05-13 09:30:00,30.87,31.74,30.54,31.71,209848
2021-05-13 10:30:00,31.72,31.84,31.57,31.6112,366222
2021-05-13 11:30:00,31.61,31.71,31.33,31.7,106377
2021-05-13 12:30:00,31.69,31.8,31.53,31.61,103703
2021-05-13 13:30:00,31.61,31.72,31.35,31.68,134237
2021-05-13 14:30:00,31.69,31.75,31.55,31.59,76882
2021-05-13 15:30:00,31.58,31.66,31.525,31.57,129082
2021-05-14 09:30:00,31.92,32.52,31.87,32.26,102256
2021-05-14 10:30:00,32.22,32.32,32.02,32.05,44510
2021-05-14 11:30:00,32.06,32.1,31.89,31.94,27316
2021-05-14 12:30:00,31.92,32.07,31.89,32.06,29813
2021-05-14 13:30:00,32.06,32.19,32.02,32.18,54547
2021-05-14 14:30:00,32.17,32.1841,31.99,32.1,58296
2021-05-14 15:30:00,32.0901,32.14,32.0,32.08,137615
2021-05-21 09:30:00,32.11,33.02,32.08,32.64,138049
2021-05-21 10:30:00,32.65,32.83,32.5,32.565,54138
2021-05-21 11:30:00,32.59,32.66,32.485,32.52,26508
2021-05-21 12:30:00,32.525,32.68,32.46,32.605,40490
2021-05-21 13:30:00,32.6,32.73,32.59,32.71,100753
2021-05-21 14:30:00,32.72,32.78,32.66,32.76,110749
2021-05-21 15:30:00,32.76,32.76,32.4,32.43,161053
2021-05-24 09:30:00,32.38,32.62,31.86,32.185,74828
2021-05-24 10:30:00,32.17,32.45,32.09,32.38,41975
2021-05-24 11:30:00,32.372,32.4,32.14,32.3,29213
2021-05-24 12:30:00,32.3,32.57,32.29,32.57,32978
2021-05-24 13:30:00,32.565,32.73,32.52,32.71,42345
2021-05-24 14:30:00,32.715,32.78,32.65,32.655,71877
2021-05-24 15:30:00,32.63,32.64,32.34,32.38,98779
2021-05-25 09:30:00,32.28,33.09,32.28,32.96,150277
2021-05-25 10:30:00,32.96,32.98,32.32,32.32,63969
2021-05-25 11:30:00,32.32,32.64,32.3,32.6,44042
2021-05-25 12:30:00,32.6,32.6,32.45,32.57,38513
2021-05-25 13:30:00,32.58,32.67,32.39,32.41,94383
2021-05-25 14:30:00,32.4,32.46,32.3,32.3,63740
2021-05-25 15:30:00,32.31,32.3477,32.1,32.15,169490
2021-05-26 09:30:00,31.89,32.47,31.811,32.405,184923
2021-05-26 10:30:00,32.41,32.545,32.36,32.39,108168
2021-05-26 11:30:00,32.4,32.615,32.33,32.5,98155
2021-05-26 12:30:00,32.51,32.54,32.44,32.51,33547
2021-05-26 13:30:00,32.49,32.61,32.45,32.55,53831
