bar_start,open,high,low,close,volume
2021-01-21 09:30:00,66.64,67.25,66.4,66.9,6699
2021-01-21 10:30:00,66.94,67.03,65.91,66.34,8617
2021-01-21 11:30:00,66.36,66.49,65.78,65.94,5430
2021-01-21 12:30:00,66.01,66.01,65.48,65.56,5798
2021-01-21 13:30:00,65.48,65.97,65.47,65.85,7353
2021-01-21 14:30:00,65.875,66.0,65.41,65.97,8119
2021-01-21 15:30:00,65.92,66.0,65.47,65.52,28890
2021-01-22 09:30:00,64.53,66.04,64.42,64.875,12263
2021-01-22 10:30:00,64.875,65.53,64.875,65.16,8481
2021-01-22 11:30:00,65.11,65.72,65.105,65.51,3771
2021-01-22 12:30:00,65.5101,65.69,65.39,65.47,7250
2021-01-22 13:30:00,65.5393,65.87,65.43,65.8,5712
2021-01-22 14:30:00,65.8252,66.22,65.82,66.01,10497
2021-01-22 15:30:00,66.15,66.63,66.06,66.52,34826
2021-01-25 09:30:00,65.91,66.95,65.62,66.68,25257
2021-01-25 10:30:00,66.42,66.69,65.045,65.4,14340
2021-01-25 11:30:00,65.44,66.16,65.07,65.29,11986
2021-01-25 12:30:00,65.555,66.11,65.3,66.1,3242
2021-01-25 13:30:00,66.12,66.23,65.63,65.68,7548
2021-01-25 14:30:00,65.93,66.16,65.545,65.8,6218
2021-01-25 15:30:00,65.9,66.35,65.74,66.21,19124
2021-01-26 09:30:00,67.13,67.23,65.27,65.76,9687
2021-01-26 10:30:00,65.685,65.86,64.855,65.48,10651
2021-01-26 11:30:00,65.57,65.66,65.15,65.32,6715
2021-01-26 12:30:00,65.36,65.89,65.35,65.745,7179
2021-01-26 13:30:00,65.74,66.48,65.72,66.1,9457
2021-01-26 14:30:00,66.09,66.16,65.88,66.12,6099
2021-01-26 15:30:00,65.97,66.05,65.07,65.19,34357
2021-01-27 09:30:00,63.55,64.82,61.97,63.64,22287
2021-01-27 10:30:00,63.57,63.75,62.35,62.78,18319
2021-01-27 11:30:00,62.575,63.32,62.31,63.29,21678
2021-01-27 12:30:00,63.12,63.67,62.825,63.42,5143
2021-01-27 13:30:00,63.3,63.65,62.8501,63.14,11588
2021-01-27 14:30:00,63.165,63.26,62.31,62.36,16934
2021-01-27 15:30:00,62.47,63.07,62.315,62.8,23810
2021-01-28 09:30:00,63.93,64.9,63.08,63.605,28400
2021-01-28 10:30:00,63.605,64.15,63.15,63.3862,14967
2021-01-28 11:30:00,63.4,64.195,63.4,63.93,13087
2021-01-28 12:30:00,63.92,64.1099,63.05,63.56,12843
2021-01-28 13:30:00,63.52,63.76,63.34,63.58,7796
2021-01-28 14:30:00,63.4,63.79,63.4,63.55,11949
2021-01-28 15:30:00,63.55,63.75,63.12,63.16,34331
2021-01-29 09:30:00,63.11,63.68,62.31,63.33,8352
2021-01-29 10:30:00,63.2,63.59,62.105,62.23,9433
2021-01-29 11:30:00,62.23,62.57,61.9,62.3,11868
2021-01-29 12:30:00,62.22,62.495,61.64,62.45,9502
2021-01-29 13:30:00,62.425,62.57,61.66,61.66,6333
2021-01-29 14:30:00,61.66,62.22,61.425,62.03,13410
2021-01-29 15:30:00,62.115,62.48,61.59,61.64,41368
2021-02-01 09:30:00,62.26,64.16,61.99,64.16,22581
2021-02-01 10:30:00,63.9793,64.46,62.99,63.5,13811
2021-02-01 11:30:00,63.5,64.71,63.42,64.0291,19405
2021-02-01 12:30:00,63.99,64.58,63.83,64.57,7423
2021-02-01 13:30:00,64.57,65.07,64.32,64.8742,15621
2021-02-01 14:30:00,64.85,65.05,64.49,64.67,18963
2021-02-01 15:30:00,64.6223,65.1,64.52,64.7,31985
2021-02-02 09:30:00,65.33,65.78,64.05,64.46,8889
2021-02-02 10:30:00,64.55,64.7699,64.05,64.64,11410
2021-02-02 11:30:00,64.6568,65.01,64.2586,64.77,8282
2021-02-02 12:30:00,64.79,65.25,64.63,65.065,12360
2021-02-02 13:30:00,65.065,65.12,64.7275,64.86,11886
2021-02-02 14:30:00,64.9,65.22,64.76,64.94,7818
2021-02-02 15:30:00,64.9428,64.98,64.56,64.6,21128
2021-02-03 09:30:00,64.1,65.885,63.6,63.73,12906
2021-02-03 10:30:00,63.75,63.95,63.21,63.49,13214
2021-02-03 11:30:00,63.55,63.7799,63.27,63.41,8682
2021-02-03 12:30:00,63.44,63.69,63.22,63.65,8743
2021-02-03 13:30:00,63.6,64.18,63.6,64.09,3421
2021-02-03 14:30:00,64.09,64.405,64.02,64.22,6300
2021-02-03 15:30:00,64.15,64.54,63.965,64.24,29668
2021-02-04 09:30:00,64.05,65.26,63.92,64.573,10679
2021-02-04 10:30:00,64.25,64.71,64.145,64.7,5060
2021-02-04 11:30:00,64.53,64.73,64.19,64.73,8106
2021-02-04 12:30:00,64.705,65.13,64.56,64.8,5757
2021-02-04 13:30:00,64.8,65.51,64.75,65.51,13477
2021-02-04 14:30:00,65.505,65.7299,65.36,65.525,23786
2021-02-04 15:30:00,65.53,65.85,65.42,65.85,33186
2021-02-05 09:30:00,67.73,68.965,65.31,67.2343,32860
2021-02-05 10:30:00,67.37,67.37,65.45,65.86,11854
2021-02-05 11:30:00,65.86,66.07,64.9,64.9625,16409
2021-02-05 12:30:00,64.76,65.2,64.47,65.07,17459
2021-02-05 13:30:00,65.14,65.76,64.49,64.96,27829
2021-02-05 14:30:00,64.93,65.91,64.9,65.89,14307
2021-02-05 15:30:00,65.8701,66.56,65.81,66.33,50891
2021-02-08 09:30:00,67.31,68.74,66.36,68.52,21679
2021-02-08 10:30:00,68.53,68.82,68.095,68.815,10323
2021-02-08 11:30:00,68.77,68.995,68.23,68.875,11170
2021-02-08 12:30:00,68.93,68.99,68.42,68.635,13843
2021-02-08 13:30:00,68.7,68.91,68.5,68.78,9914
2021-02-08 14:30:00,68.81,69.209,68.71,69.2,12589
2021-02-08 15:30:00,69.16,69.82,69.16,69.65,31199
2021-02-09 09:30:00,69.96,70.279,69.31,70.09,15974
2021-02-09 10:30:00,69.91,70.08,69.29,69.4909,9712
2021-02-09 11:30:00,69.565,70.64,69.51,70.02,12803
2021-02-09 12:30:00,70.02,70.63,69.72,69.72,13601
2021-02-09 13:30:00,69.8512,70.3,69.63,69.91,12051
2021-02-09 14:30:00,69.9476,70.185,69.81,69.93,29016
2021-02-09 15:30:00,69.93,70.14,69.69,70.05,52622
2021-04-22 09:30:00,78.57,80.5023,76.76,77.18,9389
2021-04-22 10:30:00,77.0,77.66,76.94,77.4,4399
2021-04-22 11:30:00,77.4056,77.805,77.27,77.53,3823
2021-04-22 12:30:00,77.53,77.95,77.0,77.63,6615
2021-04-22 13:30:00,77.49,77.67,76.73,77.39,7759
2021-04-22 14:30:00,77.39,77.73,76.95,77.05,12627
2021-04-22 15:30:00,77.1,77.33,76.57,76.57,31123
2021-04-23 09:30:00,77.11,77.94,76.6,77.89,5706
2021-04-23 10:30:00,77.55,78.34,77.3,77.91,10324
2021-04-23 11:30:00,77.93,78.42,77.8,78.36,6234
2021-04-23 12:30:00,78.26,78.54,78.06,78.54,5748
2021-04-23 13:30:00,78.485,78.57,78.17,78.47,7772
2021-04-23 14:30:00,78.41,78.85,78.36,78.81,9297
2021-04-23 15:30:00,78.8,78.96,78.31,78.41,29864
2021-04-26 09:30:00,78.86,80.68,78.16,79.96,6899
2021-04-26 10:30:00,79.98,80.26,79.52,79.8,6737
2021-04-26 11:30:00,79.785,79.87,79.35,79.64,14925
2021-04-26 12:30:00,79.8,79.8,79.41,79.49,11377
2021-04-26 13:30:00,79.556,79.556,79.22,79.39,3526
2021-04-26 14:30:00,79.41,79.41,78.94,79.006,8930
2021-04-26 15:30:00,78.97,79.16,78.8,79.04,17267
2021-04-27 09:30:00,78.96,79.82,77.58,78.46,7119
2021-04-27 10:30:00,78.19,78.86,78.11,78.83,9831
2021-04-27 11:30:00,78.78,78.89,78.42,78.67,10180
2021-04-27 12:30:00,78.665,78.665,78.05,78.19,10623
2021-04-27 13:30:00,78.22,78.59,78.07,78.4865,13264
2021-04-27 14:30:00,78.4994,78.54,78.06,78.13,13661
2021-04-27 15:30:00,78.14,78.36,78.06,78.31,30315
2021-04-28 09:30:00,78.11,79.3,77.63,78.21,7024
2021-04-28 10:30:00,77.89,78.36,77.89,78.13,5759
2021-04-28 11:30:00,78.14,78.19,77.85,77.9,5877
2021-04-28 12:30:00,77.84,77.9784,77.59,77.72,3741
2021-04-28 13:30:00,77.72,78.09,77.65,78.02,5490
2021-04-28 14:30:00,77.96,78.1311,77.71,77.75,13638
2021-04-28 15:30:00,77.75,78.1,77.59,77.91,23237
2021-04-29 09:30:00,78.14,79.0,77.9401,78.95,5620
2021-04-29 10:30:00,78.755,79.45,78.49,78.88,12744
2021-04-29 11:30:00,78.83,79.0471,78.22,78.26,6852
2021-04-29 12:30:00,78.2,79.19,78.2,78.715,10181
2021-04-29 13:30:00,78.68,78.82,78.269,78.78,9050
2021-04-29 14:30:00,78.81,79.3,78.6301,79.04,13542
2021-04-29 15:30:00,79.07,79.72,78.98,79.68,37988
2021-04-30 09:30:00,78.72,79.8097,77.97,78.26,4970
2021-04-30 10:30:00,78.9773,79.33,78.25,79.08,15947
2021-04-30 11:30:00,79.15,79.24,78.7,78.9,5139
2021-04-30 12:30:00,78.905,78.9902,78.57,78.6,9264
2021-04-30 13:30:00,78.6,78.81,78.01,78.13,7217
2021-04-30 14:30:00,78.22,78.35,77.94,78.29,8522
2021-04-30 15:30:00,78.3,78.37,77.89,78.14,22525
2021-05-03 09:30:00,78.32,79.88,78.32,78.84,8497
2021-05-03 10:30:00,78.7537,79.36,78.15,79.18,13296
2021-05-03 11:30:00,79.25,79.65,79.2,79.48,10911
2021-05-03 12:30:00,79.48,79.62,79.14,79.4,6088
2021-05-03 13:30:00,79.419,79.74,79.2,79.6177,6813
2021-05-03 14:30:00,79.68,80.09,79.57,79.725,9350
2021-05-03 15:30:00,79.725,79.725,78.88,79.06,26799
2021-05-04 09:30:00,78.57,79.49,78.28,79.255,8774
2021-05-04 10:30:00,79.26,79.57,78.55,79.22,13000
2021-05-04 11:30:00,79.22,79.7,79.075,79.69,13513
2021-05-04 12:30:00,79.65,79.87,79.22,79.44,14574
2021-05-04 13:30:00,79.38,79.695,79.195,79.42,5742
2021-05-04 14:30:00,79.4,79.6,79.2,79.38,7245
2021-05-04 15:30:00,79.38,79.56,79.19,79.38,18622
2021-05-05 09:30:00,79.55,80.0146,78.41,78.66,12266
2021-05-05 10:30:00,78.82,80.12,78.78,80.12,7205
2021-05-05 11:30:00,79.76,80.82,79.71,80.715,18268
2021-05-05 12:30:00,80.82,80.82,80.26,80.39,6996
2021-05-05 13:30:00,80.39,80.73,80.3277,80.56,6913
2021-05-05 14:30:00,80.71,80.89,80.2605,80.62,17982
2021-05-05 15:30:00,80.4001,80.6,80.27,80.56,15953
2021-05-06 09:30:00,81.0,81.53,80.31,80.98,2727
2021-05-06 10:30:00,80.64,81.07,80.48,80.783,4083
2021-05-06 11:30:00,81.06,81.18,80.56,80.74,3032
2021-05-06 12:30:00,80.73,80.81,80.1901,80.71,3773
2021-05-06 13:30:00,80.7,81.26,80.52,81.03,13685
2021-05-06 14:30:00,81.26,81.99,81.08,81.83,24073
2021-05-06 15:30:00,81.725,82.49,81.6101,82.49,37464
2021-05-07 09:30:00,82.06,83.99,80.0301,80.8509,11999
2021-05-07 10:30:00,81.69,82.04,80.7701,81.49,10995
2021-05-07 11:30:00,81.53,82.03,81.25,82.03,9578
2021-05-07 12:30:00,82.04,82.16,81.7,81.77,6935
2021-05-07 13:30:00,81.84,82.07,81.48,81.6,11872
2021-05-07 14:30:00,81.6,82.02,81.48,81.72,19431
2021-05-07 15:30:00,81.8,82.37,81.36,82.3,31054
2021-05-10 09:30:00,83.28,84.74,82.6103,84.35,16303
