bar_start,open,high,low,close,volume
2016-02-04 09:30:00,18.0,18.75,17.7,18.74,2566
2016-02-04 10:30:00,18.77,18.85,18.4,18.4,1412
2016-02-04 11:30:00,18.32,18.55,18.13,18.31,3179
2016-02-04 12:30:00,18.3571,18.39,18.2,18.2,2133
2016-02-04 13:30:00,18.17,18.24,18.04,18.04,5993
2016-02-04 14:30:00,18.04,18.2126,18.04,18.12,3430
2016-02-04 15:30:00,18.09,18.19,18.04,18.13,3530
2016-02-05 09:30:00,18.0,18.26,17.58,17.98,3452
2016-02-05 10:30:00,17.95,18.18,17.95,18.09,1603
2016-02-05 11:30:00,18.03,18.16,17.95,18.12,1411
2016-02-05 12:30:00,17.9915,18.0628,17.94,17.99,1317
2016-02-05 13:30:00,17.94,17.94,17.68,17.79,1677
2016-02-05 14:30:00,17.79,17.79,17.6039,17.61,1347
2016-02-05 15:30:00,17.5301,17.74,17.48,17.49,10427
2016-02-08 09:30:00,17.23,17.71,17.0,17.13,5467
2016-02-08 10:30:00,17.11,17.37,17.09,17.3497,739
2016-02-08 11:30:00,17.37,17.63,17.37,17.45,1100
2016-02-08 12:30:00,17.6,17.6,17.41,17.52,901
2016-02-08 13:30:00,17.47,17.59,17.27,17.41,1166
2016-02-08 14:30:00,17.49,17.79,17.46,17.75,6262
2016-02-08 15:30:00,17.79,17.81,17.7,17.78,5878
2016-02-09 09:30:00,17.47,17.92,17.01,17.15,1084
2016-02-09 10:30:00,17.245,17.33,17.19,17.28,2809
2016-02-09 11:30:00,17.3,17.3,17.1,17.16,3947
2016-02-09 12:30:00,17.102,17.17,16.61,16.7,4963
2016-02-09 13:30:00,16.72,16.78,16.46,16.5,4546
2016-02-09 14:30:00,16.52,16.75,16.41,16.58,2917
2016-02-09 15:30:00,16.5901,16.6697,16.51,16.62,4370
2016-02-10 09:30:00,16.53,16.82,16.53,16.79,1362
2016-02-10 10:30:00,16.88,17.13,16.76,16.8,4977
2016-02-10 11:30:00,16.76,16.76,16.58,16.58,362
2016-02-10 12:30:00,16.65,16.89,16.63,16.77,1793
2016-02-10 13:30:00,16.76,16.78,16.61,16.74,1353
2016-02-10 14:30:00,16.64,16.64,16.43,16.43,2747
2016-02-10 15:30:00,16.46,16.48,16.27,16.3,7602
2016-02-11 09:30:00,16.0,16.5,16.0,16.35,6452
2016-02-11 10:30:00,16.41,16.45,16.31,16.36,8165
2016-02-11 11:30:00,16.22,16.2999,16.08,16.13,5841
2016-02-11 12:30:00,16.12,16.18,16.04,16.09,1799
2016-02-11 13:30:00,16.1,16.16,15.98,15.98,2222
2016-02-11 14:30:00,15.97,16.3,15.97,16.2,6692
2016-02-11 15:30:00,16.2,16.28,16.13,16.13,8696
2016-02-12 09:30:00,16.35,16.8,16.23,16.23,1313
2016-02-12 10:30:00,16.2,16.39,16.2,16.39,1407
2016-02-12 11:30:00,16.48,16.56,16.43,16.55,2924
