bar_start,open,high,low,close,volume
2021-01-22 09:30:00,296.0,297.455,294.45,296.83,124254
2021-01-22 10:30:00,296.808,298.9199,296.2,298.11,106322
2021-01-22 11:30:00,297.96,300.65,297.8701,300.324,142045
2021-01-22 12:30:00,300.345,300.53,298.0,298.7626,91100
2021-01-22 13:30:00,298.84,299.19,298.38,298.54,49119
2021-01-22 14:30:00,298.685,299.16,298.2,299.055,105986
2021-01-22 15:30:00,299.1012,299.235,298.05,298.1,110270
2021-01-25 09:30:00,299.68,304.39,298.5101,304.39,226349
2021-01-25 10:30:00,304.3,305.2,298.94,299.2454,242817
2021-01-25 11:30:00,299.21,301.1,297.89,300.64,166207
2021-01-25 12:30:00,300.62,301.106,299.86,300.63,204150
2021-01-25 13:30:00,300.77,300.94,299.25,299.582,166722
2021-01-25 14:30:00,299.8,300.37,298.955,299.33,111727
2021-01-25 15:30:00,299.33,299.6,298.82,299.42,254706
2021-01-26 09:30:00,301.75,301.75,295.5,296.24,224028
2021-01-26 10:30:00,296.305,296.53,294.82,295.11,128625
2021-01-26 11:30:00,295.08,295.975,294.25,294.946,85717
2021-01-26 12:30:00,295.04,295.12,292.8,293.1234,92102
2021-01-26 13:30:00,293.01,293.57,292.42,293.3,86410
2021-01-26 14:30:00,293.26,294.275,293.0,293.9601,93077
2021-01-26 15:30:00,293.8177,295.09,292.59,292.94,140565
2021-01-27 09:30:00,292.89,295.1,290.67,294.94,240364
2021-01-27 10:30:00,294.7601,296.1,293.82,295.5431,173768
2021-01-27 11:30:00,295.585,295.98,293.1,294.22,138892
2021-01-27 12:30:00,294.27,295.8,293.3714,293.69,108126
2021-01-27 13:30:00,293.69,294.57,292.0,292.745,135904
2021-01-27 14:30:00,292.73,294.35,291.2801,293.45,196255
2021-01-27 15:30:00,293.39,294.236,292.0601,293.375,215928
2021-01-28 09:30:00,292.12,296.49,291.3,294.43,212795
2021-01-28 10:30:00,294.125,295.42,292.0,293.23,161573
2021-01-28 11:30:00,293.1801,295.0,292.77,294.65,126853
2021-01-28 12:30:00,294.76,295.0,293.11,294.24,163259
2021-01-28 13:30:00,294.64,294.97,293.0,293.185,159020
2021-01-28 14:30:00,293.3,294.05,292.5,293.4,173489
2021-01-28 15:30:00,293.4744,294.94,292.55,292.83,256840
2021-01-29 09:30:00,290.12,291.65,283.01,286.5301,346966
2021-01-29 10:30:00,286.7814,293.03,286.3,286.915,203314
2021-01-29 11:30:00,286.82,293.03,285.02,285.13,203725
2021-01-29 12:30:00,285.13,285.29,282.88,284.8099,175772
2021-01-29 13:30:00,284.665,287.96,283.8484,287.528,124838
2021-01-29 14:30:00,287.56,289.0806,287.0,287.7955,138980
2021-01-29 15:30:00,287.82,288.46,285.78,286.34,175152
2021-02-01 09:30:00,289.03,292.0,287.835,290.27,259036
2021-02-01 10:30:00,290.4,290.8262,287.55,290.71,168284
2021-02-01 11:30:00,290.71,291.99,290.0338,291.87,117827
2021-02-01 12:30:00,291.91,293.45,291.62,293.38,138016
2021-02-01 13:30:00,293.45,293.97,292.6637,293.3001,149049
2021-02-01 14:30:00,293.48,294.15,292.4,292.89,144527
2021-02-01 15:30:00,292.84,293.5,292.03,292.31,241066
2021-02-02 09:30:00,294.81,302.23,294.02,301.51,424597
2021-02-02 10:30:00,301.51,301.99,299.6,299.9996,400041
2021-02-02 11:30:00,299.831,301.91,294.02,300.21,382818
2021-02-02 12:30:00,300.2269,301.48,300.1266,300.63,205674
2021-02-02 13:30:00,300.65,301.3964,300.345,301.15,255933
2021-02-02 14:30:00,301.16,301.79,300.62,301.69,288578
2021-02-02 15:30:00,301.64,301.91,299.84,300.08,183487
2021-02-03 09:30:00,298.83,300.97,297.626,300.06,167177
2021-02-03 10:30:00,300.2,300.87,298.59,299.6104,105282
2021-02-03 11:30:00,299.54,300.6977,299.25,300.14,100818
2021-02-03 12:30:00,300.22,300.82,300.0,300.56,96152
2021-02-03 13:30:00,300.63,301.18,300.3,300.71,84832
2021-02-03 14:30:00,300.8191,301.98,299.86,301.9045,152615
2021-02-03 15:30:00,301.9,301.95,299.8745,300.74,133175
2021-02-04 09:30:00,301.49,302.55,299.58,301.1814,251182
2021-02-04 10:30:00,301.16,303.46,300.3701,302.9,232764
2021-02-04 11:30:00,302.95,303.72,302.2,302.29,203018
2021-02-04 12:30:00,302.27,303.2999,302.25,302.77,113055
2021-02-04 13:30:00,302.77,303.1,301.76,302.61,103064
2021-02-04 14:30:00,302.61,303.26,301.34,301.44,132929
2021-02-04 15:30:00,301.48,302.42,301.425,301.64,187664
2021-02-05 09:30:00,303.36,304.71,301.692,302.44,192866
2021-02-05 10:30:00,302.45,302.97,300.4,300.88,143435
2021-02-05 11:30:00,300.88,301.07,298.71,298.8309,146117
2021-02-05 12:30:00,298.9,301.04,298.87,300.5935,123785
2021-02-05 13:30:00,300.6,300.87,299.575,300.32,113212
2021-02-05 14:30:00,300.4981,300.8,299.2,300.66,135213
2021-02-05 15:30:00,300.7446,300.7446,298.56,298.79,190706
2021-02-08 09:30:00,301.0,301.85,298.1,298.445,152249
2021-02-08 10:30:00,298.435,300.12,298.0,300.0572,103464
2021-02-08 11:30:00,300.0822,301.4751,299.28,301.27,206079
2021-02-08 12:30:00,301.24,301.6528,300.68,301.17,114213
2021-02-08 13:30:00,301.2599,301.55,301.08,301.3,132613
2021-02-08 14:30:00,301.35,301.56,300.11,300.78,103318
2021-02-08 15:30:00,300.835,301.12,299.72,299.88,290273
2021-02-09 09:30:00,300.98,300.98,298.22,298.455,125208
2021-02-09 10:30:00,298.48,301.79,298.0,301.0101,131264
2021-02-09 11:30:00,301.09,303.74,301.02,303.59,121326
2021-02-09 12:30:00,303.6809,304.545,303.51,304.201,69945
2021-02-09 13:30:00,304.2034,305.88,304.0318,304.805,103284
2021-02-09 14:30:00,304.8293,306.65,304.773,305.62,125942
2021-02-09 15:30:00,305.69,306.1,303.69,303.72,273239
2021-02-10 09:30:00,304.65,305.4699,302.64,303.38,130006
2021-02-10 10:30:00,303.4,303.79,302.64,303.02,93113
2021-02-10 11:30:00,302.9196,303.97,302.32,302.81,101520
2021-02-10 12:30:00,302.81,304.39,302.32,303.6,133732
2021-02-10 13:30:00,303.6,304.13,303.17,304.0689,87866
2021-02-10 14:30:00,304.1,304.5099,303.5702,303.86,93939
2021-02-10 15:30:00,303.72,304.04,303.02,303.49,120270
2021-04-26 09:30:00,342.2,343.0,339.6,340.795,121258
2021-04-26 10:30:00,340.69,340.795,339.4,339.6101,69984
2021-04-26 11:30:00,339.7,340.21,338.5,338.88,65654
2021-04-26 12:30:00,338.87,338.91,336.56,337.81,105730
2021-04-26 13:30:00,337.715,338.91,337.69,338.78,68127
2021-04-26 14:30:00,338.795,339.37,338.2,338.382,67524
2021-04-26 15:30:00,338.27,338.35,337.08,337.85,117333
2021-04-27 09:30:00,337.39,340.16,335.95,339.06,194386
2021-04-27 10:30:00,339.27,340.44,339.051,339.6754,63938
2021-04-27 11:30:00,339.58,339.8517,339.16,339.53,46179
2021-04-27 12:30:00,339.4887,339.7,338.81,339.645,35465
2021-04-27 13:30:00,339.64,340.14,339.42,339.78,42170
2021-04-27 14:30:00,339.892,340.84,339.68,340.72,74423
2021-04-27 15:30:00,340.775,340.89,339.76,339.86,86954
2021-04-28 09:30:00,340.17,340.48,337.56,338.2501,115433
2021-04-28 10:30:00,338.2671,338.87,337.53,338.18,70380
2021-04-28 11:30:00,338.09,338.2451,336.595,337.59,72841
2021-04-28 12:30:00,337.47,338.2,336.57,338.1129,84046
2021-04-28 13:30:00,338.1396,339.31,337.77,338.85,62670
2021-04-28 14:30:00,338.75,339.23,337.73,338.6738,106303
2021-04-28 15:30:00,338.6843,339.38,338.27,338.67,160137
2021-04-29 09:30:00,342.0,352.0,336.25,350.18,337886
2021-04-29 10:30:00,350.3,354.17,338.37,352.89,150572
2021-04-29 11:30:00,352.9999,353.15,349.905,352.97,140122
2021-04-29 12:30:00,352.8261,354.17,352.0,352.7,176351
2021-04-29 13:30:00,352.7,353.87,352.06,352.58,94929
2021-04-29 14:30:00,352.68,353.82,351.5301,352.21,119914
2021-04-29 15:30:00,352.32,352.685,351.5,352.07,131967
2021-04-30 09:30:00,353.59,356.88,351.4,355.105,246956
2021-04-30 10:30:00,355.1,355.85,354.02,355.08,129397
2021-04-30 11:30:00,354.99,356.1899,354.69,355.8996,159149
2021-04-30 12:30:00,355.9,356.04,354.2,355.12,79816
2021-04-30 13:30:00,355.05,355.24,353.78,354.14,100332
2021-04-30 14:30:00,354.15,355.11,353.9518,354.76,85290
2021-04-30 15:30:00,354.78,355.155,353.39,354.54,220635
2021-05-03 09:30:00,352.67,357.0,352.02,356.67,161222
2021-05-03 10:30:00,356.49,358.93,355.92,358.79,97926
2021-05-03 11:30:00,358.77,360.74,358.77,360.5,93266
2021-05-03 12:30:00,360.45,362.32,360.45,362.06,76152
2021-05-03 13:30:00,362.115,362.84,361.26,361.8,78771
2021-05-03 14:30:00,361.855,362.38,360.42,361.2606,87914
2021-05-03 15:30:00,361.3,361.46,360.52,361.21,142880
2021-05-04 09:30:00,362.64,365.9548,361.16,363.79,171191
2021-05-04 10:30:00,364.3939,364.99,363.1028,364.1495,136127
2021-05-04 11:30:00,364.19,365.99,363.9332,365.92,127234
2021-05-04 12:30:00,365.85,366.78,364.8235,366.4902,127945
2021-05-04 13:30:00,366.51,367.96,366.09,366.77,121441
2021-05-04 14:30:00,366.77,368.43,366.5706,368.37,140228
