bar_start,open,high,low,close,volume
2021-02-22 09:30:00,25.92,27.215,11.55,27.03,5499503
2021-02-22 10:30:00,27.0795,27.46,12.34,27.0,4635459
2021-02-22 11:30:00,27.01,27.08,12.37,26.915,2084968
2021-02-22 12:30:00,26.915,27.06,12.32,26.73,1868962
2021-02-22 13:30:00,26.73,26.77,12.25,26.75,2090250
2021-02-22 14:30:00,26.752,26.84,12.02,26.235,2589451
2021-02-22 15:30:00,26.23,26.47,12.0,26.47,2654209
2021-02-23 09:30:00,26.26,26.65,10.86,26.12,8191709
2021-02-23 10:30:00,26.11,26.2118,11.58,25.77,3427868
2021-02-23 11:30:00,25.76,26.06,11.8,26.02,1697752
2021-02-23 12:30:00,26.015,26.14,11.62,25.96,1860650
2021-02-23 13:30:00,25.97,26.12,11.8,25.92,1633437
2021-02-23 14:30:00,25.925,26.3,11.76,26.18,2384552
2021-02-23 15:30:00,26.1955,26.25,11.84,26.055,2550375
2021-02-24 09:30:00,26.5197,27.781,11.82,27.67,7264420
2021-02-24 10:30:00,27.6198,28.55,12.88,28.35,6685780
2021-02-24 11:30:00,28.4385,28.5,13.0,28.44,3455271
2021-02-24 12:30:00,28.4079,28.52,13.08,28.52,2016820
2021-02-24 13:30:00,28.4254,28.65,13.2,28.5918,2134686
2021-02-24 14:30:00,28.6054,28.69,13.2,13.2532,2475930
2021-02-24 15:30:00,28.3201,28.3425,13.15,28.15,2840956
2021-02-25 09:30:00,28.23,28.5397,12.9,27.76,5065668
2021-02-25 10:30:00,27.77,27.81,12.56,27.68,3135678
2021-02-25 11:30:00,27.683,27.7,12.54,27.1641,1772504
2021-02-25 12:30:00,27.16,27.1872,12.1201,26.895,3536771
2021-02-25 13:30:00,26.89,27.575,12.35,27.44,2200609
2021-02-25 14:30:00,27.44,27.5,12.3025,26.81,1701631
2021-02-25 15:30:00,26.81,26.95,12.22,26.76,2997939
2021-02-26 09:30:00,11.87,26.82,11.32,25.23,5796803
2021-02-26 10:30:00,25.23,26.345,11.32,26.19,4265530
2021-02-26 11:30:00,26.19,26.71,11.85,26.56,2074263
2021-02-26 12:30:00,26.565,26.81,12.01,26.76,1356382
2021-02-26 13:30:00,26.76,26.8,12.05,26.37,1444275
2021-02-26 14:30:00,26.36,26.815,12.04,26.475,1841022
2021-02-26 15:30:00,26.47,27.01,12.05,26.61,2790403
2021-03-01 09:30:00,27.38,28.21,12.52,27.723,4707150
2021-03-01 10:30:00,27.9025,28.25,12.99,28.14,2203372
2021-03-01 11:30:00,28.1634,28.28,13.03,27.95,1701480
2021-03-01 12:30:00,27.8976,28.0699,12.6612,27.43,2059668
2021-03-01 13:30:00,27.42,27.735,12.75,27.7,1293966
2021-03-01 14:30:00,27.7,27.8598,12.85,27.63,1120815
2021-03-01 15:30:00,27.63,27.655,12.77,27.64,2080844
2021-03-02 09:30:00,27.59,28.49,12.51,28.25,4517953
2021-03-02 10:30:00,28.25,28.515,13.15,28.165,2165430
2021-03-02 11:30:00,28.15,28.38,12.94,28.3029,2204216
2021-03-02 12:30:00,28.3,28.33,13.15,28.225,1004592
2021-03-02 13:30:00,28.22,28.44,13.085,28.02,2024682
2021-03-02 14:30:00,28.01,28.27,13.02,13.03,1736895
2021-03-02 15:30:00,28.03,28.16,13.0,27.82,2206746
2021-03-03 09:30:00,28.01,28.95,12.95,28.79,5460245
2021-03-03 10:30:00,28.785,29.16,13.395,28.98,3071525
2021-03-03 11:30:00,13.66,29.115,13.5901,28.965,1756495
2021-03-03 12:30:00,28.965,29.33,13.58,29.295,1668075
2021-03-03 13:30:00,29.29,29.45,13.45,28.959,2697682
2021-03-03 14:30:00,28.941,29.325,13.58,28.965,2881705
2021-03-03 15:30:00,28.965,29.015,13.49,28.67,2202666
2021-03-04 09:30:00,29.12,29.7787,13.41,29.24,7100603
2021-03-04 10:30:00,29.25,30.26923,13.75,30.01,7483731
2021-03-04 11:30:00,14.5,30.63,13.51,30.57,5741842
2021-03-04 12:30:00,30.56,30.58,13.8601,29.55,4577667
2021-03-04 13:30:00,29.55,29.91,13.75,29.42,5109881
2021-03-04 14:30:00,29.41,29.9882,13.88,29.925,4220781
2021-03-04 15:30:00,29.92,30.28,14.24,29.9,4010968
2021-03-05 09:30:00,31.67,32.52,15.05,31.753,13992414
2021-03-05 10:30:00,31.669,32.13,14.12,30.245,9100913
2021-03-05 11:30:00,30.25,31.135,14.23,31.05,4561443
2021-03-05 12:30:00,31.04,31.5,14.8375,31.47,3713856
2021-03-05 13:30:00,31.47,31.65,14.74,31.2,2862073
2021-03-05 14:30:00,31.19,31.44,14.83,31.18,3438620
2021-03-05 15:30:00,31.19,31.365,14.84,31.22,3196690
2021-03-08 09:30:00,31.68,31.9,14.3,30.525,7629467
2021-03-08 10:30:00,30.505,30.73,14.38,30.68,3204193
2021-03-08 11:30:00,30.67,30.97,14.4,30.8524,2248408
2021-03-08 12:30:00,30.8524,30.8899,14.34,30.36,1775685
2021-03-08 13:30:00,30.36,30.37,13.91,30.1718,2809149
2021-03-08 14:30:00,30.17,30.21,14.0,29.925,1567356
2021-03-08 15:30:00,29.9589,30.18,14.0,29.77,2323269
2021-03-09 09:30:00,29.22,29.4,13.02,28.34,8143277
