bar_start,open,high,low,close,volume
2016-01-26 09:30:00,20.16,20.45,19.37,20.16,511083
2016-01-26 10:30:00,20.15,20.64,20.01,20.555,434408
2016-01-26 11:30:00,20.53,20.805,20.23,20.68,433355
2016-01-26 12:30:00,20.6799,21.02,20.65,20.86,233535
2016-01-26 13:30:00,20.86,20.91,20.57,20.59,460462
2016-01-26 14:30:00,20.58,20.64,20.24,20.41,658259
2016-01-26 15:30:00,20.41,20.65,20.33,20.59,549908
2016-01-27 09:30:00,19.62,19.8,18.77,19.01,633044
2016-01-27 10:30:00,19.07,19.75,18.96,19.395,699520
2016-01-27 11:30:00,19.42,19.76,19.0804,19.11,383377
2016-01-27 12:30:00,19.11,19.16,18.805,19.01,410957
2016-01-27 13:30:00,18.98,19.3,18.82,19.0047,380209
2016-01-27 14:30:00,18.99,19.06,18.475,18.75,583697
2016-01-27 15:30:00,18.75,19.02,18.73,18.88,628247
2016-01-28 09:30:00,20.04,20.65,19.58,19.58,892698
2016-01-28 10:30:00,19.575,20.6,19.575,20.21,513804
2016-01-28 11:30:00,20.2,20.39,20.14,20.221,162799
2016-01-28 12:30:00,20.2423,20.41,19.9,20.1099,191079
2016-01-28 13:30:00,20.104,20.18,19.96,19.9982,162600
2016-01-28 14:30:00,20.02,20.35,19.87,20.12,256988
2016-01-28 15:30:00,20.16,20.3,20.1,20.22,228782
2016-01-29 09:30:00,20.56,21.18,20.48,20.775,364660
2016-01-29 10:30:00,20.78,20.93,20.44,20.76,389987
2016-01-29 11:30:00,20.77,20.85,20.51,20.75,324890
2016-01-29 12:30:00,20.77,20.87,20.64,20.81,209129
2016-01-29 13:30:00,20.82,20.89,20.63,20.7,247326
2016-01-29 14:30:00,20.72,21.19,20.66,21.13,673931
2016-01-29 15:30:00,21.13,21.19,21.05,21.11,655574
2016-02-01 09:30:00,20.63,20.8,19.8,20.1,546948
2016-02-01 10:30:00,20.09,20.3,19.83,19.88,299046
