bar_start,open,high,low,close,volume
2021-01-28 09:30:00,8.88,9.05,8.81,8.91,290589
2021-01-28 10:30:00,8.91,8.93,8.7101,8.715,586897
2021-01-28 11:30:00,8.725,8.85,8.69,8.76,281865
2021-01-28 12:30:00,8.7599,8.81,8.69,8.805,174283
2021-01-28 13:30:00,8.81,8.97,8.7921,8.955,340096
2021-01-28 14:30:00,8.95,9.0083,8.85,8.86,240153
2021-01-28 15:30:00,8.8721,8.96,8.86,8.94,390616
2021-01-29 09:30:00,8.91,9.08,8.83,9.035,342551
2021-01-29 10:30:00,9.035,9.05,8.865,8.87,213676
2021-01-29 11:30:00,8.865,8.87,8.64,8.645,284207
2021-01-29 12:30:00,8.65,8.685,8.52,8.62,553377
2021-01-29 13:30:00,8.62,8.69,8.565,8.62,321676
2021-01-29 14:30:00,8.62,8.7,8.575,8.695,257910
2021-01-29 15:30:00,8.69,8.7,8.59,8.64,522770
2021-02-01 09:30:00,8.79,8.94,8.62,8.62,311033
2021-02-01 10:30:00,8.625,8.685,8.58,8.6625,269316
2021-02-01 11:30:00,8.67,8.68,8.58,8.6,242122
2021-02-01 12:30:00,8.6,8.655,8.5923,8.64,387679
2021-02-01 13:30:00,8.64,8.68,8.62,8.6525,411199
2021-02-01 14:30:00,8.66,8.7,8.63,8.64,326747
2021-02-01 15:30:00,8.64,8.68,8.635,8.66,361636
2021-02-02 09:30:00,8.88,9.205,8.74,9.09,998065
2021-02-02 10:30:00,9.085,9.19,8.945,9.12,473285
2021-02-02 11:30:00,9.125,9.1355,9.0445,9.07,199980
2021-02-02 12:30:00,9.07,9.07,8.94,8.955,360634
2021-02-02 13:30:00,8.95,8.96,8.85,8.88,255631
2021-02-02 14:30:00,8.88,8.94,8.87,8.91,235696
2021-02-02 15:30:00,8.91,8.917,8.82,8.85,655798
2021-02-03 09:30:00,8.86,9.1472,8.86,9.095,397243
2021-02-03 10:30:00,9.09,9.09,8.88,8.91,905085
2021-02-03 11:30:00,8.91,8.98,8.88,8.9578,432130
