bar_start,open,high,low,close,volume
2021-01-28 09:30:00,7.98,8.08,7.86,7.999,81656
2021-01-28 10:30:00,7.9999,8.21,7.94,8.19,178096
2021-01-28 11:30:00,8.18,8.49,8.14,8.25,223615
2021-01-28 12:30:00,8.27,8.29,8.16,8.2526,68304
2021-01-28 13:30:00,8.27,8.405,8.2362,8.39,77083
2021-01-28 14:30:00,8.39,8.54,8.37,8.3989,123346
2021-01-28 15:30:00,8.39,8.57,8.39,8.54,201666
2021-01-29 09:30:00,8.48,8.69,8.42,8.6488,133932
2021-01-29 10:30:00,8.68,8.71,8.44,8.44,112038
2021-01-29 11:30:00,8.44,8.46,8.26,8.2697,132372
2021-01-29 12:30:00,8.27,8.2832,7.96,8.1,250983
2021-01-29 13:30:00,8.0801,8.12,7.94,7.96,118754
2021-01-29 14:30:00,7.95,8.04,7.88,8.03,87591
2021-01-29 15:30:00,8.025,8.05,7.95,7.98,159915
2021-02-01 09:30:00,8.1,8.27,7.88,7.92,123257
2021-02-01 10:30:00,7.92,8.0,7.86,7.96,71317
2021-02-01 11:30:00,7.98,8.03,7.8801,7.93,86798
2021-02-01 12:30:00,7.93,8.08,7.92,8.06,48855
2021-02-01 13:30:00,8.065,8.16,8.03,8.14,100691
2021-02-01 14:30:00,8.145,8.23,8.12,8.15,108809
2021-02-01 15:30:00,8.15,8.19,8.13,8.14,119556
2021-02-02 09:30:00,8.44,8.47,8.15,8.195,150216
2021-02-02 10:30:00,8.1943,8.39,8.15,8.32,109465
2021-02-02 11:30:00,8.3011,8.4,8.21,8.23,46000
2021-02-02 12:30:00,8.24,8.24,8.1197,8.16,34385
2021-02-02 13:30:00,8.15,8.18,8.11,8.125,30057
2021-02-02 14:30:00,8.12,8.23,8.11,8.21,37657
2021-02-02 15:30:00,8.2115,8.23,8.14,8.14,99269
2021-02-03 09:30:00,8.15,8.27,8.08,8.08,131158
2021-02-03 10:30:00,8.08,8.11,7.98,8.0215,104224
2021-02-03 11:30:00,8.025,8.14,8.01,8.13,70505
2021-02-03 12:30:00,8.12,8.17,8.08,8.11,35756
2021-02-03 13:30:00,8.1,8.24,8.095,8.21,37247
2021-02-03 14:30:00,8.21,8.26,8.16,8.16,107592
2021-02-03 15:30:00,8.16,8.31,8.15,8.3,185907
2021-02-04 09:30:00,8.36,8.37,8.11,8.21,118870
2021-02-04 10:30:00,8.225,8.43,8.225,8.43,76467
2021-02-04 11:30:00,8.42,8.56,8.401,8.56,108636
2021-02-04 12:30:00,8.565,8.66,8.55,8.62,84284
2021-02-04 13:30:00,8.625,8.715,8.61,8.68,96294
