bar_start,open,high,low,close,volume
2021-01-28 09:30:00,1.02,1.0499,1.02,1.0381,39811
2021-01-28 10:30:00,1.035,1.04,1.03,1.035,8402
2021-01-28 11:30:00,1.03,1.04,1.0,1.0017,45766
2021-01-28 12:30:00,1.01,1.02,1.0,1.007,25929
2021-01-28 13:30:00,1.005,1.21,1.0001,1.125,492233
2021-01-28 14:30:00,1.125,1.45,1.125,1.41,1356021
2021-01-28 15:30:00,1.43,1.6,1.37,1.5403,1160563
2021-01-29 09:30:00,1.3,1.34,1.2,1.22,488951
2021-01-29 10:30:00,1.225,1.23,1.19,1.1999,131496
2021-01-29 11:30:00,1.1999,1.21,1.13,1.145,328878
2021-01-29 12:30:00,1.145,1.15,1.12,1.1473,113763
2021-01-29 13:30:00,1.145,1.19,1.14,1.1601,50156
2021-01-29 14:30:00,1.18,1.18,1.13,1.143,44204
2021-01-29 15:30:00,1.16,1.16,1.13,1.16,54595
2021-02-01 09:30:00,1.14,1.18,1.1,1.1001,220802
2021-02-01 10:30:00,1.1199,1.14,1.1,1.13,33239
2021-02-01 11:30:00,1.13,1.15,1.1,1.14,47711
2021-02-01 12:30:00,1.13,1.17,1.13,1.1693,15687
2021-02-01 13:30:00,1.1601,1.17,1.15,1.16,14464
2021-02-01 14:30:00,1.1501,1.16,1.1301,1.149,25192
2021-02-01 15:30:00,1.14,1.16,1.13,1.15,37587
2021-02-02 09:30:00,1.11,1.15,1.11,1.12,24813
2021-02-02 10:30:00,1.13,1.13,1.11,1.115,19446
2021-02-02 11:30:00,1.11,1.14,1.1,1.12,29169
2021-02-02 12:30:00,1.12,1.13,1.11,1.1173,16921
2021-02-02 13:30:00,1.12,1.13,1.11,1.125,16209
2021-02-02 14:30:00,1.125,1.13,1.11,1.115,19393
2021-02-02 15:30:00,1.12,1.15,1.11,1.12,35507
2021-02-03 09:30:00,1.2,1.2289,1.15,1.2201,247613
2021-02-03 10:30:00,1.2111,1.22,1.1865,1.2,36650
2021-02-03 11:30:00,1.2073,1.21,1.2,1.2081,25211
2021-02-03 12:30:00,1.2081,1.22,1.2,1.215,33231
2021-02-03 13:30:00,1.2181,1.22,1.2,1.22,32920
2021-02-03 14:30:00,1.22,1.2492,1.21,1.2299,51060
2021-02-03 15:30:00,1.23,1.24,1.22,1.23,15816
2021-02-04 09:30:00,1.24,1.24,1.18,1.1905,58429
2021-02-04 10:30:00,1.195,1.2,1.19,1.19,17363
2021-02-04 11:30:00,1.2,1.2,1.19,1.1901,1775
2021-02-04 12:30:00,1.1905,1.2,1.19,1.1999,13653
2021-02-04 13:30:00,1.2,1.21,1.19,1.21,8380
2021-02-04 14:30:00,1.205,1.21,1.2,1.2001,35362
2021-02-04 15:30:00,1.2081,1.2081,1.19,1.19,21556
2021-02-05 09:30:00,1.18,1.2299,1.18,1.2199,32360
2021-02-05 10:30:00,1.215,1.34,1.21,1.29,188018
2021-02-05 11:30:00,1.29,1.38,1.27,1.34,248100
2021-02-05 12:30:00,1.3201,1.34,1.28,1.2811,87176
2021-02-05 13:30:00,1.2807,1.2807,1.25,1.26,41271
2021-02-05 14:30:00,1.2594,1.27,1.24,1.245,32203
2021-02-05 15:30:00,1.25,1.28,1.223,1.25,36589
2021-02-08 09:30:00,1.32,1.32,1.24,1.29,176119
2021-02-08 10:30:00,1.29,1.3,1.26,1.28,70603
