bar_start,open,high,low,close,volume
2021-01-21 09:30:00,68.33,68.58,67.95,68.2122,1558228
2021-01-21 10:30:00,68.353,68.508,68.05,68.3,962395
2021-01-21 11:30:00,68.3409,68.3409,67.85,68.1222,695218
2021-01-21 12:30:00,68.0568,68.34,68.0222,68.12,654186
2021-01-21 13:30:00,68.2247,68.65,68.12,68.6,707628
2021-01-21 14:30:00,68.5882,68.84,68.32,68.41,935573
2021-01-21 15:30:00,68.415,68.52,68.09,68.11,1116980
2021-01-22 09:30:00,67.72,68.12,67.15,67.23,972553
2021-01-22 10:30:00,67.225,67.73,67.12,67.4,481896
2021-01-22 11:30:00,67.38,67.89,67.37,67.86,429394
2021-01-22 12:30:00,67.86,67.9333,67.6,67.75,461319
2021-01-22 13:30:00,67.75,67.87,67.58,67.81,346562
2021-01-22 14:30:00,67.815,67.95,67.725,67.87,439747
2021-01-22 15:30:00,67.88,67.98,67.56,67.56,642942
2021-01-25 09:30:00,66.09,66.29,65.35,66.19,2575127
2021-01-25 10:30:00,66.1354,66.529,65.21,65.21,1642656
2021-01-25 11:30:00,65.2963,65.75,65.0,65.673,1248919
2021-01-25 12:30:00,65.6289,66.15,65.52,66.07,1069435
2021-01-25 13:30:00,66.0864,66.3929,65.61,66.185,917713
2021-01-25 14:30:00,66.1251,66.372093,66.03,66.31,919381
2021-01-25 15:30:00,66.2554,66.49,66.18,66.3,1363052
2021-01-26 09:30:00,69.2,70.93,68.47,69.106,4571308
2021-01-26 10:30:00,69.09,69.1,68.2322,68.51,1440896
2021-01-26 11:30:00,68.5,68.56,68.03,68.33,1193471
2021-01-26 12:30:00,68.32,68.8695,68.11,68.27,1010834
2021-01-26 13:30:00,68.3192,69.045,68.21,68.689,1507179
2021-01-26 14:30:00,68.7,68.76,67.79,67.87,1400187
2021-01-26 15:30:00,67.875,67.89,67.19,67.2,1424649
2021-01-27 09:30:00,66.8,67.44,66.21,66.74,1818426
2021-01-27 10:30:00,66.74,67.04,66.5,66.93,1229972
2021-01-27 11:30:00,66.93,67.19,66.58,67.08,1295773
2021-01-27 12:30:00,67.07,67.76,66.95,67.397,1403204
2021-01-27 13:30:00,67.39,67.4279,65.99,66.1,1289780
2021-01-27 14:30:00,66.1,66.4,65.73,65.9489,1685797
2021-01-27 15:30:00,65.955,66.07,65.25,65.53,1917783
2021-01-28 09:30:00,66.44,68.52,66.18,68.02,1749971
2021-01-28 10:30:00,68.2967,68.5,67.83,68.12,1183133
2021-01-28 11:30:00,68.0753,68.99,66.34,68.93,1099325
2021-01-28 12:30:00,68.93,69.07,67.0,68.75,1347475
2021-01-28 13:30:00,68.77,69.29,68.71,68.9201,934126
2021-01-28 14:30:00,68.93,68.99,68.3,68.31,889292
2021-01-28 15:30:00,68.3804,68.46,68.07,68.17,1139481
2021-01-29 09:30:00,67.11,67.57,66.1,67.21,1469826
2021-01-29 10:30:00,67.205,67.54,66.9218,66.94,850964
2021-01-29 11:30:00,66.95,67.39,66.81,66.9001,939829
2021-01-29 12:30:00,66.91,67.105,66.64,67.06,1082355
2021-01-29 13:30:00,67.05,67.0599,66.69,66.89,777654
2021-01-29 14:30:00,66.8733,67.0551,66.49,66.9299,877456
2021-01-29 15:30:00,66.92,67.25,66.66,66.7,2019634
2021-02-01 09:30:00,67.17,67.6,66.29,66.49,1144520
2021-02-01 10:30:00,66.5,66.74,66.13,66.5401,592720
2021-02-01 11:30:00,66.56,66.63,66.25,66.54,625486
2021-02-01 12:30:00,66.54,66.84,66.5193,66.8299,466449
2021-02-01 13:30:00,66.825,67.12,66.69,67.08,535587
2021-02-01 14:30:00,67.065,67.22,66.5799,67.0219,590121
2021-02-01 15:30:00,67.02,67.05,66.795,67.0,1232639
2021-02-02 09:30:00,67.74,69.09,67.53,68.8998,1286116
2021-02-02 10:30:00,68.88,69.76,68.8301,69.53,1017873
2021-02-02 11:30:00,69.52,69.93,67.4002,69.5,869368
2021-02-02 12:30:00,69.49,69.91,69.49,69.7423,963048
2021-02-02 13:30:00,69.75,70.18,69.7322,69.99,726857
2021-02-02 14:30:00,70.005,70.315,69.91,70.31,930943
2021-02-02 15:30:00,70.31,70.42,70.13,70.14,1197009
2021-02-03 09:30:00,69.76,70.07,69.37,69.5522,1448145
2021-02-03 10:30:00,69.56,70.03,69.47,69.74,1620169
2021-02-03 11:30:00,69.735,70.15,69.6801,70.0559,524089
2021-02-03 12:30:00,70.07,70.62,69.96,70.585,741734
2021-02-03 13:30:00,70.585,70.83,70.47,70.78,685491
2021-02-03 14:30:00,70.775,70.915,70.686,70.82,855201
2021-02-03 15:30:00,70.7636,70.91,70.57,70.57,1037933
2021-02-04 09:30:00,70.95,72.25,70.71,71.47,1268195
2021-02-04 10:30:00,71.5482,72.66,71.425,72.4415,1685025
2021-02-04 11:30:00,72.415,72.5276,72.06,72.31,875208
2021-02-04 12:30:00,72.2545,72.51,72.17,72.295,1120492
2021-02-04 13:30:00,72.2865,72.61,72.25,72.565,842353
2021-02-04 14:30:00,72.5538,72.81,72.27,72.33,1007266
2021-02-04 15:30:00,72.3184,72.77,72.23077,72.68,1342333
2021-02-05 09:30:00,72.97,73.88,72.59,72.94,1250642
