bar_start,open,high,low,close,volume
2021-02-01 09:30:00,6.4,6.45,6.32,6.4,153972
2021-02-01 10:30:00,6.395,6.4478,6.35,6.41,151961
2021-02-01 11:30:00,6.415,6.45,6.39,6.44,91202
2021-02-01 12:30:00,6.44,6.47,6.42,6.45,65095
2021-02-01 13:30:00,6.46,6.525,6.45,6.515,89578
2021-02-01 14:30:00,6.52,6.56,6.51,6.535,113807
2021-02-01 15:30:00,6.54,6.54,6.51,6.52,170471
2021-02-02 09:30:00,6.64,6.6592,6.5,6.598,133213
2021-02-02 10:30:00,6.6,6.65,6.55,6.61,63796
2021-02-02 11:30:00,6.61,6.659,6.59,6.625,56483
2021-02-02 12:30:00,6.625,6.63,6.58,6.62,96623
2021-02-02 13:30:00,6.615,6.65,6.59,6.65,47149
2021-02-02 14:30:00,6.645,6.67,6.64,6.64,67544
2021-02-02 15:30:00,6.645,6.66,6.6,6.6,125718
2021-02-03 09:30:00,6.6,6.76,6.5609,6.71,148547
2021-02-03 10:30:00,6.71,6.72,6.66,6.7,95123
2021-02-03 11:30:00,6.6978,6.7611,6.68,6.755,82665
2021-02-03 12:30:00,6.75,6.78,6.74,6.76,64676
2021-02-03 13:30:00,6.76,6.82,6.76,6.8,129228
2021-02-03 14:30:00,6.8,6.81,6.75,6.77,93385
2021-02-03 15:30:00,6.775,6.8,6.765,6.78,80244
2021-02-04 09:30:00,6.84,6.96,6.6985,6.6985,173280
2021-02-04 10:30:00,6.7,6.785,6.6907,6.7616,120169
2021-02-04 11:30:00,6.76,6.7734,6.73,6.74,36726
2021-02-04 12:30:00,6.7485,6.76,6.72,6.72,50522
2021-02-04 13:30:00,6.722,6.74,6.71,6.71,68614
2021-02-04 14:30:00,6.715,6.725,6.7,6.715,49778
2021-02-04 15:30:00,6.7095,6.77,6.7095,6.76,126895
2021-02-05 09:30:00,6.8,6.98,6.8,6.905,179219
2021-02-05 10:30:00,6.91,6.97,6.91,6.931,146208
2021-02-05 11:30:00,6.9399,6.94,6.895,6.94,129286
2021-02-05 12:30:00,6.935,6.94,6.89,6.9,90607
2021-02-05 13:30:00,6.905,6.91,6.89,6.91,75937
2021-02-05 14:30:00,6.91,6.94,6.905,6.9216,75593
2021-02-05 15:30:00,6.9215,6.94,6.92,6.94,129835
2021-02-08 09:30:00,6.94,7.06,6.88,7.0378,352142
2021-02-08 10:30:00,7.03,7.035,6.94,6.94,85334
2021-02-08 11:30:00,6.95,6.97,6.91,6.9416,117622
2021-02-08 12:30:00,6.958,6.9585,6.91,6.94,75510
2021-02-08 13:30:00,6.94,6.95,6.89,6.94,120780
2021-02-08 14:30:00,6.94,6.96,6.9,6.93,86046
2021-02-08 15:30:00,6.93,7.03,6.921,7.02,243949
2021-02-09 09:30:00,7.06,7.07,6.86,6.965,205514
2021-02-09 10:30:00,6.955,7.015,6.925,6.995,98425
2021-02-09 11:30:00,6.9972,7.07,6.975,7.05,74271
2021-02-09 12:30:00,7.04,7.06,7.02,7.0291,64032
2021-02-09 13:30:00,7.025,7.07,7.02,7.065,96311
2021-02-09 14:30:00,7.066,7.09,7.02,7.02,112803
2021-02-09 15:30:00,7.02,7.0599,7.02,7.04,164983
2021-02-10 09:30:00,7.09,7.35,7.09,7.2858,434114
