bar_start,open,high,low,close,volume
2021-01-22 09:30:00,2.21,2.24,2.02,2.0499,196627
2021-01-22 10:30:00,2.025,2.09,2.02,2.05,53016
2021-01-22 11:30:00,2.0546,2.08,2.01,2.02,56190
2021-01-22 12:30:00,2.02,2.03,1.96,1.98,116717
2021-01-22 13:30:00,1.9937,2.01,1.97,2.0066,60616
2021-01-22 14:30:00,2.005,2.02,2.0,2.02,50075
2021-01-22 15:30:00,2.01,2.0399,2.0,2.0399,57345
2021-01-25 09:30:00,2.09,2.24,2.03,2.1959,237453
2021-01-25 10:30:00,2.19,2.3807,2.14,2.15,618804
2021-01-25 11:30:00,2.14,2.39,2.14,2.38,326446
2021-01-25 12:30:00,2.3554,2.52,2.28,2.42,440168
2021-01-25 13:30:00,2.42,2.45,2.35,2.4,106834
2021-01-25 14:30:00,2.4,2.45,2.38,2.4069,94106
2021-01-25 15:30:00,2.44,2.46,2.3948,2.42,74530
2021-01-26 09:30:00,2.52,2.54,2.31,2.38,257005
2021-01-26 10:30:00,2.377,2.39,2.31,2.3525,86248
2021-01-26 11:30:00,2.36,2.36,2.28,2.29,48143
2021-01-26 12:30:00,2.2981,2.31,2.27,2.29,53376
2021-01-26 13:30:00,2.29,2.34,2.26,2.335,35944
2021-01-26 14:30:00,2.33,2.39,2.33,2.365,41402
2021-01-26 15:30:00,2.365,2.39,2.35,2.39,37529
2021-01-27 09:30:00,2.31,2.325,2.17,2.2633,100229
2021-01-27 10:30:00,2.28,2.2999,2.11,2.18,79481
2021-01-27 11:30:00,2.18,2.3,2.15,2.2901,67573
2021-01-27 12:30:00,2.295,2.79,2.295,2.675,956335
2021-01-27 13:30:00,2.66,2.75,2.56,2.595,131904
2021-01-27 14:30:00,2.595,2.6131,2.45,2.485,130362
2021-01-27 15:30:00,2.4501,2.52,2.425,2.48,63457
2021-01-28 09:30:00,2.47,2.55,2.39,2.4456,137969
2021-01-28 10:30:00,2.43,2.453,2.24,2.25,119121
2021-01-28 11:30:00,2.25,2.28,2.13,2.2502,98337
2021-01-28 12:30:00,2.25,2.29,2.24,2.2673,22992
2021-01-28 13:30:00,2.26,2.29,2.25,2.2701,18960
2021-01-28 14:30:00,2.253,2.29,2.203,2.203,55433
2021-01-28 15:30:00,2.23,2.2631,2.21,2.22,20465
2021-01-29 09:30:00,2.19,2.37,2.18,2.28,73105
2021-01-29 10:30:00,2.29,2.35,2.25,2.3,24134
2021-01-29 11:30:00,2.283,2.34,2.24,2.2484,32239
2021-01-29 12:30:00,2.2678,2.3,2.21,2.2399,25882
2021-01-29 13:30:00,2.2101,2.27,2.2101,2.2199,27169
2021-01-29 14:30:00,2.22,2.24,2.2,2.24,18243
2021-01-29 15:30:00,2.25,2.25,2.21,2.23,17703
2021-02-01 09:30:00,2.49,2.5,2.25,2.3132,99132
2021-02-01 10:30:00,2.32,2.39,2.3059,2.34,56988
2021-02-01 11:30:00,2.3101,2.4,2.31,2.3299,38233
2021-02-01 12:30:00,2.344,2.4199,2.33,2.35,32768
2021-02-01 13:30:00,2.36,2.4,2.35,2.3801,28079
2021-02-01 14:30:00,2.39,2.39,2.354,2.36,15948
2021-02-01 15:30:00,2.3601,2.41,2.35,2.41,57690
2021-02-02 09:30:00,2.43,2.45,2.29,2.33,53053
2021-02-02 10:30:00,2.3594,2.37,2.2524,2.3156,30158
2021-02-02 11:30:00,2.3156,2.3338,2.28,2.32,10968
2021-02-02 12:30:00,2.3001,2.36,2.3,2.36,15457
2021-02-02 13:30:00,2.36,2.36,2.335,2.35,5077
2021-02-02 14:30:00,2.3528,2.48,2.3528,2.4037,76315
2021-02-02 15:30:00,2.4492,2.4592,2.3701,2.43,31854
2021-02-03 09:30:00,2.43,2.4447,2.4,2.4103,47077
2021-02-03 10:30:00,2.44,2.7,2.41,2.57,492793
2021-02-03 11:30:00,2.58,2.59,2.51,2.5478,64281
2021-02-03 12:30:00,2.5412,2.6,2.5301,2.55,76582
2021-02-03 13:30:00,2.5336,3.09,2.53,2.9478,927714
2021-02-03 14:30:00,2.9362,2.96,2.83,2.86,250293
2021-02-03 15:30:00,2.8582,2.9897,2.85,2.96,146692
2021-02-04 09:30:00,2.89,3.0397,2.77,2.95,206572
2021-02-04 10:30:00,2.9607,2.9815,2.9,2.9221,61885
2021-02-04 11:30:00,2.91,2.95,2.82,2.9278,75869
2021-02-04 12:30:00,2.92,2.93,2.8,2.8601,74674
2021-02-04 13:30:00,2.8722,2.9399,2.8,2.803,31937
2021-02-04 14:30:00,2.8022,2.8899,2.8,2.83,38638
2021-02-04 15:30:00,2.8378,2.8378,2.7601,2.78,62817
2021-02-05 09:30:00,2.87,2.8896,2.6101,2.72,91396
2021-02-05 10:30:00,2.7011,2.76,2.68,2.74,36070
2021-02-05 11:30:00,2.7591,2.82,2.73,2.817,36520
2021-02-05 12:30:00,2.8,2.83,2.79,2.795,14568
2021-02-05 13:30:00,2.7983,2.83,2.78,2.7911,13790
2021-02-05 14:30:00,2.78,2.85,2.78,2.83,107182
2021-02-05 15:30:00,2.8324,2.9,2.83,2.8568,58643
2021-02-08 09:30:00,3.17,3.25,3.12,3.1515,215621
2021-02-08 10:30:00,3.1785,4.1,3.02,3.13,130149
2021-02-08 11:30:00,3.14,3.14,3.1,3.1189,21595
2021-02-08 12:30:00,3.1189,3.13,3.1,3.11,21456
2021-02-08 13:30:00,3.103,3.16,3.1,3.16,27488
2021-02-08 14:30:00,3.16,3.9,3.15,3.56,1197173
2021-02-08 15:30:00,3.5646,3.6,3.5,3.55,287238
2021-02-09 09:30:00,3.46,3.47,3.2,3.2278,176255
