bar_start,open,high,low,close,volume
2021-01-21 09:30:00,14.2,14.27,14.06,14.165,102415
2021-01-21 10:30:00,14.165,14.2,14.1,14.14,66725
2021-01-21 11:30:00,14.14,14.15,14.09,14.125,65420
2021-01-21 12:30:00,14.125,14.155,14.09,14.15,26786
2021-01-21 13:30:00,14.145,14.199,14.13,14.16,29483
2021-01-21 14:30:00,14.17,14.22,14.16,14.18,30240
2021-01-21 15:30:00,14.175,14.2,14.14,14.15,81389
2021-01-22 09:30:00,14.03,14.14,13.94,14.05,69513
2021-01-22 10:30:00,14.04,14.11,14.021,14.035,30620
2021-01-22 11:30:00,14.04,14.09,14.03,14.04,31503
2021-01-22 12:30:00,14.035,14.08,13.98,14.07,116983
2021-01-22 13:30:00,14.07,14.095,14.04,14.07,28014
2021-01-22 14:30:00,14.065,14.19,14.065,14.18,117668
2021-01-22 15:30:00,14.185,14.19,14.145,14.16,93938
2021-01-25 09:30:00,14.15,14.3,14.05,14.29,100645
2021-01-25 10:30:00,14.2675,14.31,13.9994,14.085,88243
2021-01-25 11:30:00,14.09,14.16,14.05,14.09,80064
2021-01-25 12:30:00,14.09,14.22,14.0889,14.18,74003
2021-01-25 13:30:00,14.18,14.2037,14.14,14.16,67504
2021-01-25 14:30:00,14.165,14.185,14.12,14.13,84864
2021-01-25 15:30:00,14.13,14.18,14.13,14.17,127633
2021-01-26 09:30:00,14.24,14.37,14.0,14.03,106451
2021-01-26 10:30:00,14.03,14.05,13.99,14.04,73545
2021-01-26 11:30:00,14.03,14.055,13.995,14.03,66056
2021-01-26 12:30:00,14.03,14.07,13.995,14.04,87170
2021-01-26 13:30:00,14.04,14.0915,14.03,14.07,48144
2021-01-26 14:30:00,14.0762,14.085,14.01,14.01,97909
2021-01-26 15:30:00,14.015,14.06,14.01,14.05,331786
2021-01-27 09:30:00,13.85,14.04,13.61,13.91,200352
2021-01-27 10:30:00,13.92,13.9624,13.81,13.81,122073
2021-01-27 11:30:00,13.805,13.82,13.745,13.79,212692
2021-01-27 12:30:00,13.79,13.87,13.775,13.83,323865
2021-01-27 13:30:00,13.835,13.85,13.77,13.795,108082
2021-01-27 14:30:00,13.79,13.84,13.75,13.78,537232
2021-01-27 15:30:00,13.78,13.785,13.72,13.73,345045
2021-01-28 09:30:00,13.9,14.06,13.61,13.72,187394
2021-01-28 10:30:00,13.72,13.77,13.63,13.6746,171402
2021-01-28 11:30:00,13.63,13.72,13.6199,13.66,120653
2021-01-28 12:30:00,13.665,13.72,13.61,13.66,95277
2021-01-28 13:30:00,13.665,13.7,13.64,13.67,106712
2021-01-28 14:30:00,13.67,13.68,13.615,13.65,142441
2021-01-28 15:30:00,13.655,13.665,13.56,13.58,388901
2021-01-29 09:30:00,13.57,13.68,13.44,13.54,409190
2021-01-29 10:30:00,13.545,13.658,13.51,13.53,126260
2021-01-29 11:30:00,13.53,13.565,13.5,13.51,137858
2021-01-29 12:30:00,13.52,13.52,13.405,13.495,217681
2021-01-29 13:30:00,13.49,13.5,13.41,13.415,185376
2021-01-29 14:30:00,13.415,13.51,13.4,13.45,332759
2021-01-29 15:30:00,13.455,13.515,13.4,13.4,225517
2021-02-01 09:30:00,13.53,13.61,13.33,13.44,145441
2021-02-01 10:30:00,13.45,13.53,13.38,13.52,94613
2021-02-01 11:30:00,13.5267,13.61,13.505,13.58,57438
2021-02-01 12:30:00,13.595,13.66,13.56,13.655,64649
2021-02-01 13:30:00,13.66,13.785,13.64,13.77,93381
2021-02-01 14:30:00,13.77,13.78,13.7,13.74,150624
2021-02-01 15:30:00,13.745,13.755,13.68,13.69,359703
2021-02-02 09:30:00,13.86,14.1,13.57,13.64,277745
2021-02-02 10:30:00,13.65,13.85,13.61,13.81,111606
2021-02-02 11:30:00,13.81,13.8376,13.77,13.77,60116
2021-02-02 12:30:00,13.77,13.82,13.75,13.75,55490
2021-02-02 13:30:00,13.755,13.8,13.755,13.79,52882
2021-02-02 14:30:00,13.79,13.8115,13.735,13.75,77468
2021-02-02 15:30:00,13.75,13.78,13.73,13.75,89407
2021-02-03 09:30:00,13.74,13.93,13.52,13.52,109950
2021-02-03 10:30:00,13.53,13.68,13.51,13.6664,109922
2021-02-03 11:30:00,13.67,13.72,13.655,13.69,54678
2021-02-03 12:30:00,13.685,13.75,13.66,13.74,61826
2021-02-03 13:30:00,13.74,13.78,13.73,13.735,49505
2021-02-03 14:30:00,13.74,13.75,13.67,13.74,86892
2021-02-03 15:30:00,13.74,13.74,13.63,13.63,218804
2021-02-04 09:30:00,14.95,14.96,14.09,14.27,382320
2021-02-04 10:30:00,14.2474,14.35,14.1,14.12,77801
2021-02-04 11:30:00,14.14,14.17,14.03,14.06,52238
2021-02-04 12:30:00,14.06,14.11,14.03,14.04,43852
2021-02-04 13:30:00,14.04,14.09,14.03,14.035,44579
2021-02-04 14:30:00,14.035,14.08,13.92,13.94,158304
2021-02-04 15:30:00,13.94,13.95,13.81,13.94,335969
2021-02-05 09:30:00,14.0,14.391,13.84,14.0157,147765
2021-02-05 10:30:00,14.025,14.06,13.96,14.01,90963
2021-02-05 11:30:00,14.015,14.075,13.99,14.05,74055
2021-02-05 12:30:00,14.055,14.0638,14.03,14.045,48050
2021-02-05 13:30:00,14.045,14.05,13.99,14.02,132882
2021-02-05 14:30:00,14.02,14.05,13.975,14.005,106536
2021-02-05 15:30:00,14.0041,14.05,13.96,13.97,227237
2021-02-08 09:30:00,14.01,14.12,14.01,14.0801,105603
2021-02-08 10:30:00,14.085,14.09,14.015,14.025,82288
2021-02-08 11:30:00,14.0246,14.07,14.0,14.055,98768
2021-02-08 12:30:00,14.037,14.06,13.94,13.95,67021
2021-02-08 13:30:00,13.945,13.985,13.925,13.9725,51140
2021-02-08 14:30:00,13.98,14.03,13.965,13.97,123381
2021-02-08 15:30:00,13.9843,14.09,13.97,14.05,286874
2021-02-09 09:30:00,13.99,14.03,13.8,13.945,68772
2021-02-09 10:30:00,13.94,14.0,13.9175,13.95,50315
2021-02-09 11:30:00,13.94,14.1,13.93,14.06,69345
2021-02-09 12:30:00,14.06,14.1,14.03,14.03,88919
2021-02-09 13:30:00,14.03,14.08,14.02,14.07,49870
2021-02-09 14:30:00,14.06,14.07,14.02,14.03,68726
2021-02-09 15:30:00,14.03,14.03,13.965,14.0,135482
2021-04-15 09:30:00,14.98,15.13,14.7,15.0,83500
2021-04-15 10:30:00,14.9912,15.05,14.99,15.0243,114250
2021-04-15 11:30:00,15.035,15.05,15.0212,15.0335,101606
2021-04-15 12:30:00,15.035,15.05,14.99,15.045,208573
2021-04-15 13:30:00,15.045,15.05,15.02,15.0316,102219
2021-04-15 14:30:00,15.03,15.05,15.02,15.0246,60117
2021-04-15 15:30:00,15.025,15.05,15.01,15.04,243676
2021-04-16 09:30:00,15.13,15.19,15.035,15.05,152796
2021-04-16 10:30:00,15.055,15.11,15.0299,15.055,62950
2021-04-16 11:30:00,15.055,15.075,15.02,15.04,42607
2021-04-16 12:30:00,15.04,15.065,15.025,15.055,52764
2021-04-16 13:30:00,15.055,15.08,15.05,15.0735,23012
2021-04-16 14:30:00,15.075,15.09,15.055,15.065,36442
2021-04-16 15:30:00,15.065,15.1,15.05,15.08,216632
2021-04-19 09:30:00,15.07,15.08,14.99,15.03,151230
2021-04-19 10:30:00,15.03,15.06,15.015,15.03,124651
2021-04-19 11:30:00,15.03,15.07,15.015,15.025,81207
2021-04-19 12:30:00,15.025,15.07,15.02,15.03,51584
2021-04-19 13:30:00,15.03,15.0403,15.01,15.015,50684
2021-04-19 14:30:00,15.015,15.08,15.01,15.04,99010
2021-04-19 15:30:00,15.04,15.05,15.02,15.05,151355
2021-04-20 09:30:00,15.05,15.535,14.9702,15.04,291886
2021-04-20 10:30:00,15.03,15.06,14.93,14.95,136986
2021-04-20 11:30:00,14.955,15.01,14.945,14.99,114092
2021-04-20 12:30:00,15.0,15.01,14.98,14.99,103910
2021-04-20 13:30:00,14.99,14.99,14.92,14.93,126412
2021-04-20 14:30:00,14.935,14.945,14.83,14.86,111563
2021-04-20 15:30:00,14.8503,14.995,14.8481,14.94,269427
2021-04-21 09:30:00,14.9,15.18,14.82,14.895,213031
2021-04-21 10:30:00,14.9,14.915,14.855,14.87,69795
2021-04-21 11:30:00,14.87,14.92,14.8624,14.89,63741
2021-04-21 12:30:00,14.9,14.93,14.88,14.92,50454
2021-04-21 13:30:00,14.919,14.955,14.91,14.93,70809
2021-04-21 14:30:00,14.935,14.96,14.93,14.94,55378
2021-04-21 15:30:00,14.95,15.0,14.94,14.99,166328
2021-04-22 09:30:00,15.02,15.035,14.93,14.97,103578
2021-04-22 10:30:00,14.97,15.01,14.95,14.985,32388
2021-04-22 11:30:00,14.98,15.0,14.965,14.965,14686
2021-04-22 12:30:00,14.97,14.995,14.9,14.94,49634
2021-04-22 13:30:00,14.935,14.96,14.86,14.96,71628
2021-04-22 14:30:00,14.955,15.0,14.95,14.96,51247
2021-04-22 15:30:00,14.955,14.99,14.93,14.94,122872
2021-04-23 09:30:00,14.98,15.12,14.92,15.105,84257
2021-04-23 10:30:00,15.1,15.15,15.08,15.1,61234
2021-04-23 11:30:00,15.095,15.11,15.08,15.085,24960
2021-04-23 12:30:00,15.09,15.15,15.09,15.15,56949
2021-04-23 13:30:00,15.15,15.16,15.13,15.155,67627
2021-04-23 14:30:00,15.16,15.19,15.15,15.165,112813
2021-04-23 15:30:00,15.165,15.17,15.095,15.15,420188
2021-04-26 09:30:00,15.18,15.255,15.16,15.2,95774
2021-04-26 10:30:00,15.19,15.26,15.19,15.255,96124
2021-04-26 11:30:00,15.255,15.265,15.215,15.225,78743
2021-04-26 12:30:00,15.225,15.245,15.21,15.2374,76215
2021-04-26 13:30:00,15.235,15.25,15.21,15.225,99323
2021-04-26 14:30:00,15.22,15.24,15.21,15.215,59603
2021-04-26 15:30:00,15.215,15.24,15.2,15.21,140351
2021-04-27 09:30:00,15.19,15.31,15.15,15.19,148901
2021-04-27 10:30:00,15.185,15.195,15.15,15.16,68010
2021-04-27 11:30:00,15.16,15.19,15.12,15.16,120883
2021-04-27 12:30:00,15.1513,15.17,15.14,15.15,58462
2021-04-27 13:30:00,15.155,15.16,15.13,15.135,76844
2021-04-27 14:30:00,15.135,15.135,15.1,15.125,68258
2021-04-27 15:30:00,15.125,15.22,15.12,15.2,229946
2021-04-28 09:30:00,15.15,15.25,15.05,15.095,101889
2021-04-28 10:30:00,15.095,15.145,15.085,15.09,657602
2021-04-28 11:30:00,15.095,15.12,15.065,15.11,73709
