bar_start,open,high,low,close,volume
2016-02-16 09:30:00,27.87,28.49,27.6,28.11,57197
2016-02-16 10:30:00,28.14,28.36,28.1,28.18,22231
2016-02-16 11:30:00,28.18,28.45,28.18,28.36,26294
2016-02-16 12:30:00,28.39,28.4299,28.24,28.355,28880
2016-02-16 13:30:00,28.355,28.75,28.31,28.7,91176
2016-02-16 14:30:00,28.705,28.87,28.67,28.84,55555
2016-02-16 15:30:00,28.86,28.89,28.74,28.78,87454
2016-02-17 09:30:00,28.95,29.35,28.5,29.25,154038
2016-02-17 10:30:00,29.2301,29.45,28.803,29.1,98320
2016-02-17 11:30:00,29.12,29.16,28.91,29.08,49338
2016-02-17 12:30:00,29.06,29.1,28.88,28.9625,38335
2016-02-17 13:30:00,28.9725,29.08,28.88,28.91,38178
2016-02-17 14:30:00,28.92,29.16,28.91,29.0,75632
2016-02-17 15:30:00,29.0,29.2,28.9,28.92,102405
2016-02-18 09:30:00,28.99,29.2375,28.325,28.98,121259
2016-02-18 10:30:00,28.98,29.15,28.86,28.949,54667
2016-02-18 11:30:00,28.9401,29.28,28.9401,29.21,32698
2016-02-18 12:30:00,29.22,29.23,28.98,28.99,18526
2016-02-18 13:30:00,29.01,29.04,28.8901,28.98,15126
2016-02-18 14:30:00,28.98,29.05,28.86,28.9,24202
2016-02-18 15:30:00,28.9,28.93,28.78,28.82,43782
2016-02-19 09:30:00,28.88,29.79,28.88,29.695,121687
2016-02-19 10:30:00,29.67,29.97,29.6301,29.97,46657
2016-02-19 11:30:00,29.98,30.0,29.77,29.8401,76017
2016-02-19 12:30:00,29.8125,29.9,29.78,29.82,19913
2016-02-19 13:30:00,29.78,29.84,29.72,29.75,31970
2016-02-19 14:30:00,29.75,30.0,29.66,30.0,66857
2016-02-19 15:30:00,29.98,30.03,29.83,29.91,126417
2016-02-22 09:30:00,29.88,30.09,29.7,29.78,57466
2016-02-22 10:30:00,29.78,29.8506,29.58,29.66,27669
2016-02-22 11:30:00,29.68,29.7,29.6,29.62,15097
2016-02-22 12:30:00,29.64,29.68,29.59,29.65,24721
2016-02-22 13:30:00,29.65,29.65,29.43,29.47,59418
2016-02-22 14:30:00,29.47,29.63,29.45,29.59,39735
2016-02-22 15:30:00,29.585,29.65,29.55,29.63,56479
2016-02-23 09:30:00,29.43,29.63,29.22,29.365,28793
2016-02-23 10:30:00,29.335,29.48,29.33,29.43,18927
