bar_start,open,high,low,close,volume
2016-01-04 09:30:00,18.32,18.455,18.22,18.38,2272619
2016-01-04 10:30:00,18.38,18.41,18.285,18.4,1938056
2016-01-04 11:30:00,18.4,18.44,18.35,18.41,1398654
2016-01-04 12:30:00,18.41,18.44,18.35,18.39,1066814
2016-01-04 13:30:00,18.39,18.435,18.34,18.405,1213436
2016-01-04 14:30:00,18.4,18.415,18.205,18.295,2072067
2016-01-04 15:30:00,18.29,18.47,18.2495,18.46,2376903
2016-01-05 09:30:00,18.47,18.5,18.29,18.4134,1775726
2016-01-05 10:30:00,18.41,18.625,18.4,18.5401,1257258
2016-01-05 11:30:00,18.5439,18.59,18.38,18.4,794877
2016-01-05 12:30:00,18.4,18.425,18.32,18.38,1117573
2016-01-05 13:30:00,18.38,18.58,18.3471,18.5527,804565
2016-01-05 14:30:00,18.5585,18.57,18.44,18.55,1103839
2016-01-05 15:30:00,18.54,18.56,18.48,18.495,1892534
2016-01-06 09:30:00,18.17,18.23,17.72,17.76,4604830
2016-01-06 10:30:00,17.76,17.76,17.57,17.675,3152123
2016-01-06 11:30:00,17.6763,17.69,17.49,17.6,3143274
2016-01-06 12:30:00,17.6,17.635,17.42,17.42,1799771
2016-01-06 13:30:00,17.43,17.55,17.2438,17.54,3188152
2016-01-06 14:30:00,17.55,17.63,17.24,17.63,5117763
2016-01-06 15:30:00,17.62,17.755,17.6126,17.73,5519475
2016-01-07 09:30:00,17.3,17.56,17.02,17.37,3036655
2016-01-07 10:30:00,17.37,17.59,17.37,17.535,2068659
2016-01-07 11:30:00,17.54,17.61,17.435,17.44,1144893
2016-01-07 12:30:00,17.4401,17.48,17.28,17.31,1288853
2016-01-07 13:30:00,17.31,17.355,17.245,17.26,1264928
2016-01-07 14:30:00,17.2576,17.36,17.125,17.125,3172800
2016-01-07 15:30:00,17.12,17.36,17.115,17.21,3059868
2016-01-08 09:30:00,17.22,17.255,16.79,16.8165,8407000
2016-01-08 10:30:00,16.815,16.93,16.52,16.665,5932264
2016-01-08 11:30:00,16.665,17.02,16.59,17.0,5807234
2016-01-08 12:30:00,17.01,17.01,16.88,16.9,1813157
2016-01-08 13:30:00,16.91,17.0,16.905,16.955,1476194
2016-01-08 14:30:00,16.95,17.02,16.92,16.95,1924610
2016-01-08 15:30:00,16.95,16.95,16.75,16.795,2942328
2016-01-11 09:30:00,16.98,17.05,16.81,16.82,2578042
2016-01-11 10:30:00,16.82,16.945,16.73,16.75,2017402
2016-01-11 11:30:00,16.755,16.79,16.53,16.55,2990583
2016-01-11 12:30:00,16.545,16.67,16.46,16.53,4591560
2016-01-11 13:30:00,16.53,16.57,16.4,16.55,3055172
2016-01-11 14:30:00,16.56,16.71,16.5,16.69,3355909
2016-01-11 15:30:00,16.69,16.77,16.67,16.68,3159001
2016-01-12 09:30:00,16.93,17.2,16.8,16.81,2746069
2016-01-12 10:30:00,16.81,16.8877,16.655,16.695,1752912
2016-01-12 11:30:00,16.695,16.725,16.59,16.64,1672625
2016-01-12 12:30:00,16.64,16.68,16.57,16.66,1073978
2016-01-12 13:30:00,16.66,16.78,16.59,16.67,1351997
2016-01-12 14:30:00,16.67,16.79,16.645,16.74,1775247
2016-01-12 15:30:00,16.74,16.8,16.71,16.76,2362583
2016-01-13 09:30:00,16.92,17.105,16.775,16.78,3774033
2016-01-13 10:30:00,16.78,16.785,16.47,16.495,6044612
2016-01-13 11:30:00,16.49,16.62,16.42,16.47,2493632
2016-01-13 12:30:00,16.47,16.51,16.36,16.415,1632873
2016-01-13 13:30:00,16.415,16.46,16.12,16.235,4119194
2016-01-13 14:30:00,16.23,16.345,16.02,16.28,3056919
2016-01-13 15:30:00,16.275,16.33,16.17,16.2,3073438
2016-01-14 09:30:00,16.36,16.6,16.205,16.595,4224225
2016-01-14 10:30:00,16.595,16.72,16.485,16.52,3076540
2016-01-14 11:30:00,16.52,16.775,16.49,16.73,1102008
2016-01-14 12:30:00,16.74,16.95,16.72,16.945,1603075
2016-01-14 13:30:00,16.95,17.025,16.5329,17.0,2512841
2016-01-14 14:30:00,17.0,17.03,16.94,16.94,3155218
2016-01-14 15:30:00,16.94,16.945,16.79,16.815,3039314
