bar_start,open,high,low,close,volume
2016-01-14 09:30:00,2.29,2.32,2.21,2.315,2456021
2016-01-14 10:30:00,2.32,2.33,2.24,2.27,1728867
2016-01-14 11:30:00,2.2682,2.31,2.255,2.31,904907
2016-01-14 12:30:00,2.31,2.34,2.28,2.32,1381844
2016-01-14 13:30:00,2.32,2.35,2.245,2.27,2083076
2016-01-14 14:30:00,2.27,2.3,2.23,2.23,1528845
2016-01-14 15:30:00,2.23,2.25,2.21,2.21,4463094
2016-01-15 09:30:00,2.1,2.13,1.99,2.07,7460996
2016-01-15 10:30:00,2.07,2.09,2.01,2.05,3510499
2016-01-15 11:30:00,2.05,2.08,2.03,2.05,1978904
2016-01-15 12:30:00,2.045,2.06,2.01,2.02,2034911
2016-01-15 13:30:00,2.025,2.05,2.02,2.02,1338595
2016-01-15 14:30:00,2.03,2.05,2.01,2.025,2418726
2016-01-15 15:30:00,2.029,2.03,2.02,2.02,1919172
2016-01-19 09:30:00,2.08,2.11,2.02,2.045,3844640
2016-01-19 10:30:00,2.05,2.05,1.99,1.99,2456737
2016-01-19 11:30:00,1.99,2.0,1.96,1.985,2238262
2016-01-19 12:30:00,1.985,2.0389,1.96,1.96,1060899
2016-01-19 13:30:00,1.96,1.99,1.93,1.95,2108024
2016-01-19 14:30:00,1.945,1.95,1.9,1.925,2312591
2016-01-19 15:30:00,1.925,1.95,1.92,1.94,4078646
2016-01-20 09:30:00,1.81,1.95,1.8,1.89,8848594
2016-01-20 10:30:00,1.89,1.9,1.82,1.82,3531808
2016-01-20 11:30:00,1.82,1.85,1.74,1.795,2613430
2016-01-20 12:30:00,1.795,1.83,1.75,1.75,4444575
2016-01-20 13:30:00,1.76,1.86,1.75,1.8,2985564
2016-01-20 14:30:00,1.7901,1.87,1.79,1.87,2127223
2016-01-20 15:30:00,1.87,1.88,1.79,1.79,4349455
2016-01-21 09:30:00,1.82,2.18,1.81,2.1301,10491685
2016-01-21 10:30:00,2.1399,2.15,2.05,2.075,4105550
2016-01-21 11:30:00,2.075,2.1,2.05,2.055,2687421
2016-01-21 12:30:00,2.055,2.08,2.03,2.065,1917559
2016-01-21 13:30:00,2.07,2.07,2.03,2.06,2411226
2016-01-21 14:30:00,2.055,2.09,2.051,2.08,1680638
2016-01-21 15:30:00,2.0799,2.1,2.07,2.0801,2846425
2016-01-22 09:30:00,2.11,2.17,1.98,2.025,6269026
2016-01-22 10:30:00,2.03,2.03,1.98,2.025,3333602
