bar_start,open,high,low,close,volume
2016-01-11 09:30:00,5.68,5.75,5.65,5.66,111535
2016-01-11 10:30:00,5.67,5.705,5.63,5.66,136926
2016-01-11 11:30:00,5.66,5.69,5.63,5.64,79088
2016-01-11 12:30:00,5.64,5.66,5.62,5.64,101935
2016-01-11 13:30:00,5.65,5.66,5.59,5.6336,99304
2016-01-11 14:30:00,5.64,5.71,5.6,5.7,112600
2016-01-11 15:30:00,5.7,5.72,5.66,5.67,120542
2016-01-12 09:30:00,5.73,5.84,5.62,5.64,103833
2016-01-12 10:30:00,5.65,5.67,5.57,5.6,74546
2016-01-12 11:30:00,5.6,5.64,5.51,5.57,50138
2016-01-12 12:30:00,5.56,5.57,5.51,5.54,76998
2016-01-12 13:30:00,5.55,5.56,5.53,5.56,60008
2016-01-12 14:30:00,5.55,5.67,5.55,5.63,95004
2016-01-12 15:30:00,5.63,5.685,5.61,5.66,128387
2016-01-13 09:30:00,5.7,5.81,5.64,5.65,55518
2016-01-13 10:30:00,5.65,5.6999,5.63,5.645,101833
2016-01-13 11:30:00,5.645,5.67,5.6,5.61,110832
2016-01-13 12:30:00,5.61,5.6599,5.57,5.63,130670
2016-01-13 13:30:00,5.64,5.66,5.56,5.6499,202343
2016-01-13 14:30:00,5.645,5.7,5.59,5.6816,205853
2016-01-13 15:30:00,5.685,5.695,5.65,5.65,164771
2016-01-14 09:30:00,5.68,5.85,5.56,5.73,176409
2016-01-14 10:30:00,5.74,5.78,5.55,5.56,133183
2016-01-14 11:30:00,5.57,5.67,5.55,5.655,118153
2016-01-14 12:30:00,5.65,5.79,5.65,5.79,75702
2016-01-14 13:30:00,5.785,5.805,5.66,5.69,117744
2016-01-14 14:30:00,5.7,5.75,5.68,5.68,170197
2016-01-14 15:30:00,5.69,5.69,5.65,5.67,208076
2016-01-15 09:30:00,5.48,5.57,5.42,5.51,306833
2016-01-15 10:30:00,5.5,5.53,5.47,5.5,167284
2016-01-15 11:30:00,5.5,5.53,5.44,5.48,131396
2016-01-15 12:30:00,5.4799,5.5,5.43,5.48,155750
2016-01-15 13:30:00,5.47,5.52,5.465,5.49,58275
