bar_start,open,high,low,close,volume
2016-02-01 09:30:00,3.83,3.9069,3.8,3.8,4504
2016-02-01 10:30:00,3.8375,3.88,3.8,3.85,5767
2016-02-01 11:30:00,3.8456,3.8456,3.8456,3.8456,200
2016-02-01 12:30:00,3.8301,3.8301,3.75,3.75,16825
2016-02-01 13:30:00,3.8365,3.8365,3.8003,3.8003,4600
2016-02-01 14:30:00,3.8,3.8,3.8,3.8,200
2016-02-01 15:30:00,3.8,3.81,3.75,3.75,1000
2016-02-02 09:30:00,3.8,3.81,3.7701,3.8,1201
2016-02-02 10:30:00,3.7949,3.8,3.782,3.79,800
2016-02-02 11:30:00,3.8,3.8,3.78,3.78,450
2016-02-02 12:30:00,3.78,3.79,3.77,3.77,1454
2016-02-02 13:30:00,3.7611,3.7611,3.75,3.75,595
2016-02-02 14:30:00,3.7672,3.7672,3.65,3.65,11970
2016-02-02 15:30:00,3.6799,3.7,3.65,3.65,2940
2016-02-03 09:30:00,3.61,3.62,3.5,3.56,4324
2016-02-03 10:30:00,3.5904,3.66,3.59,3.627,7308
2016-02-03 11:30:00,3.64,3.64,3.64,3.64,500
2016-02-03 12:30:00,3.64,3.64,3.64,3.64,200
2016-02-03 13:30:00,3.65,3.65,3.64,3.65,680
2016-02-03 14:30:00,3.66,3.68,3.66,3.68,1100
2016-02-03 15:30:00,3.68,3.81,3.68,3.77,4506
2016-02-04 09:30:00,3.84,3.96,3.55,3.67,1465
2016-02-04 10:30:00,3.67,3.71,3.67,3.6803,950
2016-02-04 11:30:00,3.7,3.75,3.6989,3.75,920
2016-02-04 12:30:00,3.73,3.76,3.73,3.76,770
2016-02-04 13:30:00,3.76,3.78,3.76,3.78,704
2016-02-04 14:30:00,3.78,3.79,3.78,3.79,111
2016-02-04 15:30:00,3.78,3.89,3.78,3.88,5501
2016-02-05 09:30:00,,,,,0
2016-02-05 10:30:00,3.68,3.93,3.654,3.82,5454
2016-02-05 11:30:00,,,,,0
2016-02-05 12:30:00,3.72,3.8,3.72,3.8,3310
2016-02-05 13:30:00,3.8,3.81,3.8,3.81,3758
2016-02-05 14:30:00,3.83,3.85,3.83,3.8401,1243
2016-02-05 15:30:00,3.84,3.9,3.82,3.9,3491
2016-02-08 09:30:00,3.9,3.9,3.621,3.6401,1098
2016-02-08 10:30:00,3.7,3.7,3.65,3.6703,16310
2016-02-08 11:30:00,3.7,3.74,3.641,3.67,3900
2016-02-08 12:30:00,3.73,3.74,3.73,3.74,300
2016-02-08 13:30:00,3.73,3.8,3.72,3.74,15700
2016-02-08 14:30:00,3.8,3.9,3.67,3.9,16080
2016-02-08 15:30:00,3.99,4.07,3.82,4.07,5754
2016-02-09 09:30:00,3.98,4.1475,3.98,4.055,2600
2016-02-09 10:30:00,4.0,4.09,3.94,3.94,3873
2016-02-09 11:30:00,3.7701,3.81,3.74,3.81,1625
2016-02-09 12:30:00,3.78,3.81,3.76,3.7838,1750
2016-02-09 13:30:00,3.796,3.8,3.76,3.8,1000
2016-02-09 14:30:00,3.83,3.83,3.79,3.82,4495
2016-02-09 15:30:00,3.84,3.95,3.83,3.94,3346
2016-02-10 09:30:00,3.94,3.99,3.5643,3.99,5270
2016-02-10 10:30:00,4.0,4.0,4.0,4.0,200
2016-02-10 11:30:00,,,,,0
2016-02-10 12:30:00,3.7401,3.985,3.7401,3.97,10601
2016-02-10 13:30:00,3.97,4.07,3.95,4.07,13628
2016-02-10 14:30:00,4.06,4.09,4.06,4.09,900
2016-02-10 15:30:00,4.09,4.09,4.0,4.04,4702
2016-02-11 09:30:00,3.97,4.0499,3.87,4.0101,1209
2016-02-11 10:30:00,3.971,3.975,3.971,3.975,500
2016-02-11 11:30:00,3.95,4.0,3.95,3.9542,7702
2016-02-11 12:30:00,3.88,3.92,3.814,3.85,11200
2016-02-11 13:30:00,3.88,3.9,3.88,3.88,3200
2016-02-11 14:30:00,3.9,3.92,3.9,3.92,200
2016-02-11 15:30:00,3.92,3.94,3.92,3.94,200
2016-04-25 09:30:00,4.4001,4.41,4.4,4.41,400
2016-04-25 10:30:00,4.4101,4.4101,4.4101,4.4101,900
2016-04-25 11:30:00,,,,,0
2016-04-25 12:30:00,,,,,0
2016-04-25 13:30:00,,,,,0
2016-04-25 14:30:00,,,,,0
2016-04-25 15:30:00,,,,,0
2016-04-26 09:30:00,4.44,4.44,4.4,4.4,1612
2016-04-26 10:30:00,,,,,0
2016-04-26 11:30:00,4.34,4.34,4.34,4.34,100
2016-04-26 12:30:00,4.304,4.38,4.304,4.38,500
2016-04-26 13:30:00,,,,,0
2016-04-26 14:30:00,4.3261,4.37,4.17,4.18,5951
2016-04-26 15:30:00,4.2,4.37,4.2,4.36,7740
2016-04-27 09:30:00,4.32,4.32,4.32,4.32,202
2016-04-27 10:30:00,,,,,0
2016-04-27 11:30:00,4.3499,4.3499,4.3499,4.3499,25
2016-04-27 12:30:00,,,,,0
2016-04-27 13:30:00,,,,,0
2016-04-27 14:30:00,4.26,4.268,4.26,4.268,1350
2016-04-27 15:30:00,4.3299,4.3299,4.25,4.26,321
2016-04-28 09:30:00,4.28,4.28,4.28,4.28,500
2016-04-28 10:30:00,,,,,0
2016-04-28 11:30:00,4.36,4.36,4.36,4.36,1
2016-04-28 12:30:00,,,,,0
2016-04-28 13:30:00,,,,,0
2016-04-28 14:30:00,4.2265,4.2265,4.2265,4.2265,300
2016-04-28 15:30:00,4.19,4.19,4.16,4.16,120
2016-04-29 09:30:00,4.2302,4.2551,4.22,4.25,3118
2016-04-29 10:30:00,4.24,4.24,4.22,4.22,36
2016-04-29 11:30:00,4.2,4.2,4.2,4.2,1000
2016-04-29 12:30:00,4.2,4.2,4.2,4.2,200
2016-04-29 13:30:00,4.19,4.19,4.1699,4.1699,350
2016-04-29 14:30:00,4.152,4.152,4.1298,4.1298,3465
2016-04-29 15:30:00,4.1193,4.19,4.1193,4.13,7242
2016-05-02 09:30:00,4.09,4.12,4.09,4.12,2610
2016-05-02 10:30:00,4.1963,4.1963,4.1963,4.1963,100
2016-05-02 11:30:00,4.19,4.23,4.19,4.23,120
2016-05-02 12:30:00,,,,,0
2016-05-02 13:30:00,4.2,4.2,4.1953,4.1953,250
2016-05-02 14:30:00,4.15,4.1716,4.01,4.01,4170
2016-05-02 15:30:00,4.0101,4.09,4.0101,4.02,908
2016-05-03 09:30:00,4.06,4.07,4.06,4.07,11038
2016-05-03 10:30:00,,,,,0
2016-05-03 11:30:00,,,,,0
2016-05-03 12:30:00,,,,,0
2016-05-03 13:30:00,,,,,0
2016-05-03 14:30:00,,,,,0
2016-05-03 15:30:00,4.11,4.13,4.11,4.13,540
2016-05-04 09:30:00,4.09,4.09,4.09,4.09,32
2016-05-04 10:30:00,4.07,4.0999,4.07,4.0999,200
2016-05-04 11:30:00,4.0799,4.08,4.07,4.07,479
2016-05-04 12:30:00,4.0999,4.0999,4.06,4.06,700
2016-05-04 13:30:00,,,,,0
2016-05-04 14:30:00,4.096,4.096,4.096,4.096,200
2016-05-04 15:30:00,4.1,4.25,4.09,4.25,4396
2016-05-05 09:30:00,4.33,4.38,4.27,4.27,53
2016-05-05 10:30:00,4.38,4.38,4.38,4.38,2
2016-05-05 11:30:00,,,,,0
2016-05-05 12:30:00,,,,,0
2016-05-05 13:30:00,4.2495,4.2495,4.1701,4.1701,101
2016-05-05 14:30:00,,,,,0
2016-05-05 15:30:00,4.34,4.35,4.19,4.35,462
2016-07-25 09:30:00,5.34,5.3499,5.32,5.3386,23099
2016-07-25 10:30:00,5.32,5.3389,5.3,5.3389,15206
