bar_start,open,high,low,close,volume
2016-01-11 09:30:00,82.98,83.26,82.64,82.83,306367
2016-01-11 10:30:00,82.8,83.15,82.02,82.51,156716
2016-01-11 11:30:00,82.51,82.78,81.89,82.06,105756
2016-01-11 12:30:00,82.045,82.25,81.84,81.8695,85210
2016-01-11 13:30:00,81.85,82.17,81.6,82.11,114789
2016-01-11 14:30:00,82.135,82.34,81.68,82.28,120833
2016-01-11 15:30:00,82.275,82.57,82.21,82.34,169173
2016-01-12 09:30:00,83.35,83.95,82.71,82.87,176741
2016-01-12 10:30:00,82.87,83.17,82.34,82.451,90873
2016-01-12 11:30:00,82.48,82.62,81.91,82.01,66481
2016-01-12 12:30:00,82.02,82.28,81.665,82.0,62763
2016-01-12 13:30:00,82.05,82.374,81.94,82.26,103815
2016-01-12 14:30:00,82.25,82.62,82.06,82.41,183620
2016-01-12 15:30:00,82.4101,82.83,82.32,82.67,167990
2016-01-13 09:30:00,82.75,83.1,82.02,82.34,163590
2016-01-13 10:30:00,82.36,82.36,81.58,81.64,107137
2016-01-13 11:30:00,81.64,81.8884,81.38,81.49,63945
2016-01-13 12:30:00,81.46,81.48,81.11,81.17,97088
2016-01-13 13:30:00,81.17,81.26,80.3975,80.71,105201
2016-01-13 14:30:00,80.67,80.69,79.87,80.22,183722
2016-01-13 15:30:00,80.22,80.3992,80.0,80.01,167436
2016-01-14 09:30:00,82.31,82.44,81.05,81.81,549026
2016-01-14 10:30:00,81.79,82.45,81.26,81.625,175173
2016-01-14 11:30:00,81.66,82.26,81.42,82.19,48762
2016-01-14 12:30:00,82.11,82.81,82.08,82.74,79807
2016-01-14 13:30:00,82.73,83.19,82.4,83.19,207349
2016-01-14 14:30:00,83.2,83.49,82.97,83.23,174479
2016-01-14 15:30:00,83.26,83.26,82.8,82.9,115710
2016-01-15 09:30:00,78.66,79.45,78.39,78.83,554256
2016-01-15 10:30:00,78.81,79.3,78.07,78.43,160735
2016-01-15 11:30:00,78.36,78.55,77.37,77.61,73944
2016-01-15 12:30:00,77.5,77.96,77.1733,77.63,78972
2016-01-15 13:30:00,77.63,77.97,77.43,77.49,92135
2016-01-15 14:30:00,77.48,78.23,77.39,77.92,237048
2016-01-15 15:30:00,77.95,78.01,77.37,77.47,281480
2016-01-19 09:30:00,79.79,80.61,79.56,80.57,447863
2016-01-19 10:30:00,80.56,80.65,79.88,80.25,274912
2016-01-19 11:30:00,80.31,80.79,80.05,80.79,134473
2016-01-19 12:30:00,80.79,80.85,80.33,80.36,93064
2016-01-19 13:30:00,80.3999,80.52,79.55,79.87,105534
2016-01-19 14:30:00,79.87,80.42,79.3,80.32,138744
2016-01-19 15:30:00,80.33,80.86,80.2,80.32,216232
2016-04-14 09:30:00,100.79,100.8,99.85,100.26,231570
2016-04-14 10:30:00,100.28,100.36,99.81,99.91,78480
2016-04-14 11:30:00,99.9,100.43,99.77,100.43,39860
2016-04-14 12:30:00,100.39,100.7,100.34,100.66,27930
2016-04-14 13:30:00,100.64,100.68,100.48,100.48,36919
2016-04-14 14:30:00,100.431,100.56,100.31,100.45,55877
2016-04-14 15:30:00,100.44,100.58,100.25,100.37,45952
2016-04-15 09:30:00,99.87,100.44,99.69,100.3,167920
2016-04-15 10:30:00,100.3,100.56,100.13,100.21,54275
2016-04-15 11:30:00,100.25,100.33,99.91,100.03,39426
2016-04-15 12:30:00,100.0101,100.03,99.65,99.67,34030
2016-04-15 13:30:00,99.68,99.74,99.4201,99.5401,61404
2016-04-15 14:30:00,99.58,99.65,99.41,99.57,82008
2016-04-15 15:30:00,99.57,99.63,99.31,99.55,94093
2016-04-18 09:30:00,98.88,99.92,98.79,99.83,78619
2016-04-18 10:30:00,99.86,100.0305,99.44,99.44,43924
2016-04-18 11:30:00,99.46,99.479,99.11,99.31,17727
2016-04-18 12:30:00,99.37,99.58,99.18,99.23,33425
2016-04-18 13:30:00,99.22,99.33,99.1601,99.19,19833
2016-04-18 14:30:00,99.195,99.34,99.13,99.14,80160
2016-04-18 15:30:00,99.13,99.31,99.12,99.23,54778
2016-04-19 09:30:00,100.24,100.31,99.93,100.3,222147
2016-04-19 10:30:00,100.29,100.74,100.21,100.47,110105
2016-04-19 11:30:00,100.47,100.67,99.59,99.691,88017
2016-04-19 12:30:00,99.71,99.98,99.42,99.775,65288
2016-04-19 13:30:00,99.81,99.89,99.48,99.56,93838
2016-04-19 14:30:00,99.55,99.89,99.35,99.84,99694
2016-04-19 15:30:00,99.84,99.91,99.64,99.75,117317
2016-04-20 09:30:00,99.01,99.56,95.9,96.7,513517
2016-04-20 10:30:00,96.71,96.79,95.91,95.95,244318
2016-04-20 11:30:00,95.96,95.96,95.13,95.24,284744
2016-04-20 12:30:00,95.3,96.57,95.3,96.452,102353
2016-04-20 13:30:00,96.5,97.3,96.242,96.94,548990
2016-04-20 14:30:00,96.99,97.27,96.75,96.95,183187
2016-04-20 15:30:00,96.95,96.97,96.36,96.44,130765
2016-04-21 09:30:00,97.24,97.24,96.0,96.005,192751
2016-04-21 10:30:00,96.03,96.51,95.92,96.13,169993
2016-04-21 11:30:00,96.16,96.16,95.51,95.96,66580
2016-04-21 12:30:00,95.92,96.07,95.86,96.02,15498
2016-04-21 13:30:00,95.9201,96.22,95.9201,96.13,28611
2016-04-21 14:30:00,96.1,96.2,95.85,95.96,46494
2016-04-21 15:30:00,95.96,96.01,95.78,95.83,61951
2016-04-22 09:30:00,95.73,96.47,95.66,96.17,79208
2016-04-22 10:30:00,96.25,96.31,95.68,95.79,48325
2016-04-22 11:30:00,95.77,95.94,95.45,95.45,21352
2016-04-22 12:30:00,95.47,95.64,95.2901,95.44,10111
2016-04-22 13:30:00,95.4401,95.849,95.43,95.76,20001
2016-04-22 14:30:00,95.795,95.8999,95.7,95.82,43234
2016-04-22 15:30:00,95.77,95.88,95.69,95.87,43703
2016-04-25 09:30:00,96.3,96.47,96.14,96.21,108744
2016-04-25 10:30:00,96.23,96.52,96.14,96.4,90795
2016-04-25 11:30:00,96.38,96.43,95.98,96.12,12717
2016-04-25 12:30:00,96.14,96.35,96.05,96.35,15372
2016-04-25 13:30:00,96.31,96.38,95.94,96.1201,15746
2016-04-25 14:30:00,96.1,96.2,95.93,96.01,29381
2016-04-25 15:30:00,96.025,96.19,96.01,96.13,52967
2016-04-26 09:30:00,96.45,96.86,96.36,96.63,106459
2016-04-26 10:30:00,96.55,96.71,96.43,96.67,48775
2016-04-26 11:30:00,96.71,96.98,96.69,96.93,36389
2016-04-26 12:30:00,96.92,96.92,96.64,96.71,19897
2016-04-26 13:30:00,96.73,96.82,96.4898,96.49,31564
2016-04-26 14:30:00,96.47,96.58,96.29,96.39,42917
2016-04-26 15:30:00,96.36,96.4799,96.34,96.41,50625
2016-04-27 09:30:00,97.73,98.05,97.67,97.93,179767
2016-04-27 10:30:00,97.92,98.06,97.83,98.01,75468
2016-04-27 11:30:00,98.02,98.66,98.02,98.63,55169
2016-04-27 12:30:00,98.66,98.84,98.57,98.62,47151
