bar_start,open,high,low,close,volume
2016-01-14 09:30:00,18.69,18.93,18.555,18.93,728161
2016-01-14 10:30:00,18.93,19.12,18.83,18.935,863096
2016-01-14 11:30:00,18.93,19.115,18.9,19.08,462766
2016-01-14 12:30:00,19.08,19.285,19.08,19.245,392623
2016-01-14 13:30:00,19.245,19.3544,18.8923,19.32,679090
2016-01-14 14:30:00,19.32,19.48,19.3,19.445,667859
2016-01-14 15:30:00,19.445,19.46,19.36,19.39,972492
2016-01-15 09:30:00,18.82,19.15,18.586,19.02,648706
2016-01-15 10:30:00,19.01,19.15,18.97,19.06,433057
2016-01-15 11:30:00,19.06,19.11,18.78,18.83,471437
2016-01-15 12:30:00,18.83,18.8654,18.72,18.78,319696
2016-01-15 13:30:00,18.78,18.915,18.74,18.81,329594
2016-01-15 14:30:00,18.81,19.04,18.8,19.0,385957
2016-01-15 15:30:00,19.0,19.0175,18.93,18.99,453804
2016-01-19 09:30:00,19.2,19.33,19.05,19.33,442930
2016-01-19 10:30:00,19.33,19.345,19.0,19.09,277135
2016-01-19 11:30:00,19.1,19.115,18.93,19.01,288764
2016-01-19 12:30:00,18.9485,19.12,18.9485,19.03,311463
2016-01-19 13:30:00,19.025,19.0321,18.72,18.83,312560
2016-01-19 14:30:00,18.825,18.93,18.71,18.92,303295
2016-01-19 15:30:00,18.93,18.975,18.85,18.85,421420
2016-01-20 09:30:00,18.54,18.76,18.51,18.56,358278
2016-01-20 10:30:00,18.57,18.57,18.41,18.51,469822
2016-01-20 11:30:00,18.51,18.63,18.32,18.34,272623
2016-01-20 12:30:00,18.35,18.605,18.35,18.51,289732
2016-01-20 13:30:00,18.51,18.84,18.5,18.78,382382
2016-01-20 14:30:00,18.78,19.17,18.75,19.16,664901
2016-01-20 15:30:00,19.16,19.165,19.01,19.03,804822
2016-01-21 09:30:00,19.12,19.18,18.3,19.11,172322
2016-01-21 10:30:00,19.11,19.1801,18.96,19.04,252780
2016-01-21 11:30:00,19.05,19.26,19.03,19.205,183189
2016-01-21 12:30:00,19.21,19.24,19.1,19.1,184843
2016-01-21 13:30:00,19.1,19.1501,18.93,18.99,244173
2016-01-21 14:30:00,18.99,19.13,18.985,19.03,225409
2016-01-21 15:30:00,19.03,19.11,18.93,18.93,387541
2016-01-22 09:30:00,19.2,19.38,19.12,19.2,356832
2016-01-22 10:30:00,19.2,19.31,19.17,19.28,243267
2016-01-22 11:30:00,19.29,19.37,19.205,19.3301,190449
2016-01-22 12:30:00,19.33,19.44,19.31,19.39,171713
2016-01-22 13:30:00,19.39,19.48,19.37,19.44,199836
2016-01-22 14:30:00,19.43,19.5,19.38,19.49,354264
2016-01-22 15:30:00,19.49,19.55,19.445,19.51,370679
2016-02-12 09:30:00,20.4,20.49,20.08,20.2,493483
2016-02-12 10:30:00,20.21,20.435,20.2,20.425,511055
2016-02-12 11:30:00,20.43,20.47,20.31,20.33,332469
2016-02-12 12:30:00,20.335,20.35,20.22,20.25,235924
2016-02-12 13:30:00,20.25,20.32,20.125,20.2901,362943
2016-02-12 14:30:00,20.295,20.35,20.235,20.305,370580
2016-02-12 15:30:00,20.305,20.31,20.245,20.29,518318
