bar_start,open,high,low,close,volume
2016-01-21 09:30:00,8.37,8.68,8.35,8.35,361
2016-01-21 10:30:00,8.35,8.35,8.35,8.35,100
2016-01-21 11:30:00,8.21,8.2854,8.21,8.2854,2200
2016-01-21 12:30:00,8.24,8.2799,8.21,8.21,3514
2016-01-21 13:30:00,8.21,8.29,8.16,8.16,1600
2016-01-21 14:30:00,8.16,8.2,8.1,8.1,8788
2016-01-21 15:30:00,8.1,8.13,8.08,8.12,907
2016-01-22 09:30:00,8.2066,8.28,8.2066,8.28,255
2016-01-22 10:30:00,8.2695,8.3,8.2695,8.3,1605
2016-01-22 11:30:00,8.4399,8.4399,8.4399,8.4399,30
2016-01-22 12:30:00,8.42,8.42,8.42,8.42,100
2016-01-22 13:30:00,8.44,8.44,8.41,8.41,179
2016-01-22 14:30:00,8.2601,8.41,8.2601,8.379,407
2016-01-22 15:30:00,8.3,8.45,8.3,8.45,2513
2016-01-25 09:30:00,8.475,8.61,8.475,8.6,9440
2016-01-25 10:30:00,8.69,8.69,8.69,8.69,100
2016-01-25 11:30:00,8.69,8.69,8.69,8.69,100
2016-01-25 12:30:00,8.69,8.69,8.69,8.69,100
2016-01-25 13:30:00,8.65,8.69,8.65,8.69,102
2016-01-25 14:30:00,8.69,8.78,8.69,8.78,2392
2016-01-25 15:30:00,8.65,8.65,8.65,8.65,50
2016-01-26 09:30:00,8.7,8.8,8.69,8.69,303
2016-01-26 10:30:00,,,,,0
2016-01-26 11:30:00,8.79,8.79,8.659,8.74,1500
2016-01-26 12:30:00,8.661,8.76,8.656,8.74,6500
2016-01-26 13:30:00,8.74,8.8,8.679,8.73,4677
2016-01-26 14:30:00,8.71,8.8,8.701,8.71,3200
2016-01-26 15:30:00,8.71,8.8,8.7,8.71,1780
2016-01-27 09:30:00,8.9,8.9,8.606,8.72,1835
2016-01-27 10:30:00,8.61,8.73,8.6,8.61,1752
2016-01-27 11:30:00,8.71,8.75,8.71,8.75,2272
2016-01-27 12:30:00,8.75,8.85,8.67,8.67,955
2016-01-27 13:30:00,8.777,8.84,8.777,8.84,686
2016-01-27 14:30:00,8.7059,8.7059,8.7059,8.7059,300
2016-01-27 15:30:00,8.64,8.64,8.64,8.64,13
2016-01-28 09:30:00,8.77,8.78,8.7,8.78,756
2016-01-28 10:30:00,8.78,8.78,8.62,8.78,2600
2016-01-28 11:30:00,8.78,8.78,8.78,8.78,1400
2016-01-28 12:30:00,8.78,8.85,8.78,8.85,1245
2016-01-28 13:30:00,8.85,8.85,8.786,8.85,3399
2016-01-28 14:30:00,8.83,8.88,8.83,8.88,700
2016-01-28 15:30:00,8.87,8.88,8.84,8.85,2577
2016-01-29 09:30:00,8.79,8.92,8.79,8.92,2656
2016-01-29 10:30:00,8.9,8.9,8.86,8.9,3180
2016-01-29 11:30:00,8.9,8.9,8.8947,8.9,1708
2016-01-29 12:30:00,8.89,8.89,8.78,8.79,204
2016-01-29 13:30:00,8.85,8.9,8.804,8.9,1600
2016-01-29 14:30:00,8.7812,8.92,8.7812,8.846,3875
2016-01-29 15:30:00,8.9,8.9,8.9,8.9,1281
2016-02-01 09:30:00,,,,,0
2016-02-01 10:30:00,,,,,0
2016-02-01 11:30:00,8.62,8.86,8.62,8.86,472
2016-02-01 12:30:00,8.86,8.86,8.838,8.86,3100
2016-02-01 13:30:00,8.8599,8.9,8.8,8.9,2800
2016-02-01 14:30:00,8.8868,8.9,8.86,8.86,1549
2016-02-01 15:30:00,,,,,0
2016-02-02 09:30:00,,,,,0
2016-02-02 10:30:00,,,,,0
2016-02-02 11:30:00,,,,,0
2016-02-02 12:30:00,,,,,0
2016-02-02 13:30:00,8.77,8.86,8.6,8.86,406
2016-02-02 14:30:00,8.6101,8.6101,8.6101,8.6101,103
2016-02-02 15:30:00,8.79,8.86,8.68,8.68,2238
2016-02-03 09:30:00,8.86,8.86,8.8,8.8,1700
2016-02-03 10:30:00,8.85,8.85,8.85,8.85,36
2016-02-03 11:30:00,,,,,0
2016-02-03 12:30:00,8.78,8.78,8.75,8.75,965
2016-02-03 13:30:00,8.75,8.75,8.75,8.75,290
2016-02-03 14:30:00,8.69,8.75,8.64,8.75,1857
2016-02-03 15:30:00,8.75,8.76,8.75,8.76,52
2016-02-04 09:30:00,8.6768,8.6768,8.6768,8.6768,50
2016-02-04 10:30:00,,,,,0
2016-02-04 11:30:00,8.83,8.85,8.83,8.85,137
2016-02-04 12:30:00,8.7001,8.7001,8.7,8.7,184
2016-02-04 13:30:00,8.77,8.77,8.76,8.76,300
2016-02-04 14:30:00,8.67,8.67,8.65,8.66,2263
2016-02-04 15:30:00,8.66,8.68,8.65,8.68,1402
2016-04-14 09:30:00,,,,,0
2016-04-14 10:30:00,,,,,0
2016-04-14 11:30:00,7.15,7.15,6.9101,6.9101,240
2016-04-14 12:30:00,7.0999,7.144,6.9101,7.0999,600
2016-04-14 13:30:00,7.16,7.17,7.0098,7.0098,241
2016-04-14 14:30:00,7.16,7.16,7.138,7.138,351
2016-04-14 15:30:00,7.13,7.14,7.13,7.14,194
2016-04-15 09:30:00,7.13,7.13,7.04,7.04,900
2016-04-15 10:30:00,7.16,7.16,7.16,7.16,100
2016-04-15 11:30:00,7.02,7.085,6.9701,7.085,1200
2016-04-15 12:30:00,7.15,7.15,7.03,7.03,200
2016-04-15 13:30:00,7.1399,7.15,7.095,7.15,553
2016-04-15 14:30:00,7.15,7.15,7.15,7.15,100
2016-04-15 15:30:00,7.14,7.14,7.0,7.05,1301
2016-04-18 09:30:00,6.95,7.0114,6.95,7.0114,3141
2016-04-18 10:30:00,7.03,7.03,6.95,6.9505,607
2016-04-18 11:30:00,7.0,7.0,6.95,6.95,1805
2016-04-18 12:30:00,6.99,7.03,6.9501,6.9501,662
2016-04-18 13:30:00,6.95,7.006,6.95,7.006,101
2016-04-18 14:30:00,6.95,6.95,6.95,6.95,200
2016-04-18 15:30:00,7.01,7.01,6.95,7.0,784
2016-04-19 09:30:00,7.01,7.08,6.9999,7.05,600
2016-04-19 10:30:00,7.07,7.14,7.04,7.14,710
2016-04-19 11:30:00,7.0201,7.0201,6.97,6.97,1580
2016-04-19 12:30:00,7.0,7.0701,7.0,7.07,1596
2016-04-19 13:30:00,7.05,7.14,7.01,7.14,300
2016-04-19 14:30:00,7.12,7.12,7.12,7.12,100
2016-04-19 15:30:00,6.97,7.1499,6.97,7.0,28037
2016-04-20 09:30:00,7.0,7.4,7.0,7.14,16156
2016-04-20 10:30:00,7.1,7.15,7.1,7.15,360
2016-04-20 11:30:00,7.09,7.14,7.09,7.14,1005
2016-04-20 12:30:00,7.2,7.2,7.2,7.2,5100
2016-04-20 13:30:00,7.2,7.29,7.18,7.25,18335
2016-04-20 14:30:00,7.25,7.29,7.25,7.25,3070
2016-04-20 15:30:00,7.2,7.296,7.2,7.28,700
2016-04-21 09:30:00,7.1501,7.36,7.15,7.34,436
2016-04-21 10:30:00,7.34,7.35,7.34,7.35,1500
2016-04-21 11:30:00,7.291,7.32,7.25,7.25,1762
2016-04-21 12:30:00,7.2,7.31,7.2,7.2999,1162
2016-04-21 13:30:00,7.16,7.16,7.05,7.05,1230
2016-04-21 14:30:00,7.1333,7.17,7.1333,7.17,642
2016-04-21 15:30:00,7.17,7.17,7.1,7.15,2238
2016-04-22 09:30:00,7.07,7.15,7.07,7.07,1389
2016-04-22 10:30:00,7.0,7.3,6.85,6.94,27163
2016-04-22 11:30:00,6.94,7.0,6.85,7.0,20761
2016-04-22 12:30:00,7.0,7.0,6.91,6.9999,201
2016-04-22 13:30:00,6.98,6.99,6.96,6.97,3472
2016-04-22 14:30:00,7.2,7.2,7.07,7.19,700
2016-04-22 15:30:00,6.93,7.09,6.92,7.09,707
2016-04-25 09:30:00,7.01,7.22,7.01,7.055,6162
2016-04-25 10:30:00,7.0,7.0,6.65,6.65,7654
2016-04-25 11:30:00,6.7,6.7,6.5555,6.61,3788
2016-04-25 12:30:00,6.595,6.63,6.58,6.6299,7370
2016-04-25 13:30:00,6.63,6.6475,6.58,6.6475,21489
2016-04-25 14:30:00,6.605,6.7,6.6,6.64,12561
2016-04-25 15:30:00,6.6,6.786,6.6,6.6801,4202
2016-04-26 09:30:00,6.61,7.13,6.61,6.84,13514
2016-04-26 10:30:00,6.87,6.87,6.7,6.73,1650
2016-04-26 11:30:00,6.65,6.98,6.62,6.92,1701
2016-04-26 12:30:00,6.75,6.9499,6.69,6.7,9930
2016-04-26 13:30:00,6.774,6.8199,6.75,6.8,1500
2016-04-26 14:30:00,6.82,6.82,6.82,6.82,200
2016-04-26 15:30:00,6.77,6.81,6.76,6.77,1561
2016-04-27 09:30:00,6.95,7.03,6.86,6.86,1200
2016-04-27 10:30:00,6.8599,6.8599,6.6101,6.631,3328
2016-04-27 11:30:00,6.74,6.89,6.74,6.89,4662
2016-04-27 12:30:00,6.79,6.85,6.68,6.68,1543
2016-04-27 13:30:00,6.61,6.75,6.61,6.66,2128
2016-04-27 14:30:00,6.7,6.86,6.66,6.86,10323
2016-04-27 15:30:00,6.802,6.81,6.74,6.8,900
2016-04-28 09:30:00,6.7,6.94,6.7,6.75,1446
2016-04-28 10:30:00,6.72,6.91,6.72,6.91,5005
2016-04-28 11:30:00,6.88,6.908,6.82,6.83,3965
2016-04-28 12:30:00,6.85,6.85,6.8,6.8,350
2016-04-28 13:30:00,6.81,6.81,6.63,6.72,4633
2016-04-28 14:30:00,6.805,6.88,6.77,6.8,9959
2016-04-28 15:30:00,6.79,6.84,6.79,6.81,4559
2016-04-29 09:30:00,6.81,6.895,6.75,6.81,4181
2016-04-29 10:30:00,6.85,6.85,6.85,6.85,200
2016-04-29 11:30:00,6.85,6.9543,6.62,6.93,11688
2016-04-29 12:30:00,,,,,0
2016-04-29 13:30:00,6.8,6.8,6.8,6.8,440
2016-04-29 14:30:00,6.65,6.65,6.65,6.65,100
2016-04-29 15:30:00,6.91,6.91,6.63,6.88,8472
2016-05-02 09:30:00,6.87,6.9,6.87,6.89,4664
2016-05-02 10:30:00,6.87,6.87,6.796,6.819,423
2016-05-02 11:30:00,6.77,6.79,6.72,6.79,694
2016-05-02 12:30:00,6.741,6.78,6.741,6.765,4201
2016-05-02 13:30:00,6.78,6.8,6.76,6.76,140584
2016-05-02 14:30:00,6.7599,6.7599,6.74,6.74,180
2016-05-02 15:30:00,6.72,6.79,6.7,6.75,3492
2016-05-03 09:30:00,6.66,6.79,6.66,6.79,4175
2016-05-03 10:30:00,6.7,6.712,6.7,6.7,5000
2016-05-03 11:30:00,6.74,6.74,6.725,6.725,300
2016-05-03 12:30:00,6.72,6.72,6.71,6.72,800
2016-05-03 13:30:00,6.72,6.77,6.72,6.77,800
2016-05-03 14:30:00,6.77,6.77,6.76,6.76,500
2016-05-03 15:30:00,6.73,6.74,6.71,6.74,310
2016-05-04 09:30:00,6.71,6.76,6.71,6.76,305
2016-05-04 10:30:00,6.76,6.77,6.6476,6.6476,300
2016-05-04 11:30:00,6.76,6.76,6.7,6.71,500
2016-05-04 12:30:00,6.75,6.75,6.75,6.75,100
2016-05-04 13:30:00,6.69,6.74,6.69,6.71,500
2016-05-04 14:30:00,6.74,6.74,6.6101,6.6101,7173
2016-05-04 15:30:00,6.74,6.74,6.6,6.64,2870
2016-07-14 09:30:00,6.85,6.85,6.66,6.66,11
2016-07-14 10:30:00,,,,,0
2016-07-14 11:30:00,6.6501,6.7249,6.6501,6.7249,401
2016-07-14 12:30:00,6.651,6.651,6.651,6.651,116
2016-07-14 13:30:00,6.6501,6.72,6.6501,6.72,261
2016-07-14 14:30:00,6.715,6.715,6.65,6.65,775
2016-07-14 15:30:00,6.7061,6.76,6.65,6.75,920
2016-07-15 09:30:00,6.75,6.75,6.6782,6.6782,103
2016-07-15 10:30:00,,,,,0
2016-07-15 11:30:00,,,,,0
2016-07-15 12:30:00,6.6675,6.69,6.6675,6.69,600
2016-07-15 13:30:00,6.75,6.75,6.75,6.75,3
2016-07-15 14:30:00,6.667,6.667,6.667,6.667,196
2016-07-15 15:30:00,6.75,6.76,6.66,6.6601,821
2016-07-18 09:30:00,,,,,0
2016-07-18 10:30:00,,,,,0
2016-07-18 11:30:00,,,,,0
2016-07-18 12:30:00,6.5501,6.5501,6.5501,6.5501,4
2016-07-18 13:30:00,,,,,0
2016-07-18 14:30:00,6.56,6.6201,6.55,6.6201,391
2016-07-18 15:30:00,6.62,6.62,6.56,6.57,149
2016-07-19 09:30:00,6.8,6.8,6.8,6.8,1
2016-07-19 10:30:00,6.769,6.769,6.769,6.769,20
2016-07-19 11:30:00,,,,,0
2016-07-19 12:30:00,6.71,6.7195,6.71,6.71,320
2016-07-19 13:30:00,6.57,6.584,6.57,6.584,611
2016-07-19 14:30:00,6.57,6.77,6.49,6.77,1891
