bar_start,open,high,low,close,volume
2016-01-26 09:30:00,82.15,83.69,81.35,83.4,2802907
2016-01-26 10:30:00,83.42,84.22,83.23,83.96,2000331
2016-01-26 11:30:00,83.9456,84.44,83.69,84.17,1184681
2016-01-26 12:30:00,84.17,84.5,83.73,84.0521,1064579
2016-01-26 13:30:00,84.04,84.155,83.3,83.3908,966924
2016-01-26 14:30:00,83.39,83.8,83.14,83.51,1210787
2016-01-26 15:30:00,83.51,84.18,83.3762,84.12,1612150
2016-01-27 09:30:00,83.95,84.03,82.77,83.4501,2208359
2016-01-27 10:30:00,83.45,84.96,83.07,84.839,2057846
2016-01-27 11:30:00,84.84,85.78,84.81,85.26,1384692
2016-01-27 12:30:00,85.27,85.69,84.78,84.9911,1030301
2016-01-27 13:30:00,85.0,86.1,83.61,84.86,1551093
2016-01-27 14:30:00,84.85,84.9799,82.36,83.05,1874612
2016-01-27 15:30:00,83.06,83.81,83.02,83.29,1462138
2016-01-28 09:30:00,85.75,86.69,83.29,84.135,3233274
2016-01-28 10:30:00,84.19,86.1,83.7,85.36,1699745
2016-01-28 11:30:00,85.37,86.05,84.57,85.91,1318331
2016-01-28 12:30:00,85.94,86.11,84.91,85.4,1209284
2016-01-28 13:30:00,85.37,85.8299,85.04,85.48,1449355
2016-01-28 14:30:00,85.48,85.8,85.13,85.32,1518840
2016-01-28 15:30:00,85.31,86.02,85.29,85.86,1828180
2016-01-29 09:30:00,84.05,85.66,83.36,84.89,4268710
2016-01-29 10:30:00,84.9,85.038,83.91,83.91,2140636
2016-01-29 11:30:00,83.91,84.94,82.95,84.905,2379436
2016-01-29 12:30:00,84.8601,85.3599,83.9059,85.24,1416002
2016-01-29 13:30:00,85.25,85.9,85.08,85.715,1631446
2016-01-29 14:30:00,85.71,85.95,83.1965,85.88,1704906
2016-01-29 15:30:00,85.86,86.71,85.77,86.43,3166013
2016-02-01 09:30:00,85.15,86.47,84.35,84.8199,2559393
2016-02-01 10:30:00,84.8,85.2,84.593,84.8901,1536756
2016-02-01 11:30:00,84.9099,85.02,84.3,84.39,1086818
2016-02-01 12:30:00,84.4,84.59,84.24,84.5899,1022588
2016-02-01 13:30:00,84.56,85.28,84.36,85.2,1120821
2016-02-01 14:30:00,85.18,85.855,85.1176,85.8275,1284027
2016-02-01 15:30:00,85.82,86.09,85.21,85.25,1567135
2016-02-02 09:30:00,82.71,83.03,81.97,82.52,3054551
2016-02-02 10:30:00,82.51,83.04,82.32,82.69,1768735
2016-02-02 11:30:00,82.68,82.99,82.17,82.48,1054333
2016-02-02 12:30:00,82.49,82.635,82.22,82.45,974648
2016-02-02 13:30:00,82.45,82.45,81.7,81.712,1240940
2016-02-02 14:30:00,81.72,81.96,80.96,81.21,2146205
2016-02-02 15:30:00,81.2009,81.48,81.1,81.25,2094291
2016-02-03 09:30:00,82.39,82.54,80.55,80.7705,2414226
2016-02-03 10:30:00,80.73,83.33,79.85,83.1008,3016242
2016-02-03 11:30:00,83.1,83.52,82.54,82.98,1581042
2016-02-03 12:30:00,82.99,83.36,81.8291,82.93,1152235
2016-02-03 13:30:00,82.94,83.99,82.58,83.715,1340851
2016-02-03 14:30:00,83.68,84.58,83.43,83.78,1855681
2016-02-03 15:30:00,83.79,84.63,83.58,84.62,1557690
2016-02-04 09:30:00,84.56,85.84,83.81,85.453,2565294
2016-02-04 10:30:00,85.44,85.95,84.73,85.0,1703643
2016-02-04 11:30:00,84.99,85.796,84.43,85.44,1371917
2016-02-04 12:30:00,85.43,86.19,85.3093,85.77,1213445
2016-02-04 13:30:00,85.77,86.06,84.49,84.51,1633547
2016-02-04 14:30:00,84.52,85.21,84.48,84.96,1419376
2016-02-04 15:30:00,84.97,85.18,84.57,84.8,2069282
2016-02-05 09:30:00,83.98,84.29,82.91,83.44,2604755
2016-02-05 10:30:00,83.44,84.13,82.88,83.28,2207069
2016-02-05 11:30:00,83.25,83.68,82.96,83.42,1363279
2016-02-05 12:30:00,83.42,83.58,82.87,82.94,2114073
2016-02-05 13:30:00,82.94,83.01,82.25,82.32,1455104
2016-02-05 14:30:00,82.3101,83.22,82.2943,83.17,2164909
2016-02-05 15:30:00,83.17,83.2199,82.335,82.87,2234198
2016-04-26 09:30:00,102.05,102.69,101.87,102.12,1226140
2016-04-26 10:30:00,102.1,102.53,101.71,102.5299,707351
2016-04-26 11:30:00,102.52,102.98,102.44,102.605,630920
2016-04-26 12:30:00,102.61,102.74,102.27,102.525,549253
2016-04-26 13:30:00,102.5254,102.61,102.22,102.3399,664326
2016-04-26 14:30:00,102.34,102.43,102.055,102.1577,677788
2016-04-26 15:30:00,102.15,102.36,102.1301,102.26,632695
2016-04-27 09:30:00,102.86,103.45,102.4801,103.25,1665011
2016-04-27 10:30:00,103.22,103.25,102.38,102.6801,1214511
2016-04-27 11:30:00,102.72,103.59,102.55,103.52,1220868
2016-04-27 12:30:00,103.52,103.56,102.94,103.095,624920
2016-04-27 13:30:00,103.1,103.63,102.7436,103.44,771508
2016-04-27 14:30:00,103.45,103.69,103.28,103.655,964795
2016-04-27 15:30:00,103.6501,103.94,103.6178,103.86,1337785
2016-04-28 09:30:00,103.13,103.7899,102.95,103.77,1091186
2016-04-28 10:30:00,103.77,104.2787,103.7,103.85,1005850
2016-04-28 11:30:00,103.86,104.11,103.46,103.5774,677047
2016-04-28 12:30:00,103.58,104.04,103.5075,103.7,593152
2016-04-28 13:30:00,103.7,103.85,103.49,103.62,591382
