bar_start,open,high,low,close,volume
2017-04-25 09:30:00,75.41,75.92,75.08,75.54,393696
2017-04-25 10:30:00,75.51,75.83,75.45,75.81,242304
2017-04-25 11:30:00,75.79,76.2,75.65,75.9,265292
2017-04-25 12:30:00,75.89,76.169,75.69,76.11,437874
2017-04-25 13:30:00,76.1175,76.42,76.0,76.2403,164590
2017-04-25 14:30:00,76.23,76.35,76.19,76.27,210855
2017-04-25 15:30:00,76.265,76.285,76.13,76.13,327519
2017-04-26 09:30:00,76.33,76.68,75.7601,75.9901,267244
2017-04-26 10:30:00,76.01,76.17,75.65,75.8,206040
2017-04-26 11:30:00,75.79,76.21,75.78,76.191,371979
2017-04-26 12:30:00,76.195,76.38,76.18,76.2,116683
2017-04-26 13:30:00,76.2,76.61,76.09,76.6035,117798
2017-04-26 14:30:00,76.6,76.75,76.13,76.63,157816
2017-04-26 15:30:00,76.62,76.64,76.13,76.13,183247
2017-04-27 09:30:00,76.33,76.5,75.74,76.0,98814
2017-04-27 10:30:00,76.005,76.08,75.51,75.54,156563
2017-04-27 11:30:00,75.54,75.6886,75.35,75.6886,126784
2017-04-27 12:30:00,75.7,75.7,75.48,75.655,110457
2017-04-27 13:30:00,75.65,75.735,75.57,75.72,160416
2017-04-27 14:30:00,75.73,76.0,75.56,75.96,249775
2017-04-27 15:30:00,75.96,76.13,75.81,75.88,198876
2017-04-28 09:30:00,75.88,75.96,75.28,75.3301,122587
2017-04-28 10:30:00,75.33,75.42,74.95,75.31,151277
2017-04-28 11:30:00,75.31,75.34,75.07,75.2251,200185
2017-04-28 12:30:00,75.24,75.48,75.04,75.42,193093
2017-04-28 13:30:00,75.415,75.55,75.15,75.3,274089
2017-04-28 14:30:00,75.298,75.31,74.96,75.15,366197
2017-04-28 15:30:00,75.1731,75.55,75.13,75.39,356183
2017-05-01 09:30:00,75.38,75.72,75.0,75.3199,223897
2017-05-01 10:30:00,75.281,75.37,75.06,75.25,259123
2017-05-01 11:30:00,75.24,75.27,74.95,75.14,240286
2017-05-01 12:30:00,75.13,75.59,74.95,75.5263,489825
2017-05-01 13:30:00,75.53,76.38,75.43,76.3464,837225
2017-05-01 14:30:00,76.35,76.8,76.26,76.53,462460
2017-05-01 15:30:00,76.52,76.69,76.4,76.4,342103
2017-05-02 09:30:00,76.75,77.37,76.25,77.13,375050
2017-05-02 10:30:00,77.135,77.41,77.1,77.34,265042
2017-05-02 11:30:00,77.325,77.93,77.27,77.74,331682
2017-05-02 12:30:00,77.725,77.83,77.31,77.34,211929
2017-05-02 13:30:00,77.33,77.37,77.1,77.1,152882
2017-05-02 14:30:00,77.1,77.22,76.531,77.08,308966
2017-05-02 15:30:00,77.07,77.09,76.75,76.95,347378
2017-05-03 09:30:00,76.84,78.37,76.32,78.01,687066
2017-05-03 10:30:00,78.0,78.6,77.74,78.3699,661801
2017-05-03 11:30:00,78.37,78.49,78.13,78.41,463901
2017-05-03 12:30:00,78.42,78.48,77.98,78.03,229872
2017-05-03 13:30:00,78.01,78.13,77.65,77.68,206404
2017-05-03 14:30:00,77.68,77.7175,77.3,77.43,307176
2017-05-03 15:30:00,77.42,77.54,77.1,77.14,408936
2017-05-04 09:30:00,77.81,78.31,77.6,77.9,940073
2017-05-04 10:30:00,77.86,77.9294,77.62,77.72,225896
2017-05-04 11:30:00,77.735,78.0,77.735,77.884,168106
2017-05-04 12:30:00,77.9,78.14,77.84,78.0558,188054
2017-05-04 13:30:00,78.055,78.315,78.0,78.0,246804
2017-05-04 14:30:00,78.0,78.15,77.801,77.84,167755
2017-05-04 15:30:00,77.84,77.86,77.52,77.56,208173
2017-05-05 09:30:00,77.79,77.79,77.05,77.48,147004
2017-05-05 10:30:00,77.4999,77.96,77.41,77.93,126307
2017-05-05 11:30:00,77.93,77.99,77.59,77.59,83116
2017-05-05 12:30:00,77.5964,78.1,77.54,78.068,103263
2017-05-05 13:30:00,78.062,78.48,78.03,78.3799,147204
2017-05-05 14:30:00,78.3492,78.41,78.15,78.372,126975
2017-05-05 15:30:00,78.37,78.46,78.325,78.39,192169
2017-07-25 09:30:00,80.35,80.46,80.02,80.3136,81681
2017-07-25 10:30:00,80.3,80.33,80.1,80.11,66805
2017-07-25 11:30:00,80.11,80.4599,80.1,80.42,50427
2017-07-25 12:30:00,80.42,80.44,80.338,80.43,48284
2017-07-25 13:30:00,80.42,80.7399,80.36,80.47,130373
2017-07-25 14:30:00,80.485,80.52,80.15,80.15,121409
2017-07-25 15:30:00,80.14,80.1665,79.98,80.06,201220
2017-07-26 09:30:00,80.0,80.36,79.8425,80.29,68507
2017-07-26 10:30:00,80.31,80.38,80.14,80.37,118610
2017-07-26 11:30:00,80.37,80.39,79.9559,80.061,118138
2017-07-26 12:30:00,80.0899,80.14,80.01,80.02,61333
2017-07-26 13:30:00,80.0101,80.1099,79.99,80.031,89883
2017-07-26 14:30:00,80.03,80.25,80.01,80.1678,125949
2017-07-26 15:30:00,80.18,80.24,79.93,80.07,199866
2017-07-27 09:30:00,80.22,80.29,79.75,79.77,129404
2017-07-27 10:30:00,79.78,79.83,79.1756,79.23,132653
2017-07-27 11:30:00,79.22,79.46,78.93,78.93,179613
2017-07-27 12:30:00,78.93,79.04,77.6,77.76,325362
2017-07-27 13:30:00,77.74,78.57,77.37,78.27,271365
2017-07-27 14:30:00,78.25,78.53,77.98,78.4,343554
2017-07-27 15:30:00,78.42,78.5,78.32,78.49,309839
2017-07-28 09:30:00,78.41,78.89,78.309,78.6931,90496
2017-07-28 10:30:00,78.7,78.8,78.45,78.65,50960
2017-07-28 11:30:00,78.6001,78.6001,78.35,78.4,211303
2017-07-28 12:30:00,78.4,78.59,78.3801,78.495,85723
2017-07-28 13:30:00,78.5,78.6,78.36,78.56,63869
2017-07-28 14:30:00,78.55,78.56,78.34,78.5,86650
2017-07-28 15:30:00,78.5,78.58,78.39,78.45,135647
2017-07-31 09:30:00,78.54,79.0,77.96,78.125,151299
2017-07-31 10:30:00,78.13,78.25,78.03,78.16,96143
2017-07-31 11:30:00,78.18,78.3,78.145,78.241,61843
2017-07-31 12:30:00,78.26,78.34,78.07,78.33,93966
2017-07-31 13:30:00,78.33,78.46,78.17,78.4526,120560
2017-07-31 14:30:00,78.47,78.63,78.404,78.52,114279
2017-07-31 15:30:00,78.53,78.645,78.32,78.4,157102
2017-08-01 09:30:00,78.75,79.0,78.42,78.64,159220
2017-08-01 10:30:00,78.64,79.01,78.64,78.883,111103
2017-08-01 11:30:00,78.88,79.38,78.88,79.13,160231
2017-08-01 12:30:00,79.06,79.35,79.06,79.18,118933
2017-08-01 13:30:00,79.17,79.26,79.05,79.23,89694
2017-08-01 14:30:00,79.2,79.33,79.12,79.17,128285
2017-08-01 15:30:00,79.18,79.39,79.15,79.31,154639
2017-08-02 09:30:00,78.97,79.45,78.4,78.41,82235
2017-08-02 10:30:00,78.4452,78.535,78.07,78.13,141410
2017-08-02 11:30:00,78.13,78.16,77.86,77.91,97798
2017-08-02 12:30:00,77.91,78.06,77.86,77.89,92065
2017-08-02 13:30:00,77.87,78.44,77.86,78.06,128144
2017-08-02 14:30:00,78.0694,78.3499,78.0694,78.15,129722
2017-08-02 15:30:00,78.15,78.17,77.96,78.12,210728
2017-08-03 09:30:00,78.37,78.66,77.94,78.43,105045
2017-08-03 10:30:00,78.44,78.5,78.3,78.45,82736
2017-08-03 11:30:00,78.44,78.58,78.32,78.49,85309
2017-08-03 12:30:00,78.49,78.6,78.31,78.53,92071
2017-08-03 13:30:00,78.53,78.6309,78.24,78.31,106304
2017-08-03 14:30:00,78.32,78.52,78.3,78.5,113653
2017-08-03 15:30:00,78.46,78.5,78.31,78.42,154720
2017-08-04 09:30:00,78.49,78.8075,78.405,78.66,114584
2017-08-04 10:30:00,78.6401,78.91,78.56,78.7908,74908
2017-08-04 11:30:00,78.771,78.95,78.44,78.56,86369
2017-08-04 12:30:00,78.57,78.89,78.46,78.765,68373
2017-08-04 13:30:00,78.75,78.795,78.42,78.44,109380
2017-08-04 14:30:00,78.46,78.775,78.4,78.635,134911
2017-08-04 15:30:00,78.6253,78.77,78.54,78.72,172488
2017-10-24 09:30:00,91.4,91.58,91.07,91.57,121432
2017-10-24 10:30:00,91.57,91.57,91.24,91.4487,63547
2017-10-24 11:30:00,91.4152,91.58,91.3,91.44,117719
2017-10-24 12:30:00,91.44,91.54,91.11,91.11,56930
2017-10-24 13:30:00,91.11,91.51,91.08,91.48,69648
2017-10-24 14:30:00,91.5,91.5099,91.12,91.35,91348
2017-10-24 15:30:00,91.35,91.46,91.3171,91.43,120072
2017-10-25 09:30:00,91.15,91.4,90.76,90.8844,162120
2017-10-25 10:30:00,90.87,90.99,90.63,90.72,169153
2017-10-25 11:30:00,90.71,90.81,90.45,90.56,100528
2017-10-25 12:30:00,90.54,90.76,90.33,90.65,79283
2017-10-25 13:30:00,90.665,91.01,90.65,90.81,79621
2017-10-25 14:30:00,90.8,90.91,90.66,90.75,92793
2017-10-25 15:30:00,90.745,90.7625,90.38,90.63,192721
2017-10-26 09:30:00,91.31,91.31,90.49,90.777,92188
2017-10-26 10:30:00,90.84,91.1299,90.79,90.93,45583
2017-10-26 11:30:00,90.989,91.12,90.75,91.11,42066
2017-10-26 12:30:00,91.101,91.38,91.0,91.33,40177
2017-10-26 13:30:00,91.33,91.36,91.15,91.31,52278
2017-10-26 14:30:00,91.29,91.4,91.09,91.1431,102533
2017-10-26 15:30:00,91.18,91.24,90.92,90.94,91042
2017-10-27 09:30:00,90.93,91.49,90.26,91.45,111452
2017-10-27 10:30:00,91.43,91.4499,91.27,91.39,84762
2017-10-27 11:30:00,91.43,91.79,91.39,91.6,92476
2017-10-27 12:30:00,91.6,91.67,91.5143,91.55,67578
2017-10-27 13:30:00,91.56,92.53,91.535,92.4484,164433
2017-10-27 14:30:00,92.445,92.47,91.8,91.91,169527
2017-10-27 15:30:00,91.91,91.99,91.64,91.93,189313
2017-10-30 09:30:00,91.67,91.73,90.4225,90.844,160356
2017-10-30 10:30:00,90.8575,91.6346,90.8,91.339,140926
2017-10-30 11:30:00,91.31,91.37,90.98,91.145,60318
2017-10-30 12:30:00,91.13,91.28,90.96,90.9701,89663
2017-10-30 13:30:00,91.01,91.12,90.8,91.0752,78091
2017-10-30 14:30:00,91.07,91.14,90.9,91.0,118223
2017-10-30 15:30:00,90.9938,91.29,90.94,91.16,229772
2017-10-31 09:30:00,91.25,91.54,90.63,90.71,120343
2017-10-31 10:30:00,90.7061,91.64,90.69,91.58,113181
2017-10-31 11:30:00,91.62,91.75,91.35,91.35,70213
2017-10-31 12:30:00,91.34,91.6599,91.34,91.519,72634
2017-10-31 13:30:00,91.505,91.802,91.5,91.691,68041
2017-10-31 14:30:00,91.705,91.89,91.44,91.787,151457
2017-10-31 15:30:00,91.79,91.83,91.49,91.53,183042
2017-11-01 09:30:00,91.99,92.2,91.52,91.9364,170806
2017-11-01 10:30:00,92.04,92.21,91.57,91.655,155107
2017-11-01 11:30:00,91.655,92.54,91.6401,91.78,164741
2017-11-01 12:30:00,91.78,91.8,90.89,91.09,83203
2017-11-01 13:30:00,91.1,91.3499,90.95,91.0238,86368
2017-11-01 14:30:00,91.0,91.255,90.95,91.244,108252
2017-11-01 15:30:00,91.26,91.5199,91.26,91.48,244404
2017-11-02 09:30:00,91.07,91.445,90.52,90.64,199397
2017-11-02 10:30:00,90.5916,91.32,90.57,90.9,167451
2017-11-02 11:30:00,90.87,91.15,90.605,91.04,98480
2017-11-02 12:30:00,91.025,91.025,90.79,90.85,66884
2017-11-02 13:30:00,90.8575,90.96,90.78,90.91,87224
2017-11-02 14:30:00,90.91,91.0,90.65,90.738,145540
2017-11-02 15:30:00,90.74,90.85,90.57,90.65,266902
2017-11-03 09:30:00,90.66,91.24,90.1501,91.008,229422
2017-11-03 10:30:00,91.02,91.28,90.618,91.08,94622
2017-11-03 11:30:00,91.08,91.4,90.98,91.225,77356
2017-11-03 12:30:00,91.25,91.34,90.69,91.13,115869
2017-11-03 13:30:00,91.18,91.5,90.99,91.403,217616
2017-11-03 14:30:00,91.46,91.71,91.37,91.6245,210937
2017-11-03 15:30:00,91.6,91.74,91.37,91.45,237020
2018-01-30 09:30:00,99.84,99.9199,98.4,98.86,229416
2018-01-30 10:30:00,98.87,99.69,98.73,99.19,238369
2018-01-30 11:30:00,99.16,99.588,98.96,99.155,164194
2018-01-30 12:30:00,99.12,99.38,98.85,98.905,125908
2018-01-30 13:30:00,98.905,99.39,98.89,99.07,127759
2018-01-30 14:30:00,99.05,99.23,98.76,99.1418,162206
2018-01-30 15:30:00,99.1075,99.41,98.97,98.97,244248
2018-01-31 09:30:00,101.22,101.56,99.0,100.48,227662
2018-01-31 10:30:00,100.5,100.52,100.03,100.159,158078
2018-01-31 11:30:00,100.09,100.49,99.76,100.35,130131
2018-01-31 12:30:00,100.375,100.45,100.0025,100.3,98147
2018-01-31 13:30:00,100.31,100.48,99.5,99.81,180672
2018-01-31 14:30:00,99.79,99.91,99.26,99.695,235190
2018-01-31 15:30:00,99.69,100.1684,99.48,99.55,234527
2018-02-01 09:30:00,98.95,99.98,98.6,98.99,152209
2018-02-01 10:30:00,98.95,100.16,98.93,99.7,179840
2018-02-01 11:30:00,99.76,100.13,99.5603,100.07,69690
2018-02-01 12:30:00,100.08,100.13,99.59,99.78,91151
2018-02-01 13:30:00,99.75,99.849,99.22,99.53,94197
2018-02-01 14:30:00,99.56,99.89,99.32,99.335,112768
2018-02-01 15:30:00,99.32,99.59,99.23,99.52,210693
2018-02-02 09:30:00,99.18,99.67,98.65,99.67,216171
2018-02-02 10:30:00,99.6225,100.67,99.24,100.32,222751
2018-02-02 11:30:00,100.285,100.86,99.5663,100.79,155215
2018-02-02 12:30:00,100.79,100.95,100.05,100.23,121425
2018-02-02 13:30:00,100.2699,100.42,99.44,99.52,169144
2018-02-02 14:30:00,99.475,100.1099,99.06,99.13,359474
2018-02-02 15:30:00,99.05,99.23,98.59,98.85,268982
2018-02-05 09:30:00,98.24,100.22,98.24,99.73,420207
2018-02-05 10:30:00,99.71,99.78,99.01,99.28,196910
2018-02-05 11:30:00,99.21,99.45,98.5565,98.72,125019
2018-02-05 12:30:00,98.73,98.94,98.16,98.3198,104624
2018-02-05 13:30:00,98.3182,98.43,97.48,97.602,115521
2018-02-05 14:30:00,97.57,97.59,95.135,96.79,317032
2018-02-05 15:30:00,96.76,97.55,96.06,96.06,426056
2018-02-06 09:30:00,94.14,96.51,93.36,95.1535,487536
2018-02-06 10:30:00,95.195,95.3899,93.57,93.78,396309
2018-02-06 11:30:00,93.91,94.8273,93.61,94.38,240332
2018-02-06 12:30:00,94.4113,94.57,93.5,93.8,226175
2018-02-06 13:30:00,93.82,93.99,93.1325,93.57,181732
2018-02-06 14:30:00,93.6,95.75,93.491,95.605,202289
2018-02-06 15:30:00,95.6,96.25,95.32,95.98,269473
2018-02-07 09:30:00,95.58,97.21,95.36,96.52,228730
2018-02-07 10:30:00,96.575,97.32,95.94,97.15,178027
2018-02-07 11:30:00,97.12,97.61,96.81,97.21,185850
2018-02-07 12:30:00,97.25,97.33,96.15,96.3973,156918
2018-02-07 13:30:00,96.44,96.84,95.86,96.3,141036
2018-02-07 14:30:00,96.36,96.87,96.11,96.79,203587
2018-02-07 15:30:00,96.79,96.85,96.03,96.07,279212
2018-02-08 09:30:00,96.06,96.28,95.23,95.84,391785
2018-02-08 10:30:00,95.88,96.08,94.96,95.17,455863
2018-02-08 11:30:00,95.0201,95.4075,93.82,94.02,369877
2018-02-08 12:30:00,94.07,94.36,93.18,93.7225,233481
2018-02-08 13:30:00,93.78,94.75,93.57,94.35,259038
2018-02-08 14:30:00,94.32,94.57,93.7425,93.7425,531297
2018-02-08 15:30:00,93.74,93.8544,91.61,91.82,521088
2018-02-09 09:30:00,93.95,97.15,93.87,94.7,741856
2018-02-09 10:30:00,94.7,94.83,93.27,94.52,424307
2018-02-09 11:30:00,94.47,95.1613,91.92,93.77,357201
2018-02-09 12:30:00,93.73,94.03,92.96,93.21,276352
2018-02-09 13:30:00,93.2,95.945,92.245,95.51,453694
2018-02-09 14:30:00,95.5,95.7413,94.43,95.51,423000
2018-02-09 15:30:00,95.555,97.7,95.52,96.98,672401
2018-04-24 09:30:00,104.22,104.87,103.82,103.98,183062
2018-04-24 10:30:00,104.04,104.39,103.7,104.3505,91748
2018-04-24 11:30:00,104.39,104.51,103.4006,103.5928,121410
2018-04-24 12:30:00,103.5568,103.58,102.73,102.79,96440
2018-04-24 13:30:00,102.81,102.995,101.731,102.05,84513
2018-04-24 14:30:00,101.9744,103.0,101.72,102.6737,147361
2018-04-24 15:30:00,102.7,103.06,102.39,102.99,228692
2018-04-25 09:30:00,102.68,103.04,101.15,101.845,177315
2018-04-25 10:30:00,101.84,102.6375,101.84,102.46,111616
2018-04-25 11:30:00,102.4501,102.5,101.7901,102.1473,155125
2018-04-25 12:30:00,102.15,102.33,101.75,102.04,93249
2018-04-25 13:30:00,102.05,102.27,101.67,101.75,131518
2018-04-25 14:30:00,101.75,102.32,101.67,102.06,154630
2018-04-25 15:30:00,102.08,102.1,101.45,101.82,132226
2018-04-26 09:30:00,102.33,103.52,102.1,102.8,65909
2018-04-26 10:30:00,102.78,103.0,102.37,102.98,55928
2018-04-26 11:30:00,102.95,103.15,102.61,103.0,55369
2018-04-26 12:30:00,103.005,103.56,102.89,103.4948,67251
2018-04-26 13:30:00,103.48,103.71,103.13,103.22,97388
2018-04-26 14:30:00,103.21,103.74,103.21,103.54,117357
2018-04-26 15:30:00,103.49,103.63,103.35,103.56,167982
2018-04-27 09:30:00,103.61,103.99,102.5701,102.5701,89821
2018-04-27 10:30:00,102.62,102.8099,101.99,102.75,103057
2018-04-27 11:30:00,102.775,102.97,102.53,102.925,57323
2018-04-27 12:30:00,102.94,103.34,102.57,102.845,81748
2018-04-27 13:30:00,102.84,103.26,102.71,103.12,101880
2018-04-27 14:30:00,103.16,103.33,102.89,103.03,128056
2018-04-27 15:30:00,103.01,103.56,102.97,103.46,187784
2018-04-30 09:30:00,103.87,104.16,103.41,104.03,107478
2018-04-30 10:30:00,104.0256,104.34,103.925,104.0,100181
2018-04-30 11:30:00,104.0,104.03,103.33,103.65,97531
2018-04-30 12:30:00,103.66,103.66,103.25,103.55,80154
2018-04-30 13:30:00,103.55,103.65,103.14,103.5635,57630
2018-04-30 14:30:00,103.48,103.59,103.07,103.265,73437
2018-04-30 15:30:00,103.25,103.54,103.08,103.09,106366
2018-05-01 09:30:00,103.06,103.73,102.67,102.89,103977
2018-05-01 10:30:00,102.84,103.119,102.3783,102.51,108801
2018-05-01 11:30:00,102.52,102.65,102.26,102.46,87090
2018-05-01 12:30:00,102.5,102.53,101.93,102.1305,70622
2018-05-01 13:30:00,102.17,103.0,102.07,102.83,90981
2018-05-01 14:30:00,102.76,102.9,102.32,102.41,131524
2018-05-01 15:30:00,102.43,102.86,102.3963,102.77,129878
2018-05-02 09:30:00,102.7,102.94,102.15,102.239,106294
2018-05-02 10:30:00,102.15,102.6,102.096,102.37,74665
2018-05-02 11:30:00,102.37,102.4863,101.86,102.4083,83450
2018-05-02 12:30:00,102.42,102.73,102.21,102.667,53801
2018-05-02 13:30:00,102.67,103.21,102.6,102.9832,99406
2018-05-02 14:30:00,102.98,103.0175,101.89,101.93,95258
2018-05-02 15:30:00,101.97,102.08,101.54,101.7,122853
2018-05-03 09:30:00,101.24,103.61,99.99,100.14,194823
2018-05-03 10:30:00,100.22,100.25,99.35,99.9699,203464
2018-05-03 11:30:00,99.97,100.55,99.59,99.89,157644
2018-05-03 12:30:00,99.89,100.98,99.83,100.69,163360
2018-05-03 13:30:00,100.7,101.06,100.6156,100.85,148598
2018-05-03 14:30:00,100.85,101.37,100.8083,101.35,179072
2018-05-03 15:30:00,101.35,101.47,100.9696,101.19,258436
2018-05-04 09:30:00,101.0,101.21,100.35,100.93,127705
2018-05-04 10:30:00,100.97,101.65,100.892,101.65,76267
2018-05-04 11:30:00,101.64,101.93,101.27,101.7225,61746
2018-05-04 12:30:00,101.7,101.9899,101.52,101.73,59259
2018-05-04 13:30:00,101.73,102.3399,101.435,102.18,108191
2018-05-04 14:30:00,102.19,102.2,101.5973,102.0,194840
2018-05-04 15:30:00,102.01,102.22,101.83,101.99,211974
2018-07-24 09:30:00,88.29,88.48,87.15,87.5884,195742
2018-07-24 10:30:00,87.6,87.62,86.74,86.95,182942
2018-07-24 11:30:00,86.94,87.16,86.74,86.97,177605
2018-07-24 12:30:00,86.95,87.03,86.75,87.01,149837
2018-07-24 13:30:00,86.99,87.0,86.64,86.68,157548
2018-07-24 14:30:00,86.68,86.965,86.56,86.9,210192
2018-07-24 15:30:00,86.91,86.97,86.68,86.92,262548
2018-07-25 09:30:00,86.98,87.4465,86.67,87.07,178063
2018-07-25 10:30:00,87.06,87.58,86.95,87.555,133848
2018-07-25 11:30:00,87.57,87.69,87.33,87.67,96169
2018-07-25 12:30:00,87.66,87.8,87.49,87.712,94554
2018-07-25 13:30:00,87.72,88.03,87.68,87.82,101384
2018-07-25 14:30:00,87.83,87.9407,87.695,87.705,163147
2018-07-25 15:30:00,87.72,88.24,87.6,88.22,284813
2018-07-26 09:30:00,88.22,88.43,87.84,88.24,178951
2018-07-26 10:30:00,88.23,88.53,88.06,88.12,147299
2018-07-26 11:30:00,88.1,88.13,87.82,87.88,134764
2018-07-26 12:30:00,87.89,87.97,87.61,87.625,113589
2018-07-26 13:30:00,87.61,87.79,87.55,87.6,160857
2018-07-26 14:30:00,87.6,87.61,87.11,87.22,315951
2018-07-26 15:30:00,87.21,87.36,87.17,87.21,357723
2018-07-27 09:30:00,87.23,87.6584,86.75,87.0078,151550
2018-07-27 10:30:00,87.02,87.17,86.38,86.4416,121371
