bar_start,open,high,low,close,volume
2016-01-21 09:30:00,5.72,5.73,5.485,5.61,28692
2016-01-21 10:30:00,5.61,5.64,5.54,5.55,10030
2016-01-21 11:30:00,5.56,5.67,5.54,5.64,36986
2016-01-21 12:30:00,5.65,5.67,5.58,5.6,25281
2016-01-21 13:30:00,5.598,5.636,5.53,5.56,13320
2016-01-21 14:30:00,5.57,5.59,5.49,5.52,28724
2016-01-21 15:30:00,5.515,5.515,5.47,5.48,35405
2016-01-22 09:30:00,5.57,5.86,5.57,5.8,60192
2016-01-22 10:30:00,5.8,5.85,5.7,5.75,20245
2016-01-22 11:30:00,5.77,5.85,5.7,5.84,27449
2016-01-22 12:30:00,5.8252,5.9,5.8,5.83,36536
2016-01-22 13:30:00,5.83,5.88,5.8,5.8,21309
2016-01-22 14:30:00,5.8,5.82,5.7701,5.82,20615
2016-01-22 15:30:00,5.82,5.86,5.8,5.85,30038
2016-01-25 09:30:00,5.66,5.89,5.64,5.84,57465
2016-01-25 10:30:00,5.82,5.84,5.71,5.77,11892
2016-01-25 11:30:00,5.775,5.79,5.75,5.75,10905
2016-01-25 12:30:00,5.75,5.77,5.74,5.751,14990
2016-01-25 13:30:00,5.755,5.805,5.75,5.79,17911
2016-01-25 14:30:00,5.78,5.83,5.75,5.765,16704
2016-01-25 15:30:00,5.76,5.785,5.74,5.775,40913
2016-01-26 09:30:00,5.78,5.87,5.675,5.85,21313
2016-01-26 10:30:00,5.86,5.87,5.77,5.77,15675
2016-01-26 11:30:00,5.765,5.84,5.73,5.83,7157
2016-01-26 12:30:00,5.82,5.86,5.81,5.83,11700
2016-01-26 13:30:00,5.83,5.84,5.78,5.78,5246
2016-01-26 14:30:00,5.78,5.8,5.71,5.75,11939
2016-01-26 15:30:00,5.75,5.81,5.73,5.81,25245
2016-01-27 09:30:00,5.75,5.82,5.69,5.78,20648
2016-01-27 10:30:00,5.78,5.86,5.745,5.85,16645
2016-01-27 11:30:00,5.86,5.94,5.85,5.88,15465
2016-01-27 12:30:00,5.88,5.89,5.83,5.84,15475
2016-01-27 13:30:00,5.845,5.9,5.79,5.81,22849
2016-01-27 14:30:00,5.8,5.83,5.7301,5.74,20159
2016-01-27 15:30:00,5.75,5.77,5.71,5.77,19335
