bar_start,open,high,low,close,volume
2016-01-04 09:30:00,13.01,13.8,12.8434,12.89,58805
2016-01-04 10:30:00,12.86,12.93,12.78,12.8,42152
2016-01-04 11:30:00,12.8,12.92,12.79,12.86,40472
2016-01-04 12:30:00,12.85,12.89,12.83,12.87,31067
2016-01-04 13:30:00,12.89,12.9,12.8,12.84,44395
2016-01-04 14:30:00,12.85,12.85,12.77,12.79,65324
2016-01-04 15:30:00,12.79,12.81,12.74,12.78,194152
2016-01-05 09:30:00,12.81,13.8,12.63,12.65,47490
2016-01-05 10:30:00,12.64,12.775,12.62,12.71,27171
2016-01-05 11:30:00,12.7,12.76,12.64,12.66,46327
2016-01-05 12:30:00,12.65,12.73,12.63,12.65,26350
2016-01-05 13:30:00,12.65,12.82,12.65,12.77,33307
2016-01-05 14:30:00,12.77,12.78,12.7269,12.7672,37613
2016-01-05 15:30:00,12.77,12.78,12.725,12.77,78428
2016-01-06 09:30:00,12.53,12.61,12.36,12.588,49570
2016-01-06 10:30:00,12.58,12.6,12.52,12.57,24754
2016-01-06 11:30:00,12.57,12.59,12.5,12.52,16692
2016-01-06 12:30:00,12.51,12.54,12.47,12.5,36804
2016-01-06 13:30:00,12.5,12.5098,12.44,12.47,20681
2016-01-06 14:30:00,12.47,12.47,12.38,12.45,40512
2016-01-06 15:30:00,12.44,12.4501,12.4,12.4,79750
2016-01-07 09:30:00,12.14,12.79,12.1,12.15,42408
2016-01-07 10:30:00,12.16,12.19,12.07,12.11,51155
2016-01-07 11:30:00,12.12,12.135,12.04,12.04,53952
2016-01-07 12:30:00,12.05,12.0583,11.9,11.91,57051
2016-01-07 13:30:00,11.9,11.93,11.86,11.86,96209
2016-01-07 14:30:00,11.86,11.91,11.82,11.835,103283
2016-01-07 15:30:00,11.83,11.87,11.78,11.79,189340
2016-01-08 09:30:00,11.8,11.97,11.74,11.7619,81824
2016-01-08 10:30:00,11.74,11.7615,11.45,11.45,91314
2016-01-08 11:30:00,11.45,11.69,11.415,11.6701,239842
2016-01-08 12:30:00,11.6875,11.6875,11.57,11.61,73610
2016-01-08 13:30:00,11.61,11.655,11.57,11.59,49671
2016-01-08 14:30:00,11.59,11.64,11.565,11.585,65611
2016-01-08 15:30:00,11.571,11.58,11.44,11.46,272710
2016-01-11 09:30:00,11.53,11.64,11.51,11.5499,56849
2016-01-11 10:30:00,11.55,11.6,11.48,11.515,44093
2016-01-11 11:30:00,11.51,11.52,11.4635,11.47,85482
2016-01-11 12:30:00,11.47,11.52,11.43,11.45,40040
2016-01-11 13:30:00,11.4356,11.59,11.41,11.58,200083
2016-01-11 14:30:00,11.5,11.67,11.495,11.63,154281
2016-01-11 15:30:00,11.64,11.67,11.55,11.59,293552
2016-01-12 09:30:00,11.7,11.76,11.62,11.64,202027
2016-01-12 10:30:00,11.63,11.665,11.48,11.48,31989
2016-01-12 11:30:00,11.49,11.54,11.43,11.46,28329
2016-01-12 12:30:00,11.45,11.45,11.36,11.39,27342
2016-01-12 13:30:00,11.39,11.4175,11.34,11.39,35900
2016-01-12 14:30:00,11.38,11.385,11.29,11.33,119454
2016-01-12 15:30:00,11.32,11.44,11.31,11.42,152678
2016-01-13 09:30:00,11.43,11.6,11.38,11.4,32343
2016-01-13 10:30:00,11.4,11.4,11.2801,11.34,22425
2016-01-13 11:30:00,11.34,11.36,11.18,11.19,38164
2016-01-13 12:30:00,11.19,11.21,11.14,11.18,32333
2016-01-13 13:30:00,11.18,11.19,11.09,11.13,68879
2016-01-13 14:30:00,11.13,11.13,10.98,11.07,87404
2016-01-13 15:30:00,11.07,11.07,10.94,10.98,275215
2016-01-14 09:30:00,11.09,11.41,10.87,11.14,67030
2016-01-14 10:30:00,11.14,11.25,10.92,10.97,86782
2016-01-14 11:30:00,10.97,11.115,10.97,11.085,68741
2016-01-14 12:30:00,11.09,11.17,11.06,11.1,97606
2016-01-14 13:30:00,11.1,11.28,11.1,11.27,230449
2016-01-14 14:30:00,11.27,11.44,11.27,11.32,65856
2016-01-14 15:30:00,11.32,11.32,11.24,11.26,99231
2016-01-15 09:30:00,10.92,11.13,10.92,11.07,139348
2016-01-15 10:30:00,11.08,11.17,10.89,10.92,111417
2016-01-15 11:30:00,10.923,10.97,10.81,10.83,41945
2016-01-15 12:30:00,10.84,10.88,10.74,10.86,57105
2016-01-15 13:30:00,10.85,10.95,10.84,10.87,46902
2016-01-15 14:30:00,10.86,11.01,10.83,10.9,98544
