bar_start,open,high,low,close,volume
2016-01-25 09:30:00,9.6,9.9,9.1,9.6,509
2016-01-25 10:30:00,9.82,9.82,9.73,9.73,200
2016-01-25 11:30:00,,,,,0
2016-01-25 12:30:00,9.42,9.8,9.42,9.8,531
2016-01-25 13:30:00,9.3501,9.3501,9.3501,9.3501,15
2016-01-25 14:30:00,9.5399,9.6,9.53,9.6,539
2016-01-25 15:30:00,9.66,9.66,9.66,9.66,200
2016-01-26 09:30:00,9.97,9.97,9.245,9.83,6362
2016-01-26 10:30:00,9.65,9.95,9.13,9.85,1102
2016-01-26 11:30:00,8.98,9.6699,8.98,9.6699,918
2016-01-26 12:30:00,9.67,9.67,8.992,9.33,1100
2016-01-26 13:30:00,,,,,0
2016-01-26 14:30:00,8.98,9.35,8.7601,9.3301,1523
2016-01-26 15:30:00,9.43,9.43,9.3401,9.3401,298
2016-01-27 09:30:00,9.87,9.89,9.05,9.35,2212
2016-01-27 10:30:00,9.49,9.59,9.06,9.06,3627
2016-01-27 11:30:00,9.265,9.265,9.265,9.265,200
2016-01-27 12:30:00,,,,,0
2016-01-27 13:30:00,9.48,9.75,9.48,9.75,241
2016-01-27 14:30:00,9.26,9.39,9.15,9.39,663
2016-01-27 15:30:00,9.41,9.41,9.16,9.16,200
2016-01-28 09:30:00,9.29,9.78,8.51,8.74,22113
2016-01-28 10:30:00,8.8,8.8,8.64,8.7899,500
2016-01-28 11:30:00,8.7899,8.98,8.765,8.98,802
2016-01-28 12:30:00,8.91,8.91,8.9,8.9,99
2016-01-28 13:30:00,8.81,8.86,8.81,8.86,2100
2016-01-28 14:30:00,8.86,8.87,8.84,8.84,732
2016-01-28 15:30:00,8.88,8.88,8.8,8.83,1150
2016-01-29 09:30:00,8.84,9.1,8.84,9.0,507
2016-01-29 10:30:00,9.04,9.04,8.95,8.95,2166
2016-01-29 11:30:00,9.04,9.04,9.03,9.03,200
2016-01-29 12:30:00,8.95,8.98,8.95,8.9795,597
2016-01-29 13:30:00,8.95,8.98,8.95,8.98,401
2016-01-29 14:30:00,9.08,9.08,8.97,8.97,328
2016-01-29 15:30:00,9.04,9.06,9.02,9.06,499
2016-02-01 09:30:00,8.8,8.94,8.8,8.94,151
2016-02-01 10:30:00,8.825,8.95,8.8,8.83,1574
2016-02-01 11:30:00,8.83,8.85,8.83,8.85,1456
2016-02-01 12:30:00,8.88,8.88,8.88,8.88,100
2016-02-01 13:30:00,8.88,8.88,8.88,8.88,100
2016-02-01 14:30:00,8.83,9.09,8.83,9.09,101
2016-02-01 15:30:00,9.08,9.08,9.08,9.08,200
2016-02-02 09:30:00,,,,,0
2016-02-02 10:30:00,,,,,0
2016-02-02 11:30:00,,,,,0
2016-02-02 12:30:00,,,,,0
2016-02-02 13:30:00,9.07,9.08,9.07,9.08,98
2016-02-02 14:30:00,9.07,9.07,8.98,9.0,1208
2016-02-02 15:30:00,9.03,9.07,8.98,9.07,4026
2016-02-03 09:30:00,9.07,9.1,8.9,8.9,15
2016-02-03 10:30:00,9.0,9.1,9.0,9.1,436
2016-02-03 11:30:00,9.1,9.1,9.06,9.06,300
2016-02-03 12:30:00,9.06,9.06,9.06,9.06,2
2016-02-03 13:30:00,9.1,9.1,9.09,9.09,900
2016-02-03 14:30:00,9.32,9.32,9.32,9.32,100
2016-02-03 15:30:00,,,,,0
2016-02-04 09:30:00,9.63,9.7,9.07,9.07,77
2016-02-04 10:30:00,9.5399,9.5399,9.5399,9.5399,1
2016-02-04 11:30:00,,,,,0
2016-02-04 12:30:00,9.43,9.43,9.21,9.26,507
2016-02-04 13:30:00,9.2,9.44,9.08,9.25,775
2016-02-04 14:30:00,9.071,9.071,9.071,9.071,150
2016-02-04 15:30:00,9.2,9.32,9.2,9.32,100
2016-04-22 09:30:00,9.76,9.77,9.76,9.77,429
2016-04-22 10:30:00,,,,,0
2016-04-22 11:30:00,,,,,0
2016-04-22 12:30:00,9.9444,9.95,9.9444,9.95,1100
2016-04-22 13:30:00,10.0,10.0,9.76,9.844,1327
2016-04-22 14:30:00,9.8056,9.96,9.8056,9.96,285
2016-04-22 15:30:00,,,,,0
2016-04-25 09:30:00,,,,,0
2016-04-25 10:30:00,9.98,10.09,9.97,10.034,25662
2016-04-25 11:30:00,10.01,10.11,9.99,10.0099,10850
2016-04-25 12:30:00,10.02,10.0895,10.0,10.0895,5300
2016-04-25 13:30:00,10.0424,10.08,10.0,10.0,10023
2016-04-25 14:30:00,9.99,10.08,9.97,10.06,10832
2016-04-25 15:30:00,10.0746,10.18,9.97,10.02,8648
2016-04-26 09:30:00,10.0,10.02,9.95,10.0,10300
2016-04-26 10:30:00,10.0,10.0001,9.96,9.99,6905
2016-04-26 11:30:00,10.0,10.05,10.0,10.0101,3521
2016-04-26 12:30:00,10.0101,10.04,10.0101,10.04,5200
2016-04-26 13:30:00,10.04,10.1,10.04,10.1,17300
2016-04-26 14:30:00,10.1,10.1,10.05,10.05,906
2016-04-26 15:30:00,10.06,10.11,9.99,10.02,21265
2016-04-27 09:30:00,,,,,0
2016-04-27 10:30:00,,,,,0
2016-04-27 11:30:00,,,,,0
2016-04-27 12:30:00,,,,,0
2016-04-27 13:30:00,9.8801,9.8801,9.8801,9.8801,6
2016-04-27 14:30:00,9.95,10.0,9.9,10.0,7500
2016-04-27 15:30:00,10.0,10.04,9.92,9.9201,2166
2016-04-28 09:30:00,9.89,9.89,9.81,9.81,605
2016-04-28 10:30:00,9.9,10.0,9.875,9.915,2204
2016-04-28 11:30:00,9.96,9.96,9.96,9.96,100
2016-04-28 12:30:00,,,,,0
2016-04-28 13:30:00,9.96,10.01,9.96,10.01,8197
2016-04-28 14:30:00,10.02,10.02,10.0,10.0064,2600
2016-04-28 15:30:00,10.03,10.03,10.02,10.02,300
2016-04-29 09:30:00,10.06,10.08,9.55,10.02,3299
2016-04-29 10:30:00,10.07,10.1799,9.9,10.1799,696
2016-04-29 11:30:00,9.9,9.9,9.9,9.9,62
2016-04-29 12:30:00,,,,,0
2016-04-29 13:30:00,9.9599,9.9599,9.95,9.95,200
2016-04-29 14:30:00,9.92,9.92,9.88,9.88,1700
2016-04-29 15:30:00,9.9,10.16,9.78,10.14,3204
2016-05-02 09:30:00,,,,,0
2016-05-02 10:30:00,,,,,0
2016-05-02 11:30:00,,,,,0
2016-05-02 12:30:00,,,,,0
2016-05-02 13:30:00,10.016,10.016,10.016,10.016,500
2016-05-02 14:30:00,,,,,0
2016-05-02 15:30:00,10.0832,10.09,10.03,10.03,1589
2016-05-03 09:30:00,10.08,10.08,10.0,10.01,700
2016-05-03 10:30:00,10.02,10.02,10.02,10.02,517
2016-05-03 11:30:00,10.08,10.08,10.08,10.08,100
2016-05-03 12:30:00,10.0528,10.0528,10.0528,10.0528,500
2016-05-03 13:30:00,10.057,10.06,10.05,10.05,1030
2016-05-03 14:30:00,10.03,10.03,10.03,10.03,100
2016-05-03 15:30:00,10.08,10.08,10.08,10.08,4
2016-05-04 09:30:00,,,,,0
2016-05-04 10:30:00,,,,,0
2016-05-04 11:30:00,,,,,0
2016-05-04 12:30:00,,,,,0
2016-05-04 13:30:00,9.95,9.95,9.95,9.95,124
2016-05-04 14:30:00,,,,,0
2016-05-04 15:30:00,,,,,0
2016-07-22 09:30:00,10.61,10.61,10.61,10.61,800
2016-07-22 10:30:00,,,,,0
2016-07-22 11:30:00,10.53,10.53,10.501,10.501,1264
2016-07-22 12:30:00,,,,,0
2016-07-22 13:30:00,,,,,0
2016-07-22 14:30:00,,,,,0
