bar_start,open,high,low,close,volume
2016-01-22 09:30:00,125.5,126.22,124.76,125.8699,255032
2016-01-22 10:30:00,125.75,125.8705,125.05,125.44,152573
2016-01-22 11:30:00,125.4399,125.59,125.04,125.33,101560
2016-01-22 12:30:00,125.3599,125.93,125.28,125.76,99091
2016-01-22 13:30:00,125.79,126.492,125.76,126.21,114508
2016-01-22 14:30:00,126.16,126.26,125.87,126.2201,161179
2016-01-22 15:30:00,126.2475,126.44,126.0125,126.36,216373
2016-01-25 09:30:00,126.01,126.33,125.22,126.01,260860
2016-01-25 10:30:00,125.98,125.98,125.2,125.77,195261
2016-01-25 11:30:00,125.77,125.83,125.37,125.6,183222
2016-01-25 12:30:00,125.61,125.99,125.47,125.869,179453
2016-01-25 13:30:00,125.7901,125.88,125.07,125.33,206215
2016-01-25 14:30:00,125.31,125.68,124.75,124.78,260857
2016-01-25 15:30:00,124.76,124.86,124.43,124.65,335603
2016-01-26 09:30:00,124.29,127.32,123.39,127.04,291667
2016-01-26 10:30:00,127.04,127.3499,126.66,127.24,213715
2016-01-26 11:30:00,127.16,127.62,126.71,127.48,129449
2016-01-26 12:30:00,127.48,127.51,126.78,126.78,98363
2016-01-26 13:30:00,126.83,127.56,126.61,127.26,214287
2016-01-26 14:30:00,127.22,127.4299,126.89,127.19,308114
2016-01-26 15:30:00,127.21,127.81,127.1239,127.37,430853
2016-01-27 09:30:00,124.11,125.89,122.67,123.32,674005
2016-01-27 10:30:00,123.32,124.89,123.191,124.78,423001
2016-01-27 11:30:00,124.74,135.34,124.662,131.95,1908530
2016-01-27 12:30:00,131.938,132.36,129.32,129.3201,411281
2016-01-27 13:30:00,129.37,131.13,129.24,130.1817,465978
2016-01-27 14:30:00,130.13,130.49,127.62,128.73,707487
2016-01-27 15:30:00,128.68,129.46,128.53,128.94,667940
2016-01-28 09:30:00,128.85,130.04,128.27,128.76,518432
2016-01-28 10:30:00,128.77,129.39,128.17,128.93,369286
2016-01-28 11:30:00,128.885,129.03,127.36,128.36,251868
2016-01-28 12:30:00,128.35,128.58,127.43,128.16,258278
2016-01-28 13:30:00,128.165,129.1099,128.12,129.04,225901
2016-01-28 14:30:00,129.04,129.27,128.17,128.44,287567
2016-01-28 15:30:00,128.45,128.86,128.29,128.65,450271
2016-01-29 09:30:00,129.15,131.82,129.15,130.87,413431
2016-01-29 10:30:00,130.94,131.896,130.62,131.76,311370
2016-01-29 11:30:00,131.74,133.15,131.72,132.8,319731
2016-01-29 12:30:00,132.7901,133.87,132.64,133.43,255790
2016-01-29 13:30:00,133.46,134.09,133.34,133.9,272521
2016-01-29 14:30:00,133.9057,134.24,133.68,133.92,603938
2016-01-29 15:30:00,133.96,133.96,133.55,133.72,488149
2016-02-01 09:30:00,132.3,132.695,130.96,131.2799,320966
2016-02-01 10:30:00,131.19,132.72,130.83,132.7,234165
2016-02-01 11:30:00,132.72,133.48,132.56,132.9,298571
2016-02-01 12:30:00,132.9,133.82,125.83,133.54,263437
2016-02-01 13:30:00,133.51,134.2399,133.32,133.835,410396
2016-02-01 14:30:00,133.7784,134.38,133.58,134.14,471527
2016-02-01 15:30:00,134.15,134.23,133.56,133.56,398709
2016-02-02 09:30:00,132.5,133.29,131.99,133.15,424981
2016-02-02 10:30:00,133.12,133.83,132.9,133.3374,306958
2016-02-02 11:30:00,133.3,133.9,132.7501,133.2,337603
