bar_start,open,high,low,close,volume
2016-01-22 09:30:00,15.92,16.19,15.91,16.02,5546
2016-01-22 10:30:00,16.0,16.03,15.82,15.9,10130
2016-01-22 11:30:00,15.96,16.05,15.78,15.99,5667
2016-01-22 12:30:00,16.02,16.05,15.92,15.97,2225
2016-01-22 13:30:00,16.04,16.37,16.02,16.22,7405
2016-01-22 14:30:00,16.22,16.22,16.03,16.11,2929
2016-01-22 15:30:00,16.09,16.17,15.92,16.07,11526
2016-01-25 09:30:00,15.92,16.13,15.68,16.08,9180
2016-01-25 10:30:00,15.89,16.12,15.71,15.84,8577
2016-01-25 11:30:00,15.84,16.06,15.78,15.935,4859
2016-01-25 12:30:00,15.92,16.06,15.8301,16.0,5010
2016-01-25 13:30:00,15.97,16.05,15.87,15.92,6593
2016-01-25 14:30:00,15.93,16.04,15.89,15.91,5244
2016-01-25 15:30:00,15.98,16.04,15.9,16.0,16563
2016-01-26 09:30:00,15.76,16.33,15.76,16.27,1214
2016-01-26 10:30:00,16.27,16.43,16.1,16.43,2915
2016-01-26 11:30:00,16.42,16.72,16.3,16.56,10187
2016-01-26 12:30:00,16.64,16.76,16.34,16.41,3437
2016-01-26 13:30:00,16.5,16.64,16.5,16.6,2953
2016-01-26 14:30:00,16.5,16.56,16.43,16.48,1923
2016-01-26 15:30:00,16.45,16.58,16.42,16.54,6398
2016-01-27 09:30:00,16.54,16.54,16.31,16.41,1081
2016-01-27 10:30:00,16.32,16.5521,16.31,16.5521,1671
2016-01-27 11:30:00,16.54,16.91,16.54,16.67,4627
2016-01-27 12:30:00,16.6,16.7,16.54,16.67,6739
2016-01-27 13:30:00,16.69,16.98,16.58,16.7,7149
2016-01-27 14:30:00,16.68,16.84,16.53,16.71,10729
2016-01-27 15:30:00,16.74,16.74,16.59,16.65,5058
2016-01-28 09:30:00,16.83,17.21,16.6,17.06,4039
2016-01-28 10:30:00,16.97,17.19,16.9,17.19,4510
2016-01-28 11:30:00,17.14,17.18,16.89,17.04,17683
2016-01-28 12:30:00,17.19,17.35,17.05,17.09,9501
2016-01-28 13:30:00,17.11,17.2,17.07,17.19,4189
2016-01-28 14:30:00,17.09,17.12,17.05,17.05,10093
2016-01-28 15:30:00,17.05,17.07,16.93,17.04,11534
2016-01-29 09:30:00,17.24,17.86,17.0,17.0,19458
2016-01-29 10:30:00,17.045,17.49,16.805,17.38,10067
2016-01-29 11:30:00,17.31,17.4099,16.6,16.84,20357
2016-01-29 12:30:00,16.84,16.9,16.765,16.89,11143
2016-01-29 13:30:00,16.9,17.0,16.82,16.97,11689
2016-01-29 14:30:00,16.985,17.0,16.71,16.86,19371
2016-01-29 15:30:00,16.9,17.25,16.9,17.17,22661
2016-02-01 09:30:00,17.14,17.14,16.06,16.84,15485
2016-02-01 10:30:00,16.83,17.05,16.77,17.02,4229
2016-02-01 11:30:00,16.995,17.08,16.71,16.71,8055
2016-02-01 12:30:00,16.77,16.88,16.76,16.88,6680
2016-02-01 13:30:00,16.88,17.22,16.84,17.18,7959
2016-02-01 14:30:00,17.19,17.5,17.19,17.4,16532
2016-02-01 15:30:00,17.39,17.41,17.09,17.1,17299
2016-02-02 09:30:00,16.88,17.23,16.83,17.01,2569
2016-02-02 10:30:00,17.01,17.02,16.76,16.86,1974
2016-02-02 11:30:00,16.87,16.93,16.69,16.88,1609
2016-02-02 12:30:00,16.85,16.92,16.79,16.92,1002
2016-02-02 13:30:00,16.89,16.89,16.72,16.7524,3388
2016-02-02 14:30:00,16.67,16.82,16.67,16.76,4971
2016-02-02 15:30:00,16.76,16.86,16.71,16.86,5246
2016-02-03 09:30:00,17.06,17.06,16.7,16.85,3858
2016-02-03 10:30:00,16.83,17.11,16.7062,17.11,14558
2016-02-03 11:30:00,17.04,17.19,16.81,16.99,2873
2016-02-03 12:30:00,16.86,17.1,16.85,16.92,2828
2016-02-03 13:30:00,16.89,17.07,16.89,17.07,2077
2016-02-03 14:30:00,17.06,17.17,16.97,16.98,6739
2016-02-03 15:30:00,16.95,17.0,16.76,16.89,17246
2016-04-22 09:30:00,18.5,19.01,18.5,18.93,406
2016-04-22 10:30:00,18.91,18.91,18.7,18.725,2113
2016-04-22 11:30:00,18.74,18.74,18.685,18.7,527
2016-04-22 12:30:00,18.7,18.82,18.645,18.74,863
2016-04-22 13:30:00,18.67,18.85,18.67,18.72,2515
2016-04-22 14:30:00,18.775,18.83,18.51,18.745,8137
2016-04-22 15:30:00,18.71,18.82,18.65,18.79,4867
2016-04-25 09:30:00,18.65,18.92,18.6,18.76,1693
2016-04-25 10:30:00,18.8,18.85,18.54,18.64,610
2016-04-25 11:30:00,18.8,18.8,18.71,18.71,15
2016-04-25 12:30:00,18.56,18.6,18.55,18.55,84
2016-04-25 13:30:00,18.55,18.61,18.53,18.53,2906
2016-04-25 14:30:00,18.57,18.76,18.57,18.68,1151
2016-04-25 15:30:00,18.73,18.79,18.67,18.74,2112
2016-04-26 09:30:00,18.74,18.91,18.46,18.91,343
2016-04-26 10:30:00,18.75,18.95,18.6801,18.91,779
2016-04-26 11:30:00,18.9,19.0,18.89,19.0,1903
2016-04-26 12:30:00,18.98,19.0,18.94,18.94,1819
2016-04-26 13:30:00,18.98,19.07,18.8501,18.93,1255
2016-04-26 14:30:00,19.05,19.19,19.05,19.18,608
2016-04-26 15:30:00,19.18,19.27,19.07,19.13,4051
2016-04-27 09:30:00,18.8,19.23,18.8,19.07,497
2016-04-27 10:30:00,19.0,19.08,18.96,18.96,116
2016-04-27 11:30:00,19.09,19.09,18.95,18.95,740
2016-04-27 12:30:00,18.86,18.97,18.86,18.97,318
2016-04-27 13:30:00,18.84,18.99,18.81,18.93,1678
2016-04-27 14:30:00,19.0,19.04,18.93,19.04,1258
2016-04-27 15:30:00,18.98,19.08,18.95,18.95,3462
2016-04-28 09:30:00,18.83,19.03,18.69,19.03,329
2016-04-28 10:30:00,18.94,19.04,18.8,19.02,322
2016-04-28 11:30:00,18.84,19.04,18.82,18.96,479
2016-04-28 12:30:00,18.81,18.97,18.81,18.95,376
2016-04-28 13:30:00,18.98,19.0,18.93,18.93,1144
2016-04-28 14:30:00,18.93,19.0,18.71,18.71,2237
2016-04-28 15:30:00,18.7,18.78,18.54,18.6,4551
