bar_start,open,high,low,close,volume
2017-01-09 09:30:00,13.33,13.92,13.25,13.42,66401
2017-01-09 10:30:00,13.5,13.89,13.4,13.7,47359
2017-01-09 11:30:00,13.7199,14.0,13.66,13.9113,54664
2017-01-09 12:30:00,13.888,14.0,13.7,13.81,20636
2017-01-09 13:30:00,13.9699,13.9699,13.72,13.95,20487
2017-01-09 14:30:00,13.975,14.0,13.83,13.898,19377
2017-01-09 15:30:00,13.8999,14.0,13.85,13.99,21626
2017-01-10 09:30:00,14.23,14.25,13.59,13.62,25972
2017-01-10 10:30:00,13.605,13.9055,13.455,13.65,26361
2017-01-10 11:30:00,13.6,13.92,13.51,13.53,23534
2017-01-10 12:30:00,13.53,13.69,13.11,13.145,38610
2017-01-10 13:30:00,13.181,13.47,13.06,13.3063,10549
2017-01-10 14:30:00,13.3468,13.42,13.195,13.36,23048
2017-01-10 15:30:00,13.35,13.75,13.35,13.4,9110
2017-01-11 09:30:00,14.73,14.95,14.07,14.2703,180994
2017-01-11 10:30:00,14.3,14.36,13.85,14.1,77543
2017-01-11 11:30:00,14.0,14.2,13.92,13.92,62395
2017-01-11 12:30:00,13.9781,14.0,13.51,13.71,94368
2017-01-11 13:30:00,13.74,13.9899,13.6,13.77,17076
2017-01-11 14:30:00,13.73,14.11,13.73,13.9399,46196
2017-01-11 15:30:00,13.95,13.95,13.6,13.65,35611
2017-01-12 09:30:00,13.88,14.489,13.4101,13.57,53605
2017-01-12 10:30:00,13.46,13.5,12.72,13.02,119615
2017-01-12 11:30:00,13.0927,14.4,13.0927,14.4,52492
2017-01-12 12:30:00,14.375,14.61,14.3,14.35,64448
2017-01-12 13:30:00,14.37,14.71,14.3,14.51,63357
2017-01-12 14:30:00,14.5,14.52,14.3,14.3,51395
2017-01-12 15:30:00,14.3,14.44,14.3,14.38,35122
2017-01-13 09:30:00,14.38,14.5,14.1,14.27,47917
2017-01-13 10:30:00,14.28,14.3844,14.2,14.33,16475
2017-01-13 11:30:00,14.335,14.47,14.28,14.35,44881
2017-01-13 12:30:00,14.34,14.415,14.21,14.35,57187
2017-01-13 13:30:00,14.3724,14.43,14.31,14.415,6447
2017-01-13 14:30:00,14.37,14.4,14.28,14.28,24331
2017-01-13 15:30:00,14.28,14.31,14.18,14.18,4689
2017-01-17 09:30:00,14.22,14.74,14.0236,14.101,28850
2017-01-17 10:30:00,14.42,14.42,14.13,14.26,14980
2017-01-17 11:30:00,14.26,14.3776,14.11,14.25,5530
2017-01-17 12:30:00,14.26,14.3,14.2,14.24,13526
2017-01-17 13:30:00,14.2552,14.2799,14.22,14.23,7391
2017-01-17 14:30:00,14.23,14.32,14.22,14.28,9625
2017-01-17 15:30:00,14.29,14.35,14.25,14.33,14677
2017-01-23 09:30:00,15.8,16.16,15.51,15.63,60799
2017-01-23 10:30:00,15.63,15.65,15.3,15.49,43576
2017-01-23 11:30:00,15.49,15.89,15.49,15.858,15736
2017-01-23 12:30:00,15.8,15.9,15.59,15.6,3475
2017-01-23 13:30:00,15.57,15.66,15.45,15.46,12184
2017-01-23 14:30:00,15.46,15.51,15.45,15.45,14340
2017-01-23 15:30:00,15.45,15.52,15.45,15.47,11641
2017-01-24 09:30:00,15.9,15.93,15.29,15.7057,15475
2017-01-24 10:30:00,15.6515,15.7,15.41,15.48,30711
2017-01-24 11:30:00,15.54,15.65,15.48,15.48,9917
2017-01-24 12:30:00,15.5315,15.55,15.5,15.55,20704
2017-01-24 13:30:00,15.52,15.57,15.5,15.5599,15883
2017-01-24 14:30:00,15.56,15.81,15.55,15.74,25735
2017-01-24 15:30:00,15.8,15.92,15.71,15.89,29481
2017-01-25 09:30:00,15.95,16.25,15.52,15.8,22756
2017-01-25 10:30:00,15.9,15.91,15.51,15.6834,19594
2017-01-25 11:30:00,15.67,15.86,15.6,15.7,9464
2017-01-25 12:30:00,15.745,15.7712,15.64,15.64,4664
2017-01-25 13:30:00,15.6,15.65,15.56,15.56,4673
2017-01-25 14:30:00,15.6,15.65,15.58,15.6233,8771
2017-01-25 15:30:00,15.6,15.76,15.58,15.65,10609
2017-01-26 09:30:00,15.68,15.75,15.3,15.6122,20427
2017-01-26 10:30:00,15.569,15.61,15.5101,15.59,2743
