bar_start,open,high,low,close,volume
2016-01-26 09:30:00,28.4,28.65,28.07,28.43,62322
2016-01-26 10:30:00,28.44,28.94,28.38,28.79,51921
2016-01-26 11:30:00,28.75,29.18,28.691,29.16,30360
2016-01-26 12:30:00,29.16,29.18,28.81,28.93,34160
2016-01-26 13:30:00,28.9215,28.9215,28.5402,28.61,23876
2016-01-26 14:30:00,28.61,28.91,28.55,28.8,28451
2016-01-26 15:30:00,28.79,29.04,28.75,28.9,41776
2016-01-27 09:30:00,28.84,28.95,28.3,28.69,90162
2016-01-27 10:30:00,28.72,29.16,28.66,29.14,96619
2016-01-27 11:30:00,29.15,29.67,29.15,29.36,89061
2016-01-27 12:30:00,29.39,29.41,29.12,29.26,30652
2016-01-27 13:30:00,29.18,29.5,28.79,29.16,37103
2016-01-27 14:30:00,29.14,29.21,28.63,28.87,65122
2016-01-27 15:30:00,28.83,29.03,28.77,28.85,78495
2016-01-28 09:30:00,29.78,30.13,29.45,29.68,162417
2016-01-28 10:30:00,29.615,30.23,29.58,30.09,77327
2016-01-28 11:30:00,30.1,30.26,29.72,30.23,81751
2016-01-28 12:30:00,30.25,30.32,30.13,30.3,53127
2016-01-28 13:30:00,30.26,30.45,30.26,30.34,52554
2016-01-28 14:30:00,30.34,30.66,30.32,30.56,57610
2016-01-28 15:30:00,30.56,30.75,30.55,30.55,84995
2016-01-29 09:30:00,30.7,30.87,30.39,30.48,61165
2016-01-29 10:30:00,30.47,30.56,30.23,30.27,44841
2016-01-29 11:30:00,30.27,30.6,30.02,30.54,37382
2016-01-29 12:30:00,30.54,30.65,30.41,30.61,65176
2016-01-29 13:30:00,30.61,30.63,30.38,30.49,44109
2016-01-29 14:30:00,30.48,30.515,30.3,30.4,59577
2016-01-29 15:30:00,30.405,30.63,30.39,30.59,95244
2016-02-01 09:30:00,30.09,30.16,29.48,29.49,52568
2016-02-01 10:30:00,29.53,29.7,29.42,29.52,46331
2016-02-01 11:30:00,29.6,29.64,29.24,29.26,32715
2016-02-01 12:30:00,29.27,29.41,29.21,29.38,17530
2016-02-01 13:30:00,29.39,29.91,29.36,29.9,31966
2016-02-01 14:30:00,29.89,30.1,29.86,30.05,46263
2016-02-01 15:30:00,30.05,30.21,29.98,29.98,69064
2016-02-02 09:30:00,28.26,28.81,28.26,28.8,142836
2016-02-02 10:30:00,28.79,29.15,28.63,29.1,76489
2016-02-02 11:30:00,29.06,29.14,28.88,29.125,43292
2016-02-02 12:30:00,29.12,29.12,28.91,29.0499,49232
2016-02-02 13:30:00,29.05,29.32,28.81,29.27,67090
2016-02-02 14:30:00,29.26,29.32,29.11,29.25,134104
2016-02-02 15:30:00,29.24,29.4,29.15,29.29,104279
2016-02-03 09:30:00,30.05,30.05,29.14,29.1597,73434
2016-02-03 10:30:00,29.13,29.88,28.74,29.71,112345
2016-02-03 11:30:00,29.75,29.95,29.6,29.73,125965
2016-02-03 12:30:00,29.73,30.11,29.44,30.07,78507
2016-02-03 13:30:00,30.07,30.41,29.95,30.39,67139
2016-02-03 14:30:00,30.38,30.58,30.31,30.54,79141
2016-02-03 15:30:00,30.54,30.75,30.44,30.73,69808
2016-02-04 09:30:00,31.03,31.83,30.96,31.71,83440
2016-02-04 10:30:00,31.68,31.74,31.28,31.39,104422
2016-02-04 11:30:00,31.37,31.64,31.13,31.64,76811
