bar_start,open,high,low,close,volume
2016-01-11 09:30:00,31.76,32.22,31.74,31.98,5877098
2016-01-11 10:30:00,31.98,32.0608,31.79,31.84,3348913
2016-01-11 11:30:00,31.84,32.02,31.74,31.76,2390183
2016-01-11 12:30:00,31.751,31.8824,31.68,31.78,2676771
2016-01-11 13:30:00,31.77,31.95,31.68,31.935,3091670
2016-01-11 14:30:00,31.9325,32.145,31.78,32.1,3333791
2016-01-11 15:30:00,32.11,32.17,31.9834,32.06,4370252
2016-01-12 09:30:00,32.76,32.89,32.42,32.445,7192027
2016-01-12 10:30:00,32.44,32.59,32.36,32.4032,2739592
2016-01-12 11:30:00,32.401,32.51,32.27,32.41,2322337
2016-01-12 12:30:00,32.4025,32.51,32.27,32.38,2369433
2016-01-12 13:30:00,32.37,32.54,32.3,32.5,3007061
2016-01-12 14:30:00,32.49,32.74,32.47,32.6699,4560313
2016-01-12 15:30:00,32.66,32.77,32.58,32.68,4306033
2016-01-13 09:30:00,32.75,32.93,32.2495,32.79,4378072
2016-01-13 10:30:00,32.79,32.79,32.58,32.73,3564401
2016-01-13 11:30:00,32.73,32.77,32.43,32.575,3626954
2016-01-13 12:30:00,32.57,32.575,32.29,32.35,3836076
2016-01-13 13:30:00,32.3501,32.3955,31.93,32.05,4372687
2016-01-13 14:30:00,32.05,32.19,31.83,32.0701,6111610
2016-01-13 15:30:00,32.07,32.12,31.87,31.91,5689844
2016-01-14 09:30:00,32.17,32.21,31.8,32.175,8541342
2016-01-14 10:30:00,32.17,33.28,32.13,32.245,4979405
2016-01-14 11:30:00,32.25,32.33,32.16,32.2401,3579081
2016-01-14 12:30:00,32.245,32.37,32.18,32.35,3607849
2016-01-14 13:30:00,32.36,32.57,32.0995,32.57,3851389
2016-01-14 14:30:00,32.565,32.9,32.54,32.77,8054965
2016-01-14 15:30:00,32.775,32.8,32.6,32.74,8632033
2016-01-15 09:30:00,29.73,30.5,29.5,29.95,26584525
2016-01-15 10:30:00,29.95,30.1,29.65,29.835,9630932
2016-01-15 11:30:00,29.835,29.915,29.55,29.595,5862874
2016-01-15 12:30:00,29.5968,30.04,29.45,29.9599,6649457
2016-01-15 13:30:00,29.955,30.16,29.87,29.905,6105763
2016-01-15 14:30:00,29.91,30.02,29.7,29.801,7804700
2016-01-15 15:30:00,29.805,29.91,29.71,29.72,8873869
2016-01-19 09:30:00,29.98,30.06,29.85,30.0,6606655
2016-01-19 10:30:00,29.9915,30.05,29.8301,29.99,3904925
2016-01-19 11:30:00,29.99,30.05,29.8,29.96,3073483
2016-01-19 12:30:00,29.965,29.99,29.8,29.8099,1627390
2016-01-19 13:30:00,29.81,29.87,29.5,29.68,3443670
2016-01-19 14:30:00,29.67,29.77,29.48,29.751,3783377
2016-01-19 15:30:00,29.76,29.93,29.71,29.8,3587228
2016-04-14 09:30:00,31.78,31.89,31.55,31.69,5662214
2016-04-14 10:30:00,31.69,31.78,31.61,31.73,2348276
2016-04-14 11:30:00,31.74,31.8199,31.73,31.79,2219598
2016-04-14 12:30:00,31.7989,31.86,31.76,31.8275,1839499
2016-04-14 13:30:00,31.82,31.85,31.75,31.8,2121002
2016-04-14 14:30:00,31.8,31.9302,31.73,31.74,3451869
2016-04-14 15:30:00,31.7503,31.82,31.74,31.8,2303993
2016-04-15 09:30:00,31.75,31.8,31.38,31.7,9813550
2016-04-15 10:30:00,31.695,31.885,31.6901,31.87,3595244
2016-04-15 11:30:00,31.87,31.88,31.785,31.85,1395943
2016-04-15 12:30:00,31.85,31.86,31.6975,31.71,2079220
2016-04-15 13:30:00,31.71,31.78,31.52,31.62,3907117
2016-04-15 14:30:00,31.6173,31.63,31.51,31.575,3215052
2016-04-15 15:30:00,31.575,31.6,31.45,31.46,4163094
2016-04-18 09:30:00,31.43,31.69,31.38,31.535,4709782
2016-04-18 10:30:00,31.535,31.6,31.48,31.5125,3258290
2016-04-18 11:30:00,31.5127,31.6,31.455,31.58,2435966
2016-04-18 12:30:00,31.58,31.68,31.5,31.63,2128913
2016-04-18 13:30:00,31.6301,31.72,31.61,31.66,2091479
2016-04-18 14:30:00,31.66,31.72,31.61,31.64,2474325
2016-04-18 15:30:00,31.64,31.6985,31.62,31.65,2817132
2016-04-19 09:30:00,31.7,31.81,31.43,31.58,7402270
2016-04-19 10:30:00,31.585,31.68,31.57,31.6436,2693789
2016-04-19 11:30:00,31.64,31.69,31.4,31.575,2766551
2016-04-19 12:30:00,31.575,31.63,31.445,31.605,1857960
2016-04-19 13:30:00,31.605,31.74,31.6,31.645,2900359
2016-04-19 14:30:00,31.64,31.71,31.56,31.66,3836707
2016-04-19 15:30:00,31.66,31.71,31.47,31.6,6616967
2016-04-20 09:30:00,31.37,32.24,31.25,31.875,21140273
2016-04-20 10:30:00,31.875,32.14,31.635,32.0342,7690688
2016-04-20 11:30:00,32.04,32.26,31.8985,32.03,5943280
2016-04-20 12:30:00,32.0265,32.23,31.9752,32.03,4830133
2016-04-20 13:30:00,32.035,32.15,31.995,32.065,4404966
2016-04-20 14:30:00,32.0601,32.14,32.01,32.08,3866344
2016-04-20 15:30:00,32.08,32.1,31.99,32.0,6289673
2016-04-21 09:30:00,31.95,32.06,31.81,31.99,7753831
2016-04-21 10:30:00,31.99,32.03,31.87,31.965,5023909
2016-04-21 11:30:00,31.965,31.99,31.915,31.97,2644454
2016-04-21 12:30:00,31.975,32.02,31.85,31.92,2909878
2016-04-21 13:30:00,31.92,31.96,31.88,31.92,2113537
2016-04-21 14:30:00,31.93,32.01,31.89,31.964,3025972
2016-04-21 15:30:00,31.9601,32.01,31.94,31.97,3453196
2016-04-22 09:30:00,31.74,31.9464,31.67,31.75,5106028
2016-04-22 10:30:00,31.7538,31.8,31.45,31.47,3536820
2016-04-22 11:30:00,31.47,31.53,31.27,31.275,3248248
2016-04-22 12:30:00,31.27,31.4364,31.22,31.32,3345492
2016-04-22 13:30:00,31.315,31.9339,31.31,31.54,3752727
2016-04-22 14:30:00,31.54,31.57,31.465,31.4952,2729187
2016-04-22 15:30:00,31.4915,31.65,31.47,31.64,3600431
2016-07-15 09:30:00,35.16,35.29,34.94,35.12,7598553
2016-07-15 10:30:00,35.111,35.17,35.01,35.03,1879708
2016-07-15 11:30:00,35.025,35.05,34.9,34.97,2191229
2016-07-15 12:30:00,34.965,35.0,34.93,34.993,1599884
2016-07-15 13:30:00,34.995,35.05,34.975,35.01,1718981
2016-07-15 14:30:00,35.0,35.1,35.0,35.08,2005916
2016-07-15 15:30:00,35.0815,35.1,35.04,35.06,4544478
2016-07-18 09:30:00,35.18,35.2,34.95,35.055,4154629
2016-07-18 10:30:00,35.0569,35.1082,35.02,35.04,2518390
2016-07-18 11:30:00,35.045,35.18,35.0125,35.04,2203589
2016-07-18 12:30:00,35.04,35.05,35.0,35.04,1295815
2016-07-18 13:30:00,35.035,35.07,35.02,35.0499,1693169
2016-07-18 14:30:00,35.045,35.06,35.0,35.05,1872496
2016-07-18 15:30:00,35.05,35.07,35.02,35.04,2541589
2016-07-19 09:30:00,34.9,35.06,34.85,34.97,4402781
