bar_start,open,high,low,close,volume
2016-01-04 09:30:00,68.03,68.73,68.0,68.545,363510
2016-01-04 10:30:00,68.56,69.18,68.18,68.88,393213
2016-01-04 11:30:00,68.91,68.91,68.37,68.5,165036
2016-01-04 12:30:00,68.48,68.6,68.37,68.55,145873
2016-01-04 13:30:00,68.54,68.67,68.3,68.45,376218
2016-01-04 14:30:00,68.43,68.46,68.0999,68.17,296630
2016-01-04 15:30:00,68.17,68.7,68.17,68.68,261328
2016-01-05 09:30:00,68.38,68.89,68.35,68.5,273739
2016-01-05 10:30:00,68.5,68.82,68.47,68.71,256516
2016-01-05 11:30:00,68.7,68.81,68.48,68.561,158639
2016-01-05 12:30:00,68.5801,68.73,68.51,68.66,159328
2016-01-05 13:30:00,68.66,69.06,68.63,68.93,194606
2016-01-05 14:30:00,68.94,68.94,68.59,68.89,430084
2016-01-05 15:30:00,68.89,68.93,68.69,68.73,551138
2016-01-06 09:30:00,67.71,68.32,66.84,67.34,260160
2016-01-06 10:30:00,67.34,67.3401,66.55,66.83,136239
2016-01-06 11:30:00,66.84,66.85,66.24,66.42,136099
2016-01-06 12:30:00,66.42,66.47,66.13,66.24,117240
2016-01-06 13:30:00,66.24,66.62,66.14,66.6,187086
2016-01-06 14:30:00,66.6001,66.68,66.09,66.46,200587
2016-01-06 15:30:00,66.47,66.6,66.4003,66.55,322760
2016-01-07 09:30:00,65.42,66.35,65.41,65.96,443136
2016-01-07 10:30:00,65.98,66.64,65.9645,66.54,184765
2016-01-07 11:30:00,66.56,66.6699,66.2,66.31,128852
2016-01-07 12:30:00,66.3,66.4,65.98,66.07,151502
2016-01-07 13:30:00,66.07,66.084,65.585,65.62,143660
2016-01-07 14:30:00,65.61,66.04,65.6,65.82,244268
2016-01-07 15:30:00,65.81,66.22,65.81,65.93,316375
2016-01-08 09:30:00,66.14,66.31,65.48,65.48,190014
2016-01-08 10:30:00,65.5,65.5286,64.87,64.95,265096
2016-01-08 11:30:00,64.95,65.44,64.7,65.4,205870
2016-01-08 12:30:00,65.39,65.52,65.23,65.48,97202
2016-01-08 13:30:00,65.46,65.57,65.32,65.41,103742
2016-01-08 14:30:00,65.4,65.57,65.29,65.48,224856
2016-01-08 15:30:00,65.47,65.49,65.07,65.21,435102
2016-01-11 09:30:00,65.76,65.76,65.31,65.47,175262
2016-01-11 10:30:00,65.47,65.6,65.1,65.34,144510
2016-01-11 11:30:00,65.33,65.5,64.98,65.02,96184
2016-01-11 12:30:00,65.03,65.2,64.95,65.0,94922
2016-01-11 13:30:00,64.97,65.27,64.82,65.23,99157
2016-01-11 14:30:00,65.24,65.57,65.12,65.55,185211
2016-01-11 15:30:00,65.55,65.7,65.46,65.51,291913
2016-01-12 09:30:00,65.22,66.46,65.22,65.68,151552
2016-01-12 10:30:00,65.63,65.89,65.46,65.52,74505
2016-01-12 11:30:00,65.51,65.6194,65.28,65.35,43669
2016-01-12 12:30:00,65.32,65.46,65.15,65.28,88651
2016-01-12 13:30:00,65.3,65.54,65.22,65.4,53437
2016-01-12 14:30:00,65.39,65.72,65.35,65.62,153951
2016-01-12 15:30:00,65.62,65.89,65.54,65.74,128118
2016-01-13 09:30:00,65.81,66.3,65.71,66.17,242879
2016-01-13 10:30:00,66.17,66.17,65.72,65.75,90132
2016-01-13 11:30:00,65.74,65.96,65.58,65.73,63826
2016-01-13 12:30:00,65.7,65.7,65.45,65.5,87936
2016-01-13 13:30:00,65.52,65.56,64.95,65.16,132072
2016-01-13 14:30:00,65.16,65.17,64.67,64.99,259210
2016-01-13 15:30:00,65.0,65.0576,64.74,64.81,255788
2016-01-14 09:30:00,65.17,65.56,64.81,65.56,206260
2016-01-14 10:30:00,65.57,66.0,65.5101,65.71,260031
2016-01-14 11:30:00,65.71,66.46,65.67,66.33,496028
2016-01-14 12:30:00,66.3301,66.85,66.33,66.83,267413
2016-01-14 13:30:00,66.83,67.0,66.61,67.0,148161
2016-01-14 14:30:00,66.97,67.14,66.78,66.94,574703
2016-01-14 15:30:00,66.94,67.0519,66.6,66.66,326094
2016-01-15 09:30:00,63.97,65.2,63.94,64.73,463339
2016-01-15 10:30:00,64.7,64.98,64.24,64.42,202275
2016-01-15 11:30:00,64.42,64.57,63.84,63.97,204198
2016-01-15 12:30:00,63.95,64.5678,63.64,64.06,265785
2016-01-15 13:30:00,64.04,64.38,63.87,64.1,134635
2016-01-15 14:30:00,64.1,64.53,64.03,64.5,130922
2016-01-15 15:30:00,64.47,64.67,64.1148,64.55,278813
2016-01-19 09:30:00,65.96,65.96,64.85,65.16,162293
2016-01-19 10:30:00,65.16,65.21,64.41,64.72,90743
2016-01-19 11:30:00,64.75,65.05,64.52,64.69,79114
2016-01-19 12:30:00,64.6801,64.7,64.38,64.48,66806
2016-01-19 13:30:00,64.48,64.55,64.14,64.35,108430
2016-01-19 14:30:00,64.35,64.57,64.07,64.55,143269
2016-01-19 15:30:00,64.51,64.63,64.3,64.32,209583
2016-03-28 09:30:00,70.96,71.27,70.91,71.18,111350
2016-03-28 10:30:00,71.17,71.17,71.02,71.11,110321
2016-03-28 11:30:00,71.13,71.16,70.96,71.08,60298
2016-03-28 12:30:00,71.08,71.23,71.0699,71.12,54464
2016-03-28 13:30:00,71.13,71.2,70.9699,71.0,117876
2016-03-28 14:30:00,71.0,71.03,70.87,70.94,71218
2016-03-28 15:30:00,70.93,70.98,70.8499,70.88,77920
2016-03-29 09:30:00,70.96,71.6699,70.7,71.66,172170
2016-03-29 10:30:00,71.67,71.8,71.5,71.77,121208
2016-03-29 11:30:00,71.77,71.98,71.62,71.98,120349
2016-03-29 12:30:00,71.98,72.14,71.88,72.115,85304
2016-03-29 13:30:00,72.12,72.4,71.995,72.33,76535
2016-03-29 14:30:00,72.33,72.4,72.1999,72.32,218473
2016-03-29 15:30:00,72.325,72.36,72.145,72.36,121997
2016-03-30 09:30:00,72.52,73.19,72.37,73.07,204148
2016-03-30 10:30:00,73.1,73.18,72.67,72.77,183111
2016-03-30 11:30:00,72.78,72.9965,72.76,72.86,147060
2016-03-30 12:30:00,72.87,72.9,72.59,72.59,143677
2016-03-30 13:30:00,72.6,72.66,72.4,72.47,64924
2016-03-30 14:30:00,72.48,72.575,72.44,72.53,186118
2016-03-30 15:30:00,72.54,72.61,72.5,72.57,89327
2016-03-31 09:30:00,72.7,72.745,71.919,72.53,157337
2016-03-31 10:30:00,72.55,72.83,72.38,72.63,86107
2016-03-31 11:30:00,72.64,72.86,72.64,72.83,48457
2016-03-31 12:30:00,72.8235,72.97,72.75,72.79,44455
2016-03-31 13:30:00,72.79,72.89,72.68,72.73,152752
2016-03-31 14:30:00,72.74,72.83,72.68,72.71,73901
2016-03-31 15:30:00,72.71,72.89,72.7087,72.81,233256
2016-04-01 09:30:00,72.74,73.18,72.39,73.0,146566
2016-04-01 10:30:00,73.0,73.26,72.92,73.1,187273
2016-04-01 11:30:00,73.09,73.11,72.81,72.92,115144
2016-04-01 12:30:00,72.91,73.07,72.84,72.94,46656
2016-04-01 13:30:00,72.9401,73.03,72.88,72.9101,79044
2016-04-01 14:30:00,72.93,73.02,72.84,72.93,130328
2016-04-01 15:30:00,72.92,73.07,72.92,73.05,107369
2016-04-04 09:30:00,73.13,73.23,72.53,72.8,141690
2016-04-04 10:30:00,72.8,72.82,72.63,72.72,59637
2016-04-04 11:30:00,72.74,72.88,72.74,72.8,62723
2016-04-04 12:30:00,72.79,72.88,72.78,72.8,37615
2016-04-04 13:30:00,72.81,72.83,72.68,72.78,103749
2016-04-04 14:30:00,72.785,72.87,72.77,72.84,177217
2016-04-04 15:30:00,72.83,72.87,72.79,72.83,245960
2016-04-14 09:30:00,72.38,72.53,71.92,72.44,141180
2016-04-14 10:30:00,72.47,72.51,72.37,72.3899,105565
2016-04-14 11:30:00,72.39,72.67,72.38,72.66,47143
2016-04-14 12:30:00,72.65,72.71,72.6,72.62,56407
2016-04-14 13:30:00,72.61,72.64,72.53,72.55,49790
2016-04-14 14:30:00,72.54,72.57,72.44,72.46,38850
2016-04-14 15:30:00,72.45,72.56,72.44,72.49,47185
2016-04-15 09:30:00,72.26,72.55,71.88,72.29,188897
2016-04-15 10:30:00,72.27,72.62,72.27,72.3,68099
2016-04-15 11:30:00,72.29,72.49,72.29,72.4,26609
2016-04-15 12:30:00,72.39,72.46,72.32,72.43,56548
2016-04-15 13:30:00,72.4,72.5,72.31,72.4726,54567
2016-04-15 14:30:00,72.48,72.55,72.43,72.53,42102
2016-04-15 15:30:00,72.52,72.55,72.47,72.53,60058
2016-04-18 09:30:00,72.53,72.79,72.26,72.6599,56018
2016-04-18 10:30:00,72.67,72.73,72.45,72.55,45042
2016-04-18 11:30:00,72.55,72.67,72.38,72.67,36813
2016-04-18 12:30:00,72.68,72.79,72.65,72.69,38680
2016-04-18 13:30:00,72.69,72.71,72.61,72.69,70554
2016-04-18 14:30:00,72.68,72.89,72.66,72.69,74611
2016-04-18 15:30:00,72.69,72.85,72.68,72.75,158939
2016-04-19 09:30:00,72.89,72.99,72.65,72.91,96039
2016-04-19 10:30:00,72.9,73.13,72.9,73.11,73396
2016-04-19 11:30:00,73.12,73.27,72.94,73.01,141229
2016-04-19 12:30:00,73.03,73.09,72.86,73.06,48075
2016-04-19 13:30:00,73.07,73.145,72.95,73.03,53982
2016-04-19 14:30:00,73.01,73.19,72.99,73.09,55320
2016-04-19 15:30:00,73.11,73.16,73.02,73.105,108062
2016-04-20 09:30:00,72.9,73.1199,72.3505,72.54,168580
2016-04-20 10:30:00,72.57,72.61,72.06,72.59,59678
2016-04-20 11:30:00,72.6,72.77,72.58,72.72,49271
2016-04-20 12:30:00,72.73,72.8101,72.69,72.72,27945
2016-04-20 13:30:00,72.66,72.89,72.58,72.84,34070
2016-04-20 14:30:00,72.83,72.94,72.83,72.84,103529
2016-04-20 15:30:00,72.85,73.01,72.83,72.97,163801
2016-04-21 09:30:00,73.0,73.59,71.99,71.99,219371
2016-04-21 10:30:00,71.98,72.55,71.93,72.33,246547
2016-04-21 11:30:00,72.35,72.39,71.7,72.13,120967
2016-04-21 12:30:00,72.16,72.18,71.92,72.04,48700
2016-04-21 13:30:00,72.03,72.3,71.92,72.03,66100
2016-04-21 14:30:00,72.03,72.04,71.81,71.85,145338
2016-04-21 15:30:00,71.85,72.01,71.85,71.98,210739
2016-04-22 09:30:00,72.05,72.57,72.05,72.19,102347
2016-04-22 10:30:00,72.19,72.4,71.87,71.92,57073
2016-04-22 11:30:00,71.92,72.1475,71.84,71.8601,36983
2016-04-22 12:30:00,71.87,71.95,71.73,71.81,65705
2016-04-22 13:30:00,71.81,72.0,71.72,71.9,85015
2016-04-22 14:30:00,71.9099,71.94,71.66,71.74,110968
2016-04-22 15:30:00,71.74,71.92,71.74,71.91,110542
2016-04-25 09:30:00,71.78,72.05,71.59,71.6065,95703
2016-04-25 10:30:00,71.6,71.73,71.57,71.61,80134
2016-04-25 11:30:00,71.61,71.61,71.39,71.48,80284
2016-04-25 12:30:00,71.48,71.83,71.43,71.72,119401
2016-04-25 13:30:00,71.73,71.75,71.5,71.5411,32754
2016-04-25 14:30:00,71.54,71.61,71.46,71.6,58010
2016-04-25 15:30:00,71.6,71.7,71.57,71.595,65598
2016-04-26 09:30:00,71.68,72.285,71.65,71.65,128991
2016-04-26 10:30:00,71.66,71.71,71.52,71.58,51293
2016-04-26 11:30:00,71.59,71.94,71.55,71.9,38854
2016-04-26 12:30:00,71.8833,71.89,71.67,71.73,98683
2016-04-26 13:30:00,71.73,71.86,71.67,71.68,174121
2016-04-26 14:30:00,71.68,71.7765,71.65,71.7,142406
2016-04-26 15:30:00,71.7,71.865,71.68,71.77,335198
2016-04-27 09:30:00,71.25,72.3,71.25,71.6,194299
2016-04-27 10:30:00,71.58,71.83,71.46,71.73,80235
2016-04-27 11:30:00,71.73,71.82,71.69,71.75,218276
2016-04-27 12:30:00,71.75,71.85,71.69,71.81,244350
2016-04-27 13:30:00,71.83,72.16,71.82,72.09,67464
2016-04-27 14:30:00,72.1,72.27,72.01,72.22,71424
2016-04-27 15:30:00,72.22,72.26,72.16,72.23,187872
2016-04-28 09:30:00,71.97,71.995,71.55,71.74,79465
2016-04-28 10:30:00,71.77,71.85,71.63,71.73,109509
2016-04-28 11:30:00,71.76,71.86,71.72,71.74,199062
2016-04-28 12:30:00,71.76,71.8901,71.46,71.47,194314
2016-04-28 13:30:00,71.47,71.59,71.36,71.41,271521
2016-04-28 14:30:00,71.41,71.44,70.74,70.81,267904
2016-04-28 15:30:00,70.81,70.86,70.71,70.82,297108
2016-04-29 09:30:00,70.61,70.82,69.75,70.12,183057
2016-04-29 10:30:00,70.12,70.29,69.78,69.8298,85991
2016-04-29 11:30:00,69.82,70.12,69.73,70.02,99831
2016-04-29 12:30:00,70.01,70.05,69.93,69.95,50240
