bar_start,open,high,low,close,volume
2016-01-04 09:30:00,77.77,78.21,77.1,77.57,457507
2016-01-04 10:30:00,77.61,77.8527,77.08,77.42,347145
2016-01-04 11:30:00,77.42,77.93,77.26,77.38,228106
2016-01-04 12:30:00,77.38,77.7599,77.27,77.72,244117
2016-01-04 13:30:00,77.65,77.9,77.17,77.5,264140
2016-01-04 14:30:00,77.52,77.56,76.83,76.99,257517
2016-01-04 15:30:00,77.0079,77.76,76.98,77.72,388154
2016-01-05 09:30:00,78.16,78.495,77.05,77.527,305241
2016-01-05 10:30:00,77.55,78.1599,77.44,77.86,197400
2016-01-05 11:30:00,77.86,78.154,77.5,77.59,177590
2016-01-05 12:30:00,77.64,78.0,77.54,77.85,150883
2016-01-05 13:30:00,77.84,78.55,77.77,78.4075,149554
2016-01-05 14:30:00,78.39,78.41,77.67,78.28,284101
2016-01-05 15:30:00,78.295,78.395,78.0,78.14,478733
2016-01-06 09:30:00,76.62,77.31,74.0,74.79,946767
2016-01-06 10:30:00,74.77,74.8063,73.46,74.18,672044
2016-01-06 11:30:00,74.18,74.23,72.97,73.355,580224
2016-01-06 12:30:00,73.34,73.42,72.76,72.98,299871
2016-01-06 13:30:00,72.97,75.14,72.55,73.71,653905
2016-01-06 14:30:00,73.72,73.955,72.52,73.365,659860
2016-01-06 15:30:00,73.35,73.71,73.26,73.55,696319
2016-01-07 09:30:00,72.1,73.0,71.5,72.3,736468
2016-01-07 10:30:00,72.33,77.4,72.29,73.27,338163
2016-01-07 11:30:00,73.31,73.52,72.69,72.89,288057
2016-01-07 12:30:00,72.94,73.13,72.27,72.41,295315
2016-01-07 13:30:00,72.41,72.48,71.46,71.48,402859
2016-01-07 14:30:00,71.48,72.31,71.46,71.68,502693
2016-01-07 15:30:00,71.67,72.46,71.66,71.71,677333
2016-01-08 09:30:00,72.38,72.87,70.92,70.9201,502981
2016-01-08 10:30:00,70.97,71.1859,69.79,69.93,490414
2016-01-08 11:30:00,69.94,70.96,69.43,70.77,585003
2016-01-08 12:30:00,70.76,71.11,70.51,70.9,942456
2016-01-08 13:30:00,70.86,71.0599,70.61,70.8,499651
2016-01-08 14:30:00,70.73,71.11,70.57,70.95,565074
2016-01-08 15:30:00,70.95,70.98,70.26,70.48,934729
