bar_start,open,high,low,close,volume
2016-01-25 09:30:00,17.17,17.25,16.85,17.14,16597
2016-01-25 10:30:00,17.13,17.14,16.69,16.86,28780
2016-01-25 11:30:00,16.93,17.01,16.85,16.94,9572
2016-01-25 12:30:00,16.9201,17.02,16.9201,16.98,10209
2016-01-25 13:30:00,16.99,17.03,16.85,16.9,10320
2016-01-25 14:30:00,16.9,16.94,16.76,16.775,17876
2016-01-25 15:30:00,16.78,16.86,16.77,16.84,21204
2016-01-26 09:30:00,17.0,17.22,16.585,17.17,20579
2016-01-26 10:30:00,17.18,17.365,17.08,17.35,24607
2016-01-26 11:30:00,17.4,17.48,17.24,17.425,19081
2016-01-26 12:30:00,17.39,17.44,17.28,17.39,11105
2016-01-26 13:30:00,17.35,17.49,17.3275,17.4,22572
2016-01-26 14:30:00,17.39,17.45,17.22,17.33,28457
2016-01-26 15:30:00,17.31,17.58,17.16,17.55,72654
2016-01-27 09:30:00,18.48,18.9,17.63,18.8,272516
2016-01-27 10:30:00,18.78,19.15,18.78,19.0773,178983
2016-01-27 11:30:00,19.08,19.15,18.91,19.03,55277
2016-01-27 12:30:00,19.04,19.05,18.69,18.84,58610
2016-01-27 13:30:00,18.84,19.2,18.83,19.17,50839
2016-01-27 14:30:00,19.185,19.185,18.85,19.08,78683
2016-01-27 15:30:00,19.1,19.22,18.95,19.0,116038
2016-01-28 09:30:00,19.14,19.19,18.94,19.08,38174
2016-01-28 10:30:00,19.08,19.09,18.87,18.94,35356
2016-01-28 11:30:00,18.95,19.1,18.77,19.08,30622
2016-01-28 12:30:00,19.07,19.14,19.02,19.0534,24385
2016-01-28 13:30:00,19.085,19.1,18.99,19.09,23691
2016-01-28 14:30:00,19.08,19.14,19.05,19.12,30794
2016-01-28 15:30:00,19.12,19.15,19.03,19.1,45902
2016-01-29 09:30:00,19.04,19.16,18.61,18.65,110883
2016-01-29 10:30:00,18.62,18.91,18.52,18.87,29249
2016-01-29 11:30:00,18.84,18.87,18.7,18.85,15899
2016-01-29 12:30:00,18.86,18.86,18.65,18.75,11465
2016-01-29 13:30:00,18.75,18.89,18.71,18.82,17073
2016-01-29 14:30:00,18.82,18.9,18.74,18.89,25530
2016-01-29 15:30:00,18.9,19.09,18.86,19.09,65122
2016-02-01 09:30:00,18.92,18.95,18.61,18.85,25583
2016-02-01 10:30:00,18.84,19.09,18.75,19.04,24736
2016-02-01 11:30:00,19.03,19.09,18.9,18.93,12064
2016-02-01 12:30:00,18.905,19.025,18.86,18.96,9746
2016-02-01 13:30:00,18.96,19.05,18.81,19.03,18669
2016-02-01 14:30:00,19.05,19.1,19.01,19.08,25505
2016-02-01 15:30:00,19.08,19.1,18.93,18.99,61938
2016-02-02 09:30:00,18.79,18.99,18.48,18.64,11201
2016-02-02 10:30:00,18.59,18.64,18.42,18.42,9371
2016-02-02 11:30:00,18.43,18.47,18.14,18.2525,16184
2016-02-02 12:30:00,18.24,18.27,18.15,18.25,7379
2016-02-02 13:30:00,18.25,18.2699,18.13,18.16,7322
2016-02-02 14:30:00,18.15,18.2,18.02,18.15,15390
2016-02-02 15:30:00,18.14,18.24,18.14,18.22,17688
2016-02-03 09:30:00,18.38,18.38,17.99,18.13,11674
2016-02-03 10:30:00,18.07,18.26,17.9503,18.2,14373
2016-02-03 11:30:00,18.13,18.21,17.99,18.115,4536
2016-02-03 12:30:00,18.093,18.14,17.98,18.06,8479
2016-02-03 13:30:00,18.04,18.2,17.97,18.2,10315
2016-02-03 14:30:00,18.16,18.24,18.12,18.14,12275
2016-02-03 15:30:00,18.15,18.23,18.08,18.11,23917
2016-02-04 09:30:00,18.09,18.26,17.73,18.18,7043
2016-02-04 10:30:00,18.16,18.25,18.1,18.1,4846
2016-02-04 11:30:00,18.13,18.24,18.0425,18.21,5216
2016-02-04 12:30:00,18.17,18.2,18.05,18.05,6500
2016-02-04 13:30:00,18.07,18.11,17.94,18.0,9164
2016-02-04 14:30:00,18.0,18.06,17.94,18.01,9303
2016-02-04 15:30:00,17.97,18.04,17.94,17.98,13924
2016-04-21 09:30:00,20.83,20.96,20.61,20.66,27536
2016-04-21 10:30:00,20.72,20.91,20.67,20.87,31229
2016-04-21 11:30:00,20.85,20.86,20.725,20.74,20817
2016-04-21 12:30:00,20.7483,20.9,20.74,20.9,11132
