bar_start,open,high,low,close,volume
2016-01-25 09:30:00,39.03,39.13,38.24,38.84,54791
2016-01-25 10:30:00,38.7747,38.995,38.32,38.45,63673
2016-01-25 11:30:00,38.45,38.7,37.87,38.45,69832
2016-01-25 12:30:00,38.46,38.61,38.2754,38.315,28010
2016-01-25 13:30:00,38.29,38.44,38.07,38.375,48423
2016-01-25 14:30:00,38.42,38.59,38.0,38.18,35461
2016-01-25 15:30:00,38.12,38.22,37.94,38.01,52592
2016-01-26 09:30:00,38.31,39.105,38.1,39.04,22483
2016-01-26 10:30:00,38.97,39.125,38.51,38.98,33600
2016-01-26 11:30:00,38.97,39.61,38.84,39.48,26246
2016-01-26 12:30:00,39.53,39.71,39.2501,39.66,28009
2016-01-26 13:30:00,39.57,39.59,39.05,39.08,41786
2016-01-26 14:30:00,39.19,39.52,39.115,39.42,29597
2016-01-26 15:30:00,39.38,39.65,39.32,39.61,41547
2016-01-27 09:30:00,39.15,39.63,38.52,38.94,37891
2016-01-27 10:30:00,38.91,39.36,38.82,39.3,29708
2016-01-27 11:30:00,39.21,39.9,39.21,39.73,23397
2016-01-27 12:30:00,39.52,39.59,39.12,39.24,14956
2016-01-27 13:30:00,39.14,39.87,38.9901,39.22,37849
2016-01-27 14:30:00,39.22,39.39,38.61,38.88,42992
2016-01-27 15:30:00,38.87,38.98,38.58,38.69,35976
2016-01-28 09:30:00,39.48,39.71,38.88,38.88,43900
2016-01-28 10:30:00,39.0,39.81,38.7,39.49,18136
2016-01-28 11:30:00,39.42,39.43,39.1,39.32,18032
2016-01-28 12:30:00,39.33,39.66,39.14,39.42,19467
2016-01-28 13:30:00,39.43,39.46,39.16,39.415,19767
2016-01-28 14:30:00,39.415,39.54,39.18,39.34,22978
2016-01-28 15:30:00,39.35,39.39,39.07,39.28,55524
2016-01-29 09:30:00,39.43,40.75,38.8901,39.91,32281
2016-01-29 10:30:00,39.9899,40.36,39.67,40.36,53417
2016-01-29 11:30:00,40.35,40.7,39.86,40.31,32244
2016-01-29 12:30:00,40.26,40.69,40.24,40.6245,17190
2016-01-29 13:30:00,40.49,40.59,40.1,40.5599,20594
2016-01-29 14:30:00,40.48,40.56,40.41,40.51,45472
2016-01-29 15:30:00,40.49,41.04,40.44,41.02,49666
2016-02-01 09:30:00,40.53,40.79,39.35,39.76,30122
2016-02-01 10:30:00,39.76,39.9799,39.44,39.63,28908
2016-02-01 11:30:00,39.61,39.8,39.3801,39.65,23267
2016-02-01 12:30:00,39.67,40.04,39.64,39.93,27803
2016-02-01 13:30:00,39.93,40.025,39.64,39.82,30692
2016-02-01 14:30:00,39.85,40.21,39.74,40.14,45368
2016-02-01 15:30:00,40.07,40.25,39.99,40.02,43408
2016-02-02 09:30:00,39.07,39.62,38.68,38.75,46388
2016-02-02 10:30:00,38.7,39.3758,38.6801,39.25,30494
2016-02-02 11:30:00,39.3696,39.45,38.58,38.6,14996
2016-02-02 12:30:00,38.6,38.6007,38.27,38.46,14992
2016-02-02 13:30:00,38.46,38.53,38.19,38.32,15286
2016-02-02 14:30:00,38.3199,38.46,38.11,38.39,20145
2016-02-02 15:30:00,38.38,38.62,38.38,38.48,39854
2016-02-03 09:30:00,39.25,39.84,37.36,37.47,29973
2016-02-03 10:30:00,37.43,38.82,37.23,38.71,53874
2016-02-03 11:30:00,38.61,39.2,38.54,39.14,28376
2016-02-03 12:30:00,39.12,39.3,38.88,38.88,14967
2016-02-03 13:30:00,38.87,39.44,38.655,39.42,15984
2016-02-03 14:30:00,39.2791,40.0,39.2791,39.59,24261
2016-02-03 15:30:00,39.67,39.86,39.49,39.78,42156
2016-02-04 09:30:00,40.07,41.03,39.49,40.74,24890
2016-02-04 10:30:00,40.81,40.89,39.87,40.07,24799
2016-02-04 11:30:00,39.96,40.19,39.7301,39.885,11039
2016-02-04 12:30:00,39.84,40.07,39.55,39.59,24478
2016-02-04 13:30:00,39.63,39.82,39.2001,39.64,26752
2016-02-04 14:30:00,39.66,39.94,39.4501,39.8299,25973
2016-02-04 15:30:00,39.89,40.33,39.69,40.2,68084
2016-04-21 09:30:00,60.25,60.499,59.71,60.08,17195
2016-04-21 10:30:00,60.04,60.415,59.67,60.28,11841
2016-04-21 11:30:00,60.29,60.91,60.29,60.38,20114
2016-04-21 12:30:00,60.36,60.62,60.26,60.385,10440
2016-04-21 13:30:00,60.3201,60.58,59.5,59.53,27875
2016-04-21 14:30:00,59.53,59.5541,59.17,59.42,37999
2016-04-21 15:30:00,59.38,59.705,59.34,59.47,38262
2016-04-22 09:30:00,59.66,60.31,59.49,60.0,24607
2016-04-22 10:30:00,60.05,60.07,59.35,59.61,13180
2016-04-22 11:30:00,59.51,59.74,59.33,59.34,20659
2016-04-22 12:30:00,59.31,59.67,59.17,59.46,14873
2016-04-22 13:30:00,59.46,59.94,59.3701,59.83,14717
2016-04-22 14:30:00,59.79,60.08,59.79,59.91,14316
2016-04-22 15:30:00,59.89,59.97,59.71,59.91,59047
2016-04-25 09:30:00,59.81,59.92,59.26,59.675,26740
2016-04-25 10:30:00,59.7,59.8,59.172,59.35,31304
2016-04-25 11:30:00,59.42,59.6,59.13,59.2,10117
2016-04-25 12:30:00,59.21,59.54,59.1,59.445,7631
2016-04-25 13:30:00,59.53,59.65,59.355,59.5685,20241
2016-04-25 14:30:00,59.57,59.63,59.39,59.48,10502
2016-04-25 15:30:00,59.5,59.81,59.44,59.77,51603
2016-04-26 09:30:00,60.14,60.66,59.59,60.3,18169
2016-04-26 10:30:00,60.08,60.46,59.97,60.39,30215
2016-04-26 11:30:00,60.38,60.98,60.35,60.8864,11192
2016-04-26 12:30:00,60.8,60.95,60.69,60.85,8939
2016-04-26 13:30:00,60.94,61.21,60.76,61.0,10478
2016-04-26 14:30:00,60.99,61.26,60.98,61.16,13075
2016-04-26 15:30:00,61.17,61.33,60.91,60.92,35501
2016-04-27 09:30:00,61.25,62.1,60.271,61.79,24359
2016-04-27 10:30:00,61.57,61.83,61.13,61.83,16233
2016-04-27 11:30:00,61.81,61.92,61.42,61.45,10363
2016-04-27 12:30:00,61.45,61.79,61.43,61.52,19828
2016-04-27 13:30:00,61.51,61.82,61.0601,61.5,7422
2016-04-27 14:30:00,61.5,61.91,61.44,61.79,17426
2016-04-27 15:30:00,61.76,61.93,61.59,61.69,27637
2016-04-28 09:30:00,61.48,61.73,60.8201,61.34,8027
2016-04-28 10:30:00,61.22,61.34,60.85,61.12,14659
2016-04-28 11:30:00,61.2,61.32,60.61,60.7573,4616
2016-04-28 12:30:00,60.84,61.12,60.815,61.0,9641
2016-04-28 13:30:00,61.01,61.23,60.97,61.1,10875
2016-04-28 14:30:00,61.085,61.17,60.2,60.21,12272
2016-04-28 15:30:00,60.21,60.34,59.9301,60.04,56049
2016-04-29 09:30:00,59.98,60.09,58.98,59.53,23529
2016-04-29 10:30:00,59.65,60.0,59.23,59.39,9713
2016-04-29 11:30:00,59.39,59.55,58.86,59.38,17862
2016-04-29 12:30:00,59.43,59.87,59.35,59.73,15184
2016-04-29 13:30:00,59.74,59.74,59.23,59.48,12782
2016-04-29 14:30:00,59.46,59.71,59.25,59.68,42193
2016-04-29 15:30:00,59.65,60.11,59.65,59.9,59782
2016-05-02 09:30:00,59.85,60.49,59.01,59.58,22858
2016-05-02 10:30:00,59.77,60.47,59.63,60.3,37561
2016-05-02 11:30:00,60.3101,60.37,59.47,59.615,15455
2016-05-02 12:30:00,59.71,60.08,59.57,60.07,24093
2016-05-02 13:30:00,59.92,60.08,59.84,60.06,15975
2016-05-02 14:30:00,60.05,60.3,59.89,60.22,21825
2016-05-02 15:30:00,60.22,60.31,59.93,60.27,75448
