bar_start,open,high,low,close,volume
2016-01-26 09:30:00,17.08,17.44,16.85,16.93,1567606
2016-01-26 10:30:00,16.9299,17.41,16.77,17.34,1155109
2016-01-26 11:30:00,17.34,17.645,17.05,17.55,1146319
2016-01-26 12:30:00,17.55,17.65,17.41,17.6,587717
2016-01-26 13:30:00,17.6,17.64,17.29,17.39,779332
2016-01-26 14:30:00,17.38,17.8,17.29,17.74,1273630
2016-01-26 15:30:00,17.74,17.75,17.57,17.71,1329571
2016-01-27 09:30:00,17.41,17.97,17.12,17.745,1521806
2016-01-27 10:30:00,17.75,18.47,17.63,18.19,1451767
2016-01-27 11:30:00,18.19,18.61,18.175,18.43,1225367
2016-01-27 12:30:00,18.44,18.59,18.2,18.3,1006536
2016-01-27 13:30:00,18.29,18.91,18.04,18.43,1124593
2016-01-27 14:30:00,18.42,18.56,17.71,17.97,1674281
2016-01-27 15:30:00,17.97,18.22,17.92,18.18,1735935
2016-01-28 09:30:00,19.58,20.47,18.0,18.11,2757751
2016-01-28 10:30:00,18.11,18.5315,17.56,18.15,1280592
2016-01-28 11:30:00,18.12,19.7,17.81,18.18,944344
2016-01-28 12:30:00,18.19,18.72,18.15,18.68,796826
2016-01-28 13:30:00,18.68,18.69,17.75,17.88,1100219
2016-01-28 14:30:00,17.885,18.74,17.86,18.5075,1617393
2016-01-28 15:30:00,18.51,18.55,18.31,18.44,1947463
2016-01-29 09:30:00,19.04,19.72,18.57,19.04,743308
2016-01-29 10:30:00,19.07,19.24,18.82,19.0,721251
2016-01-29 11:30:00,18.99,19.52,18.81,19.51,951839
2016-01-29 12:30:00,19.5099,19.56,19.34,19.46,523778
2016-01-29 13:30:00,19.46,19.4812,19.08,19.32,665047
2016-01-29 14:30:00,19.31,19.64,19.21,19.61,825791
2016-01-29 15:30:00,19.61,19.68,19.51,19.61,1368313
2016-02-01 09:30:00,18.82,19.16,18.58,18.645,1095889
2016-02-01 10:30:00,18.65,18.72,18.47,18.62,633534
2016-02-01 11:30:00,18.615,18.72,18.25,18.4,731441
2016-02-01 12:30:00,18.41,18.41,17.91,18.11,553080
