bar_start,open,high,low,close,volume
2016-01-25 09:30:00,184.09,184.6,182.45,182.9536,163367
2016-01-25 10:30:00,182.93,183.26,182.29,182.95,90594
2016-01-25 11:30:00,182.91,183.1799,182.46,182.96,100854
2016-01-25 12:30:00,182.89,183.76,182.74,183.6764,100343
2016-01-25 13:30:00,183.7,183.81,182.6482,182.8813,120302
2016-01-25 14:30:00,182.96,183.0994,181.87,181.98,145934
2016-01-25 15:30:00,181.95,182.17,181.6101,181.95,154342
2016-01-26 09:30:00,181.47,182.77,178.87,182.04,311655
2016-01-26 10:30:00,182.03,182.15,180.76,181.67,196633
2016-01-26 11:30:00,181.67,182.25,181.17,181.8101,132998
2016-01-26 12:30:00,181.81,182.05,181.22,181.79,182863
2016-01-26 13:30:00,181.79,182.525,181.31,181.5,171261
2016-01-26 14:30:00,181.555,181.805,181.06,181.55,190286
2016-01-26 15:30:00,181.56,182.74,181.51,182.48,226715
2016-01-27 09:30:00,181.43,182.57,179.599,180.29,161007
2016-01-27 10:30:00,180.22,180.5799,178.87,179.64,181651
2016-01-27 11:30:00,179.62,181.65,179.17,180.96,245603
2016-01-27 12:30:00,180.96,181.41,179.7901,179.99,133144
2016-01-27 13:30:00,180.01,181.37,179.79,180.4645,152118
2016-01-27 14:30:00,180.43,180.73,177.82,178.29,297813
2016-01-27 15:30:00,178.36,178.72,177.91,178.14,362107
2016-01-28 09:30:00,176.4,180.38,174.84,176.71,312928
2016-01-28 10:30:00,176.65,178.28,175.02,177.35,298024
2016-01-28 11:30:00,177.5269,179.12,176.62,178.92,193209
2016-01-28 12:30:00,179.0052,179.6,177.781,179.35,216410
2016-01-28 13:30:00,179.35,181.19,178.9601,180.88,319302
2016-01-28 14:30:00,180.85,181.05,179.78,180.36,270675
2016-01-28 15:30:00,180.31,181.11,179.95,179.98,367771
2016-01-29 09:30:00,181.43,183.16,180.03,182.37,227112
2016-01-29 10:30:00,182.49,183.63,181.87,183.46,137174
2016-01-29 11:30:00,183.405,184.6,182.95,184.45,165928
2016-01-29 12:30:00,184.4301,185.3,184.18,184.94,147314
2016-01-29 13:30:00,184.77,185.15,184.4301,184.98,171317
2016-01-29 14:30:00,184.91,185.34,184.79,184.85,249276
2016-01-29 15:30:00,184.8001,185.32,184.62,185.06,407548
2016-02-01 09:30:00,186.38,186.99,184.625,186.55,236455
2016-02-01 10:30:00,186.61,187.5975,186.3,187.22,157499
2016-02-01 11:30:00,187.23,187.95,186.55,186.6,106584
2016-02-01 12:30:00,186.6599,187.24,186.47,187.23,114200
2016-02-01 13:30:00,187.1201,187.9,186.95,187.9,151883
2016-02-01 14:30:00,187.75,189.75,187.74,189.72,235993
2016-02-01 15:30:00,189.66,189.75,188.57,188.61,301526
2016-02-02 09:30:00,187.01,189.18,186.6462,187.5,180827
2016-02-02 10:30:00,187.4418,187.66,186.9,187.38,147155
2016-02-02 11:30:00,187.29,187.7,186.45,186.95,151444
2016-02-02 12:30:00,186.85,187.48,186.77,187.45,98493
2016-02-02 13:30:00,187.45,187.45,186.66,186.77,114460
2016-02-02 14:30:00,186.8599,187.41,186.71,187.09,159490
2016-02-02 15:30:00,187.13,187.63,187.0301,187.47,212333
2016-02-03 09:30:00,188.61,189.43,187.24,187.41,191749
2016-02-03 10:30:00,187.18,189.33,186.86,189.0375,282112
2016-02-03 11:30:00,189.02,190.0,188.34,188.68,122508
2016-02-03 12:30:00,188.53,188.7,187.8,187.8,74801
2016-02-03 13:30:00,187.94,189.65,187.22,189.41,129547
2016-02-03 14:30:00,189.41,190.11,188.975,189.0575,187235
2016-02-03 15:30:00,188.9874,189.76,188.92,189.71,228413
2016-02-04 09:30:00,188.8,189.9,187.69,188.3499,188753
2016-02-04 10:30:00,188.35,188.62,187.32,187.76,177672
2016-02-04 11:30:00,187.69,187.75,186.51,187.31,178878
2016-02-04 12:30:00,187.24,187.73,186.81,187.28,147033
2016-02-04 13:30:00,187.2999,187.6,185.38,185.61,210553
2016-02-04 14:30:00,185.71,186.88,185.28,185.7492,268443
2016-02-04 15:30:00,185.75,186.62,185.75,186.36,303907
2016-04-22 09:30:00,200.23,201.06,200.0,200.6,116297
2016-04-22 10:30:00,200.54,200.78,199.26,200.0,95849
2016-04-22 11:30:00,200.01,200.92,200.01,200.4299,71801
2016-04-22 12:30:00,200.42,200.92,200.3278,200.5501,55402
2016-04-22 13:30:00,200.63,201.64,200.57,201.55,147406
2016-04-22 14:30:00,201.52,201.55,200.47,200.76,138548
