bar_start,open,high,low,close,volume
2016-02-04 09:30:00,68.9,70.49,68.27,69.5,2743365
2016-02-04 10:30:00,69.5,70.1,68.82,68.87,1620656
2016-02-04 11:30:00,68.84,69.46,68.09,69.11,596787
2016-02-04 12:30:00,69.118,69.61,68.37,68.44,485584
2016-02-04 13:30:00,68.45,68.82,67.41,67.45,790445
2016-02-04 14:30:00,67.45,67.6,66.78,66.85,1262563
2016-02-04 15:30:00,66.86,67.2099,66.83,66.94,1439621
2016-02-05 09:30:00,66.17,66.65,65.03,65.16,1056486
2016-02-05 10:30:00,65.12,66.02,65.08,65.815,982451
2016-02-05 11:30:00,65.81,67.07,64.91,65.05,804783
2016-02-05 12:30:00,65.08,65.32,64.79,65.28,586970
2016-02-05 13:30:00,65.275,65.52,64.75,65.1,878220
2016-02-05 14:30:00,65.09,65.5,65.01,65.5,700858
2016-02-05 15:30:00,65.5,65.51,65.21,65.47,918024
2016-02-08 09:30:00,64.0,64.41,63.24,64.19,1224210
2016-02-08 10:30:00,64.17,65.0,64.08,64.97,721245
2016-02-08 11:30:00,64.97,65.2,64.59,65.09,554304
2016-02-08 12:30:00,65.11,65.29,64.78,64.916,419239
2016-02-08 13:30:00,64.94,65.2,64.75,65.03,447853
2016-02-08 14:30:00,65.0082,65.71,64.84,65.71,821220
2016-02-08 15:30:00,65.71,66.7,65.6482,66.23,1341133
2016-02-09 09:30:00,65.13,66.17,64.8,66.0901,805704
2016-02-09 10:30:00,66.07,66.09,65.42,65.57,589632
2016-02-09 11:30:00,65.59,65.61,64.51,64.73,533309
2016-02-09 12:30:00,64.7201,65.02,64.09,64.37,495791
2016-02-09 13:30:00,64.38,64.72,64.05,64.4,696076
2016-02-09 14:30:00,64.4,66.01,64.39,65.19,864603
2016-02-09 15:30:00,65.18,65.6018,65.12,65.24,694309
2016-02-10 09:30:00,65.13,65.81,64.285,65.43,1012442
2016-02-10 10:30:00,65.42,66.59,65.42,65.87,1009632
2016-02-10 11:30:00,65.87,66.64,65.444,66.59,685336
2016-02-10 12:30:00,66.6,67.0,66.285,66.3901,608393
2016-02-10 13:30:00,66.42,66.66,66.25,66.41,1054416
2016-02-10 14:30:00,66.42,66.68,65.71,65.75,1872166
2016-02-10 15:30:00,65.8468,65.93,65.581,65.67,803027
2016-02-11 09:30:00,64.39,66.4,64.3,65.455,1011463
2016-02-11 10:30:00,65.4257,65.65,64.85,64.9764,784934
2016-02-11 11:30:00,64.95,65.14,64.41,64.4804,609029
2016-02-11 12:30:00,64.5,64.8,64.33,64.57,461479
2016-02-11 13:30:00,64.57,64.73,64.18,64.2211,538363
2016-02-11 14:30:00,64.22,66.2,64.12,65.73,1064842
2016-02-11 15:30:00,65.7275,66.52,65.65,66.19,1044552
2016-02-12 09:30:00,67.0,67.39,66.44,67.03,879579
2016-02-12 10:30:00,67.03,67.66,67.03,67.62,687697
2016-02-12 11:30:00,67.62,67.7875,67.13,67.15,616686
2016-02-12 12:30:00,67.15,67.27,66.83,66.8908,484562
2016-02-12 13:30:00,66.92,67.12,66.68,67.04,377102
2016-02-12 14:30:00,67.06,67.3101,66.9,67.1901,572855
2016-02-12 15:30:00,67.2,67.2,66.91,67.0501,885389
2016-02-16 09:30:00,68.25,68.44,67.1236,67.6,1304363
2016-02-16 10:30:00,67.63,67.68,67.33,67.51,746852
2016-02-16 11:30:00,67.51,67.94,67.42,67.73,646114
2016-02-16 12:30:00,67.73,67.76,67.58,67.71,446019
2016-02-16 13:30:00,67.71,67.97,67.64,67.95,542123
2016-02-16 14:30:00,67.94,68.23,67.87,68.04,539699
2016-02-16 15:30:00,68.05,68.11,67.74,68.03,732790
2016-05-02 09:30:00,76.22,76.45,75.523,76.24,614343
2016-05-02 10:30:00,76.2512,76.48,75.9,76.04,571310
2016-05-02 11:30:00,76.03,76.11,75.39,75.391,410623
2016-05-02 12:30:00,75.41,76.31,75.4,76.27,364905
2016-05-02 13:30:00,76.27,76.5,76.07,76.27,318826
2016-05-02 14:30:00,76.3,76.4,76.05,76.09,327813
2016-05-02 15:30:00,76.09,76.36,76.01,76.32,511474
2016-05-03 09:30:00,75.43,75.88,74.8506,74.88,631717
2016-05-03 10:30:00,74.86,75.275,74.71,75.09,596227
2016-05-03 11:30:00,75.0899,75.3,74.72,74.87,592219
2016-05-03 12:30:00,74.89,75.3,74.84,75.26,385797
2016-05-03 13:30:00,75.28,75.49,75.08,75.23,370287
2016-05-03 14:30:00,75.235,75.54,75.1201,75.38,494852
2016-05-03 15:30:00,75.37,75.64,75.23,75.6275,842319
2016-05-04 09:30:00,75.18,75.79,75.17,75.22,748045
2016-05-04 10:30:00,75.22,75.31,74.45,74.759,732160
2016-05-04 11:30:00,74.7799,75.09,74.5601,74.98,563212
2016-05-04 12:30:00,74.99,75.07,74.5,74.601,439315
2016-05-04 13:30:00,74.605,74.84,74.56,74.8001,728120
2016-05-04 14:30:00,74.8,74.86,73.85,73.85,1215638
2016-05-04 15:30:00,73.8575,74.35,73.85,73.97,1239860
2016-05-05 09:30:00,75.66,76.89,75.25,75.78,1569389
2016-05-05 10:30:00,75.7899,76.24,75.76,76.19,633496
2016-05-05 11:30:00,76.19,76.4306,75.66,75.7,525108
2016-05-05 12:30:00,75.71,75.9899,75.08,75.13,456086
2016-05-05 13:30:00,75.14,75.74,75.09,75.73,556313
2016-05-05 14:30:00,75.73,76.02,75.58,75.905,887734
2016-05-05 15:30:00,75.91,76.22,75.81,76.18,1273715
2016-05-06 09:30:00,75.31,76.64,75.1,76.495,1201918
2016-05-06 10:30:00,76.495,76.52,75.92,76.39,767848
2016-05-06 11:30:00,76.39,76.395,76.04,76.1,523586
2016-05-06 12:30:00,76.09,76.22,75.96,76.08,470353
2016-05-06 13:30:00,76.07,76.24,75.95,76.18,411535
2016-05-06 14:30:00,76.19,76.21,75.99,76.11,726300
2016-05-06 15:30:00,76.1,76.14,75.81,76.06,940499
2016-05-09 09:30:00,74.76,75.83,74.76,75.06,551538
2016-05-09 10:30:00,75.04,75.28,74.44,74.5899,545648
2016-05-09 11:30:00,74.56,74.72,74.25,74.56,573857
2016-05-09 12:30:00,74.57,75.06,74.455,74.9535,418856
2016-05-09 13:30:00,74.9689,75.34,74.89,75.29,379182
2016-05-09 14:30:00,75.29,75.61,75.23,75.5772,512640
2016-05-09 15:30:00,75.57,75.655,75.5,75.56,663967
2016-05-10 09:30:00,75.43,76.5875,75.43,76.3,640704
2016-05-10 10:30:00,76.32,76.5,75.82,76.01,570780
2016-05-10 11:30:00,76.0,76.33,75.98,76.27,536276
2016-05-10 12:30:00,76.27,76.36,76.12,76.24,383451
2016-05-10 13:30:00,76.24,76.34,76.11,76.299,371248
2016-05-10 14:30:00,76.29,76.365,76.13,76.2599,643295
2016-05-10 15:30:00,76.25,76.56,76.22,76.4,913516
2016-05-11 09:30:00,75.9,76.41,75.67,76.38,722872
2016-05-11 10:30:00,76.41,77.0204,76.39,76.74,614932
2016-05-11 11:30:00,76.74,76.83,76.4201,76.51,512082
2016-05-11 12:30:00,76.51,76.68,76.4601,76.57,347723
2016-05-11 13:30:00,76.58,76.6,76.34,76.48,669656
2016-05-11 14:30:00,76.49,76.59,76.3,76.36,571211
2016-05-11 15:30:00,76.36,76.395,76.0999,76.34,754140
2016-05-12 09:30:00,76.98,77.23,76.19,76.4001,705009
2016-05-12 10:30:00,76.4,76.55,76.1501,76.32,555223
2016-05-12 11:30:00,76.3,76.61,76.29,76.4929,439362
2016-05-12 12:30:00,76.49,76.74,76.46,76.5699,448378
2016-05-12 13:30:00,76.57,76.7033,76.42,76.57,472014
2016-05-12 14:30:00,76.56,76.71,76.49,76.56,384208
2016-05-12 15:30:00,76.56,76.57,76.4,76.52,320549
2016-08-01 09:30:00,74.4,74.49,73.92,74.03,658616
2016-08-01 10:30:00,74.0333,74.0399,73.56,73.581,541900
2016-08-01 11:30:00,73.585,73.81,73.4,73.57,884213
2016-08-01 12:30:00,73.571,73.7,73.48,73.61,244205
2016-08-01 13:30:00,73.62,73.67,73.41,73.4873,341242
2016-08-01 14:30:00,73.48,73.6768,73.415,73.425,377571
2016-08-01 15:30:00,73.425,73.61,73.3,73.61,659594
2016-08-02 09:30:00,73.96,74.08,73.26,73.375,612400
2016-08-02 10:30:00,73.37,73.37,72.76,73.0,811967
2016-08-02 11:30:00,72.99,73.03,72.63,72.63,459376
2016-08-02 12:30:00,72.63,74.0,72.11,72.34,856268
2016-08-02 13:30:00,72.34,72.64,72.27,72.5739,664235
2016-08-02 14:30:00,72.57,72.86,72.449,72.8,678929
2016-08-02 15:30:00,72.7801,73.12,72.71,73.11,1106599
2016-08-03 09:30:00,73.53,73.6,72.33,73.4,839663
2016-08-03 10:30:00,73.4,73.62,72.79,73.2,699715
2016-08-03 11:30:00,73.21,74.19,73.1,74.04,572769
2016-08-03 12:30:00,74.0125,74.1,73.91,73.9499,321247
2016-08-03 13:30:00,73.95,74.12,73.79,73.79,461829
2016-08-03 14:30:00,73.78,74.1,73.72,74.05,446834
2016-08-03 15:30:00,74.045,74.41,73.97,74.36,753315
2016-08-04 09:30:00,74.01,74.61,73.92,74.23,497148
2016-08-04 10:30:00,74.25,74.7,74.11,74.6644,527681
2016-08-04 11:30:00,74.6513,74.85,74.59,74.74,324224
2016-08-04 12:30:00,74.74,74.84,74.4,74.41,277984
2016-08-04 13:30:00,74.3987,74.52,74.2201,74.3,234299
2016-08-04 14:30:00,74.295,74.31,73.98,74.03,299400
2016-08-04 15:30:00,74.03,74.27,74.0097,74.24,751939
2016-08-05 09:30:00,74.2,74.22,73.29,73.32,807201
2016-08-05 10:30:00,73.3299,73.3804,73.06,73.33,693655
2016-08-05 11:30:00,73.32,73.75,73.29,73.7052,431230
2016-08-05 12:30:00,73.7,73.72,73.45,73.55,270765
2016-08-05 13:30:00,73.54,73.67,73.43,73.51,371748
2016-08-05 14:30:00,73.48,73.67,73.37,73.595,472036
2016-08-05 15:30:00,73.59,73.71,73.58,73.64,481708
2016-08-08 09:30:00,74.04,74.37,73.841,74.23,654046
2016-08-08 10:30:00,74.24,74.62,74.18,74.5656,551074
2016-08-08 11:30:00,74.57,74.7,74.32,74.47,220542
2016-08-08 12:30:00,74.47,74.7,74.38,74.391,221670
2016-08-08 13:30:00,74.4,74.68,74.35,74.4231,343449
2016-08-08 14:30:00,74.4225,74.4348,74.21,74.3,267473
2016-08-08 15:30:00,74.29,74.4,74.24,74.33,474492
2016-08-09 09:30:00,74.62,74.77,74.29,74.48,336449
2016-08-09 10:30:00,74.48,74.4875,74.25,74.425,293491
2016-08-09 11:30:00,74.42,74.46,74.06,74.07,273104
2016-08-09 12:30:00,74.07,74.08,73.7192,73.75,327086
2016-08-09 13:30:00,73.7192,73.79,73.57,73.57,418437
2016-08-09 14:30:00,73.57,73.58,73.32,73.51,741540
2016-08-09 15:30:00,73.51,73.69,73.5,73.67,563857
2016-08-10 09:30:00,74.0,74.2099,73.73,74.0784,374752
2016-08-10 10:30:00,74.07,74.32,73.64,73.75,353143
2016-08-10 11:30:00,73.75,73.81,73.59,73.67,348113
2016-08-10 12:30:00,73.67,73.69,73.54,73.635,181467
2016-08-10 13:30:00,73.64,73.68,73.4,73.4499,327364
2016-08-10 14:30:00,73.45,73.45,73.18,73.2475,385392
2016-08-10 15:30:00,73.25,73.29,73.13,73.28,473708
2016-08-11 09:30:00,73.84,73.96,73.31,73.85,440407
2016-08-11 10:30:00,73.87,74.24,73.87,74.2,447425
2016-08-11 11:30:00,74.18,74.43,74.08,74.37,358568
2016-08-11 12:30:00,74.38,74.43,74.14,74.28,229970
2016-08-11 13:30:00,74.29,74.585,74.25,74.32,361113
2016-08-11 14:30:00,74.32,74.42,74.22,74.24,285999
2016-08-11 15:30:00,74.2372,74.3501,74.19,74.27,336707
2016-10-31 09:30:00,73.64,73.69,72.93,73.03,561319
2016-10-31 10:30:00,73.033,73.04,72.55,72.7596,818922
2016-10-31 11:30:00,72.77,73.13,72.77,72.89,413745
2016-10-31 12:30:00,72.9,73.22,72.88,72.96,319605
2016-10-31 13:30:00,72.96,73.22,72.86,72.9,435776
2016-10-31 14:30:00,72.9,73.026,72.63,72.9,716948
2016-10-31 15:30:00,72.895,73.185,72.79,72.95,924820
2016-11-01 09:30:00,72.45,72.84,70.72,71.17,2006273
2016-11-01 10:30:00,71.155,71.16,69.91,70.0845,1690172
2016-11-01 11:30:00,70.08,70.3848,69.1,69.88,2525985
2016-11-01 12:30:00,69.88,69.935,68.97,69.0351,1336162
2016-11-01 13:30:00,69.06,69.06,67.66,68.46,1658013
2016-11-01 14:30:00,68.465,72.8949,68.054,68.79,1629027
2016-11-01 15:30:00,68.79,69.06,68.67,69.0,1679480
2016-11-02 09:30:00,68.72,68.87,67.61,67.74,889154
2016-11-02 10:30:00,67.79,67.79,67.1,67.7156,1127143
2016-11-02 11:30:00,67.73,68.18,67.6,68.06,501383
2016-11-02 12:30:00,68.07,68.47,67.94,68.09,413453
2016-11-02 13:30:00,68.09,68.14,67.45,67.46,632635
2016-11-02 14:30:00,67.46,68.13,67.43,68.05,926257
2016-11-02 15:30:00,68.041,68.12,67.75,67.79,954845
2016-11-03 09:30:00,68.0,68.0,67.0925,67.43,1022192
2016-11-03 10:30:00,67.41,67.59,67.175,67.2902,910170
2016-11-03 11:30:00,67.295,67.55,67.21,67.26,834983
2016-11-03 12:30:00,67.25,74.39,66.83,67.195,782243
2016-11-03 13:30:00,67.19,67.3,67.008,67.275,794116
2016-11-03 14:30:00,67.28,67.49,67.23,67.47,886471
2016-11-03 15:30:00,67.47,67.47,67.11,67.44,1222214
2016-11-04 09:30:00,67.41,67.86,67.25,67.6056,1315396
2016-11-04 10:30:00,67.6,68.27,67.28,67.3,879086
2016-11-04 11:30:00,67.32,67.395,66.92,67.04,987064
2016-11-04 12:30:00,67.03,67.1555,66.91,67.12,589894
2016-11-04 13:30:00,67.1,67.35,66.9,67.24,697333
2016-11-04 14:30:00,67.24,67.27,66.8,66.94,1224867
2016-11-04 15:30:00,66.94,66.9562,66.56,66.6,1282434
2016-11-07 09:30:00,67.48,67.82,67.13,67.305,1116623
2016-11-07 10:30:00,67.3001,67.4,67.0001,67.21,956167
2016-11-07 11:30:00,67.22,67.42,67.0813,67.15,591337
2016-11-07 12:30:00,67.14,67.15,66.79,67.054,495468
2016-11-07 13:30:00,67.05,67.38,67.0,67.3625,686170
2016-11-07 14:30:00,67.37,67.378,66.89,66.95,662338
2016-11-07 15:30:00,66.9528,67.27,66.81,67.25,1006244
2016-11-08 09:30:00,67.09,67.43,66.46,66.9,577846
2016-11-08 10:30:00,66.9,67.02,66.53,66.9236,672845
2016-11-08 11:30:00,66.775,67.1245,66.6,66.75,469896
2016-11-08 12:30:00,66.72,67.289,66.6,67.0001,462819
2016-11-08 13:30:00,66.99,67.02,66.69,66.78,337929
2016-11-08 14:30:00,66.79,67.03,66.61,66.9966,609216
2016-11-08 15:30:00,66.98,67.08,66.82,66.9,895800
2016-11-09 09:30:00,66.67,67.01,66.3101,66.58,1162700
2016-11-09 10:30:00,66.58,66.65,66.12,66.37,1312263
2016-11-09 11:30:00,66.37,66.98,66.2,66.48,1373564
2016-11-09 12:30:00,66.4859,66.76,66.32,66.705,919835
2016-11-09 13:30:00,66.7,67.19,66.67,66.9772,1140713
2016-11-09 14:30:00,66.98,67.6599,66.96,67.321,953109
2016-11-09 15:30:00,67.325,67.36,66.82,66.88,1362979
2016-11-10 09:30:00,66.79,66.98,66.05,66.57,1520031
2016-11-10 10:30:00,66.59,66.63,65.8823,66.3,1204534
2016-11-10 11:30:00,66.31,66.59,66.15,66.336,921445
2016-11-10 12:30:00,66.32,66.49,66.14,66.43,829712
2016-11-10 13:30:00,66.43,66.47,65.69,66.0,1414589
2016-11-10 14:30:00,66.0,66.11,65.6,65.665,1494746
2016-11-10 15:30:00,65.66,65.78,65.63,65.7,1443388
2017-02-09 09:30:00,66.28,67.84,66.16,67.5207,1592594
2017-02-09 10:30:00,67.5,68.19,67.4,67.435,962161
2017-02-09 11:30:00,67.44,69.33,66.77,67.445,560953
2017-02-09 12:30:00,67.45,68.06,67.4485,67.97,511407
2017-02-09 13:30:00,67.96,68.1,67.75,67.96,598868
2017-02-09 14:30:00,67.97,68.15,67.75,68.11,901601
2017-02-09 15:30:00,68.11,68.33,67.96,68.19,1148970
2017-02-10 09:30:00,68.57,69.9,68.46,68.8399,1977876
2017-02-10 10:30:00,68.81,68.985,68.16,68.565,1206179
2017-02-10 11:30:00,68.56,68.83,68.4093,68.675,780544
2017-02-10 12:30:00,68.68,68.97,68.68,68.88,506942
2017-02-10 13:30:00,68.8991,68.91,68.45,68.5,732465
2017-02-10 14:30:00,68.5,68.55,68.315,68.38,854193
2017-02-10 15:30:00,68.38,68.47,68.29,68.47,1021588
2017-02-13 09:30:00,67.39,67.76,67.01,67.278,1060432
2017-02-13 10:30:00,67.2899,67.37,66.88,67.13,897340
2017-02-13 11:30:00,67.1299,67.1975,66.95,67.15,609681
2017-02-13 12:30:00,67.15,67.63,67.15,67.63,523909
2017-02-13 13:30:00,67.627,67.71,67.4201,67.525,606209
2017-02-13 14:30:00,67.525,67.62,67.39,67.44,807834
2017-02-13 15:30:00,67.44,67.48,67.32,67.41,1014773
2017-02-14 09:30:00,67.575,67.75,66.33,66.34,1075617
2017-02-14 10:30:00,66.3382,66.4,65.95,65.98,1479126
2017-02-14 11:30:00,65.9839,66.26,65.71,66.255,1738405
2017-02-14 12:30:00,66.26,66.66,66.25,66.51,804328
2017-02-14 13:30:00,66.51,66.69,66.46,66.57,707949
2017-02-14 14:30:00,66.58,67.04,66.565,67.02,831456
2017-02-14 15:30:00,67.02,67.21,66.94,67.15,1157338
2017-02-15 09:30:00,66.87,67.66,66.75,67.18,1064742
2017-02-15 10:30:00,67.16,67.35,66.89,67.0,633838
2017-02-15 11:30:00,67.0,67.35,66.82,67.05,473153
2017-02-15 12:30:00,67.04,67.15,66.9505,66.99,372597
2017-02-15 13:30:00,66.99,67.17,66.93,67.15,406620
2017-02-15 14:30:00,67.15,67.35,67.1085,67.28,564381
2017-02-15 15:30:00,67.28,67.39,67.18,67.22,685465
2017-02-16 09:30:00,67.38,67.5,66.85,67.13,1018169
2017-02-16 10:30:00,67.12,67.1793,66.7,66.84,917715
2017-02-16 11:30:00,66.83,67.38,66.53,66.775,462617
2017-02-16 12:30:00,66.77,66.905,66.47,66.53,470404
2017-02-16 13:30:00,66.535,66.5961,66.36,66.42,431656
2017-02-16 14:30:00,66.425,66.6999,66.4185,66.64,526697
2017-02-16 15:30:00,66.635,66.65,66.41,66.45,698113
2017-02-17 09:30:00,66.16,66.28,65.71,65.85,1019215
2017-02-17 10:30:00,65.855,66.03,65.39,65.57,891000
2017-02-17 11:30:00,65.57,65.91,65.53,65.785,517776
2017-02-17 12:30:00,65.785,66.01,65.7,65.7275,311461
2017-02-17 13:30:00,65.73,66.7902,65.725,65.92,441723
2017-02-17 14:30:00,65.921,66.215,65.9174,66.0728,813756
2017-02-17 15:30:00,66.07,66.28,66.06,66.24,894442
2017-02-21 09:30:00,67.0,67.11,66.59,66.87,863724
2017-02-21 10:30:00,66.89,67.0,66.75,66.84,581565
2017-02-21 11:30:00,66.837,67.25,66.78,67.135,470081
2017-02-21 12:30:00,67.14,67.18,66.99,67.015,313420
2017-02-21 13:30:00,67.01,67.17,66.94,67.06,464744
2017-02-21 14:30:00,67.07,67.23,66.94,67.1538,672509
2017-02-21 15:30:00,67.155,67.21,66.88,66.99,1002611
2017-04-28 09:30:00,61.88,62.12,61.52,61.78,754695
2017-04-28 10:30:00,61.79,61.8299,61.58,61.66,469714
2017-04-28 11:30:00,61.6524,61.67,61.35,61.375,527090
2017-04-28 12:30:00,61.39,61.58,61.36,61.53,361823
2017-04-28 13:30:00,61.52,61.66,61.465,61.55,327221
2017-04-28 14:30:00,61.54,61.69,61.52,61.63,308827
2017-04-28 15:30:00,61.62,61.6224,61.42,61.5251,553549
2017-05-01 09:30:00,61.54,61.61,60.91,60.9979,501191
2017-05-01 10:30:00,60.995,61.16,60.92,61.16,444494
2017-05-01 11:30:00,61.155,61.2,60.8,60.87,557795
2017-05-01 12:30:00,60.87,61.08,60.55,60.59,669189
2017-05-01 13:30:00,60.5901,61.08,60.5,60.725,569795
2017-05-01 14:30:00,60.7286,60.82,60.65,60.75,532473
2017-05-01 15:30:00,60.75,60.9,60.74,60.81,578429
2017-05-02 09:30:00,60.84,61.089,60.7,60.835,511251
2017-05-02 10:30:00,60.84,60.87,60.405,60.42,470316
2017-05-02 11:30:00,60.41,60.555,60.33,60.52,655814
2017-05-02 12:30:00,60.52,60.53,60.39,60.4853,417889
2017-05-02 13:30:00,60.49,60.5,59.93,59.94,829617
2017-05-02 14:30:00,59.94,59.99,59.39,59.8436,1498288
2017-05-02 15:30:00,59.841,60.06,59.8196,60.03,709357
2017-05-03 09:30:00,60.12,60.29,59.75,60.2501,923183
2017-05-03 10:30:00,60.25,60.25,59.66,59.93,754457
2017-05-03 11:30:00,59.94,60.13,59.84,60.03,622124
2017-05-03 12:30:00,60.02,60.21,59.9667,60.1575,652803
2017-05-03 13:30:00,60.16,60.2099,59.98,60.101,792547
2017-05-03 14:30:00,60.1,60.31,60.005,60.07,1296794
2017-05-03 15:30:00,60.08,60.27,59.97,60.15,1167559
2017-05-04 09:30:00,59.5,59.64,57.94,57.97,2084477
2017-05-04 10:30:00,57.95,58.72,57.91,58.55,1206767
2017-05-04 11:30:00,58.55,58.775,58.19,58.671,1184180
2017-05-04 12:30:00,58.67,58.76,58.1125,58.17,628414
2017-05-04 13:30:00,58.17,58.71,58.1562,58.69,690511
2017-05-04 14:30:00,58.69,58.71,57.2,58.0,2917796
