bar_start,open,high,low,close,volume
2016-01-26 09:30:00,8.41,8.41,7.74,8.07,543286
2016-01-26 10:30:00,8.08,8.27,7.95,8.24,1011112
2016-01-26 11:30:00,8.24,8.35,8.13,8.3,660477
2016-01-26 12:30:00,8.29,8.32,8.25,8.26,350961
2016-01-26 13:30:00,8.27,8.5,8.25,8.45,384819
2016-01-26 14:30:00,8.45,8.49,8.33,8.47,615500
2016-01-26 15:30:00,8.47,8.475,8.38,8.4001,493957
2016-01-27 09:30:00,8.09,8.09,7.45,7.61,735093
2016-01-27 10:30:00,7.65,7.87,7.53,7.792,498287
2016-01-27 11:30:00,7.78,7.86,7.6,7.6,4525505
2016-01-27 12:30:00,7.6,7.65,7.45,7.5,362946
2016-01-27 13:30:00,7.49,7.76,7.48,7.75,788306
2016-01-27 14:30:00,7.74,7.77,7.48,7.6,769424
2016-01-27 15:30:00,7.61,7.82,7.59,7.75,738323
2016-01-28 09:30:00,8.16,8.37,7.85,7.85,909417
2016-01-28 10:30:00,7.85,8.19,7.81,8.06,896334
2016-01-28 11:30:00,8.055,8.19,8.01,8.1,313580
2016-01-28 12:30:00,8.11,8.14,7.88,7.96,333694
2016-01-28 13:30:00,7.96,8.0,7.8,7.85,269177
2016-01-28 14:30:00,7.86,7.89,7.7461,7.79,450734
2016-01-28 15:30:00,7.79,7.87,7.76,7.8,510226
2016-01-29 09:30:00,7.91,8.35,7.85,8.12,969859
2016-01-29 10:30:00,8.1215,8.3,7.94,7.97,855956
2016-01-29 11:30:00,7.99,8.13,7.9,8.11,379243
2016-01-29 12:30:00,8.1,8.27,8.075,8.25,486182
2016-01-29 13:30:00,8.25,8.31,7.98,8.03,582220
2016-01-29 14:30:00,8.02,8.08,7.89,7.97,508523
2016-01-29 15:30:00,7.97,8.0,7.9,7.98,890739
2016-02-01 09:30:00,7.85,7.94,7.515,7.69,292490
2016-02-01 10:30:00,7.69,7.85,7.56,7.6,399033
2016-02-01 11:30:00,7.6,7.62,7.465,7.5,421033
2016-02-01 12:30:00,7.5,7.655,7.47,7.64,485159
2016-02-01 13:30:00,7.65,7.74,7.6469,7.7,420484
2016-02-01 14:30:00,7.695,7.82,7.68,7.8,837732
2016-02-01 15:30:00,7.8,7.95,7.785,7.91,1090119
2016-02-02 09:30:00,7.63,7.83,7.41,7.77,551898
2016-02-02 10:30:00,7.77,7.94,7.59,7.86,583300
2016-02-02 11:30:00,7.85,8.2,7.83,8.07,372133
2016-02-02 12:30:00,8.07,8.0982,7.45,7.5,355902
2016-02-02 13:30:00,7.5,7.65,7.46,7.49,292965
2016-02-02 14:30:00,7.49,7.66,7.46,7.5699,160131
2016-02-02 15:30:00,7.565,7.64,7.565,7.58,287796
2016-02-03 09:30:00,7.72,7.81,7.285,7.29,142675
2016-02-03 10:30:00,7.28,7.64,7.16,7.575,1051840
2016-02-03 11:30:00,7.57,7.76,7.54,7.7,970183
2016-02-03 12:30:00,7.7,7.705,7.62,7.62,513716
2016-02-03 13:30:00,7.61,7.69,7.58,7.66,310334
2016-02-03 14:30:00,7.66,7.91,7.57,7.8,519657
2016-02-03 15:30:00,7.81,7.91,7.77,7.86,494014
2016-02-04 09:30:00,8.04,8.2,7.79,8.02,598235
2016-02-04 10:30:00,8.01,8.09,7.685,7.79,361625
2016-02-04 11:30:00,7.8,8.0,7.655,7.98,258662
2016-02-04 12:30:00,7.99,8.075,7.801,7.85,1273086
2016-02-04 13:30:00,7.84,7.99,7.805,7.88,626117
2016-02-04 14:30:00,7.88,7.96,7.86,7.94,2082067
2016-02-04 15:30:00,7.9301,7.95,7.84,7.85,1091299
2016-02-05 09:30:00,7.64,7.99,7.63,7.85,516009
2016-02-05 10:30:00,7.845,7.94,7.76,7.835,830079
2016-02-05 11:30:00,7.83,7.91,7.8016,7.84,406914
2016-02-05 12:30:00,7.85,7.86,7.72,7.73,326426
2016-02-05 13:30:00,7.735,7.76,7.64,7.65,354065
2016-02-05 14:30:00,7.64,7.7,7.57,7.66,702944
2016-02-05 15:30:00,7.665,7.665,7.51,7.52,834801
2016-04-26 09:30:00,9.57,9.75,9.48,9.635,521556
2016-04-26 10:30:00,9.63,9.81,9.62,9.81,507896
2016-04-26 11:30:00,9.8,9.8201,9.7,9.73,274632
2016-04-26 12:30:00,9.7243,9.885,9.67,9.88,293983
2016-04-26 13:30:00,9.88,9.9835,9.8586,9.95,373637
2016-04-26 14:30:00,9.95,10.035,9.95,10.01,561598
2016-04-26 15:30:00,10.02,10.06,10.0,10.0389,637932
2016-04-27 09:30:00,10.0,10.24,9.9,10.07,1079392
2016-04-27 10:30:00,10.04,10.131,9.91,10.1007,1002597
2016-04-27 11:30:00,10.1,10.1001,9.89,10.02,505645
2016-04-27 12:30:00,10.0131,10.145,9.98,10.11,482859
2016-04-27 13:30:00,10.11,10.27,10.07,10.25,745127
2016-04-27 14:30:00,10.25,10.31,10.14,10.21,757745
2016-04-27 15:30:00,10.21,10.27,10.2,10.22,778461
2016-04-28 09:30:00,10.16,10.49,10.07,10.32,553183
2016-04-28 10:30:00,10.3199,10.39,10.15,10.22,954972
2016-04-28 11:30:00,10.22,10.435,10.21,10.4325,384573
2016-04-28 12:30:00,10.425,10.67,10.4058,10.6,501081
2016-04-28 13:30:00,10.6,10.65,10.545,10.58,700909
2016-04-28 14:30:00,10.58,10.6,10.13,10.15,635627
2016-04-28 15:30:00,10.15,10.23,10.15,10.19,428667
2016-04-29 09:30:00,10.28,10.45,10.13,10.13,349907
2016-04-29 10:30:00,10.14,10.21,9.865,9.89,751059
2016-04-29 11:30:00,9.89,9.9,9.63,9.7,656854
2016-04-29 12:30:00,9.7,10.0,9.6943,9.92,463660
2016-04-29 13:30:00,9.92,9.93,9.79,9.83,537556
2016-04-29 14:30:00,9.825,9.925,9.78,9.83,464193
2016-04-29 15:30:00,9.83,10.02,9.82,9.9,529236
2016-05-02 09:30:00,9.82,9.85,9.42,9.615,269854
2016-05-02 10:30:00,9.62,9.66,9.24,9.24,640564
2016-05-02 11:30:00,9.24,9.25,8.92,9.0901,883341
2016-05-02 12:30:00,9.09,9.3,9.09,9.2997,415614
2016-05-02 13:30:00,9.3,9.4,9.18,9.19,457208
2016-05-02 14:30:00,9.19,9.26,9.14,9.16,472599
2016-05-02 15:30:00,9.16,9.27,9.15,9.27,886522
2016-05-03 09:30:00,9.06,9.11,8.325,8.565,1373687
2016-05-03 10:30:00,8.56,8.68,8.42,8.58,649497
2016-05-03 11:30:00,8.58,8.89,8.55,8.805,362523
2016-05-03 12:30:00,8.805,8.9,8.78,8.9,250512
2016-05-03 13:30:00,8.895,9.01,8.82,8.835,245741
2016-05-03 14:30:00,8.84,8.86,8.79,8.8101,224640
2016-05-03 15:30:00,8.81,8.82,8.76,8.76,496290
2016-05-04 09:30:00,8.81,9.03,8.71,8.89,376310
2016-05-04 10:30:00,8.9,8.9,8.48,8.605,308852
2016-05-04 11:30:00,8.62,8.79,8.615,8.765,207638
2016-05-04 12:30:00,8.765,8.85,8.74,8.84,634487
2016-05-04 13:30:00,8.84,8.88,8.81,8.85,398476
2016-05-04 14:30:00,8.85,9.01,8.85,9.0,671288
2016-05-04 15:30:00,9.0,9.09,8.99,9.06,450013
2016-05-05 09:30:00,8.93,9.14,8.54,9.045,699572
2016-05-05 10:30:00,9.05,9.2,8.94,8.985,840906
2016-05-05 11:30:00,8.99,9.1,8.82,8.925,1128404
2016-05-05 12:30:00,8.92,9.06,8.91,9.015,639029
2016-05-05 13:30:00,9.0125,9.25,8.955,9.16,490180
2016-05-05 14:30:00,9.16,9.37,9.08,9.12,886305
2016-05-05 15:30:00,9.115,9.18,9.09,9.17,732486
2016-05-06 09:30:00,9.1,9.39,9.015,9.245,485876
2016-05-06 10:30:00,9.24,9.2583,9.05,9.2,476157
2016-05-06 11:30:00,9.2,9.2,8.97,9.02,336727
2016-05-06 12:30:00,9.02,9.1565,9.01,9.11,307872
2016-05-06 13:30:00,9.1,9.16,9.03,9.14,230456
2016-05-06 14:30:00,9.14,9.18,9.1,9.135,238530
2016-05-06 15:30:00,9.135,9.17,9.13,9.15,345330
2016-07-26 09:30:00,10.75,10.95,10.74,10.76,525213
2016-07-26 10:30:00,10.77,10.8,10.62,10.7,584042
2016-07-26 11:30:00,10.7,10.76,10.68,10.76,212824
2016-07-26 12:30:00,10.7558,10.8607,10.75,10.82,334210
2016-07-26 13:30:00,10.82,10.83,10.78,10.78,231015
2016-07-26 14:30:00,10.78,10.8598,10.77,10.79,222403
2016-07-26 15:30:00,10.8,10.83,10.79,10.8,300296
2016-07-27 09:30:00,10.66,10.7,10.56,10.661,299399
2016-07-27 10:30:00,10.66,10.66,10.26,10.34,779224
2016-07-27 11:30:00,10.3114,10.41,10.3114,10.4,289806
2016-07-27 12:30:00,10.4,10.44,10.37,10.4,238961
2016-07-27 13:30:00,10.4,10.43,10.36,10.3925,300854
2016-07-27 14:30:00,10.4,10.44,10.37,10.4204,283692
2016-07-27 15:30:00,10.42,10.42,10.34,10.34,178292
2016-07-28 09:30:00,10.32,10.47,10.22,10.2999,467781
2016-07-28 10:30:00,10.3,10.425,10.3,10.385,419883
2016-07-28 11:30:00,10.375,10.49,10.35,10.44,154610
2016-07-28 12:30:00,10.445,10.45,10.325,10.41,825595
2016-07-28 13:30:00,10.405,10.55,10.3949,10.44,257185
2016-07-28 14:30:00,10.43,10.53,10.415,10.485,349939
2016-07-28 15:30:00,10.48,10.49,10.4,10.41,483768
2016-07-29 09:30:00,10.3,10.405,10.26,10.38,312052
2016-07-29 10:30:00,10.38,10.565,10.375,10.49,349769
2016-07-29 11:30:00,10.48,10.615,10.48,10.495,410905
2016-07-29 12:30:00,10.495,10.58,10.495,10.535,174804
2016-07-29 13:30:00,10.535,10.58,10.52,10.58,119869
2016-07-29 14:30:00,10.58,10.6,10.53,10.585,158064
2016-07-29 15:30:00,10.585,10.66,10.58,10.6,613880
2016-08-01 09:30:00,10.47,10.6,10.33,10.42,205545
2016-08-01 10:30:00,10.42,10.49,10.32,10.325,254744
2016-08-01 11:30:00,10.33,10.44,10.32,10.36,252906
2016-08-01 12:30:00,10.36,10.4099,10.25,10.31,265116
2016-08-01 13:30:00,10.305,10.32,10.22,10.25,234503
2016-08-01 14:30:00,10.25,10.295,10.18,10.25,522880
2016-08-01 15:30:00,10.26,10.32,10.25,10.31,597187
2016-08-02 09:30:00,10.48,10.58,10.25,10.31,298748
2016-08-02 10:30:00,10.3099,10.33,10.15,10.26,491118
2016-08-02 11:30:00,10.25,10.29,10.22,10.26,289672
2016-08-02 12:30:00,10.255,10.48,10.17,10.2,322089
2016-08-02 13:30:00,10.2037,10.23,10.16,10.21,265430
2016-08-02 14:30:00,10.215,10.27,10.19,10.22,387071
2016-08-02 15:30:00,10.23,10.26,10.22,10.24,332940
2016-08-03 09:30:00,10.49,10.49,10.15,10.36,465146
2016-08-03 10:30:00,10.35,10.63,10.3,10.63,769033
2016-08-03 11:30:00,10.64,10.88,10.63,10.81,966190
2016-08-03 12:30:00,10.81,10.88,10.8,10.8701,414876
2016-08-03 13:30:00,10.87,10.955,10.84,10.84,257742
2016-08-03 14:30:00,10.84,10.8401,10.78,10.835,284667
2016-08-03 15:30:00,10.84,10.87,10.79,10.79,606514
2016-08-04 09:30:00,10.72,10.95,10.63,10.65,438382
2016-08-04 10:30:00,10.65,10.73,10.58,10.71,269776
