bar_start,open,high,low,close,volume
2017-04-25 09:30:00,13.65,13.71,13.385,13.48,46772
2017-04-25 10:30:00,13.49,13.58,13.41,13.46,46357
2017-04-25 11:30:00,13.48,13.59,13.45,13.5,86812
2017-04-25 12:30:00,13.5,13.72,13.49,13.57,59393
2017-04-25 13:30:00,13.565,13.6,13.5,13.53,41142
2017-04-25 14:30:00,13.53,13.55,13.41,13.48,99096
2017-04-25 15:30:00,13.47,13.56,13.46,13.49,141271
2017-04-26 09:30:00,13.41,13.75,13.41,13.73,100291
2017-04-26 10:30:00,13.75,13.95,13.62,13.8,108033
2017-04-26 11:30:00,13.76,13.95,13.7,13.95,45719
2017-04-26 12:30:00,13.94,13.96,13.86,13.9,48332
2017-04-26 13:30:00,13.9,14.12,13.88,13.99,109739
2017-04-26 14:30:00,14.0,14.06,13.74,13.75,183471
2017-04-26 15:30:00,13.74,13.81,13.7,13.7,176895
2017-04-27 09:30:00,13.65,13.85,13.29,13.32,22733
2017-04-27 10:30:00,13.25,13.4128,13.12,13.3,25818
2017-04-27 11:30:00,13.3,13.33,13.215,13.31,83091
2017-04-27 12:30:00,13.33,13.57,13.23,13.57,54836
2017-04-27 13:30:00,13.565,13.64,13.43,13.48,65058
2017-04-27 14:30:00,13.465,13.69,13.43,13.69,87061
2017-04-27 15:30:00,13.69,13.86,13.6475,13.75,227326
2017-04-28 09:30:00,13.91,14.03,13.65,14.0,26358
2017-04-28 10:30:00,13.99,14.16,13.84,14.06,55477
2017-04-28 11:30:00,14.06,14.06,13.74,13.85,48186
2017-04-28 12:30:00,13.865,13.88,13.73,13.7525,32201
2017-04-28 13:30:00,13.76,13.83,13.6,13.6,49482
2017-04-28 14:30:00,13.61,13.6213,13.44,13.5,117509
2017-04-28 15:30:00,13.53,13.61,13.4,13.57,184556
2017-05-01 09:30:00,13.56,13.8,13.41,13.54,19903
2017-05-01 10:30:00,13.54,13.86,13.52,13.75,45215
2017-05-01 11:30:00,13.78,13.91,13.69,13.77,113913
2017-05-01 12:30:00,13.78,13.8,13.57,13.71,22540
2017-05-01 13:30:00,13.71,13.88,13.71,13.74,40618
2017-05-01 14:30:00,13.74,13.75,13.47,13.47,69636
2017-05-01 15:30:00,13.47,13.56,13.34,13.43,91144
2017-05-02 09:30:00,13.4,13.74,13.2,13.7,14903
2017-05-02 10:30:00,13.69,13.7,13.5001,13.52,24026
2017-05-02 11:30:00,13.52,13.63,13.49,13.61,39547
2017-05-02 12:30:00,13.61,13.62,13.5,13.53,37875
2017-05-02 13:30:00,13.52,13.55,13.47,13.52,30475
2017-05-02 14:30:00,13.515,13.58,13.45,13.48,108931
2017-05-02 15:30:00,13.48,13.55,13.47,13.53,75669
2017-05-03 09:30:00,13.4,13.72,13.34,13.61,21219
2017-05-03 10:30:00,13.6,13.67,13.35,13.58,121399
2017-05-03 11:30:00,13.575,13.66,13.5,13.5793,45074
2017-05-03 12:30:00,13.6,13.6,13.44,13.49,142046
2017-05-03 13:30:00,13.5,13.52,13.37,13.405,88212
2017-05-03 14:30:00,13.4,13.425,13.06,13.17,152292
2017-05-03 15:30:00,13.19,13.19,13.05,13.1,111108
2017-05-04 09:30:00,13.0,13.05,12.621,12.6896,91179
2017-05-04 10:30:00,12.69,12.8,12.3,12.42,120909
2017-05-04 11:30:00,12.43,12.61,11.8199,12.095,265875
2017-05-04 12:30:00,12.1,12.14,11.86,12.05,130724
2017-05-04 13:30:00,12.015,12.02,11.68,11.87,132545
2017-05-04 14:30:00,11.87,12.323,11.85,12.2,225712
2017-05-04 15:30:00,12.21,12.3,12.06,12.09,153464
2017-05-05 09:30:00,12.11,12.54,12.08,12.4,113777
2017-05-05 10:30:00,12.385,12.73,12.38,12.61,147343
2017-05-05 11:30:00,12.62,12.69,12.505,12.51,61694
2017-05-05 12:30:00,12.51,12.6,12.3,12.51,229376
2017-05-05 13:30:00,12.51,12.51,12.39,12.4,101603
2017-05-05 14:30:00,12.395,12.41,12.28,12.41,193246
2017-05-05 15:30:00,12.41,12.53,12.36,12.44,199995
2017-05-08 09:30:00,12.46,12.7,12.14,12.68,18761
2017-05-08 10:30:00,12.66,12.75,12.41,12.44,36818
2017-05-08 11:30:00,12.44,12.58,12.43,12.52,28545
2017-05-08 12:30:00,12.52,12.635,12.46,12.5101,36850
2017-05-08 13:30:00,12.52,12.74,12.51,12.55,55579
2017-05-08 14:30:00,12.565,12.65,12.54,12.55,99956
2017-05-08 15:30:00,12.555,12.558,12.38,12.45,101906
2017-05-09 09:30:00,12.49,12.62,12.13,12.24,82428
2017-05-09 10:30:00,12.25,12.43,12.15,12.2484,44524
2017-05-09 11:30:00,12.26,12.2677,12.11,12.18,58368
2017-05-09 12:30:00,12.18,12.2199,12.092,12.13,28902
2017-05-09 13:30:00,12.1399,12.15,11.97,12.0,84052
2017-05-09 14:30:00,11.995,12.02,11.97,11.985,55942
2017-05-09 15:30:00,11.98,11.9844,11.91,11.93,134535
2017-05-10 09:30:00,12.01,12.04,11.85,11.91,111897
2017-05-10 10:30:00,11.91,12.4,11.91,12.29,178675
2017-05-10 11:30:00,12.3,12.79,12.29,12.7,177860
2017-05-10 12:30:00,12.67,12.88,12.67,12.84,80631
2017-05-10 13:30:00,12.84,12.915,12.84,12.855,65709
2017-05-10 14:30:00,12.85,12.855,12.65,12.69,119041
2017-05-10 15:30:00,12.69,12.7099,12.41,12.51,143674
2017-07-25 09:30:00,12.6,12.89,12.596,12.78,105125
2017-07-25 10:30:00,12.79,13.29,12.77,13.1,164711
2017-07-25 11:30:00,13.09,13.27,12.99,13.19,65039
2017-07-25 12:30:00,13.2,13.42,13.13,13.25,44682
2017-07-25 13:30:00,13.26,13.28,13.11,13.16,37556
2017-07-25 14:30:00,13.17,13.19,13.01,13.09,73571
2017-07-25 15:30:00,13.09,13.145,13.03,13.04,116438
2017-07-26 09:30:00,13.0,13.264,12.76,12.78,79726
2017-07-26 10:30:00,12.85,13.36,12.82,13.27,189138
2017-07-26 11:30:00,13.27,13.83,13.23,13.8297,97165
