bar_start,open,high,low,close,volume
2018-10-30 09:30:00,2.7,2.7821,2.63,2.63,23903
2018-10-30 10:30:00,2.63,2.6301,2.5919,2.6,30055
2018-10-30 11:30:00,2.61,2.77,2.61,2.76,11286
2018-10-30 12:30:00,2.75,2.75,2.67,2.67,17904
2018-10-30 13:30:00,2.71,2.7499,2.7034,2.7499,5033
2018-10-30 14:30:00,2.72,2.7347,2.72,2.725,14684
2018-10-30 15:30:00,2.72,2.79,2.705,2.73,34690
2018-10-31 09:30:00,2.77,2.8043,2.68,2.69,9242
2018-10-31 10:30:00,2.72,2.79,2.69,2.72,33272
2018-10-31 11:30:00,2.72,2.73,2.72,2.72,10858
2018-10-31 12:30:00,2.72,2.72,2.695,2.7099,13605
2018-10-31 13:30:00,2.7,2.72,2.7,2.7175,10400
2018-10-31 14:30:00,2.715,2.7377,2.715,2.7197,4000
2018-10-31 15:30:00,2.72,2.7615,2.72,2.72,354
2018-11-01 09:30:00,2.74,2.7896,2.74,2.76,8174
2018-11-01 10:30:00,2.77,2.77,2.7502,2.7502,12634
2018-11-01 11:30:00,2.76,2.78,2.75,2.78,14147
2018-11-01 12:30:00,2.7681,2.79,2.72,2.72,15389
2018-11-01 13:30:00,2.72,2.7332,2.66,2.66,23808
2018-11-01 14:30:00,2.6601,2.67,2.65,2.65,18872
2018-11-01 15:30:00,2.65,2.6899,2.65,2.66,9258
2018-11-02 09:30:00,2.7,2.7,2.65,2.6891,8685
2018-11-02 10:30:00,2.65,2.7,2.65,2.6542,3380
2018-11-02 11:30:00,2.65,2.7,2.65,2.6501,44790
2018-11-02 12:30:00,2.65,2.68,2.65,2.6799,3179
2018-11-02 13:30:00,2.68,2.6865,2.6501,2.68,1416
2018-11-02 14:30:00,2.65,2.6888,2.65,2.6888,1633
2018-11-02 15:30:00,2.67,2.68,2.65,2.68,16046
2018-11-05 09:30:00,2.7,2.8,2.7,2.7695,11732
2018-11-05 10:30:00,2.79,2.79,2.75,2.785,3229
2018-11-05 11:30:00,2.76,2.7616,2.74,2.75,3600
2018-11-05 12:30:00,2.74,2.7498,2.73,2.73,26675
2018-11-05 13:30:00,2.7269,2.74,2.7237,2.7399,3512
2018-11-05 14:30:00,2.73,2.74,2.73,2.7301,2229
2018-11-05 15:30:00,2.73,2.74,2.73,2.73,4610
2018-11-06 09:30:00,2.75,2.761,2.72,2.7201,5389
2018-11-06 10:30:00,2.75,2.75,2.72,2.74,5970
2018-11-06 11:30:00,2.7402,2.7402,2.73,2.74,1870
2018-11-06 12:30:00,2.74,2.77,2.74,2.75,3912
2018-11-06 13:30:00,2.77,2.77,2.75,2.75,10031
2018-11-06 14:30:00,2.7479,2.75,2.72,2.72,44962
2018-11-06 15:30:00,2.72,2.72,2.715,2.715,220
2018-11-07 09:30:00,2.74,2.75,2.71,2.7101,13769
2018-11-07 10:30:00,2.7179,2.75,2.71,2.71,22270
2018-11-07 11:30:00,2.71,2.74,2.7001,2.74,36863
2018-11-07 12:30:00,2.7,2.72,2.7,2.7166,7876
2018-11-07 13:30:00,2.7135,2.72,2.7,2.7095,8195
2018-11-07 14:30:00,2.7,2.7203,2.6974,2.7203,13912
2018-11-07 15:30:00,2.7034,2.74,2.7,2.73,10485
2018-11-08 09:30:00,2.73,2.73,2.5399,2.5499,57315
2018-11-08 10:30:00,2.5201,2.61,2.51,2.61,22309
2018-11-08 11:30:00,2.6756,2.75,2.6476,2.659,13080
2018-11-08 12:30:00,2.6733,2.7,2.6524,2.6524,2415
2018-11-08 13:30:00,,,,,0
2018-11-08 14:30:00,2.6574,2.679,2.63,2.63,19191
2018-11-08 15:30:00,2.6499,2.65,2.63,2.64,53882
2018-11-09 09:30:00,2.65,2.65,2.5713,2.6212,18737
2018-11-09 10:30:00,2.69,2.7,2.5901,2.64,5809
2018-11-09 11:30:00,2.6999,2.6999,2.6999,2.6999,500
2018-11-09 12:30:00,2.65,2.6633,2.65,2.6633,1001
2018-11-09 13:30:00,2.6947,2.6947,2.6685,2.6712,335
2018-11-09 14:30:00,2.6663,2.6799,2.65,2.6799,5116
2018-11-09 15:30:00,2.64,2.69,2.64,2.69,1777
2019-01-29 09:30:00,2.5,2.5,2.46,2.46,22954
2019-01-29 10:30:00,2.4993,2.5,2.46,2.48,1954
2019-01-29 11:30:00,2.5,2.5,2.46,2.48,4422
2019-01-29 12:30:00,2.48,2.5331,2.48,2.53,15029
2019-01-29 13:30:00,2.5348,2.5348,2.5301,2.5301,12
