bar_start,open,high,low,close,volume
2016-01-26 09:30:00,9.65,9.67,9.39,9.58,2278263
2016-01-26 10:30:00,9.57,9.71,9.29,9.655,1609281
2016-01-26 11:30:00,9.66,9.71,9.54,9.68,864901
2016-01-26 12:30:00,9.685,9.7,9.55,9.66,738401
2016-01-26 13:30:00,9.665,9.68,9.595,9.62,557361
2016-01-26 14:30:00,9.62,9.77,9.58,9.7,996131
2016-01-26 15:30:00,9.69,9.75,9.66,9.71,1213351
2016-01-27 09:30:00,9.61,9.73,9.48,9.57,1749259
2016-01-27 10:30:00,9.57,9.98,9.56,9.93,2529092
2016-01-27 11:30:00,9.94,10.2,9.93,10.09,1223377
2016-01-27 12:30:00,10.1,10.15,9.99,10.0,973070
2016-01-27 13:30:00,9.995,10.18,9.89,10.01,883035
2016-01-27 14:30:00,10.0,10.08,9.75,9.82,1127257
2016-01-27 15:30:00,9.81,9.9,9.79,9.84,1039183
2016-01-28 09:30:00,10.25,10.37,9.72,9.73,4646390
2016-01-28 10:30:00,9.72,10.03,9.67,9.92,2656737
2016-01-28 11:30:00,9.915,9.98,9.69,9.97,1625140
2016-01-28 12:30:00,9.96,10.0,9.9,9.98,1466330
2016-01-28 13:30:00,9.98,10.01,9.825,9.855,1546596
2016-01-28 14:30:00,9.855,10.06,9.84,9.915,2762261
2016-01-28 15:30:00,9.915,10.08,9.9,10.02,1938019
2016-01-29 09:30:00,9.95,10.22,9.9,10.06,2217659
2016-01-29 10:30:00,10.06,10.25,10.03,10.16,1720095
2016-01-29 11:30:00,10.16,10.36,9.98,10.3501,1222131
2016-01-29 12:30:00,10.35,10.37,10.22,10.31,824488
2016-01-29 13:30:00,10.3,10.31,10.15,10.2749,950811
2016-01-29 14:30:00,10.28,10.42,10.24,10.36,1039186
2016-01-29 15:30:00,10.37,10.45,10.35,10.43,1717792
2016-02-01 09:30:00,9.95,10.42,9.69,9.8,3516090
2016-02-01 10:30:00,9.7839,9.84,9.75,9.8,1820767
2016-02-01 11:30:00,9.81,9.83,9.72,9.7499,862461
2016-02-01 12:30:00,9.75,9.75,9.61,9.74,1053749
2016-02-01 13:30:00,9.73,9.74,9.65,9.71,811298
2016-02-01 14:30:00,9.71,9.83,9.685,9.81,1016791
2016-02-01 15:30:00,9.8148,9.85,9.77,9.78,1068984
2016-02-02 09:30:00,9.51,9.53,8.92,9.035,3552624
2016-02-02 10:30:00,9.035,9.2,8.99,9.125,2021101
2016-02-02 11:30:00,9.1201,9.15,8.97,9.005,1397741
2016-02-02 12:30:00,9.01,9.1,8.99,9.02,1241740
2016-02-02 13:30:00,9.02,9.06,8.94,8.945,1204897
2016-02-02 14:30:00,8.94,8.97,8.83,8.885,1482159
2016-02-02 15:30:00,8.885,9.08,8.87,9.04,2653682
2016-02-03 09:30:00,9.19,9.2,8.68,8.73,2191760
2016-02-03 10:30:00,8.73,9.085,8.5,9.025,2956603
2016-02-03 11:30:00,9.03,9.19,8.96,9.0801,1287741
2016-02-03 12:30:00,9.08,9.25,9.0,9.125,849061
2016-02-03 13:30:00,9.125,9.36,9.06,9.3,1116477
2016-02-03 14:30:00,9.29,9.43,9.24,9.3175,1210882
2016-02-03 15:30:00,9.315,9.37,9.26,9.35,1314403
2016-02-04 09:30:00,9.37,10.095,9.36,10.04,3154968
2016-02-04 10:30:00,10.035,10.0484,9.785,9.8,2135779
2016-02-04 11:30:00,9.81,10.005,9.61,9.95,1728345
2016-02-04 12:30:00,9.94,10.12,9.875,9.9301,1670664
2016-02-04 13:30:00,9.93,10.19,9.927,10.05,1587520
2016-02-04 14:30:00,10.04,10.2,10.03,10.195,1326048
2016-02-04 15:30:00,10.2,10.26,10.155,10.19,2790494
2016-02-05 09:30:00,10.05,10.65,9.89,10.535,3930265
2016-02-05 10:30:00,10.53,10.8,10.49,10.71,3908427
2016-02-05 11:30:00,10.71,10.83,10.65,10.69,1272388
2016-02-05 12:30:00,10.69,10.72,10.48,10.505,1565086
2016-02-05 13:30:00,10.5,10.505,10.3,10.3,1279424
2016-02-05 14:30:00,10.3,10.41,10.22,10.35,1958545
2016-02-05 15:30:00,10.34,10.385,10.23,10.28,2022986
2016-04-26 09:30:00,10.33,10.37,9.95,10.14,3852007
2016-04-26 10:30:00,10.13,10.26,10.065,10.16,1990613
2016-04-26 11:30:00,10.16,10.4,10.15,10.325,2145144
2016-04-26 12:30:00,10.33,10.4601,10.31,10.455,859740
2016-04-26 13:30:00,10.46,10.49,10.31,10.315,1683961
2016-04-26 14:30:00,10.3195,10.375,10.29,10.32,1549125
2016-04-26 15:30:00,10.32,10.35,9.95,10.3,1721510
2016-04-27 09:30:00,10.51,10.88,10.47,10.84,4992063
2016-04-27 10:30:00,10.82,10.89,10.63,10.87,4766441
2016-04-27 11:30:00,10.875,10.93,10.76,10.82,1658023
2016-04-27 12:30:00,10.82,10.99,10.78,10.96,2247942
2016-04-27 13:30:00,10.9599,11.2,10.91,11.13,2709356
2016-04-27 14:30:00,11.14,11.18,11.045,11.15,2044744
2016-04-27 15:30:00,11.16,11.18,11.1,11.16,2518559
2016-04-28 09:30:00,11.09,11.34,10.87,11.18,4318428
2016-04-28 10:30:00,11.18,11.36,11.15,11.34,3054720
2016-04-28 11:30:00,11.34,11.53,11.33,11.37,2466639
2016-04-28 12:30:00,11.375,11.545,11.36,11.4699,1513486
2016-04-28 13:30:00,11.4809,11.55,11.465,11.5298,1935026
2016-04-28 14:30:00,11.525,11.55,11.03,11.04,2997628
2016-04-28 15:30:00,11.04,11.225,11.0,11.1,4141379
2016-04-29 09:30:00,11.36,11.65,11.05,11.1056,6224622
2016-04-29 10:30:00,11.0995,11.245,10.81,10.82,3879532
2016-04-29 11:30:00,10.8199,11.03,10.57,11.0,4110558
2016-04-29 12:30:00,10.99,11.07,10.92,10.94,1325548
2016-04-29 13:30:00,10.94,10.97,10.745,10.935,1676581
2016-04-29 14:30:00,10.9399,11.07,10.825,10.975,1914982
2016-04-29 15:30:00,10.98,11.12,10.97,11.07,2911685
2016-05-02 09:30:00,11.04,11.17,10.63,10.98,2987712
2016-05-02 10:30:00,10.98,11.11,10.88,10.925,1787930
2016-05-02 11:30:00,10.925,11.06,10.75,10.77,1286492
2016-05-02 12:30:00,10.77,11.065,10.77,11.04,1215805
2016-05-02 13:30:00,11.03,11.06,10.92,10.9349,984294
2016-05-02 14:30:00,10.93,11.02,10.88,10.96,1189236
2016-05-02 15:30:00,10.96,11.03,10.93,11.0,1201090
2016-05-03 09:30:00,10.71,10.82,10.39,10.425,2815441
2016-05-03 10:30:00,10.43,10.54,10.33,10.44,1845984
2016-05-03 11:30:00,10.44,10.6,10.37,10.38,1538482
2016-05-03 12:30:00,10.385,10.53,10.37,10.5,1092645
2016-05-03 13:30:00,10.5,10.56,10.38,10.425,1171610
2016-05-03 14:30:00,10.425,10.48,10.38,10.395,1125418
2016-05-03 15:30:00,10.39,10.44,10.37,10.43,2030402
2016-05-04 09:30:00,10.55,10.69,10.47,10.53,2213934
2016-05-04 10:30:00,10.53,10.53,9.95,10.04,3721048
2016-05-04 11:30:00,10.045,10.3134,10.04,10.12,1510050
2016-05-04 12:30:00,10.12,10.15,9.95,9.99,1216736
2016-05-04 13:30:00,10.0,10.06,9.97,10.06,1150055
2016-05-04 14:30:00,10.06,10.09,9.99,10.04,1415180
2016-05-04 15:30:00,10.04,10.18,10.03,10.12,1966400
2016-05-05 09:30:00,10.47,10.61,10.02,10.31,6312042
2016-05-05 10:30:00,10.31,10.6,10.3,10.54,3793293
2016-05-05 11:30:00,10.54,10.6,10.21,10.23,2097734
2016-05-05 12:30:00,10.2299,10.25,10.0,10.025,2739220
2016-05-05 13:30:00,10.025,10.23,10.025,10.15,1382192
2016-05-05 14:30:00,10.15,10.2,10.063,10.105,1405150
2016-05-05 15:30:00,10.101,10.11,10.02,10.06,2333116
2016-05-06 09:30:00,9.925,10.98,9.89,10.86,5164732
2016-05-06 10:30:00,10.85,10.86,10.58,10.85,3562930
2016-05-06 11:30:00,10.85,10.96,10.69,10.7092,2330080
2016-05-06 12:30:00,10.71,10.88,10.69,10.71,1578926
2016-05-06 13:30:00,10.715,10.84,10.66,10.74,1387927
2016-05-06 14:30:00,10.75,10.82,10.65,10.78,1693639
2016-05-06 15:30:00,10.79,10.8,10.66,10.71,2666939
2016-07-26 09:30:00,11.07,11.38,11.03,11.1345,3110733
2016-07-26 10:30:00,11.14,11.215,11.0,11.15,1929941
2016-07-26 11:30:00,11.15,11.24,11.11,11.17,1163312
2016-07-26 12:30:00,11.1699,11.24,11.125,11.13,758110
2016-07-26 13:30:00,11.14,11.16,11.07,11.09,872794
2016-07-26 14:30:00,11.1,11.16,11.07,11.13,1011477
2016-07-26 15:30:00,11.135,11.15,11.12,11.15,1468562
2016-07-27 09:30:00,11.21,11.54,11.21,11.39,3185599
2016-07-27 10:30:00,11.39,11.39,10.87,10.9,4116423
2016-07-27 11:30:00,10.89,10.89,10.58,10.61,4953885
2016-07-27 12:30:00,10.62,10.68,10.59,10.635,2466780
2016-07-27 13:30:00,10.635,10.72,10.59,10.595,2744942
2016-07-27 14:30:00,10.595,10.74,10.58,10.7,2203496
2016-07-27 15:30:00,10.69,10.7,10.64,10.67,1746615
2016-07-28 09:30:00,10.78,11.06,10.59,10.8501,3101158
2016-07-28 10:30:00,10.86,10.95,10.68,10.76,1840872
2016-07-28 11:30:00,10.76,10.82,10.695,10.755,1223787
2016-07-28 12:30:00,10.755,10.78,10.66,10.738,1016917
2016-07-28 13:30:00,10.74,10.84,10.73,10.78,1221957
2016-07-28 14:30:00,10.775,10.8,10.725,10.74,1243683
2016-07-28 15:30:00,10.75,10.75,10.72,10.74,1526313
2016-07-29 09:30:00,10.67,10.73,10.46,10.6464,2998968
2016-07-29 10:30:00,10.64,11.02,10.565,10.91,2736964
2016-07-29 11:30:00,10.91,11.0,10.87,10.94,1229491
2016-07-29 12:30:00,10.94,11.01,10.89,10.97,1137574
2016-07-29 13:30:00,10.9699,11.06,10.95,11.0399,1048152
2016-07-29 14:30:00,11.035,11.0469,10.94,10.955,1174012
2016-07-29 15:30:00,10.955,11.03,10.95,10.98,1536319
2016-08-01 09:30:00,10.65,10.72,10.27,10.3,6352858
2016-08-01 10:30:00,10.3,10.4468,10.19,10.375,3911061
2016-08-01 11:30:00,10.375,10.51,10.35,10.41,2892336
2016-08-01 12:30:00,10.4,10.44,10.31,10.315,2005238
2016-08-01 13:30:00,10.32,10.39,10.29,10.3141,1798603
2016-08-01 14:30:00,10.3159,10.35,10.26,10.26,1851734
2016-08-01 15:30:00,10.265,10.29,10.24,10.25,3186948
2016-08-02 09:30:00,10.39,10.49,10.065,10.2,3563276
