bar_start,open,high,low,close,volume
2016-01-25 09:30:00,85.98,86.15,85.585,85.8127,1023095
2016-01-25 10:30:00,85.8,85.92,85.2,85.5,1199664
2016-01-25 11:30:00,85.48,86.0368,85.25,85.316,882621
2016-01-25 12:30:00,85.31,85.58,85.15,85.39,1198469
2016-01-25 13:30:00,85.394,85.55,85.05,85.185,1314851
2016-01-25 14:30:00,85.19,85.205,84.84,84.9599,2561329
2016-01-25 15:30:00,84.95,84.9711,84.5,84.9,1839706
2016-01-26 09:30:00,85.29,86.47,85.21,86.24,921010
2016-01-26 10:30:00,86.245,86.41,85.9225,86.155,835496
2016-01-26 11:30:00,86.16,86.2,85.72,86.065,719290
2016-01-26 12:30:00,86.07,86.07,85.5995,85.63,707999
2016-01-26 13:30:00,85.625,85.92,85.56,85.76,964238
2016-01-26 14:30:00,85.76,85.96,85.43,85.61,1154310
2016-01-26 15:30:00,85.62,85.9,85.465,85.68,1678422
2016-01-27 09:30:00,85.28,87.28,84.75,87.2,1964022
2016-01-27 10:30:00,87.21,87.57,86.74,86.88,1234219
2016-01-27 11:30:00,86.88,87.55,86.87,86.98,803393
2016-01-27 12:30:00,86.99,87.08,86.5,86.56,662613
2016-01-27 13:30:00,86.57,87.43,86.43,86.6301,874945
2016-01-27 14:30:00,86.63,86.71,85.37,85.6,1142123
2016-01-27 15:30:00,85.5901,85.98,85.58,85.82,1009137
2016-01-28 09:30:00,86.3,87.2,85.92,86.5,1007163
2016-01-28 10:30:00,86.49,86.76,86.21,86.26,695682
2016-01-28 11:30:00,86.26,86.57,85.93,86.485,601203
2016-01-28 12:30:00,86.49,86.74,86.06,86.4313,558440
2016-01-28 13:30:00,86.4375,86.56,86.1,86.46,755231
2016-01-28 14:30:00,86.45,86.65,86.19,86.39,881151
2016-01-28 15:30:00,86.39,86.6,86.34,86.44,997296
2016-01-29 09:30:00,86.87,87.68,86.82,87.13,989716
2016-01-29 10:30:00,87.13,87.59,86.93,86.97,906345
2016-01-29 11:30:00,86.98,87.3492,86.7601,87.24,622005
2016-01-29 12:30:00,87.25,87.45,87.1,87.15,553249
2016-01-29 13:30:00,87.15,87.2914,86.89,87.005,666914
2016-01-29 14:30:00,87.0,87.365,86.91,87.365,1441730
2016-01-29 15:30:00,87.36,87.69,87.2833,87.67,1209221
2016-02-01 09:30:00,87.06,87.47,86.45,86.61,963850
2016-02-01 10:30:00,86.61,87.2,86.57,87.13,617531
2016-02-01 11:30:00,87.15,87.38,87.1,87.21,571343
2016-02-01 12:30:00,87.215,87.33,87.06,87.3,472192
2016-02-01 13:30:00,87.29,87.4,87.19,87.29,486362
2016-02-01 14:30:00,87.29,87.84,87.2634,87.81,725510
2016-02-01 15:30:00,87.81,87.83,87.5,87.54,842179
2016-02-02 09:30:00,85.05,86.66,85.05,86.2,1567272
2016-02-02 10:30:00,86.2,86.49,86.1,86.44,1005575
2016-02-02 11:30:00,86.43,86.7292,85.94,85.9699,802987
2016-02-02 12:30:00,85.96,86.15,85.73,85.87,633837
2016-02-02 13:30:00,85.8701,85.88,85.3,85.3899,847994
2016-02-02 14:30:00,85.39,85.58,85.08,85.39,1023144
2016-02-02 15:30:00,85.397,85.525,85.33,85.41,1070749
2016-02-03 09:30:00,85.99,86.37,84.62,84.7,1519677
2016-02-03 10:30:00,84.69,85.2999,84.29,85.13,1237643
2016-02-03 11:30:00,85.13,85.36,84.79,85.2,937435
2016-02-03 12:30:00,85.215,85.28,84.87,85.03,818856
2016-02-03 13:30:00,85.05,85.96,84.81,85.7917,893922
2016-02-03 14:30:00,85.78,85.94,85.45,85.64,1576488
2016-02-03 15:30:00,85.64,86.0,85.6339,85.95,979882
2016-02-04 09:30:00,86.09,88.41,85.8,88.0899,1207979
2016-02-04 10:30:00,88.08,88.71,87.972,88.14,954808
2016-02-04 11:30:00,88.14,88.1963,87.4301,87.81,503294
2016-02-04 12:30:00,87.79,88.32,87.72,88.06,556799
2016-02-04 13:30:00,88.05,88.2,87.62,87.91,652919
2016-02-04 14:30:00,87.9,88.4,87.88,87.99,826454
2016-02-04 15:30:00,88.0,88.36,87.9,88.12,835253
2016-04-21 09:30:00,105.0,105.75,105.0,105.528,617751
2016-04-21 10:30:00,105.5299,105.96,105.38,105.7499,419123
2016-04-21 11:30:00,105.74,105.91,105.5701,105.68,222773
2016-04-21 12:30:00,105.68,105.89,105.61,105.654,226809
2016-04-21 13:30:00,105.64,105.69,105.46,105.5395,232617
2016-04-21 14:30:00,105.5399,105.67,105.25,105.285,338257
2016-04-21 15:30:00,105.29,105.47,105.285,105.41,414644
2016-04-22 09:30:00,105.73,106.32,105.48,105.496,452124
2016-04-22 10:30:00,105.49,105.7999,104.93,105.32,311155
2016-04-22 11:30:00,105.3275,105.56,105.03,105.06,363176
2016-04-22 12:30:00,105.06,105.36,104.9799,105.02,310285
2016-04-22 13:30:00,105.02,105.7,105.015,105.54,439909
2016-04-22 14:30:00,105.5475,105.68,105.42,105.64,299848
2016-04-22 15:30:00,105.6301,105.75,105.58,105.69,463946
2016-04-25 09:30:00,105.19,105.19,104.5025,104.54,653379
2016-04-25 10:30:00,104.54,104.65,104.2775,104.43,313635
2016-04-25 11:30:00,104.44,104.62,104.36,104.53,212907
2016-04-25 12:30:00,104.53,104.97,104.4601,104.87,246883
2016-04-25 13:30:00,104.87,104.94,104.56,104.8,247581
2016-04-25 14:30:00,104.81,105.01,104.7399,104.98,458188
2016-04-25 15:30:00,104.98,105.19,104.9,105.18,405642
2016-04-26 09:30:00,105.68,105.78,104.424,104.44,782916
2016-04-26 10:30:00,104.44,105.16,104.42,104.97,476414
2016-04-26 11:30:00,104.99,105.08,104.7701,105.0501,656473
2016-04-26 12:30:00,105.05,105.059,104.69,104.91,429713
2016-04-26 13:30:00,104.91,105.06,104.71,104.88,643351
2016-04-26 14:30:00,104.86,105.015,104.77,104.812,968345
2016-04-26 15:30:00,104.82,105.04,103.62,104.74,1282383
2016-04-27 09:30:00,106.32,107.07,105.42,105.6,1371663
2016-04-27 10:30:00,105.6,105.77,104.88,105.5,775425
2016-04-27 11:30:00,105.52,106.06,105.38,106.05,683115
2016-04-27 12:30:00,106.0522,106.08,105.64,105.72,529538
2016-04-27 13:30:00,105.73,106.119,105.3301,105.98,801158
2016-04-27 14:30:00,105.99,106.15,105.69,106.02,1008328
2016-04-27 15:30:00,106.02,106.21,105.8,105.95,823351
2016-04-28 09:30:00,105.15,105.47,103.68,104.77,1107403
2016-04-28 10:30:00,104.78,105.581,104.55,105.56,504327
2016-04-28 11:30:00,105.59,105.6,105.09,105.3,386213
2016-04-28 12:30:00,105.2925,105.38,105.09,105.22,367722
2016-04-28 13:30:00,105.22,105.53,105.14,105.23,311391
2016-04-28 14:30:00,105.22,105.2527,104.31,104.36,550155
2016-04-28 15:30:00,104.3601,104.6,104.2,104.28,753487
2016-04-29 09:30:00,103.53,104.94,103.48,104.37,525624
2016-04-29 10:30:00,104.39,104.62,103.88,104.01,289852
2016-04-29 11:30:00,104.01,104.108,103.67,103.9,264342
2016-04-29 12:30:00,103.9001,104.08,103.75,104.0399,257459
2016-04-29 13:30:00,104.03,104.11,99.79,104.07,306572
2016-04-29 14:30:00,104.06,104.21,103.88,104.06,362856
2016-04-29 15:30:00,104.06,104.69,104.06,104.38,507677
2016-05-02 09:30:00,103.36,104.9,103.36,104.659,980157
2016-05-02 10:30:00,104.67,104.8599,104.26,104.38,566329
2016-05-02 11:30:00,104.39,104.63,104.08,104.31,534604
2016-05-02 12:30:00,104.31,106.0275,104.19,104.51,422294
2016-05-02 13:30:00,104.52,104.55,104.2179,104.43,426698
2016-05-02 14:30:00,104.43,104.54,104.32,104.51,551258
2016-05-02 15:30:00,104.51,104.64,104.33,104.3699,563109
2016-05-03 09:30:00,103.46,103.87,102.25,102.3953,1000412
2016-05-03 10:30:00,102.407,102.6,102.01,102.04,608231
2016-05-03 11:30:00,102.04,102.4397,101.87,102.41,435711
2016-05-03 12:30:00,102.41,102.67,102.3249,102.47,607338
2016-05-03 13:30:00,102.49,102.767,102.285,102.3432,547555
2016-05-03 14:30:00,102.34,102.48,102.07,102.19,575269
2016-05-03 15:30:00,102.18,102.35,102.02,102.13,704609
2016-07-21 09:30:00,106.35,106.74,106.2,106.34,719594
2016-07-21 10:30:00,106.35,106.6,106.22,106.45,797278
2016-07-21 11:30:00,106.45,106.4534,105.7901,106.0,522396
2016-07-21 12:30:00,106.0,106.02,105.7701,105.9,331802
2016-07-21 13:30:00,105.91,106.209,105.621,105.82,344528
2016-07-21 14:30:00,105.8299,105.895,105.61,105.75,402846
2016-07-21 15:30:00,105.74,105.975,105.74,105.83,522986
2016-07-22 09:30:00,104.87,105.09,104.5,105.06,809703
2016-07-22 10:30:00,105.06,105.17,104.68,104.69,373800
2016-07-22 11:30:00,104.69,105.04,104.66,104.85,352501
2016-07-22 12:30:00,104.84,104.95,104.76,104.92,255237
2016-07-22 13:30:00,104.93,105.09,104.851,105.031,409858
2016-07-22 14:30:00,105.03,105.2,104.96,105.11,336750
2016-07-22 15:30:00,105.1,105.14,105.01,105.12,525839
2016-07-25 09:30:00,105.05,105.24,104.66,105.0,589555
2016-07-25 10:30:00,105.01,105.09,104.6,104.74,405709
2016-07-25 11:30:00,104.735,104.8,104.44,104.51,397455
2016-07-25 12:30:00,104.5,104.81,104.42,104.719,326422
2016-07-25 13:30:00,104.71,104.76,104.56,104.56,295639
2016-07-25 14:30:00,104.56,104.69,104.5,104.65,492423
2016-07-25 15:30:00,104.66,104.78,104.52,104.66,606828
2016-07-26 09:30:00,107.04,107.46,106.5,106.94,1273168
2016-07-26 10:30:00,106.95,107.39,106.7281,106.87,526509
2016-07-26 11:30:00,106.879,107.5,106.85,107.49,346029
2016-07-26 12:30:00,107.47,107.57,107.14,107.2096,335417
2016-07-26 13:30:00,107.209,107.45,107.169,107.35,269639
2016-07-26 14:30:00,107.36,107.459,106.183,107.3399,483097
2016-07-26 15:30:00,107.34,107.96,107.33,107.89,869302
2016-07-27 09:30:00,108.06,108.49,107.67,107.84,719993
2016-07-27 10:30:00,107.84,107.8875,107.48,107.725,644619
2016-07-27 11:30:00,107.72,107.83,107.54,107.78,402179
2016-07-27 12:30:00,107.788,107.93,106.183,107.8925,345273
2016-07-27 13:30:00,107.89,108.237,107.71,107.993,539569
2016-07-27 14:30:00,107.99,108.072,107.8,107.861,566435
2016-07-27 15:30:00,107.87,107.98,107.64,107.72,575557
2016-07-28 09:30:00,107.69,107.9,107.105,107.41,555809
2016-07-28 10:30:00,107.42,107.45,107.1175,107.24,356157
2016-07-28 11:30:00,107.23,107.36,107.14,107.22,246468
2016-07-28 12:30:00,107.23,107.6498,107.1,107.6272,258075
2016-07-28 13:30:00,107.63,107.99,107.4599,107.88,290611
2016-07-28 14:30:00,107.88,107.88,107.6401,107.7,317014
2016-07-28 15:30:00,107.69,107.84,107.57,107.6,575272
2016-07-29 09:30:00,107.5,107.93,107.19,107.46,413739
2016-07-29 10:30:00,107.48,107.89,107.38,107.773,295249
2016-07-29 11:30:00,107.78,108.04,107.78,107.85,342003
2016-07-29 12:30:00,107.85,107.98,107.78,107.96,160664
2016-07-29 13:30:00,107.96,108.08,107.93,108.08,277596
2016-07-29 14:30:00,108.08,108.08,107.73,107.74,292444
2016-07-29 15:30:00,107.735,107.865,107.62,107.62,552483
2016-08-01 09:30:00,107.46,107.65,107.07,107.39,467734
2016-08-01 10:30:00,107.38,107.5,106.99,107.239,497836
2016-08-01 11:30:00,107.24,107.29,106.5,106.6201,463476
2016-08-01 12:30:00,106.62,106.95,106.588,106.865,311061
2016-08-01 13:30:00,106.86,106.98,106.7,106.75,292780
2016-08-01 14:30:00,106.75,107.023,106.61,106.62,406204
2016-08-01 15:30:00,106.62,106.96,106.6,106.93,407770
2016-08-02 09:30:00,106.49,106.7599,106.2,106.4016,427246
2016-08-02 10:30:00,106.429,106.429,106.0,106.2,335665
2016-08-02 11:30:00,106.2,106.3546,106.04,106.29,223850
2016-08-02 12:30:00,106.3,106.68,105.89,106.08,202185
2016-08-02 13:30:00,106.08,106.17,105.89,106.151,239489
2016-08-02 14:30:00,106.1699,106.36,106.09,106.22,333162
2016-08-02 15:30:00,106.22,106.4,106.2,106.28,389489
2016-10-20 09:30:00,99.75,100.18,99.7,99.9499,646434
2016-10-20 10:30:00,99.92,99.95,99.51,99.854,426083
2016-10-20 11:30:00,99.8699,100.04,98.81,99.85,534280
2016-10-20 12:30:00,99.8189,99.984,99.79,99.81,352625
2016-10-20 13:30:00,99.7956,99.89,99.62,99.78,288964
2016-10-20 14:30:00,99.8,99.87,99.65,99.66,403838
2016-10-20 15:30:00,99.66,99.7978,99.27,99.3,887546
2016-10-21 09:30:00,98.38,98.39,97.62,97.82,1023807
2016-10-21 10:30:00,97.82,98.08,97.82,97.98,402274
2016-10-21 11:30:00,97.98,98.25,97.94,98.0101,482550
2016-10-21 12:30:00,98.015,98.34,97.95,98.298,460405
