bar_start,open,high,low,close,volume
2016-02-01 09:30:00,13.24,13.34,13.05,13.18,96087
2016-02-01 10:30:00,13.2,13.24,13.13,13.18,68852
2016-02-01 11:30:00,13.1915,13.1915,13.07,13.09,93660
2016-02-01 12:30:00,13.1,13.145,13.07,13.13,67079
2016-02-01 13:30:00,13.1301,13.33,13.11,13.33,119962
2016-02-01 14:30:00,13.3367,13.47,13.31,13.46,150640
2016-02-01 15:30:00,13.455,13.52,13.445,13.45,146352
2016-02-02 09:30:00,13.35,13.41,13.06,13.1058,113013
2016-02-02 10:30:00,13.1,13.24,13.04,13.09,103669
2016-02-02 11:30:00,13.08,13.09,12.95,13.02,97831
2016-02-02 12:30:00,13.02,13.04,12.92,12.9801,67432
2016-02-02 13:30:00,12.98,12.99,12.9,12.91,82610
2016-02-02 14:30:00,12.9138,12.98,12.9,12.94,79149
2016-02-02 15:30:00,12.94,12.99,12.94,12.97,86349
2016-02-03 09:30:00,13.13,13.15,12.8,12.81,115763
2016-02-03 10:30:00,12.8,13.09,12.68,13.03,118117
2016-02-03 11:30:00,13.03,13.08,12.95,13.035,73554
2016-02-03 12:30:00,13.01,13.05,12.96,13.0115,71267
2016-02-03 13:30:00,13.015,13.08,12.95,13.07,67703
2016-02-03 14:30:00,13.06,13.115,13.0,13.0401,91686
2016-02-03 15:30:00,13.04,13.15,13.025,13.13,144196
2016-02-04 09:30:00,13.13,13.39,13.1011,13.35,86264
2016-02-04 10:30:00,13.36,13.4,13.04,13.05,109357
2016-02-04 11:30:00,13.05,13.19,13.0099,13.08,122043
2016-02-04 12:30:00,13.08,13.18,13.07,13.13,108239
2016-02-04 13:30:00,13.13,13.18,13.05,13.08,109687
2016-02-04 14:30:00,13.08,13.105,13.02,13.05,174092
2016-02-04 15:30:00,13.05,13.1,13.025,13.07,190756
2016-02-05 09:30:00,13.05,13.164,13.01,13.1,75278
2016-02-05 10:30:00,13.1137,13.23,13.055,13.15,62976
2016-02-05 11:30:00,13.17,13.28,13.125,13.265,82849
2016-02-05 12:30:00,13.27,13.28,13.225,13.271,49356
2016-02-05 13:30:00,13.27,13.27,13.17,13.178,54442
2016-02-05 14:30:00,13.1863,13.25,13.16,13.23,69631
2016-02-05 15:30:00,13.235,13.24,13.2,13.23,116898
2016-02-08 09:30:00,13.0,13.09,12.35,12.4194,199875
2016-02-08 10:30:00,12.4199,12.47,12.29,12.47,208392
2016-02-08 11:30:00,12.47,12.54,12.38,12.46,307731
2016-02-08 12:30:00,12.46,12.47,12.39,12.44,62871
2016-02-08 13:30:00,12.445,12.46,12.3099,12.41,368576
2016-02-08 14:30:00,12.4101,12.62,12.3953,12.62,241144
2016-02-08 15:30:00,12.6185,12.79,12.615,12.73,376504
2016-02-09 09:30:00,12.48,12.68,12.32,12.36,148789
2016-02-09 10:30:00,12.36,12.39,12.26,12.35,125990
2016-02-09 11:30:00,12.35,12.39,12.2743,12.31,364671
2016-02-09 12:30:00,12.3,12.35,12.28,12.34,115611
2016-02-09 13:30:00,12.33,12.36,12.26,12.28,152542
2016-02-09 14:30:00,12.27,12.38,12.26,12.29,157891
2016-02-09 15:30:00,12.3,12.32,12.255,12.28,141484
2016-02-10 09:30:00,12.3,12.45,11.32,11.328,541062
2016-02-10 10:30:00,11.33,11.5298,11.01,11.19,512215
2016-02-10 11:30:00,11.198,11.38,11.07,11.2362,209117
2016-02-10 12:30:00,11.24,11.26,11.14,11.159,220082
2016-02-10 13:30:00,11.1599,11.1599,10.651,10.84,604266
2016-02-10 14:30:00,10.84,11.0,10.76,10.81,401481
2016-02-10 15:30:00,10.8101,10.82,10.73,10.74,317227
2016-02-11 09:30:00,9.88,10.68,9.81,10.5,449488
2016-02-11 10:30:00,10.51,10.7,10.3401,10.5842,543609
2016-02-11 11:30:00,10.58,10.67,10.42,10.4651,477927
2016-02-11 12:30:00,10.46,10.5,10.34,10.4,215395
2016-02-11 13:30:00,10.3901,10.4016,10.2,10.25,330171
2016-02-11 14:30:00,10.25,10.5,10.24,10.265,316679
2016-02-11 15:30:00,10.27,10.35,10.22,10.31,384277
2016-04-25 09:30:00,14.88,14.9799,14.68,14.7099,96489
2016-04-25 10:30:00,14.6976,14.72,14.63,14.7199,81497
2016-04-25 11:30:00,14.72,14.72,14.64,14.66,43423
2016-04-25 12:30:00,14.65,14.65,14.57,14.57,53958
2016-04-25 13:30:00,14.5702,14.6,14.49,14.55,73111
2016-04-25 14:30:00,14.56,14.61,14.53,14.6,80599
2016-04-25 15:30:00,14.6,14.63,14.5885,14.63,67164
2016-04-26 09:30:00,14.84,14.92,14.72,14.81,79497
2016-04-26 10:30:00,14.8,14.91,14.8,14.903,71401
2016-04-26 11:30:00,14.9,15.0,14.9,14.93,72760
2016-04-26 12:30:00,14.93,14.97,14.91,14.97,73474
2016-04-26 13:30:00,14.9672,14.98,14.9253,14.9632,94927
2016-04-26 14:30:00,14.97,14.99,14.945,14.97,51177
2016-04-26 15:30:00,14.98,15.0,14.96,15.0,118151
2016-04-27 09:30:00,14.98,15.29,14.94,15.1532,212451
2016-04-27 10:30:00,15.15,15.16,15.0,15.039,123608
2016-04-27 11:30:00,15.035,15.05,14.87,15.01,117169
2016-04-27 12:30:00,15.015,15.075,15.0,15.0423,65449
2016-04-27 13:30:00,15.05,15.12,15.01,15.1,70188
2016-04-27 14:30:00,15.09,15.14,15.02,15.13,91433
2016-04-27 15:30:00,15.12,15.37,15.12,15.26,276795
2016-04-28 09:30:00,15.21,15.33,15.032,15.283,78474
2016-04-28 10:30:00,15.285,15.34,15.23,15.29,59087
2016-04-28 11:30:00,15.3,15.41,15.265,15.28,77118
2016-04-28 12:30:00,15.28,15.39,15.28,15.3611,58166
2016-04-28 13:30:00,15.37,15.4399,15.36,15.39,62190
2016-04-28 14:30:00,15.39,15.4,15.1479,15.15,94244
2016-04-28 15:30:00,15.16,15.24,15.16,15.209,91541
2016-04-29 09:30:00,15.29,15.37,15.1302,15.31,117230
2016-04-29 10:30:00,15.32,15.41,15.07,15.07,117169
2016-04-29 11:30:00,15.06,15.17,14.92,15.15,131171
2016-04-29 12:30:00,15.15,15.23,15.09,15.13,58353
2016-04-29 13:30:00,15.13,15.2,15.075,15.18,69969
2016-04-29 14:30:00,15.17,15.1901,15.12,15.12,87661
2016-04-29 15:30:00,15.12,15.19,15.12,15.16,118729
2016-05-02 09:30:00,15.17,15.17,14.9,15.07,108371
2016-05-02 10:30:00,15.075,15.2,15.01,15.1398,37681
2016-05-02 11:30:00,15.13,15.21,15.12,15.1334,61056
2016-05-02 12:30:00,15.13,15.29,15.12,15.29,108245
2016-05-02 13:30:00,15.2826,15.3132,15.2,15.22,94151
2016-05-02 14:30:00,15.21,15.23,15.08,15.09,310123
2016-05-02 15:30:00,15.095,15.17,15.09,15.16,185541
2016-05-03 09:30:00,15.0,15.0,14.6,14.71,154123
2016-05-03 10:30:00,14.7,14.73,14.56,14.6001,68513
2016-05-03 11:30:00,14.6,14.785,14.599,14.64,56369
2016-05-03 12:30:00,14.65,14.73,14.61,14.73,44202
2016-05-03 13:30:00,14.74,14.77,14.66,14.71,46263
2016-05-03 14:30:00,14.72,14.7599,14.65,14.68,67237
2016-05-03 15:30:00,14.67,14.72,14.66,14.71,76648
2016-05-04 09:30:00,14.69,14.97,14.69,14.737,111963
2016-05-04 10:30:00,14.73,14.734,14.435,14.51,134771
2016-05-04 11:30:00,14.51,14.67,14.5,14.61,193544
2016-05-04 12:30:00,14.6312,14.6312,14.495,14.505,57677
2016-05-04 13:30:00,14.505,14.63,14.505,14.62,61454
2016-05-04 14:30:00,14.611,14.66,14.59,14.65,49834
2016-05-04 15:30:00,14.65,14.7,14.64,14.67,77039
2016-05-05 09:30:00,14.79,14.92,14.66,14.7381,107917
2016-05-05 10:30:00,14.76,14.83,14.68,14.69,106985
2016-05-05 11:30:00,14.7,14.7,14.56,14.605,155027
2016-05-05 12:30:00,14.6,14.67,14.53,14.53,58470
2016-05-05 13:30:00,14.55,14.67,14.54,14.66,45455
2016-05-05 14:30:00,14.67,14.69,14.61,14.67,57209
2016-05-05 15:30:00,14.67,14.675,14.59,14.62,101604
2016-07-25 09:30:00,15.05,15.0899,14.76,14.77,129272
2016-07-25 10:30:00,14.77,14.86,14.72,14.84,78686
2016-07-25 11:30:00,14.83,14.87,14.81,14.815,33615
