bar_start,open,high,low,close,volume
2016-01-21 09:30:00,,,,,0
2016-01-21 10:30:00,8.02,8.45,8.02,8.0201,301
2016-01-21 11:30:00,8.03,8.41,8.02,8.02,1501
2016-01-21 12:30:00,7.99,7.99,7.66,7.66,1300
2016-01-21 13:30:00,7.67,8.09,7.67,7.69,1200
2016-01-21 14:30:00,7.69,7.69,7.65,7.65,1400
2016-01-21 15:30:00,7.51,7.83,7.05,7.7069,5859
2016-01-22 09:30:00,,,,,0
2016-01-22 10:30:00,7.64,7.67,7.64,7.67,600
2016-01-22 11:30:00,,,,,0
2016-01-22 12:30:00,,,,,0
2016-01-22 13:30:00,8.1399,8.18,8.1399,8.18,188
2016-01-22 14:30:00,,,,,0
2016-01-22 15:30:00,8.0,8.15,8.0,8.15,904
2016-01-25 09:30:00,,,,,0
2016-01-25 10:30:00,,,,,0
2016-01-25 11:30:00,,,,,0
2016-01-25 12:30:00,8.15,8.15,7.79,7.79,10101
2016-01-25 13:30:00,8.15,8.15,8.15,8.15,100
2016-01-25 14:30:00,8.15,8.55,8.15,8.15,10101
2016-01-25 15:30:00,8.15,8.16,8.02,8.02,13513
2016-01-26 09:30:00,,,,,0
2016-01-26 10:30:00,7.64,8.04,7.62,7.64,351
2016-01-26 11:30:00,7.68,7.68,7.68,7.68,5
2016-01-26 12:30:00,7.98,7.99,7.98,7.99,100
2016-01-26 13:30:00,,,,,0
2016-01-26 14:30:00,,,,,0
2016-01-26 15:30:00,7.87,8.0,7.77,7.88,500
2016-01-27 09:30:00,7.511,7.511,7.511,7.511,48
2016-01-27 10:30:00,7.79,7.79,7.79,7.79,200
2016-01-27 11:30:00,7.98,8.0,7.98,7.99,301
2016-01-27 12:30:00,7.89,7.9,7.87,7.87,1016
2016-01-27 13:30:00,7.79,7.8,7.75,7.75,359
2016-01-27 14:30:00,8.11,8.11,7.93,7.93,400
2016-01-27 15:30:00,7.83,7.83,7.83,7.83,7
2016-01-28 09:30:00,7.58,7.72,7.57,7.69,801
2016-01-28 10:30:00,7.69,7.69,7.69,7.69,500
2016-01-28 11:30:00,7.69,7.69,7.57,7.59,700
2016-01-28 12:30:00,7.6,7.6,7.59,7.59,600
2016-01-28 13:30:00,7.65,7.65,7.59,7.59,400
2016-01-28 14:30:00,7.59,7.59,7.57,7.57,1200
2016-01-28 15:30:00,7.61,7.8629,7.58,7.63,957
2016-01-29 09:30:00,7.62,7.73,7.57,7.57,1168
2016-01-29 10:30:00,7.5701,7.5701,7.5701,7.5701,200
2016-01-29 11:30:00,7.57,7.586,7.57,7.57,1198
2016-01-29 12:30:00,7.56,7.57,7.55,7.55,1203
2016-01-29 13:30:00,7.55,7.55,7.53,7.53,300
2016-01-29 14:30:00,7.69,7.69,7.65,7.65,800
2016-01-29 15:30:00,7.73,7.9,7.73,7.9,200
2016-02-01 09:30:00,8.98,8.98,8.1696,8.1696,212
2016-02-01 10:30:00,,,,,0
2016-02-01 11:30:00,8.0,8.0952,8.0,8.0952,1116
2016-02-01 12:30:00,,,,,0
2016-02-01 13:30:00,7.87,7.898,7.87,7.898,472
2016-02-01 14:30:00,,,,,0
2016-02-01 15:30:00,8.014,8.15,7.75,7.75,3665
2016-02-02 09:30:00,,,,,0
2016-02-02 10:30:00,7.5101,7.92,7.5101,7.92,101
2016-02-02 11:30:00,7.98,7.98,7.98,7.98,100
2016-02-02 12:30:00,,,,,0
2016-02-02 13:30:00,7.98,7.99,7.98,7.99,104
2016-02-02 14:30:00,,,,,0
2016-02-02 15:30:00,,,,,0
2016-04-14 09:30:00,10.76,10.87,10.58,10.58,8548
2016-04-14 10:30:00,10.5501,10.82,10.49,10.49,1954
2016-04-14 11:30:00,10.4501,10.64,10.45,10.46,901
2016-04-14 12:30:00,10.35,10.3928,10.2389,10.3928,700
2016-04-14 13:30:00,,,,,0
2016-04-14 14:30:00,10.3995,10.4,10.025,10.025,651
2016-04-14 15:30:00,10.021,10.0215,10.02,10.02,238
2016-04-15 09:30:00,9.85,9.85,9.85,9.85,1
2016-04-15 10:30:00,10.05,10.05,9.91,9.91,300
2016-04-15 11:30:00,,,,,0
2016-04-15 12:30:00,,,,,0
2016-04-15 13:30:00,10.15,10.4,10.15,10.3077,300
2016-04-15 14:30:00,,,,,0
2016-04-15 15:30:00,10.2491,10.2491,10.2491,10.2491,100
2016-04-18 09:30:00,,,,,0
2016-04-18 10:30:00,9.955,9.955,9.955,9.955,105
2016-04-18 11:30:00,9.95,9.95,9.95,9.95,100
2016-04-18 12:30:00,,,,,0
2016-04-18 13:30:00,10.13,10.6489,10.13,10.6489,400
2016-04-18 14:30:00,10.17,10.3,10.17,10.3,300
2016-04-18 15:30:00,10.17,10.3,9.9,9.9,257
2016-04-19 09:30:00,9.25,9.25,9.25,9.25,1
2016-04-19 10:30:00,,,,,0
2016-04-19 11:30:00,,,,,0
2016-04-19 12:30:00,9.84,9.85,9.72,9.72,461
2016-04-19 13:30:00,9.751,9.751,9.751,9.751,171
2016-04-19 14:30:00,10.11,10.13,9.85,10.12,472
2016-04-19 15:30:00,10.43,10.43,10.43,10.43,100
2016-04-20 09:30:00,10.05,10.3526,10.05,10.3526,460
2016-04-20 10:30:00,,,,,0
2016-04-20 11:30:00,10.4091,10.4091,10.4091,10.4091,300
2016-04-20 12:30:00,,,,,0
2016-04-20 13:30:00,,,,,0
2016-04-20 14:30:00,10.13,10.13,9.8,9.81,1100
2016-04-20 15:30:00,,,,,0
2016-04-21 09:30:00,,,,,0
2016-04-21 10:30:00,,,,,0
2016-04-21 11:30:00,9.79,9.79,9.79,9.79,410
2016-04-21 12:30:00,,,,,0
2016-04-21 13:30:00,,,,,0
2016-04-21 14:30:00,,,,,0
2016-04-21 15:30:00,10.13,10.13,10.13,10.13,100
2016-04-22 09:30:00,,,,,0
2016-04-22 10:30:00,,,,,0
2016-04-22 11:30:00,,,,,0
2016-04-22 12:30:00,,,,,0
2016-04-22 13:30:00,,,,,0
2016-04-22 14:30:00,,,,,0
2016-04-22 15:30:00,10.2853,10.2853,10.25,10.25,300
2016-04-26 09:30:00,,,,,0
2016-04-26 10:30:00,9.9901,10.25,9.9901,10.24,862
2016-04-26 11:30:00,,,,,0
2016-04-26 12:30:00,,,,,0
2016-04-26 13:30:00,10.5,10.5,10.5,10.5,100
2016-04-26 14:30:00,,,,,0
2016-04-26 15:30:00,10.5,10.5,10.5,10.5,100
2016-07-14 09:30:00,8.8,8.8,8.525,8.525,610
2016-07-14 10:30:00,8.8,8.8,8.7,8.7,190
2016-07-14 11:30:00,8.5,8.5,8.3,8.3,600
2016-07-14 12:30:00,8.3,8.3,8.2,8.2,459
2016-07-14 13:30:00,8.1811,8.1811,8.15,8.15,708
2016-07-14 14:30:00,,,,,0
2016-07-14 15:30:00,8.1,8.14,8.1,8.14,251
2016-07-15 09:30:00,8.19,8.19,8.16,8.18,1789
2016-07-15 10:30:00,8.18,8.29,8.18,8.25,6200
2016-07-15 11:30:00,8.25,8.25,8.25,8.25,600
2016-07-15 12:30:00,8.25,8.7,8.235,8.25,5894
2016-07-15 13:30:00,8.25,8.66,8.25,8.66,6108
2016-07-15 14:30:00,8.47,8.47,8.25,8.25,4873
2016-07-15 15:30:00,8.29,8.29,8.23,8.23,900
2016-07-18 09:30:00,,,,,0
2016-07-18 10:30:00,,,,,0
2016-07-18 11:30:00,8.23,8.2301,8.23,8.23,2084
2016-07-18 12:30:00,8.23,8.23,8.23,8.23,500
2016-07-18 13:30:00,8.23,8.23,8.23,8.23,4500
2016-07-18 14:30:00,,,,,0
2016-07-18 15:30:00,8.3,8.31,8.25,8.25,346
2016-07-19 09:30:00,,,,,0
2016-07-19 10:30:00,,,,,0
2016-07-19 11:30:00,,,,,0
2016-07-19 12:30:00,8.3386,8.3386,8.3386,8.3386,300
2016-07-19 13:30:00,8.31,8.31,8.31,8.31,12
2016-07-19 14:30:00,8.395,8.395,8.395,8.395,505
2016-07-19 15:30:00,8.5,8.5,8.4,8.4,4
2016-07-20 09:30:00,,,,,0
2016-07-20 10:30:00,8.26,8.26,8.26,8.26,450
2016-07-20 11:30:00,8.23,8.23,8.23,8.23,1000
2016-07-20 12:30:00,,,,,0
2016-07-20 13:30:00,8.3685,8.3688,8.26,8.3688,637
2016-07-20 14:30:00,8.26,8.3456,8.26,8.3455,1210
2016-07-20 15:30:00,8.25,8.25,8.25,8.25,3
2016-07-21 09:30:00,8.55,8.55,8.55,8.55,500
2016-07-21 10:30:00,8.265,8.41,8.265,8.4,962
2016-07-21 11:30:00,,,,,0
2016-07-21 12:30:00,,,,,0
2016-07-21 13:30:00,8.41,8.41,8.4,8.4,469
2016-07-21 14:30:00,8.55,8.55,8.55,8.55,7
2016-07-21 15:30:00,8.54,8.54,8.31,8.31,37
2016-07-22 09:30:00,8.33,8.59,8.25,8.25,618
2016-07-22 10:30:00,,,,,0
2016-07-22 11:30:00,,,,,0
2016-07-22 12:30:00,,,,,0
2016-07-22 13:30:00,,,,,0
2016-07-22 14:30:00,,,,,0
2016-07-22 15:30:00,8.4,8.41,8.4,8.41,76
2016-07-25 09:30:00,8.45,8.45,8.45,8.45,880
2016-07-25 10:30:00,8.74,8.75,8.4,8.4,1738
2016-07-25 11:30:00,8.42,8.42,8.42,8.42,40
2016-07-25 12:30:00,8.4,8.45,8.4,8.41,781
2016-07-25 13:30:00,,,,,0
2016-07-25 14:30:00,8.73,9.0,8.73,9.0,1465
2016-07-25 15:30:00,9.04,9.04,9.0,9.04,284
2016-07-26 09:30:00,9.05,9.05,9.05,9.05,203
2016-07-26 10:30:00,9.0,9.0251,8.6202,8.6202,1222
2016-07-26 11:30:00,8.9999,8.9999,8.9999,8.9999,1000
2016-07-26 12:30:00,8.7416,8.76,8.7416,8.76,600
2016-07-26 13:30:00,8.84,8.84,8.84,8.84,200
2016-07-26 14:30:00,8.76,8.76,8.75,8.75,805
2016-07-26 15:30:00,8.6,8.6,8.58,8.58,600
2016-10-20 09:30:00,,,,,0
2016-10-20 10:30:00,,,,,0
2016-10-20 11:30:00,,,,,0
2016-10-20 12:30:00,,,,,0
2016-10-20 13:30:00,9.39,9.39,9.39,9.39,150
2016-10-20 14:30:00,,,,,0
2016-10-20 15:30:00,,,,,0
2016-10-21 09:30:00,,,,,0
2016-10-21 10:30:00,,,,,0
2016-10-21 11:30:00,,,,,0
2016-10-21 12:30:00,,,,,0
2016-10-21 13:30:00,,,,,0
2016-10-21 14:30:00,,,,,0
2016-10-21 15:30:00,9.29,9.3,9.29,9.3,578
2016-10-24 09:30:00,,,,,0
2016-10-24 10:30:00,,,,,0
2016-10-24 11:30:00,,,,,0
2016-10-24 12:30:00,,,,,0
2016-10-24 13:30:00,,,,,0
2016-10-24 14:30:00,,,,,0
2016-10-24 15:30:00,9.31,9.39,9.31,9.39,151
2016-10-25 09:30:00,,,,,0
2016-10-25 10:30:00,,,,,0
2016-10-25 11:30:00,,,,,0
2016-10-25 12:30:00,,,,,0
2016-10-25 13:30:00,,,,,0
2016-10-25 14:30:00,9.3,10.0,9.2501,10.0,2483
2016-10-25 15:30:00,10.0,10.0,9.9165,9.99,329
2016-10-26 09:30:00,9.95,10.2,9.95,10.2,1336
2016-10-26 10:30:00,10.2883,10.2883,10.0,10.0,2302
2016-10-26 11:30:00,10.0,10.01,9.92,9.92,2920
2016-10-26 12:30:00,10.0,10.0,9.99,9.99,1480
2016-10-26 13:30:00,,,,,0
2016-10-26 14:30:00,9.7906,10.0,9.7906,10.0,1130
2016-10-26 15:30:00,9.9299,10.29,9.9299,10.28,688
2016-10-27 09:30:00,10.28,10.2888,10.28,10.2888,653
2016-10-27 10:30:00,,,,,0
2016-10-27 11:30:00,,,,,0
2016-10-27 12:30:00,,,,,0
2016-10-27 13:30:00,,,,,0
2016-10-27 14:30:00,10.1368,10.1368,9.9602,9.9602,1108
2016-10-27 15:30:00,10.28,10.28,10.24,10.24,1371
2016-10-28 09:30:00,,,,,0
2016-10-28 10:30:00,,,,,0
2016-10-28 11:30:00,,,,,0
2016-10-28 12:30:00,,,,,0
2016-10-28 13:30:00,,,,,0
2016-10-28 14:30:00,,,,,0
2016-10-28 15:30:00,9.9101,10.2343,9.75,9.75,361
2016-10-31 09:30:00,,,,,0
2016-10-31 10:30:00,,,,,0
2016-10-31 11:30:00,,,,,0
2016-10-31 12:30:00,,,,,0
2016-10-31 13:30:00,10.4,10.45,10.4,10.45,111
2016-10-31 14:30:00,10.45,10.45,10.3,10.3,400
2016-10-31 15:30:00,10.105,10.35,10.105,10.35,392
2016-11-01 09:30:00,,,,,0
2016-11-01 10:30:00,,,,,0
2016-11-01 11:30:00,,,,,0
2016-11-01 12:30:00,10.2,10.2,9.95,10.2,90
2016-11-01 13:30:00,9.81,9.81,9.81,9.81,117
2016-11-01 14:30:00,,,,,0
2016-11-01 15:30:00,9.8,9.8,9.55,9.75,403
2016-12-07 09:30:00,10.2,10.4,10.0,10.0,3539
2016-12-07 10:30:00,10.0,10.0,9.6,9.65,2224
2016-12-07 11:30:00,9.6,9.6,9.55,9.55,200
2016-12-07 12:30:00,,,,,0
2016-12-07 13:30:00,,,,,0
2016-12-07 14:30:00,9.5,9.5,9.4,9.45,1720
2016-12-07 15:30:00,9.15,9.15,8.6,8.6,2678
2016-12-08 09:30:00,9.0,9.0,8.8,8.8,546
2016-12-08 10:30:00,,,,,0
2016-12-08 11:30:00,9.4,9.4,9.4,9.4,178
2016-12-08 12:30:00,,,,,0
2016-12-08 13:30:00,,,,,0
2016-12-08 14:30:00,,,,,0
2016-12-08 15:30:00,,,,,0
2016-12-09 09:30:00,8.85,8.85,8.75,8.8,172
2016-12-09 10:30:00,,,,,0
2016-12-09 11:30:00,,,,,0
2016-12-09 12:30:00,,,,,0
2016-12-09 13:30:00,8.75,8.8,8.65,8.65,2056
2016-12-09 14:30:00,8.65,9.0,8.65,8.9,2096
2016-12-09 15:30:00,9.1,9.1,8.7,8.925,832
2016-12-12 09:30:00,9.105,9.105,8.65,8.65,840
2016-12-12 10:30:00,8.5,8.5,8.5,8.5,47
2016-12-12 11:30:00,,,,,0
2016-12-12 12:30:00,9.0,9.0,9.0,9.0,1
2016-12-12 13:30:00,8.8,8.8,8.35,8.35,1350
2016-12-12 14:30:00,8.5,8.5,8.5,8.5,1
2016-12-12 15:30:00,8.85,8.85,8.85,8.85,1
2016-12-13 09:30:00,8.5,8.65,8.05,8.05,1181
2016-12-13 10:30:00,8.25,8.25,7.75,8.25,9319
2016-12-13 11:30:00,8.075,8.075,8.075,8.075,200
2016-12-13 12:30:00,8.25,8.25,8.2,8.25,2203
2016-12-13 13:30:00,8.25,8.25,8.25,8.25,500
2016-12-13 14:30:00,8.25,8.395,8.075,8.25,4322
2016-12-13 15:30:00,8.25,8.25,8.25,8.25,400
2016-12-14 09:30:00,8.25,8.25,8.25,8.25,60
2016-12-14 10:30:00,8.05,8.05,8.05,8.05,18
2016-12-14 11:30:00,,,,,0
2016-12-14 12:30:00,,,,,0
2016-12-14 13:30:00,8.245,8.7,8.24,8.7,4503
2016-12-14 14:30:00,8.5,8.5,8.5,8.5,10
2016-12-14 15:30:00,8.75,8.75,8.5,8.75,3100
2016-12-15 09:30:00,8.65,9.1,8.65,8.65,709
2016-12-15 10:30:00,8.5,8.65,8.5,8.65,211
2016-12-15 11:30:00,8.6,8.65,8.6,8.65,3764
2016-12-15 12:30:00,9.1,9.1,9.1,9.1,3
2016-12-15 13:30:00,8.9,9.1,8.7,8.7,26866
2016-12-15 14:30:00,8.7,9.1,8.7,8.75,2750
2016-12-15 15:30:00,8.75,8.8,8.4,8.4,14351
2016-12-16 09:30:00,8.1,8.65,8.05,8.15,2770
2016-12-16 10:30:00,8.0,8.0,8.0,8.0,100
2016-12-16 11:30:00,8.35,8.35,7.995,7.995,342
2016-12-16 12:30:00,8.44,8.44,8.44,8.44,1050
2016-12-16 13:30:00,8.4,8.4,8.0,8.0,907
2016-12-16 14:30:00,8.295,8.3,8.15,8.3,965
2016-12-16 15:30:00,,,,,0
2016-12-19 09:30:00,,,,,0
2016-12-19 10:30:00,,,,,0
2016-12-19 11:30:00,,,,,0
2016-12-19 12:30:00,,,,,0
2016-12-19 13:30:00,8.05,8.05,7.7,7.8,2338
2016-12-19 14:30:00,7.8,8.15,7.8,8.05,1119
2016-12-19 15:30:00,8.15,8.15,8.15,8.15,100
2016-12-20 09:30:00,8.0,8.2,7.75,8.11,2769
2016-12-20 10:30:00,8.1819,8.1819,7.85,7.85,900
2016-12-20 11:30:00,8.17,8.2,7.8,7.85,1900
2016-12-20 12:30:00,7.65,7.65,7.65,7.65,100
2016-12-20 13:30:00,8.0,8.0395,8.0,8.0395,460
2016-12-20 14:30:00,,,,,0
2016-12-20 15:30:00,,,,,0
2016-12-21 09:30:00,7.55,7.55,7.55,7.55,28
2016-12-21 10:30:00,,,,,0
2016-12-21 11:30:00,,,,,0
2016-12-21 12:30:00,,,,,0
2016-12-21 13:30:00,,,,,0
2016-12-21 14:30:00,7.7,7.945,7.4,7.85,7810
2016-12-21 15:30:00,7.85,7.9,7.75,7.75,7700
2016-12-22 09:30:00,,,,,0
2016-12-22 10:30:00,,,,,0
2016-12-22 11:30:00,7.4962,7.82,7.4962,7.82,3606
2016-12-22 12:30:00,7.6,7.6,7.6,7.6,250
2016-12-22 13:30:00,7.55,7.9,7.55,7.6,884
2016-12-22 14:30:00,7.7,7.9,7.45,7.455,3792
2016-12-22 15:30:00,,,,,0
2016-12-23 09:30:00,8.37,8.37,7.7,7.7,129
2016-12-23 10:30:00,7.6,7.75,7.5,7.75,233
2016-12-23 11:30:00,7.8,8.25,7.8,8.25,394
2016-12-23 12:30:00,8.2,8.2,7.8883,7.8883,558
2016-12-23 13:30:00,7.5,7.65,7.25,7.5,3413
2016-12-23 14:30:00,7.25,7.255,7.25,7.255,1295
2016-12-23 15:30:00,7.3874,7.3874,7.3874,7.3874,100
2016-12-27 09:30:00,7.5,7.5,7.0706,7.4,1076
2016-12-27 10:30:00,7.55,7.8,7.55,7.8,302
2016-12-27 11:30:00,,,,,0
2016-12-27 12:30:00,7.7085,7.7085,7.7085,7.7085,300
2016-12-27 13:30:00,7.8,7.8,7.45,7.45,339
2016-12-27 14:30:00,,,,,0
2016-12-27 15:30:00,7.65,7.7,7.45,7.45,122
2016-12-28 09:30:00,7.25,7.85,7.25,7.85,585
2016-12-28 10:30:00,7.5,7.5,7.5,7.5,4000
2016-12-28 11:30:00,7.45,7.45,7.4,7.45,518
2016-12-28 12:30:00,7.7205,7.7205,7.7205,7.7205,20
2016-12-28 13:30:00,7.35,7.35,7.35,7.35,200
2016-12-28 14:30:00,,,,,0
2016-12-28 15:30:00,,,,,0
2016-12-29 09:30:00,7.3,7.95,7.3,7.95,51
2016-12-29 10:30:00,,,,,0
2016-12-29 11:30:00,,,,,0
2016-12-29 12:30:00,,,,,0
2016-12-29 13:30:00,7.35,7.75,7.3,7.3,1533
2016-12-29 14:30:00,,,,,0
2016-12-29 15:30:00,,,,,0
2017-01-19 09:30:00,,,,,0
2017-01-19 10:30:00,7.5,7.5,7.5,7.5,50
2017-01-19 11:30:00,7.35,7.5,7.35,7.5,169
2017-01-19 12:30:00,,,,,0
2017-01-19 13:30:00,7.3602,7.9,7.3602,7.9,761
2017-01-19 14:30:00,,,,,0
2017-01-19 15:30:00,,,,,0
2017-01-20 09:30:00,7.35,7.9,7.35,7.9,199
2017-01-20 10:30:00,7.4,7.977,7.4,7.977,163
2017-01-20 11:30:00,,,,,0
2017-01-20 12:30:00,,,,,0
2017-01-20 13:30:00,,,,,0
2017-01-20 14:30:00,7.85,7.9,7.85,7.9,243
2017-01-20 15:30:00,,,,,0
2017-01-23 09:30:00,7.3,7.3,7.3,7.3,100
2017-01-23 10:30:00,,,,,0
2017-01-23 11:30:00,,,,,0
2017-01-23 12:30:00,,,,,0
