bar_start,open,high,low,close,volume
2016-02-01 09:30:00,24.48,24.89,20.39,24.83,5175411
2016-02-01 10:30:00,24.82,25.08,24.82,25.0,4329178
2016-02-01 11:30:00,25.0,25.0,24.91,24.96,2411832
2016-02-01 12:30:00,24.96,24.97,24.89,24.965,1817560
2016-02-01 13:30:00,24.965,25.03,24.94,24.98,2212825
2016-02-01 14:30:00,24.9824,25.0,24.96,24.98,2324075
2016-02-01 15:30:00,24.98,25.01,24.98,25.0,1968203
2016-02-02 09:30:00,24.9,24.99,24.8201,24.975,1532410
2016-02-02 10:30:00,24.9701,24.98,24.935,24.9701,1689520
2016-02-02 11:30:00,24.97,25.0,24.97,24.99,747539
2016-02-02 12:30:00,24.99,24.99,24.95,24.99,657315
2016-02-02 13:30:00,24.99,25.0,24.98,25.0,1077923
2016-02-02 14:30:00,25.0,25.0,24.975,24.985,803127
2016-02-02 15:30:00,24.98,25.03,24.98,24.98,887122
2016-02-03 09:30:00,25.0,25.35,24.98,25.005,780944
2016-02-03 10:30:00,25.0,25.04,24.975,24.98,2117673
2016-02-03 11:30:00,24.98,25.0,24.95,24.99,1320080
2016-02-03 12:30:00,24.99,25.05,24.98,25.0,675344
2016-02-03 13:30:00,24.995,25.0,24.95,24.97,894417
2016-02-03 14:30:00,24.97,24.98,24.93,24.94,2607991
2016-02-03 15:30:00,24.95,24.95,24.93,24.95,724912
2016-02-04 09:30:00,24.95,25.01,24.91,24.95,1620395
2016-02-04 10:30:00,24.95,25.0,24.94,24.97,1432011
2016-02-04 11:30:00,24.96,25.07,24.96,25.0,1475191
2016-02-04 12:30:00,24.9942,25.04,24.98,25.0,786627
2016-02-04 13:30:00,25.0,25.06,24.97,25.021,874702
2016-02-04 14:30:00,25.02,25.04,24.99,25.02,625004
2016-02-04 15:30:00,25.01,25.03,24.94,24.95,842583
2016-02-05 09:30:00,24.95,24.99,24.92,24.925,1224920
2016-02-05 10:30:00,24.93,24.96,24.913,24.945,993175
2016-02-05 11:30:00,24.945,24.95,24.91,24.93,793619
2016-02-05 12:30:00,24.93,24.95,24.925,24.95,511377
2016-02-05 13:30:00,24.95,24.96,24.93,24.95,537073
2016-02-05 14:30:00,24.945,24.96,24.94,24.95,1043435
2016-02-05 15:30:00,24.95,24.96,24.92,24.93,842078
2016-02-08 09:30:00,24.91,25.12,24.89,24.91,1322475
2016-02-08 10:30:00,24.92,24.98,24.9,24.95,845855
2016-02-08 11:30:00,24.95,24.985,24.94,24.96,700625
2016-02-08 12:30:00,24.96,25.0,24.96,24.99,306065
2016-02-08 13:30:00,24.99,24.99,24.9,24.9,515636
2016-02-08 14:30:00,24.9,24.99,24.88,24.99,722989
2016-02-08 15:30:00,24.985,25.1,24.98,25.01,795721
2016-02-09 09:30:00,24.95,25.04,24.94,24.96,683545
2016-02-09 10:30:00,24.95,24.98,24.9201,24.955,696565
2016-02-09 11:30:00,24.95,24.97,24.94,24.97,735172
2016-02-09 12:30:00,24.97,24.97,24.94,24.965,626915
2016-02-09 13:30:00,24.965,24.97,24.9,24.9,587398
2016-02-09 14:30:00,24.9,24.995,24.74,24.8,1139591
2016-02-09 15:30:00,24.79,24.91,24.78,24.91,668818
2016-02-10 09:30:00,24.91,24.97,24.86,24.945,573342
2016-02-10 10:30:00,24.95,24.97,24.9,24.94,864911
2016-02-10 11:30:00,24.93,24.97,24.9101,24.925,604750
2016-02-10 12:30:00,24.93,24.93,24.9,24.92,370993
2016-02-10 13:30:00,24.915,24.95,24.91,24.925,387548
2016-02-10 14:30:00,24.925,24.94,24.855,24.89,482772
2016-02-10 15:30:00,24.9,24.93,24.85,24.92,452496
2016-02-11 09:30:00,24.83,24.935,24.805,24.92,899957
2016-02-11 10:30:00,24.92,24.95,24.9,24.9,602262
2016-02-11 11:30:00,24.91,24.92,24.88,24.9,425838
2016-02-11 12:30:00,24.9,24.92,24.86,24.875,510003
2016-02-11 13:30:00,24.8799,24.89,24.83,24.87,371462
2016-02-11 14:30:00,24.87,24.98,24.87,24.96,991778
2016-02-11 15:30:00,24.96,24.97,24.86,24.895,492697
2016-02-12 09:30:00,24.91,24.93,24.84,24.86,727009
2016-02-12 10:30:00,24.85,24.94,24.8,24.925,658523
2016-02-12 11:30:00,24.925,24.95,24.84,24.86,359179
2016-02-12 12:30:00,24.85,24.94,24.85,24.935,223937
2016-02-12 13:30:00,24.93,24.95,24.92,24.935,267072
2016-02-12 14:30:00,24.935,24.95,24.92,24.95,339933
2016-02-12 15:30:00,24.94,24.96,24.93,24.93,200913
2016-02-16 09:30:00,24.92,24.935,24.85,24.92,712683
2016-02-16 10:30:00,24.91,24.95,24.9,24.95,542154
2016-02-16 11:30:00,24.94,24.97,24.93,24.94,331864
2016-02-16 12:30:00,24.94,24.95,24.93,24.94,223842
2016-02-16 13:30:00,24.94,24.95,24.92,24.94,251435
2016-02-16 14:30:00,24.93,24.95,24.93,24.94,243033
2016-02-16 15:30:00,24.95,24.95,24.94,24.95,259916
2016-04-25 09:30:00,25.0,25.03,24.98,25.015,208957
