bar_start,open,high,low,close,volume
2016-01-25 09:30:00,0.9699,0.9699,0.93,0.9698,2678
2016-01-25 10:30:00,0.9501,0.9501,0.9501,0.9501,600
2016-01-25 11:30:00,,,,,0
2016-01-25 12:30:00,,,,,0
2016-01-25 13:30:00,0.96,0.9649,0.96,0.9649,915
2016-01-25 14:30:00,0.9697,0.9697,0.96,0.96,3200
2016-01-25 15:30:00,,,,,0
2016-01-26 09:30:00,,,,,0
2016-01-26 10:30:00,0.9699,0.989,0.95,0.989,15183
2016-01-26 11:30:00,0.989,0.989,0.9826,0.9826,190
2016-01-26 12:30:00,0.97,0.9778,0.97,0.9778,3050
2016-01-26 13:30:00,0.989,0.989,0.9841,0.9841,290
2016-01-26 14:30:00,0.97,0.9889,0.97,0.9889,604
2016-01-26 15:30:00,0.97,0.97,0.97,0.97,4900
2016-01-27 09:30:00,0.98,0.989,0.98,0.989,21
2016-01-27 10:30:00,,,,,0
2016-01-27 11:30:00,0.9801,0.9801,0.9801,0.9801,20
2016-01-27 12:30:00,0.9887,1.07,0.98,1.0,93885
2016-01-27 13:30:00,1.0,1.02,1.0,1.0123,2158
2016-01-27 14:30:00,1.0,1.0699,0.98,1.04,72902
2016-01-27 15:30:00,1.05,1.18,1.05,1.13,47115
2016-01-28 09:30:00,1.13,1.29,1.0175,1.14,153498
2016-01-28 10:30:00,1.14,1.14,1.13,1.13,8398
2016-01-28 11:30:00,1.13,1.14,1.11,1.14,16131
2016-01-28 12:30:00,1.14,1.1539,1.13,1.15,25500
2016-01-28 13:30:00,1.14,1.14,1.13,1.13,7061
2016-01-28 14:30:00,1.13,1.14,1.13,1.14,2100
2016-01-28 15:30:00,1.14,1.14,1.13,1.14,6481
2016-01-29 09:30:00,1.07,1.07,0.92,0.9873,83202
2016-01-29 10:30:00,0.9999,1.05,0.97,1.05,22516
2016-01-29 11:30:00,1.05,1.05,1.01,1.01,4193
2016-01-29 12:30:00,1.01,1.016,1.01,1.016,2320
2016-01-29 13:30:00,1.01,1.08,1.0,1.02,4024
2016-01-29 14:30:00,1.02,1.05,1.02,1.02,2401
2016-01-29 15:30:00,1.0,1.0,0.97,0.98,9467
2016-02-01 09:30:00,0.98,1.04,0.95,0.97,35270
2016-02-01 10:30:00,0.9551,0.9551,0.9391,0.9551,1689
2016-02-01 11:30:00,0.9551,0.9551,0.9486,0.9535,2253
2016-02-01 12:30:00,0.9535,0.9535,0.9535,0.9535,110
2016-02-01 13:30:00,0.9501,0.9697,0.9501,0.9696,512
2016-02-01 14:30:00,0.9697,0.991,0.9697,0.98,1400
2016-02-01 15:30:00,,,,,0
2016-02-02 09:30:00,,,,,0
2016-02-02 10:30:00,0.96,0.96,0.9201,0.9301,7586
2016-02-02 11:30:00,0.9301,0.96,0.93,0.93,1252
2016-02-02 12:30:00,0.9599,0.96,0.93,0.9599,137
2016-02-02 13:30:00,0.93,0.95,0.93,0.95,884
2016-02-02 14:30:00,0.9403,0.945,0.93,0.945,5084
2016-02-02 15:30:00,0.945,0.945,0.93,0.93,2058
2016-02-03 09:30:00,0.9301,0.9301,0.93,0.93,6399
2016-02-03 10:30:00,0.91,0.93,0.9001,0.91,830
2016-02-03 11:30:00,0.91,0.9397,0.91,0.91,7736
2016-02-03 12:30:00,0.91,0.9398,0.9001,0.92,15505
2016-02-03 13:30:00,0.92,0.92,0.908,0.9197,8501
2016-02-03 14:30:00,0.914,0.92,0.908,0.92,6300
2016-02-03 15:30:00,0.93,0.93,0.91,0.91,883
2016-02-04 09:30:00,0.96,0.98,0.94,0.98,1201
2016-02-04 10:30:00,0.9401,0.98,0.9401,0.9401,193
2016-02-04 11:30:00,,,,,0
2016-02-04 12:30:00,0.97,1.01,0.97,1.01,110
2016-02-04 13:30:00,1.02,1.02,1.0,1.005,305
2016-02-04 14:30:00,0.9632,0.9829,0.931,0.9829,6841
2016-02-04 15:30:00,0.96,0.9829,0.93,0.93,775
2016-04-22 09:30:00,1.054,1.06,1.05,1.06,2903
2016-04-22 10:30:00,,,,,0
2016-04-22 11:30:00,1.08,1.08,1.08,1.08,179
2016-04-22 12:30:00,1.06,1.06,1.05,1.06,3840
2016-04-22 13:30:00,,,,,0
2016-04-22 14:30:00,,,,,0
2016-04-22 15:30:00,1.05,1.06,1.05,1.06,613
2016-04-25 09:30:00,1.0748,1.0748,1.0748,1.0748,120
2016-04-25 10:30:00,1.066,1.066,1.06,1.06,10000
2016-04-25 11:30:00,,,,,0
2016-04-25 12:30:00,1.06,1.06,1.05,1.05,3532
2016-04-25 13:30:00,1.04,1.04,1.04,1.04,5
2016-04-25 14:30:00,,,,,0
2016-04-25 15:30:00,1.05,1.05,1.05,1.05,26
2016-04-26 09:30:00,1.0401,1.0401,1.0401,1.0401,743
2016-04-26 10:30:00,1.07,1.07,1.04,1.04,3200
2016-04-26 11:30:00,1.04,1.0796,1.03,1.0796,5400
2016-04-26 12:30:00,1.05,1.25,1.05,1.18,111507
2016-04-26 13:30:00,1.18,1.1999,1.15,1.15,27279
2016-04-26 14:30:00,1.15,1.15,1.11,1.12,14700
2016-04-26 15:30:00,1.12,1.14,1.11,1.12,6651
2016-04-27 09:30:00,1.24,1.2499,1.17,1.17,28274
2016-04-27 10:30:00,1.17,1.17,1.13,1.1444,5055
2016-04-27 11:30:00,1.14,1.14,1.13,1.13,247
2016-04-27 12:30:00,1.14,1.14,1.13,1.13,105
2016-04-27 13:30:00,1.13,1.14,1.13,1.14,260
2016-04-27 14:30:00,1.14,1.17,1.12,1.12,666
2016-04-27 15:30:00,1.15,1.1699,1.13,1.13,1966
2016-04-28 09:30:00,1.12,1.1525,1.09,1.1525,11234
2016-04-28 10:30:00,,,,,0
2016-04-28 11:30:00,1.17,1.17,1.17,1.17,1900
2016-04-28 12:30:00,1.16,1.19,1.1501,1.1501,1154
2016-04-28 13:30:00,1.15,1.1501,1.15,1.1501,1200
2016-04-28 14:30:00,1.18,1.18,1.1501,1.1501,1920
2016-04-28 15:30:00,1.15,1.152,1.11,1.15,5300
2016-04-29 09:30:00,1.111,1.111,1.111,1.111,2
2016-04-29 10:30:00,1.1101,1.12,1.1101,1.12,203
2016-04-29 11:30:00,1.11,1.1101,1.11,1.1101,3525
2016-04-29 12:30:00,,,,,0
2016-04-29 13:30:00,1.11,1.11,1.09,1.11,1550
2016-04-29 14:30:00,1.1115,1.149,1.1115,1.149,367
2016-04-29 15:30:00,1.1301,1.16,1.1301,1.1499,5875
2016-05-02 09:30:00,1.17,1.17,1.17,1.17,1170
2016-05-02 10:30:00,1.11,1.169,1.11,1.164,812
2016-05-02 11:30:00,,,,,0
2016-05-02 12:30:00,1.1295,1.16,1.11,1.16,406
2016-05-02 13:30:00,1.11,1.1305,1.11,1.1305,289
2016-05-02 14:30:00,1.12,1.19,1.11,1.19,2185
2016-05-02 15:30:00,1.1101,1.19,1.1101,1.1899,630
2016-05-03 09:30:00,1.14,1.24,1.14,1.14,2761
2016-05-03 10:30:00,1.1415,1.15,1.14,1.15,3229
2016-05-03 11:30:00,1.15,1.15,1.14,1.14,1300
2016-05-03 12:30:00,1.14,1.16,1.12,1.15,10079
2016-05-03 13:30:00,1.16,1.17,1.1201,1.1201,1991
2016-05-03 14:30:00,1.165,1.17,1.16,1.16,827
2016-05-03 15:30:00,1.1275,1.15,1.12,1.14,3200
2016-05-04 09:30:00,1.15,1.16,1.11,1.14,7305
2016-05-04 10:30:00,1.1399,1.15,1.1,1.15,18226
2016-05-04 11:30:00,1.15,1.15,1.15,1.15,200
2016-05-04 12:30:00,1.15,1.15,1.14,1.14,3700
2016-05-04 13:30:00,1.15,1.15,1.125,1.125,200
2016-05-04 14:30:00,1.11,1.13,1.11,1.125,410
2016-05-04 15:30:00,1.16,1.16,1.1,1.14,4611
2016-07-22 09:30:00,1.02,1.09,0.952,1.04,23326
2016-07-22 10:30:00,1.07,1.0778,1.02,1.0778,1881
2016-07-22 11:30:00,1.03,1.09,0.962,0.962,15272
2016-07-22 12:30:00,0.965,1.02,0.965,1.02,601
2016-07-22 13:30:00,1.02,1.02,1.02,1.02,400
2016-07-22 14:30:00,1.02,1.04,0.99,0.99,3600
2016-07-22 15:30:00,1.02,1.02,0.99,1.0,4676
2016-07-25 09:30:00,1.0,1.0,1.0,1.0,1098
2016-07-25 10:30:00,0.96,0.97,0.95,0.95,1380
2016-07-25 11:30:00,0.9523,1.0084,0.95,1.0084,1271
2016-07-25 12:30:00,0.95,0.95,0.95,0.95,1
2016-07-25 13:30:00,0.95,0.9501,0.95,0.9501,100
2016-07-25 14:30:00,,,,,0
2016-07-25 15:30:00,,,,,0
2016-07-26 09:30:00,0.99,0.99,0.95,0.95,4304
2016-07-26 10:30:00,0.91,0.91,0.9,0.9,4367
2016-07-26 11:30:00,0.9046,0.9049,0.8601,0.8601,20201
2016-07-26 12:30:00,0.8603,0.87,0.8603,0.87,525
2016-07-26 13:30:00,0.8701,0.9,0.8701,0.9,1991
2016-07-26 14:30:00,0.9,0.9,0.9,0.9,500
2016-07-26 15:30:00,0.9,0.9335,0.9,0.91,1709
2016-07-27 09:30:00,0.9397,0.99,0.91,0.91,102
2016-07-27 10:30:00,0.97,0.97,0.97,0.97,100
2016-07-27 11:30:00,0.97,0.97,0.91,0.91,1000
2016-07-27 12:30:00,0.929,0.929,0.903,0.903,914
2016-07-27 13:30:00,0.9555,0.9555,0.87,0.87,21491
2016-07-27 14:30:00,0.89,0.89,0.87,0.8701,7301
2016-07-27 15:30:00,0.89,0.89,0.87,0.88,3012
2016-07-28 09:30:00,0.92,0.94,0.8801,0.8801,6206
2016-07-28 10:30:00,0.8801,0.8904,0.8701,0.8904,1000
2016-07-28 11:30:00,0.88,0.88,0.88,0.88,100
2016-07-28 12:30:00,0.9004,0.9004,0.9004,0.9004,100
2016-07-28 13:30:00,,,,,0
2016-07-28 14:30:00,0.8811,0.8811,0.88,0.88,2100
2016-07-28 15:30:00,0.88,0.9299,0.88,0.89,2547
2016-07-29 09:30:00,,,,,0
2016-07-29 10:30:00,0.87,0.9499,0.87,0.9499,79
2016-07-29 11:30:00,,,,,0
2016-07-29 12:30:00,,,,,0
2016-07-29 13:30:00,,,,,0
2016-07-29 14:30:00,0.9345,0.9345,0.88,0.88,90
