bar_start,open,high,low,close,volume
2018-07-24 09:30:00,5.11,35.54,4.96,35.24,20374
2018-07-24 10:30:00,35.24,35.65,5.32,35.3,39810
2018-07-24 11:30:00,35.34,35.34,5.4,35.12,11056
2018-07-24 12:30:00,35.23,35.54,34.99,35.16,9539
2018-07-24 13:30:00,35.33,35.33,34.9,35.05,5877
2018-07-24 14:30:00,35.03,35.239,5.21,34.88,16926
2018-07-24 15:30:00,34.85,35.27,5.21,35.27,21978
2018-07-25 09:30:00,35.36,35.55,5.61,35.11,4259
2018-07-25 10:30:00,35.03,35.27,34.65,34.845,7313
2018-07-25 11:30:00,34.93,35.45,5.48,35.33,9315
2018-07-25 12:30:00,35.42,35.57,5.4,35.53,10625
2018-07-25 13:30:00,35.35,35.35,35.04,35.32,3066
2018-07-25 14:30:00,35.35,35.61,5.0101,35.1,7112
2018-07-25 15:30:00,35.03,35.6,34.96,35.39,17320
2018-07-26 09:30:00,5.05,35.65,5.01,34.95,3295
2018-07-26 10:30:00,34.97,35.65,34.97,35.63,14273
2018-07-26 11:30:00,35.64,35.65,35.38,35.38,2323
2018-07-26 12:30:00,35.34,35.3905,5.4759,5.4759,10862
2018-07-26 13:30:00,35.51,35.6,35.15,35.39,3694
2018-07-26 14:30:00,35.47,35.64,5.6,35.23,14096
2018-07-26 15:30:00,35.36,35.58,35.24,35.41,11108
2018-07-27 09:30:00,34.91,35.51,34.65,34.94,4255
2018-07-27 10:30:00,5.4,34.78,5.37,34.27,3239
2018-07-27 11:30:00,34.35,34.47,34.3,34.45,2602
2018-07-27 12:30:00,34.32,34.435,5.03,34.315,7859
2018-07-27 13:30:00,5.94,34.47,5.7,34.27,9381
2018-07-27 14:30:00,34.12,34.26,5.0101,34.2,7453
2018-07-27 15:30:00,34.26,34.45,34.15,34.27,17193
2018-07-30 09:30:00,5.11,35.41,5.11,34.7801,6865
2018-07-30 10:30:00,34.81,35.65,5.25,35.37,9638
2018-07-30 11:30:00,35.28,35.71,35.22,35.55,13765
2018-07-30 12:30:00,35.57,36.65,5.94,6.0421,43988
2018-07-30 13:30:00,36.58,36.64,6.01,36.45,26913
2018-07-30 14:30:00,36.535,36.65,5.91,6.253,11897
2018-07-30 15:30:00,36.57,36.99,6.2,36.91,20794
2018-07-31 09:30:00,36.65,37.08,5.77,36.2,22965
2018-07-31 10:30:00,36.2,36.99,6.03,36.99,10776
2018-07-31 11:30:00,36.82,37.22,6.11,36.6,13640
2018-07-31 12:30:00,6.0,37.04,6.0,36.6,10023
2018-07-31 13:30:00,36.895,37.17,36.32,37.17,15752
2018-07-31 14:30:00,37.17,37.27,6.05,37.08,14870
2018-07-31 15:30:00,37.08,37.34,6.1,37.05,38491
2018-08-01 09:30:00,36.45,37.15,5.61,36.25,1623
2018-08-01 10:30:00,36.67,37.0,5.84,36.96,9062
2018-08-01 11:30:00,36.84,36.94,5.91,36.55,4861
2018-08-01 12:30:00,36.62,37.2,36.47,36.95,3801
2018-08-01 13:30:00,36.97,37.15,5.93,36.75,6767
2018-08-01 14:30:00,36.75,36.9,6.07,36.8,5016
2018-08-01 15:30:00,36.8,37.03,6.01,36.78,9599
2018-10-23 09:30:00,28.83,29.54,3.09,28.79,17016
2018-10-23 10:30:00,28.75,29.1399,3.21,29.01,9767
