bar_start,open,high,low,close,volume
2016-01-26 09:30:00,124.0,124.0,120.0,122.31,754
2016-01-26 10:30:00,122.98,124.0,121.31,123.3347,1260
2016-01-26 11:30:00,125.0,126.9999,123.541,125.1054,903
2016-01-26 12:30:00,123.54,126.0,123.54,124.7501,356
2016-01-26 13:30:00,125.23,125.99,123.0,123.0,589
2016-01-26 14:30:00,125.16,125.16,122.66,123.89,537
2016-01-26 15:30:00,123.8,124.52,123.0,123.05,720
2016-01-27 09:30:00,120.0,123.9999,120.0,123.9999,109
2016-01-27 10:30:00,123.9999,124.0,123.9999,123.9999,69
2016-01-27 11:30:00,122.0825,123.5,120.0,121.3099,2042
2016-01-27 12:30:00,121.08,123.036,118.82,122.24,1821
2016-01-27 13:30:00,122.0,122.0,120.0001,121.0,1964
2016-01-27 14:30:00,121.01,121.01,120.94,121.01,702
2016-01-27 15:30:00,121.803,121.803,121.61,121.74,68
2016-01-28 09:30:00,123.43,123.43,123.43,123.43,331
2016-01-28 10:30:00,123.01,126.0,121.0,121.0,2724
2016-01-28 11:30:00,123.0,123.5,122.0025,123.5,482
2016-01-28 12:30:00,122.0001,122.51,121.0,122.0,1541
2016-01-28 13:30:00,121.255,122.85,116.66,121.25,1810
2016-01-28 14:30:00,121.25,123.385,121.0,123.0361,1155
2016-01-28 15:30:00,121.2795,125.21,121.26,124.33,341
2016-01-29 09:30:00,124.08,125.99,121.64,122.02,3684
2016-01-29 10:30:00,121.315,124.149,120.66,120.66,440
2016-01-29 11:30:00,121.635,122.53,120.5,121.0101,6477
2016-01-29 12:30:00,121.5097,121.575,120.5,121.57,1254
2016-01-29 13:30:00,121.57,122.8699,117.9201,121.06,2178
2016-01-29 14:30:00,121.59,121.91,120.93,121.9,2500
2016-01-29 15:30:00,121.9,123.8,121.02,121.09,895
2016-02-01 09:30:00,120.0,120.0,119.08,119.08,60
2016-02-01 10:30:00,116.2301,123.0,116.2301,120.01,174
2016-02-01 11:30:00,120.0101,122.2226,120.0101,120.0201,410
2016-02-01 12:30:00,120.0201,123.16,120.0201,123.16,148
2016-02-01 13:30:00,122.77,123.24,121.0,122.4,77
