bar_start,open,high,low,close,volume
2016-01-21 09:30:00,5.16,5.31,5.11,5.28,63585
2016-01-21 10:30:00,5.28,5.31,5.21,5.21,16876
2016-01-21 11:30:00,5.22,5.36,5.22,5.345,20869
2016-01-21 12:30:00,5.35,5.35,5.2797,5.3,28046
2016-01-21 13:30:00,5.29,5.31,5.26,5.278,37288
2016-01-21 14:30:00,5.2738,5.32,5.24,5.28,43855
2016-01-21 15:30:00,5.29,5.3,5.25,5.26,79256
2016-01-22 09:30:00,5.35,5.4719,5.26,5.43,42997
2016-01-22 10:30:00,5.44,5.47,5.35,5.36,32558
2016-01-22 11:30:00,5.38,5.44,5.37,5.4299,28222
2016-01-22 12:30:00,5.42,5.495,5.415,5.425,50191
2016-01-22 13:30:00,5.42,5.505,5.415,5.46,40752
2016-01-22 14:30:00,5.45,5.5,5.425,5.5,33259
2016-01-22 15:30:00,5.49,5.53,5.48,5.53,85941
2016-01-25 09:30:00,5.48,5.54,5.42,5.505,26741
2016-01-25 10:30:00,5.51,5.52,5.41,5.44,23466
2016-01-25 11:30:00,5.43,5.44,5.36,5.385,18124
2016-01-25 12:30:00,5.385,5.45,5.38,5.4491,22182
2016-01-25 13:30:00,5.44,5.44,5.38,5.3908,21867
2016-01-25 14:30:00,5.41,5.46,5.38,5.42,57631
2016-01-25 15:30:00,5.43,5.432,5.37,5.38,60515
2016-01-26 09:30:00,5.44,5.64,5.42,5.497,25067
2016-01-26 10:30:00,5.5,5.51,5.45,5.49,14317
2016-01-26 11:30:00,5.49,5.6,5.48,5.6,15143
2016-01-26 12:30:00,5.6,5.61,5.56,5.58,34011
2016-01-26 13:30:00,5.59,5.63,5.54,5.54,25366
2016-01-26 14:30:00,5.545,5.59,5.535,5.55,30873
2016-01-26 15:30:00,5.54,5.61,5.53,5.6,52437
2016-01-27 09:30:00,5.55,5.61,5.49,5.5198,22800
2016-01-27 10:30:00,5.51,5.55,5.47,5.505,14969
2016-01-27 11:30:00,5.5,5.57,5.49,5.5,16560
2016-01-27 12:30:00,5.5,5.5114,5.45,5.46,26744
2016-01-27 13:30:00,5.46,5.49,5.4,5.42,37306
2016-01-27 14:30:00,5.41,5.42,5.28,5.31,61290
2016-01-27 15:30:00,5.3,5.33,5.25,5.295,182119
2016-01-28 09:30:00,5.35,5.55,5.35,5.39,30786
2016-01-28 10:30:00,5.39,5.47,5.36,5.44,24975
2016-01-28 11:30:00,5.43,5.43,5.32,5.33,29216
2016-01-28 12:30:00,5.31,5.43,5.31,5.38,32520
2016-01-28 13:30:00,5.385,5.45,5.38,5.41,765626
2016-01-28 14:30:00,5.42,5.45,5.4,5.42,57097
2016-01-28 15:30:00,5.42,5.435,5.375,5.41,61680
2016-01-29 09:30:00,5.45,5.75,5.4,5.61,41819
2016-01-29 10:30:00,5.61,5.685,5.61,5.67,42029
2016-01-29 11:30:00,5.67,5.68,5.62,5.655,46985
2016-01-29 12:30:00,5.65,5.705,5.65,5.7,37900
2016-01-29 13:30:00,5.69,5.73,5.655,5.716,29808
2016-01-29 14:30:00,5.73,5.79,5.7,5.79,49057
2016-01-29 15:30:00,5.79,5.83,5.76,5.83,138216
2016-02-01 09:30:00,5.76,5.76,5.62,5.69,18668
2016-02-01 10:30:00,5.6977,5.71,5.63,5.63,18414
2016-02-01 11:30:00,5.64,5.66,5.6,5.61,18310
2016-02-01 12:30:00,5.6,5.625,5.56,5.61,28327
2016-02-01 13:30:00,5.61,5.61,5.56,5.565,48597
2016-02-01 14:30:00,5.57,5.6,5.53,5.595,79454
2016-02-01 15:30:00,5.595,5.6,5.55,5.55,96172
2016-02-02 09:30:00,5.48,5.7,5.4,5.45,29897
2016-02-02 10:30:00,5.45,5.49,5.43,5.46,12108
2016-02-02 11:30:00,5.46,5.47,5.34,5.41,53655
2016-02-02 12:30:00,5.41,5.46,5.4,5.455,22882
2016-02-02 13:30:00,5.44,5.44,5.395,5.42,36914
2016-02-02 14:30:00,5.415,5.46,5.41,5.45,41567
2016-02-02 15:30:00,5.46,5.51,5.45,5.5,62234
2016-04-14 09:30:00,7.01,7.12,6.91,6.99,46382
2016-04-14 10:30:00,6.99,6.99,6.88,6.97,20567
2016-04-14 11:30:00,6.97,7.01,6.94,6.972,18140
2016-04-14 12:30:00,6.97,7.0,6.96,7.0,22944
2016-04-14 13:30:00,7.0,7.02,6.98,7.01,31837
2016-04-14 14:30:00,7.02,7.05,6.96,6.96,112161
2016-04-14 15:30:00,6.9625,6.985,6.9,6.92,126270
2016-04-15 09:30:00,6.93,6.95,6.8,6.8557,65925
2016-04-15 10:30:00,6.86,6.91,6.82,6.89,23914
2016-04-15 11:30:00,6.9035,6.93,6.86,6.89,16341
2016-04-15 12:30:00,6.9,6.9,6.84,6.84,8874
2016-04-15 13:30:00,6.85,6.88,6.84,6.879,10020
2016-04-15 14:30:00,6.88,6.89,6.86,6.89,11438
2016-04-15 15:30:00,6.8801,6.9,6.84,6.84,75910
2016-04-18 09:30:00,6.84,6.84,6.72,6.74,46720
2016-04-18 10:30:00,6.735,6.75,6.67,6.7,75612
2016-04-18 11:30:00,6.6901,6.78,6.6901,6.73,38555
2016-04-18 12:30:00,6.73,6.7505,6.72,6.75,38632
2016-04-18 13:30:00,6.75,6.75,6.72,6.75,27555
2016-04-18 14:30:00,6.75,6.75,6.73,6.75,31739
2016-04-18 15:30:00,6.745,6.81,6.745,6.785,67938
2016-04-19 09:30:00,6.81,6.96,6.74,6.9,40690
2016-04-19 10:30:00,6.9,6.95,6.89,6.92,30662
2016-04-19 11:30:00,6.93,6.96,6.83,6.85,19514
2016-04-19 12:30:00,6.85,6.88,6.84,6.84,12178
2016-04-19 13:30:00,6.84,6.85,6.8,6.83,16451
2016-04-19 14:30:00,6.84,6.85,6.805,6.82,76217
2016-04-19 15:30:00,6.82,6.835,6.785,6.8,103098
2016-04-20 09:30:00,6.81,6.82,6.73,6.78,19239
2016-04-20 10:30:00,6.79,6.82,6.77,6.79,26899
2016-04-20 11:30:00,6.78,6.78,6.7425,6.78,23230
