bar_start,open,high,low,close,volume
2016-01-26 09:30:00,54.1,54.49,53.4,54.28,7795302
2016-01-26 10:30:00,54.28,54.74,54.03,54.6699,3741731
2016-01-26 11:30:00,54.66,55.14,54.3799,55.0699,2915572
2016-01-26 12:30:00,55.0628,55.22,54.81,55.085,2409134
2016-01-26 13:30:00,55.09,55.13,54.7,54.77,2112754
2016-01-26 14:30:00,54.77,54.97,54.5444,54.78,2692565
2016-01-26 15:30:00,54.79,55.2,54.6,55.17,2926359
2016-01-27 09:30:00,54.8,55.3,54.2,54.62,6082506
2016-01-27 10:30:00,54.62,55.53,54.505,55.43,7274233
2016-01-27 11:30:00,55.44,56.25,55.43,55.97,4460237
2016-01-27 12:30:00,55.98,56.13,55.5901,55.66,3020967
2016-01-27 13:30:00,55.6651,56.42,55.16,55.73,5193835
2016-01-27 14:30:00,55.73,55.78,54.295,54.6,6814902
2016-01-27 15:30:00,54.6,55.2499,54.59,54.87,3048870
2016-01-28 09:30:00,56.97,57.19,55.67,55.69,13282129
2016-01-28 10:30:00,55.67,56.6,55.43,56.13,6249168
2016-01-28 11:30:00,56.14,56.51,55.7,56.46,4063807
2016-01-28 12:30:00,56.47,56.64,56.16,56.45,3927100
2016-01-28 13:30:00,56.43,56.58,56.19,56.4,2980539
2016-01-28 14:30:00,56.4,56.62,56.18,56.31,3489762
2016-01-28 15:30:00,56.31,56.68,56.29,56.61,2830386
2016-01-29 09:30:00,56.66,57.6,56.49,56.98,8470813
2016-01-29 10:30:00,56.99,57.375,56.74,56.92,3919154
2016-01-29 11:30:00,56.92,57.34,56.52,57.31,5943490
2016-01-29 12:30:00,57.32,57.68,57.2201,57.61,2421754
2016-01-29 13:30:00,57.61,57.73,57.38,57.69,2605264
2016-01-29 14:30:00,57.6899,58.04,57.64,58.0348,2647175
2016-01-29 15:30:00,58.03,58.27,57.935,58.23,4362179
2016-02-01 09:30:00,57.24,57.38,56.53,56.775,7947413
2016-02-01 10:30:00,56.77,57.06,56.65,56.82,3729351
2016-02-01 11:30:00,56.82,56.94,56.49,56.6,2548250
2016-02-01 12:30:00,56.59,56.6457,56.39,56.62,1908734
2016-02-01 13:30:00,56.62,57.08,56.485,57.04,3336440
2016-02-01 14:30:00,57.03,57.515,56.99,57.49,2807359
2016-02-01 15:30:00,57.49,57.67,56.828,57.2,4248625
2016-02-02 09:30:00,55.9,55.93,55.28,55.4775,6797938
2016-02-02 10:30:00,55.48,56.046,55.34,55.9,4146653
2016-02-02 11:30:00,55.9,56.095,55.515,55.78,2309266
2016-02-02 12:30:00,55.79,55.79,55.485,55.71,1691395
2016-02-02 13:30:00,55.71,55.719,55.26,55.29,2127237
2016-02-02 14:30:00,55.3,55.45,55.045,55.165,4394378
2016-02-02 15:30:00,55.165,55.4505,55.1197,55.3,2975550
2016-02-03 09:30:00,56.125,56.22,54.6,54.605,5090768
2016-02-03 10:30:00,54.61,56.23,54.11,56.08,8651340
2016-02-03 11:30:00,56.088,56.31,55.69,55.92,5198895
2016-02-03 12:30:00,55.93,56.29,55.6,55.93,2311848
2016-02-03 13:30:00,55.939,56.71,55.68,56.56,3831397
2016-02-03 14:30:00,56.55,57.24,56.4,56.7708,5358684
2016-02-03 15:30:00,56.78,57.35,56.66,57.33,4032569
2016-02-04 09:30:00,57.42,58.26,57.1,58.21,11276895
2016-02-04 10:30:00,58.21,58.5,57.36,57.52,6681473
2016-02-04 11:30:00,57.52,57.9,56.9995,57.55,4525919
2016-02-04 12:30:00,57.55,57.99,57.38,57.52,2598683
2016-02-04 13:30:00,57.52,57.81,57.16,57.18,3279720
2016-02-04 14:30:00,57.19,57.4,57.05,57.14,4391953
2016-02-04 15:30:00,57.15,57.33,57.06,57.28,3741553
2016-02-05 09:30:00,56.5,56.71,55.74,56.19,10225520
2016-02-05 10:30:00,56.18,56.75,56.03,56.31,4272955
2016-02-05 11:30:00,56.3,56.42,56.06,56.22,2275213
2016-02-05 12:30:00,56.21,56.3,55.91,55.985,2860858
2016-02-05 13:30:00,55.99,55.99,55.55,55.55,2818715
2016-02-05 14:30:00,55.56,55.95,55.46,55.92,3105070
2016-02-05 15:30:00,55.926,55.97,55.73,55.94,3500281
2016-02-08 09:30:00,54.83,54.89,54.0,54.29,9074557
2016-02-08 10:30:00,54.28,55.18,54.2599,55.09,4401094
2016-02-08 11:30:00,55.09,55.28,54.9,55.18,6567484
2016-02-08 12:30:00,55.185,55.22,54.76,54.89,3435094
2016-02-08 13:30:00,54.895,55.1,54.7,54.9574,1911807
2016-02-08 14:30:00,54.96,55.64,54.7799,55.51,4361155
2016-02-08 15:30:00,55.505,56.0,55.48,55.67,4559306
2016-02-09 09:30:00,54.82,55.49,54.65,55.22,7428875
2016-02-09 10:30:00,55.225,55.23,54.62,54.78,4539472
2016-02-09 11:30:00,54.78,54.9036,53.94,54.03,3464404
2016-02-09 12:30:00,54.0265,54.14,53.47,53.74,3191500
2016-02-09 13:30:00,53.745,54.08,53.44,53.81,3212796
2016-02-09 14:30:00,53.81,54.89,53.795,54.14,6971442
2016-02-09 15:30:00,54.14,54.57,54.13,54.32,4316996
2016-02-10 09:30:00,54.15,54.63,53.51,54.26,5846003
2016-02-10 10:30:00,54.27,55.32,53.79,54.42,9364403
2016-02-10 11:30:00,54.41,54.81,54.03,54.69,3260567
2016-02-10 12:30:00,54.695,55.02,54.49,54.55,2711310
2016-02-10 13:30:00,54.56,54.68,54.31,54.4,1590000
2016-02-10 14:30:00,54.3901,54.59,54.21,54.24,3410059
2016-02-10 15:30:00,54.24,54.37,54.05,54.11,2790506
2016-02-11 09:30:00,53.15,54.0699,52.76,53.25,6118521
2016-02-11 10:30:00,53.26,53.33,52.66,52.75,3632318
2016-02-11 11:30:00,52.7428,53.17,52.62,52.79,3972774
2016-02-11 12:30:00,52.79,53.06,52.638,52.81,2632273
2016-02-11 13:30:00,52.81,52.98,52.4,52.45,3299924
2016-02-11 14:30:00,52.44,54.1,52.37,53.57,18650661
2016-02-11 15:30:00,53.5699,54.27,53.5101,53.86,7121411
2016-02-12 09:30:00,54.6,54.91,54.11,54.45,7648681
2016-02-12 10:30:00,54.46,55.31,54.46,55.2899,4050874
2016-02-12 11:30:00,55.29,55.55,55.1439,55.21,3273012
2016-02-12 12:30:00,55.21,55.33,54.67,54.87,2898830
2016-02-12 13:30:00,54.87,55.15,54.74,55.05,2173751
2016-02-12 14:30:00,55.055,55.345,54.99,55.29,2254426
2016-02-12 15:30:00,55.29,55.305,55.06,55.3,2833910
2016-02-16 09:30:00,56.21,56.38,55.33,55.53,9019241
2016-02-16 10:30:00,55.53,55.6631,55.02,55.09,9877524
2016-02-16 11:30:00,55.09,55.7,55.08,55.43,4283601
2016-02-16 12:30:00,55.42,55.69,55.2867,55.6061,1991975
2016-02-16 13:30:00,55.61,55.79,55.5431,55.75,2340139
2016-02-16 14:30:00,55.75,55.87,55.6721,55.8,2617999
2016-02-16 15:30:00,55.81,55.87,55.63,55.84,2099260
2016-04-25 09:30:00,66.81,66.86,66.11,66.13,4085450
2016-04-25 10:30:00,66.1201,66.3111,65.9301,66.31,1845277
2016-04-25 11:30:00,66.3,66.36,65.84,66.05,1841403
2016-04-25 12:30:00,66.05,66.33,65.99,66.0299,1241156
2016-04-25 13:30:00,66.03,66.1,65.8301,65.92,1046160
2016-04-25 14:30:00,65.92,66.09,65.79,66.08,1710614
2016-04-25 15:30:00,66.07,66.32,66.05,66.28,3018457
