bar_start,open,high,low,close,volume
2016-01-26 09:30:00,74.77,75.894,74.25,75.45,3841953
2016-01-26 10:30:00,75.455,75.763,75.26,75.58,2077042
2016-01-26 11:30:00,75.58,76.625,75.32,76.48,2378507
2016-01-26 12:30:00,76.48,76.62,76.05,76.4075,1497812
2016-01-26 13:30:00,76.4049,76.4749,75.835,75.97,1600624
2016-01-26 14:30:00,75.97,76.16,75.69,76.01,1758785
2016-01-26 15:30:00,76.02,76.77,75.742,76.6968,2646929
2016-01-27 09:30:00,76.0,76.38,75.28,75.5375,2736823
2016-01-27 10:30:00,75.54,76.4566,75.45,76.37,2081569
2016-01-27 11:30:00,76.38,77.4699,76.365,77.11,2087896
2016-01-27 12:30:00,77.1,77.37,76.5827,76.5867,2000520
2016-01-27 13:30:00,76.59,77.22,75.73,76.52,2085647
2016-01-27 14:30:00,76.52,76.59,74.72,75.04,2939006
2016-01-27 15:30:00,75.04,76.1863,75.025,75.29,2629807
2016-01-28 09:30:00,77.35,77.67,75.29,76.04,4413918
2016-01-28 10:30:00,76.03,76.63,75.62,76.14,2226980
2016-01-28 11:30:00,76.14,76.63,75.6674,76.52,1648602
2016-01-28 12:30:00,76.54,76.78,76.36,76.65,1330595
2016-01-28 13:30:00,76.64,77.02,76.5287,76.97,1385966
2016-01-28 14:30:00,76.9621,77.1,76.69,76.75,1748916
2016-01-28 15:30:00,76.75,77.09,76.6644,76.96,2079207
2016-01-29 09:30:00,76.73,77.47,76.2577,76.7269,3986937
2016-01-29 10:30:00,76.72,76.88,76.34,76.56,2881164
2016-01-29 11:30:00,76.55,76.89,76.25,76.86,2555768
2016-01-29 12:30:00,76.87,77.2,76.82,77.15,1500050
2016-01-29 13:30:00,77.16,77.345,76.955,77.04,2333139
2016-01-29 14:30:00,77.05,77.12,76.86,77.1,2472751
2016-01-29 15:30:00,77.095,77.81,77.07,77.58,3959858
2016-02-01 09:30:00,76.66,76.79,75.4398,75.69,3237966
2016-02-01 10:30:00,75.68,77.85,75.65,75.88,2604608
2016-02-01 11:30:00,75.9,76.02,75.71,75.84,1613186
2016-02-01 12:30:00,75.83,75.91,75.51,75.795,1502546
2016-02-01 13:30:00,75.795,76.23,75.69,76.1502,1736572
2016-02-01 14:30:00,76.15,76.74,76.07,76.67,1942596
2016-02-01 15:30:00,76.67,76.73,76.0144,76.27,2432364
2016-02-02 09:30:00,74.19,75.6299,73.81,74.06,5707077
2016-02-02 10:30:00,74.05,74.45,73.55,74.31,3462830
2016-02-02 11:30:00,74.31,74.65,74.05,74.5879,2245731
2016-02-02 12:30:00,74.58,74.58,73.98,74.53,1623323
2016-02-02 13:30:00,74.533,74.63,74.2,74.315,1919849
2016-02-02 14:30:00,74.32,74.6,74.24,74.4499,2344426
2016-02-02 15:30:00,74.44,74.78,74.3493,74.59,2172661
2016-02-03 09:30:00,75.53,75.78,74.66,74.86,3464440
2016-02-03 10:30:00,74.86,76.65,74.26,76.5456,3666210
2016-02-03 11:30:00,76.54,76.65,75.88,76.3101,2114538
2016-02-03 12:30:00,76.33,76.9,75.95,76.51,1782719
2016-02-03 13:30:00,76.52,77.65,76.1001,77.39,1996576
2016-02-03 14:30:00,77.38,78.34,77.35,77.74,3938600
2016-02-03 15:30:00,77.743,78.53,77.67,78.46,3418595
2016-02-04 09:30:00,78.58,78.95,77.56,78.35,3962535
2016-02-04 10:30:00,78.343,78.83,78.15,78.75,3359499
2016-02-04 11:30:00,78.75,79.56,78.4401,79.44,2833029
2016-02-04 12:30:00,79.45,79.98,79.25,79.89,3557677
2016-02-04 13:30:00,79.9,80.0,79.36,79.46,2608688
2016-02-04 14:30:00,79.46,79.66,79.26,79.47,2930061
2016-02-04 15:30:00,79.4652,79.89,79.1663,79.82,3016118
2016-02-05 09:30:00,79.44,79.81,78.57,78.83,6852779
2016-02-05 10:30:00,78.83,79.4,78.65,79.08,2902721
2016-02-05 11:30:00,79.075,79.2,78.66,79.015,2746958
2016-02-05 12:30:00,79.01,79.25,78.95,79.01,2096073
2016-02-05 13:30:00,79.01,79.55,78.85,79.305,3098375
2016-02-05 14:30:00,79.305,79.64,79.1,79.61,3330496
2016-02-05 15:30:00,79.61,80.1,79.1911,80.08,4031506
2016-04-26 09:30:00,87.75,87.92,87.44,87.62,1805826
2016-04-26 10:30:00,87.62,87.73,87.06,87.5847,1821060
2016-04-26 11:30:00,87.59,87.94,87.48,87.8501,978103
2016-04-26 12:30:00,87.86,87.88,87.56,87.6799,714024
2016-04-26 13:30:00,87.68,87.73,87.48,87.56,679914
2016-04-26 14:30:00,87.55,87.64,87.32,87.45,932350
2016-04-26 15:30:00,87.44,87.66,87.41,87.61,864108
2016-04-27 09:30:00,87.95,88.37,87.33,88.33,1966876
2016-04-27 10:30:00,88.32,88.45,87.751,87.935,1865495
2016-04-27 11:30:00,87.94,88.48,87.9001,88.44,1084288
2016-04-27 12:30:00,88.445,88.45,88.12,88.18,765050
2016-04-27 13:30:00,88.18,88.669,87.87,88.46,1270016
2016-04-27 14:30:00,88.46,88.72,88.395,88.5595,1127805
2016-04-27 15:30:00,88.56,88.71,88.4399,88.47,1162369
2016-04-28 09:30:00,87.86,88.15,87.675,87.99,1611842
2016-04-28 10:30:00,87.99,88.48,87.99,88.45,1134634
2016-04-28 11:30:00,88.46,88.48,87.92,88.3,851511
2016-04-28 12:30:00,88.3,88.775,88.1188,88.51,1154477
2016-04-28 13:30:00,88.5066,88.67,88.22,88.28,885924
2016-04-28 14:30:00,88.27,88.28,87.5,87.56,1952126
2016-04-28 15:30:00,87.57,88.27,87.56,88.08,1956409
2016-04-29 09:30:00,88.68,90.98,88.26,89.26,4104975
2016-04-29 10:30:00,89.2556,89.4,88.0,88.0767,1929180
2016-04-29 11:30:00,88.0747,88.32,87.74,88.16,1729226
2016-04-29 12:30:00,88.167,88.675,88.14,88.53,1037375
2016-04-29 13:30:00,88.52,88.55,88.0,88.269,1471069
2016-04-29 14:30:00,88.26,88.52,87.92,88.285,1636850
2016-04-29 15:30:00,88.3,88.74,88.295,88.48,2477165
2016-05-02 09:30:00,88.24,89.15,88.08,89.0,2182161
2016-05-02 10:30:00,88.99,89.4765,88.92,89.1275,1333921
2016-05-02 11:30:00,89.13,89.2,88.36,88.51,1133761
2016-05-02 12:30:00,88.52,88.8864,88.52,88.82,1129536
2016-05-02 13:30:00,88.819,89.18,88.69,89.1466,1168222
2016-05-02 14:30:00,89.14,89.26,88.94,88.945,1145145
2016-05-02 15:30:00,88.94,89.21,88.88,89.12,1281315
2016-05-03 09:30:00,88.4,88.64,88.13,88.231,2001353
2016-05-03 10:30:00,88.24,88.4401,87.355,87.61,1848100
2016-05-03 11:30:00,87.632,88.04,87.46,87.8499,1192033
2016-05-03 12:30:00,87.84,88.07,87.83,88.06,638123
2016-05-03 13:30:00,88.05,88.17,87.82,88.01,761371
2016-05-03 14:30:00,88.02,88.19,87.85,88.09,1004886
2016-05-03 15:30:00,88.08,88.27,87.92,88.13,1443257
2016-05-04 09:30:00,88.3,88.64,88.12,88.55,2211778
2016-05-04 10:30:00,88.555,88.74,87.63,87.94,2234457
2016-05-04 11:30:00,87.94,88.2673,87.7,88.01,1049380
2016-05-04 12:30:00,88.01,88.01,87.66,87.8201,794099
2016-05-04 13:30:00,87.83,87.96,87.6,87.95,950398
2016-05-04 14:30:00,87.95,87.98,87.68,87.75,947076
2016-05-04 15:30:00,87.75,88.08,87.74,87.94,1226421
2016-05-05 09:30:00,88.78,88.97,88.4,88.77,2006234
2016-05-05 10:30:00,88.77,88.87,88.14,88.26,1276795
2016-05-05 11:30:00,88.2675,88.61,88.02,88.06,900907
2016-05-05 12:30:00,88.06,88.25,87.6201,87.63,783473
2016-05-05 13:30:00,87.629,88.04,87.629,87.98,887538
2016-05-05 14:30:00,87.98,88.09,87.83,87.88,787377
2016-05-05 15:30:00,87.88,88.07,87.77,88.04,1170548
2016-05-06 09:30:00,87.46,88.55,87.46,88.37,1781267
2016-05-06 10:30:00,88.37,88.62,88.13,88.56,943914
2016-05-06 11:30:00,88.56,88.6,88.3229,88.42,838807
2016-05-06 12:30:00,88.42,88.661,88.3,88.53,770614
2016-05-06 13:30:00,88.53,88.6815,88.39,88.6027,812765
2016-05-06 14:30:00,88.61,88.665,88.49,88.515,856132
2016-05-06 15:30:00,88.515,88.54,88.25,88.53,1140808
2016-07-26 09:30:00,91.63,92.03,91.3,91.79,3275012
2016-07-26 10:30:00,91.7797,91.8526,91.1,91.395,1720913
2016-07-26 11:30:00,91.3999,91.61,91.34,91.49,1275908
2016-07-26 12:30:00,91.49,91.56,91.25,91.411,933947
2016-07-26 13:30:00,91.419,91.43,91.215,91.362,966339
2016-07-26 14:30:00,91.37,91.64,91.31,91.6301,1198920
2016-07-26 15:30:00,91.631,91.69,91.5,91.54,1445628
2016-07-27 09:30:00,91.5,91.805,91.32,91.42,1474027
2016-07-27 10:30:00,91.42,91.57,90.75,90.89,1642458
2016-07-27 11:30:00,90.9,91.2785,90.68,90.88,940901
2016-07-27 12:30:00,90.875,91.02,90.73,90.8,696383
2016-07-27 13:30:00,90.8,91.28,90.63,91.06,1129014
2016-07-27 14:30:00,91.07,91.24,90.9,90.9601,1079701
2016-07-27 15:30:00,90.965,91.09,90.71,90.93,1719710
2016-07-28 09:30:00,90.54,90.73,90.0333,90.065,2082890
2016-07-28 10:30:00,90.07,90.2199,89.61,89.925,1823591
2016-07-28 11:30:00,89.92,90.1,89.65,90.015,1727040
2016-07-28 12:30:00,90.0199,90.2,90.0,90.14,876088
2016-07-28 13:30:00,90.14,90.28,89.9,90.21,1319755
2016-07-28 14:30:00,90.22,90.41,90.15,90.21,1216254
2016-07-28 15:30:00,90.2039,90.2909,90.15,90.15,2132672
2016-07-29 09:30:00,87.61,88.5,86.12,87.2,7920074
2016-07-29 10:30:00,87.2,88.55,87.12,88.1,2836046
2016-07-29 11:30:00,88.1,88.6199,87.52,88.29,1593828
2016-07-29 12:30:00,88.28,88.54,88.13,88.37,1096403
2016-07-29 13:30:00,88.3734,88.77,88.37,88.7401,1742864
2016-07-29 14:30:00,88.74,90.1865,88.359,88.375,1440856
2016-07-29 15:30:00,88.3775,89.01,88.33,88.87,3231243
2016-08-01 09:30:00,88.09,88.15,87.01,87.0975,3689719
2016-08-01 10:30:00,87.1,87.43,86.47,86.53,3782787
2016-08-01 11:30:00,86.53,86.62,85.83,86.04,3430647
2016-08-01 12:30:00,86.04,86.34,86.0,86.265,1569827
2016-08-01 13:30:00,86.26,86.41,85.86,85.8766,3112956
2016-08-01 14:30:00,85.88,86.7394,85.75,85.7601,2186692
2016-08-01 15:30:00,85.77,85.96,85.59,85.92,3090435
2016-08-02 09:30:00,86.43,87.32,86.19,86.41,3657850
2016-08-02 10:30:00,86.41,86.68,85.92,85.96,2159582
2016-08-02 11:30:00,85.95,86.13,85.65,85.906,2220944
2016-08-02 12:30:00,85.9,86.77,85.63,85.67,1847417
2016-08-02 13:30:00,85.67,86.19,85.58,86.1299,1525403
2016-08-02 14:30:00,86.125,86.55,86.0532,86.44,2914563
2016-08-02 15:30:00,86.44,87.07,86.42,87.05,2977287
2016-08-03 09:30:00,86.83,87.343,86.6,86.96,2155604
2016-08-03 10:30:00,86.95,87.27,86.68,87.02,1931276
2016-08-03 11:30:00,87.02,87.14,86.9,87.0399,1404979
2016-08-03 12:30:00,87.031,87.11,86.92,86.99,904500
2016-08-03 13:30:00,87.0,87.02,86.81,86.83,1537019
2016-08-03 14:30:00,86.8202,88.0,86.76,87.16,1518319
2016-08-03 15:30:00,87.17,87.49,87.07,87.46,2169891
2016-08-04 09:30:00,87.48,87.63,87.03,87.17,1681610
2016-08-04 10:30:00,87.18,87.65,86.921,87.4834,1728185
2016-08-04 11:30:00,87.48,87.5387,87.23,87.36,1625100
2016-08-04 12:30:00,87.36,91.53,87.21,87.319,1921324
2016-08-04 13:30:00,87.32,87.395,87.1,87.16,1037230
2016-08-04 14:30:00,87.16,87.27,87.1,87.19,1536185
2016-08-04 15:30:00,87.2,87.5,87.19,87.47,2127519
2016-08-05 09:30:00,87.7,87.85,87.38,87.443,1902825
2016-08-05 10:30:00,87.45,87.58,87.15,87.5125,1313536
2016-08-05 11:30:00,87.52,87.62,87.455,87.55,837282
2016-08-05 12:30:00,87.55,87.5743,87.33,87.35,606864
2016-08-05 13:30:00,87.351,87.5544,87.33,87.42,683197
2016-08-05 14:30:00,87.415,87.53,87.35,87.45,972788
2016-08-05 15:30:00,87.45,87.56,87.4,87.52,1393702
2016-10-25 09:30:00,86.54,87.65,86.54,87.37,1467351
2016-10-25 10:30:00,87.36,87.42,86.73,86.9701,1209413
2016-10-25 11:30:00,86.97,87.08,86.66,86.9362,754855
2016-10-25 12:30:00,86.93,86.99,86.74,86.755,709954
2016-10-25 13:30:00,86.759,86.99,86.74,86.9,567487
2016-10-25 14:30:00,86.91,86.96,86.6,86.725,609298
2016-10-25 15:30:00,86.7201,86.79,86.65,86.74,817933
2016-10-26 09:30:00,86.25,86.48,85.95,86.48,1716877
2016-10-26 10:30:00,86.41,87.45,86.31,87.3,1634325
2016-10-26 11:30:00,87.3,87.33,86.93,87.05,758567
2016-10-26 12:30:00,87.06,87.065,86.54,86.7799,621255
2016-10-26 13:30:00,86.77,87.026,86.63,86.7829,737138
2016-10-26 14:30:00,86.78,87.1501,86.7,87.04,769572
2016-10-26 15:30:00,87.035,87.13,86.98,87.1,1021207
2016-10-27 09:30:00,87.28,87.66,86.89,87.17,1465077
2016-10-27 10:30:00,87.16,87.3899,87.03,87.22,1222167
2016-10-27 11:30:00,87.23,87.52,87.21,87.52,1107467
2016-10-27 12:30:00,87.52,87.54,87.3,87.34,853164
2016-10-27 13:30:00,87.33,87.45,87.18,87.35,727911
2016-10-27 14:30:00,87.34,87.35,86.94,87.08,1193476
2016-10-27 15:30:00,87.08,87.145,86.8,86.93,1598347
2016-10-28 09:30:00,85.28,85.99,84.53,85.68,5224509
2016-10-28 10:30:00,85.6839,86.36,85.47,86.07,1929787
2016-10-28 11:30:00,86.062,86.32,85.66,85.81,1142689
2016-10-28 12:30:00,85.82,86.069,85.05,85.2628,1555744
2016-10-28 13:30:00,85.25,85.27,84.14,84.85,2689110
2016-10-28 14:30:00,84.88,85.08,84.51,84.9,2191352
2016-10-28 15:30:00,84.9,84.9065,84.56,84.78,2346429
2016-10-31 09:30:00,83.9,84.4,83.71,83.836,2690073
2016-10-31 10:30:00,83.84,83.8999,83.4,83.88,1885514
2016-10-31 11:30:00,83.89,83.91,83.32,83.5,1732441
2016-10-31 12:30:00,83.51,83.59,83.34,83.35,947931
2016-10-31 13:30:00,83.35,83.4798,83.17,83.2,1546567
2016-10-31 14:30:00,83.21,83.7801,82.99,83.307,2035227
2016-10-31 15:30:00,83.3001,83.45,83.19,83.31,2304944
2016-11-01 09:30:00,83.63,83.92,83.38,83.89,2165941
2016-11-01 10:30:00,83.8801,83.92,83.45,83.58,1255349
2016-11-01 11:30:00,83.58,83.62,83.3,83.35,1205121
2016-11-01 12:30:00,83.35,83.49,83.28,83.42,988419
2016-11-01 13:30:00,83.4201,83.73,83.27,83.6799,1630096
2016-11-01 14:30:00,83.67,83.775,83.42,83.62,1624473
2016-11-01 15:30:00,83.63,83.75,83.45,83.69,2565449
2016-11-02 09:30:00,83.26,83.56,83.1,83.36,1442562
2016-11-02 10:30:00,83.34,83.5601,82.94,83.435,2197218
2016-11-02 11:30:00,83.43,83.68,83.23,83.56,1089595
2016-11-02 12:30:00,83.56,83.74,83.42,83.57,878437
2016-11-02 13:30:00,83.56,83.67,83.24,83.473,1096176
2016-11-02 14:30:00,83.46,83.88,83.0715,83.815,1290170
2016-11-02 15:30:00,83.81,83.84,83.43,83.47,1584565
2016-11-03 09:30:00,83.68,83.9,83.15,83.5001,1441787
2016-11-03 10:30:00,83.5,83.78,83.36,83.65,879721
2016-11-03 11:30:00,83.65,83.77,83.32,83.32,1010426
2016-11-03 12:30:00,83.31,87.09,83.05,83.3926,887639
2016-11-03 13:30:00,83.395,83.51,83.26,83.4959,756631
2016-11-03 14:30:00,83.4901,83.72,83.31,83.72,1193077
2016-11-03 15:30:00,83.71,83.75,83.47,83.66,1430372
2016-11-04 09:30:00,83.46,83.69,82.76,83.04,1807350
2016-11-04 10:30:00,83.035,83.58,82.944,83.03,1710891
2016-11-04 11:30:00,83.02,83.19,82.89,83.09,1168549
2016-11-04 12:30:00,83.09,83.79,82.9701,83.64,1745286
2016-11-04 13:30:00,83.645,84.33,83.63,84.095,2160507
2016-11-04 14:30:00,84.0981,84.16,83.64,83.767,1850802
2016-11-04 15:30:00,83.7634,83.825,83.58,83.6,1828588
2017-01-26 09:30:00,85.69,85.83,85.33,85.545,1752173
2017-01-26 10:30:00,85.55,85.57,85.14,85.17,1374266
2017-01-26 11:30:00,85.16,85.4,85.12,85.38,875244
2017-01-26 12:30:00,85.3838,85.5,85.3,85.464,645930
2017-01-26 13:30:00,85.4675,85.5948,85.41,85.545,871307
2017-01-26 14:30:00,85.545,85.63,85.37,85.53,1124629
2017-01-26 15:30:00,85.53,85.615,85.44,85.6,1054036
2017-01-27 09:30:00,85.3,85.75,85.21,85.48,1654195
2017-01-27 10:30:00,85.4711,85.51,85.04,85.277,1362430
2017-01-27 11:30:00,85.27,85.47,85.22,85.29,982847
2017-01-27 12:30:00,85.29,85.4,85.06,85.18,1091175
2017-01-27 13:30:00,85.18,85.4,85.16,85.32,912291
2017-01-27 14:30:00,85.33,85.44,85.2091,85.39,2303085
2017-01-27 15:30:00,85.3864,85.53,85.22,85.49,1641761
2017-01-30 09:30:00,85.42,85.45,84.81,85.025,1843309
2017-01-30 10:30:00,85.025,85.36,84.52,84.65,1607019
2017-01-30 11:30:00,84.655,84.8865,84.515,84.6369,1614356
2017-01-30 12:30:00,84.6336,84.6616,84.33,84.455,1092781
2017-01-30 13:30:00,84.459,84.62,84.425,84.5101,1137746
2017-01-30 14:30:00,84.51,84.57,84.17,84.26,1218474
2017-01-30 15:30:00,84.2598,84.9,84.23,84.81,2251978
2017-01-31 09:30:00,85.07,85.08,83.67,83.708,3342127
2017-01-31 10:30:00,83.7001,84.0,83.12,83.77,3003074
2017-01-31 11:30:00,83.7735,84.14,83.77,83.976,1453227
2017-01-31 12:30:00,83.97,84.19,83.84,83.99,1780174
2017-01-31 13:30:00,83.9882,85.07,83.42,83.4347,1694730
2017-01-31 14:30:00,83.44,83.62,83.32,83.4399,2061952
2017-01-31 15:30:00,83.4328,83.92,83.3939,83.89,2530425
2017-02-01 09:30:00,84.05,84.16,83.01,83.031,3117893
2017-02-01 10:30:00,83.035,83.1,82.815,82.85,2310773
2017-02-01 11:30:00,82.855,82.9398,82.66,82.865,1607523
2017-02-01 12:30:00,82.865,82.955,82.71,82.769,900695
2017-02-01 13:30:00,82.765,82.98,82.54,82.87,1651671
2017-02-01 14:30:00,82.87,82.95,82.65,82.7704,1785487
2017-02-01 15:30:00,82.78,83.09,82.76,82.95,2216552
2017-02-02 09:30:00,83.21,83.27,82.55,82.94,2543491
2017-02-02 10:30:00,82.93,83.32,82.85,83.235,2061306
2017-02-02 11:30:00,83.23,83.3,83.13,83.17,891057
2017-02-02 12:30:00,83.175,83.53,82.94,83.35,1114156
2017-02-02 13:30:00,83.35,83.5,83.26,83.2901,942345
2017-02-02 14:30:00,83.29,83.4966,83.035,83.245,1344901
2017-02-02 15:30:00,83.24,83.5258,83.1229,83.45,1558243
2017-02-03 09:30:00,83.55,83.72,82.9,83.43,2795805
2017-02-03 10:30:00,83.43,83.62,83.2,83.22,1741107
2017-02-03 11:30:00,83.22,83.49,83.2,83.426,1391029
2017-02-03 12:30:00,83.42,83.48,83.31,83.44,1096906
2017-02-03 13:30:00,83.45,83.655,83.405,83.51,1055626
2017-02-03 14:30:00,83.5049,83.6,83.2643,83.5099,1177133
2017-02-03 15:30:00,83.5,83.56,83.3625,83.53,2085933
2017-02-06 09:30:00,83.66,83.66,83.105,83.17,1674383
2017-02-06 10:30:00,83.17,83.42,83.07,83.3,1506862
2017-02-06 11:30:00,83.3,83.34,83.13,83.211,796936
2017-02-06 12:30:00,83.21,83.23,82.99,83.0899,877937
2017-02-06 13:30:00,83.085,83.12,82.93,83.07,1416559
2017-02-06 14:30:00,83.07,83.18,83.065,83.133,1024525
2017-02-06 15:30:00,83.14,83.33,83.11,83.31,1546691
2017-02-07 09:30:00,83.23,83.62,83.02,83.025,2517625
2017-02-07 10:30:00,83.0205,83.14,82.77,82.78,1718405
2017-02-07 11:30:00,82.7799,82.83,82.51,82.5469,1715346
2017-02-07 12:30:00,82.55,82.71,82.45,82.6551,1375029
2017-02-07 13:30:00,82.65,82.84,82.54,82.675,971849
2017-02-07 14:30:00,82.68,82.89,82.6273,82.84,830991
2017-02-07 15:30:00,82.835,82.8894,82.69,82.73,1393377
2017-04-25 09:30:00,81.37,81.85,81.2801,81.6499,1722763
2017-04-25 10:30:00,81.65,81.74,81.59,81.687,807455
2017-04-25 11:30:00,81.69,81.8,81.62,81.6456,995036
2017-04-25 12:30:00,81.64,81.78,81.45,81.72,913123
2017-04-25 13:30:00,81.715,81.78,81.59,81.7137,689245
2017-04-25 14:30:00,81.7173,81.78,81.57,81.6901,964729
2017-04-25 15:30:00,81.69,81.94,81.62,81.7375,2023220
2017-04-26 09:30:00,81.5,81.9,81.46,81.7969,1051901
2017-04-26 10:30:00,81.8,82.33,81.8,82.27,1659807
2017-04-26 11:30:00,82.2648,82.269,81.85,81.99,704715
2017-04-26 12:30:00,81.985,82.18,81.94,81.9475,522165
2017-04-26 13:30:00,81.95,82.09,81.8,81.8373,1192452
2017-04-26 14:30:00,81.835,81.886,81.66,81.7,1201174
2017-04-26 15:30:00,81.71,81.71,81.39,81.41,1342003
2017-04-27 09:30:00,81.08,81.279,80.95,81.1099,1494046
2017-04-27 10:30:00,81.11,81.19,81.02,81.08,2603811
2017-04-27 11:30:00,81.09,81.1386,80.94,81.0467,1486246
2017-04-27 12:30:00,81.04,81.225,81.0122,81.105,1103531
2017-04-27 13:30:00,81.109,82.0,81.06,81.1,1080743
2017-04-27 14:30:00,81.11,81.23,81.09,81.15,1238721
