bar,nav,n_pos
2021-01-21 09:30:00,1000000.0,0
2021-01-21 10:30:00,1000000.0,0
2021-01-21 11:30:00,1000000.0,0
2021-01-21 12:30:00,1000000.0,0
2021-01-21 13:30:00,1000000.0,0
2021-01-21 14:30:00,1000000.0,0
2021-01-21 15:30:00,1000000.0,0
2021-01-22 09:30:00,1000000.0,0
2021-01-22 10:30:00,1000000.0,0
2021-01-22 11:30:00,1000000.0,0
2021-01-22 12:30:00,1000000.0,0
2021-01-22 13:30:00,1000000.0,0
2021-01-22 14:30:00,1000000.0,0
2021-01-22 15:30:00,1000000.0,0
2021-01-25 09:30:00,1000000.0,0
2021-01-25 10:30:00,1000000.0,0
2021-01-25 11:30:00,1000000.0,0
2021-01-25 12:30:00,1000000.0,0
2021-01-25 13:30:00,1000000.0,0
2021-01-25 14:30:00,1000000.0,0
2021-01-25 15:30:00,1000000.0,0
2021-01-26 09:30:00,1000000.0,0
2021-01-26 10:30:00,1000000.0,0
2021-01-26 11:30:00,999760.0224989741,5
2021-01-26 12:30:00,999760.0224989741,5
2021-01-26 13:30:00,999760.0224989741,5
2021-01-26 14:30:00,999760.0224989741,5
2021-01-26 15:30:00,999760.0224989741,5
2021-01-27 09:30:00,999760.0224989741,5
2021-01-27 10:30:00,999760.0224989741,5
2021-01-27 11:30:00,999520.101687527,9
2021-01-27 12:30:00,999600.3988560172,8
2021-01-27 13:30:00,999600.3988560172,8
2021-01-27 14:30:00,1002666.633262378,5
2021-01-27 15:30:00,1002666.633262378,5
2021-01-28 09:30:00,1002666.633262378,5
2021-01-28 10:30:00,1002666.633262378,5
2021-01-28 11:30:00,1002666.633262378,5
2021-01-28 12:30:00,1002666.633262378,5
2021-01-28 13:30:00,1002666.633262378,5
2021-01-28 14:30:00,1002666.633262378,5
2021-01-28 15:30:00,1002666.633262378,5
2021-01-29 09:30:00,1002666.633262378,5
2021-01-29 10:30:00,1002666.633262378,5
2021-01-29 11:30:00,1002686.5696144996,7
2021-01-29 12:30:00,1002686.5696144996,7
2021-01-29 13:30:00,1002686.5696144996,7
2021-01-29 14:30:00,1002686.5696144996,7
2021-01-29 15:30:00,1002686.5696144996,7
2021-02-01 09:30:00,1002686.5696144996,7
2021-02-01 10:30:00,1001426.9712477743,3
2021-02-01 11:30:00,1000334.9706381839,2
2021-02-01 12:30:00,1000334.9706381839,2
2021-02-01 13:30:00,1000334.9706381839,2
2021-02-01 14:30:00,1000334.9706381839,2
2021-02-01 15:30:00,1000334.9706381839,2
2021-02-02 09:30:00,1000334.9706381839,2
2021-02-02 10:30:00,1000334.9706381839,2
2021-02-02 11:30:00,1000184.9284951123,6
2021-02-02 12:30:00,1000184.9284951123,6
2021-02-02 13:30:00,1000184.9284951123,6
2021-02-02 14:30:00,999956.981929242,4
2021-02-02 15:30:00,999956.981929242,4
2021-02-03 09:30:00,999956.981929242,4
2021-02-03 10:30:00,999956.981929242,4
2021-02-03 11:30:00,999956.981929242,4
2021-02-03 12:30:00,1000770.9466013629,2
2021-02-03 13:30:00,1000770.9466013629,2
2021-02-03 14:30:00,1000770.9466013629,2
2021-02-03 15:30:00,1000770.9466013629,2
2021-02-04 09:30:00,1000770.9466013629,2
2021-02-04 10:30:00,1000770.9466013629,2
2021-02-04 11:30:00,1000770.9466013629,2
2021-02-04 12:30:00,1000770.9466013629,2
2021-02-04 13:30:00,1000770.9466013629,2
2021-02-04 14:30:00,1000770.9466013629,2
2021-02-04 15:30:00,1000770.9466013629,2
2021-02-05 09:30:00,1000770.9466013629,2
2021-02-05 10:30:00,1000770.9466013629,2
2021-02-05 11:30:00,1000770.9466013629,2
2021-02-05 12:30:00,1000770.9466013629,2
2021-02-05 13:30:00,1000770.9466013629,2
2021-02-05 14:30:00,1000770.9466013629,2
2021-02-05 15:30:00,1000770.9466013629,2
2021-02-08 09:30:00,1000770.9466013629,2
2021-02-08 10:30:00,1000770.9466013629,2
2021-02-08 11:30:00,1000770.9466013629,2
2021-02-08 12:30:00,1000770.9466013629,2
2021-02-08 13:30:00,1000770.9466013629,2
2021-02-08 14:30:00,1000770.9466013629,2
2021-02-08 15:30:00,1000770.9466013629,2
2021-02-09 09:30:00,1000770.9466013629,2
2021-02-09 10:30:00,1000770.9466013629,2
2021-02-09 11:30:00,1001577.7057310713,0
2021-02-09 12:30:00,1001577.7057310713,0
2021-02-09 13:30:00,1001577.7057310713,0
2021-02-09 14:30:00,1001577.7057310713,0
2021-02-09 15:30:00,1001577.7057310713,0
2021-02-10 09:30:00,1001577.7057310713,0
2021-02-10 10:30:00,1001577.7057310713,0
2021-02-10 11:30:00,1001577.7057310713,0
2021-02-10 12:30:00,1001577.7057310713,0
2021-02-10 13:30:00,1001577.7057310713,0
2021-02-10 14:30:00,1001577.7057310713,0
2021-02-10 15:30:00,1001577.7057310713,0
2021-02-11 09:30:00,1001577.7057310713,0
2021-02-11 10:30:00,1001577.7057310713,0
2021-02-11 11:30:00,1001577.7057310713,0
2021-02-11 12:30:00,1001577.7057310713,0
2021-02-11 13:30:00,1001577.7057310713,0
2021-02-11 14:30:00,1001577.7057310713,0
2021-02-11 15:30:00,1001577.7057310713,0
2021-02-12 09:30:00,1001577.7057310713,0
2021-02-12 10:30:00,1001577.7057310713,0
2021-02-12 11:30:00,1001577.7057310713,0
2021-02-12 12:30:00,1001577.7057310713,0
2021-02-12 13:30:00,1001577.7057310713,0
2021-02-12 14:30:00,1001577.7057310713,0
2021-02-12 15:30:00,1001577.7057310713,0
2021-02-16 09:30:00,1001577.7057310713,0
2021-02-16 10:30:00,1001577.7057310713,0
2021-02-16 11:30:00,1001577.7057310713,0
2021-02-16 12:30:00,1001577.7057310713,0
2021-02-16 13:30:00,1001577.7057310713,0
2021-02-16 14:30:00,1001577.7057310713,0
2021-02-16 15:30:00,1001577.7057310713,0
2021-02-17 09:30:00,1001577.7057310713,0
2021-02-17 10:30:00,1001577.7057310713,0
2021-02-17 11:30:00,1001577.7057310713,0
2021-02-17 12:30:00,1001577.7057310713,0
2021-02-17 13:30:00,1001577.7057310713,0
2021-02-17 14:30:00,1001577.7057310713,0
2021-02-17 15:30:00,1001577.7057310713,0
2021-02-18 09:30:00,1001577.7057310713,0
2021-02-18 10:30:00,1001577.7057310713,0
2021-02-18 11:30:00,1001577.7057310713,0
2021-02-18 12:30:00,1001577.7057310713,0
2021-02-18 13:30:00,1001577.7057310713,0
2021-02-18 14:30:00,1001577.7057310713,0
2021-02-18 15:30:00,1001577.7057310713,0
2021-02-22 09:30:00,1001577.7057310713,0
2021-02-22 10:30:00,1001577.7057310713,0
2021-02-22 11:30:00,1001577.7057310713,0
2021-02-22 12:30:00,1001577.7057310713,0
2021-02-22 13:30:00,1001577.7057310713,0
2021-02-22 14:30:00,1001577.7057310713,0
