trade_id,entry_bar,exit_bar,primary,dependent,direction,hedge_ticker,event_type,event_date,position_size,entry_price_dep,exit_price_dep,beta,r2,score_at_entry,score_at_exit,holding_hours,gross_pnl,txn_cost,borrow_cost,net_pnl,exit_reason,dep_avg_hvol
1,2016-01-26 11:30:00,2016-02-02 11:30:00,LMT,EMKR,short,LMT,Earnings,2016-01-26,20000.0,5.83,5.82,1.0,0.0,0.45928775307657,,168,34.305317324184514,120.0,0.0,-85.69468267581549,convergence,13961.25
2,2016-01-26 11:30:00,2016-01-27 10:30:00,LMT,TTMI,long,LMT,Earnings,2016-01-26,19998.8,5.6,5.505,1.0,0.0,-2.930608360143433,,23,-339.26535714285626,59.9964,0.0,-399.26175714285625,convergence,22134.5
3,2016-01-28 11:30:00,2016-01-28 12:30:00,NOC,FEIM,short,NOC,Earnings,2016-01-28,19990.814764857143,8.98,8.9,1.0,0.0,14.06020535251708,,1,178.09189100095466,119.94488858914286,0.0,58.1470024118118,convergence,5878.5
4,2016-01-28 11:30:00,2016-01-28 12:30:00,NOC,SYPR,short,NOC,Earnings,2016-01-28,19989.615315971252,1.14,1.15,1.0,0.0,0.687756837196365,,1,-175.34750277167782,119.93769189582751,0.0,-295.2851946675053,convergence,50881.75
5,2016-01-29 11:30:00,2016-02-08 11:30:00,CVX,MUR,long,CVX,Earnings,2016-01-29,19986.072001012028,19.51,19.38,1.0,0.0,-5.647961546021362,,240,-133.17218657773523,59.95821600303608,0.0,-193.13040258077132,convergence,735044.0
6,2016-01-29 11:30:00,2016-02-08 11:30:00,CVX,RIG,long,CVX,Earnings,2016-01-29,19985.472418851998,10.3501,9.475,1.0,0.0,-3.02288847668191,,240,-1689.7698489615925,59.956417256555994,0.0,-1749.7262662181486,convergence,1496093.25
7,2016-01-29 11:30:00,2016-02-08 11:30:00,CVX,TPL,short,CVX,Earnings,2016-01-29,19984.872854679434,121.0101,120.055,1.0,0.0,10.286220646815275,,240,157.73519783475987,119.90923712807661,0.0,37.82596070668326,convergence,2963.75
8,2016-01-29 11:30:00,2016-02-05 11:30:00,XOM,PAGP,long,XOM,Earnings,2016-01-29,19983.673762308154,8.11,7.84,1.0,0.0,-6.096329301930848,,168,-665.3010993616762,59.951021286924465,0.0,-725.2521206486007,convergence,672810.0
9,2016-01-29 11:30:00,2016-02-04 13:30:00,XOM,IMO,short,XOM,Earnings,2016-01-29,19983.074252095284,30.54,31.32,1.0,0.0,3.5816314473189417,,146,-510.3732127254206,59.94922275628585,0.0,-570.3224354817064,convergence,52141.0
10,2016-02-04 11:30:00,2016-02-08 13:30:00,COP,SFL,short,COP,Earnings,2016-02-04,19981.960866214205,13.08,12.41,1.0,0.0,0.52805642699869,,98,1023.5408088962932,59.94588259864262,0.0,963.5949262976507,convergence,106475.75
11,2016-02-04 11:30:00,2016-02-17 09:30:00,COP,STR,long,COP,Earnings,2016-02-04,19981.36140738822,25.0,24.95,1.0,0.0,-0.5176642012233911,,310,-39.962722814777,59.944084222164655,0.0,-99.90680703694166,max_holding,1328556.0
12,2016-04-27 11:30:00,2016-05-11 11:30:00,GD,GHM,long,GD,Earnings,2016-04-27,19938.819764459276,18.95,18.432,1.0,0.0,5.182115253976722,,336,-545.0294795773044,119.63291858675566,0.0,-664.66239816406,max_holding,417.75
13,2016-04-29 11:30:00,2016-05-13 11:30:00,XOM,PAGP,long,XOM,Earnings,2016-04-29,19937.62343527341,9.7,9.815,1.0,0.0,5.487002134595033,,336,236.37388608829343,59.812870305820226,0.0,176.5610157824732,max_holding,555370.0
14,2016-04-29 11:30:00,2016-05-13 11:30:00,XOM,IMO,short,XOM,Earnings,2016-04-29,19937.02530657035,33.57,31.21,1.0,0.0,-3.1479089031404235,,336,1401.5901019811145,59.81107591971105,0.0,1341.7790260614033,max_holding,34825.5
