trade_id,entry_bar,exit_bar,primary,dependent,direction,hedge_ticker,event_type,event_date,position_size,entry_price_dep,exit_price_dep,beta,r2,score_at_entry,score_at_exit,holding_hours,gross_pnl,txn_cost,borrow_cost,net_pnl,exit_reason,dep_avg_hvol
1,2021-01-26 11:30:00,2021-01-27 14:30:00,LMT,EMKR,short,LMT,Earnings,2021-01-26,20000.0,5.07,4.88,1.0,0.0,2.3051285601884484,,27,749.5069033530586,120.0,0.0,629.5069033530586,convergence,16967.25
2,2021-01-26 11:30:00,2021-01-27 14:30:00,LMT,SIF,short,LMT,Earnings,2021-01-26,19998.8,9.99,8.9358,1.0,0.0,0.7393473782086727,,27,2110.3838798798793,119.9928,0.0,1990.3910798798793,convergence,2442.0
3,2021-01-26 11:30:00,2021-01-27 14:30:00,LMT,TTMI,short,LMT,Earnings,2021-01-26,19997.600072,14.03,13.78,1.0,0.0,2.7905449664975515,,27,356.33642323592306,59.992800216000006,0.0,296.34362301992303,convergence,83305.5
4,2021-01-26 11:30:00,2021-02-09 11:30:00,RTX,MTX,long,RTX,Earnings,2021-01-26,19997.00014399784,65.32,70.02,1.0,0.0,2.7257840028647538,,336,1438.853347776943,119.98200086398704,0.0,1318.8713469129561,max_holding,8558.0
5,2021-01-26 11:30:00,2021-02-09 11:30:00,RTX,MRCY,long,RTX,Earnings,2021-01-26,19995.800323989202,77.09,75.0,1.0,0.0,4.806066792897339,,336,-542.1095171505708,59.98740097196761,0.0,-602.0969181225385,max_holding,22290.75
6,2021-01-27 11:30:00,2021-01-29 11:30:00,NOC,FEIM,short,NOC,Earnings,2021-01-27,19995.200449979482,11.0,10.64,1.0,0.0,-1.5832889557808527,,48,654.3883783629639,119.9712026998769,0.0,534.4171756630869,convergence,650.25
7,2021-01-27 11:30:00,2021-01-29 11:30:00,NOC,SYPR,long,NOC,Earnings,2021-01-27,19994.000737952483,2.2901,2.2484,1.0,0.0,29.821604397486297,,48,-364.0669974117336,119.9640044277149,0.0,-484.0310018394485,convergence,300904.5
8,2021-01-27 11:30:00,2021-01-27 12:30:00,NOC,CVU,long,NOC,Earnings,2021-01-27,19992.801097908206,3.9622,3.99,1.0,0.0,7.090188771067915,,1,140.27557178381934,119.95680658744922,0.0,20.318765196370123,convergence,10533.25
9,2021-01-27 11:30:00,2021-02-01 10:30:00,GD,GHM,long,GD,Earnings,2021-01-27,19991.60152984233,15.49,14.75,1.0,0.0,6.133148174102402,,119,-955.0539142726487,119.94960917905397,0.0,-1075.0035234517027,convergence,5340.25
10,2021-01-29 11:30:00,2021-02-01 10:30:00,CVX,DXC,long,CVX,Earnings,2021-01-29,20056.73974079531,28.48,28.4201,1.0,0.0,-1.2293526812941264,,71,-42.18394348573097,60.170219222385924,0.0,-102.35416270811689,convergence,278590.5
11,2021-01-29 11:30:00,2021-02-01 11:30:00,CVX,MUR,long,CVX,Earnings,2021-01-29,20056.138038603087,12.69,12.0181,1.0,0.0,-12.938268348504884,,72,-1061.9164025324976,60.16841411580926,0.0,-1122.084816648307,convergence,696499.5
12,2021-01-29 11:30:00,2021-02-01 10:30:00,CVX,RIG,long,CVX,Earnings,2021-01-29,20055.53635446193,3.34,3.2525,1.0,0.0,-37.77881977528304,,71,-525.4070152740769,60.166609063385785,0.0,-585.5736243374627,convergence,5340510.5
13,2021-01-29 11:30:00,2021-02-01 10:30:00,CVX,TPL,long,CVX,Earnings,2021-01-29,20054.934688371293,827.2446,845.5325,1.0,0.0,-21.846872238612036,,71,443.3545291047727,120.32960813022775,0.0,323.02492097454495,convergence,6105.75
14,2021-02-02 11:30:00,2021-02-03 12:30:00,XOM,PAGP,short,XOM,Earnings,2021-02-02,20006.69941276368,9.07,8.79,1.0,0.0,-5.730941520155864,,25,617.626883745739,60.020098238291034,0.0,557.606785507448,convergence,507991.0
15,2021-02-02 11:30:00,2021-02-03 12:30:00,XOM,IMO,long,XOM,Earnings,2021-02-02,20006.099211781297,19.51,19.76,1.0,0.0,6.812971203761845,,25,256.3569863119079,60.01829763534389,0.0,196.33868867656403,convergence,134038.5
16,2021-02-02 11:30:00,2021-02-02 14:30:00,XOM,PUMP,long,XOM,Earnings,2021-02-02,20005.49902880494,8.23,8.21,1.0,0.0,3.672479152858318,,3,-48.61603652200368,60.01649708641482,0.0,-108.6325336084185,convergence,85016.5
17,2021-02-02 11:30:00,2021-02-02 14:30:00,XOM,PVL,long,XOM,Earnings,2021-02-02,20004.898863834078,1.12,1.115,1.0,0.0,23.676558150867056,,3,-89.30758421354705,120.02939318300446,0.0,-209.3369773965515,convergence,22587.25
18,2021-02-25 11:30:00,2021-03-01 10:30:00,OXY,TPL,long,OXY,Earnings,2021-02-25,20031.554114621427,1157.0573,1115.9,1.0,0.0,-12.396780269339832,,95,-712.5357423195078,120.18932468772857,0.0,-832.7250670072364,convergence,4403.5
19,2021-02-25 11:30:00,2021-02-26 10:30:00,OXY,PUMP,long,OXY,Earnings,2021-02-25,20030.35222137455,11.28,11.17,1.0,0.0,-1.2201510339643435,,23,-195.331448967304,60.09105666412364,0.0,-255.42250563142764,convergence,218509.25
20,2021-04-20 11:30:00,2021-04-21 11:30:00,LMT,AIRI,long,LMT,Earnings,2021-04-20,20009.791163168655,1.17,1.2,1.0,0.0,7.281899614330138,,24,513.0715682863762,120.05874697901191,0.0,393.0128213073643,convergence,60972.0
